,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.entrou_em_campo,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.media_num,atletas.atleta_id,atletas.clube_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.foto,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PC,SG,PS,PP,DE,GS,PI,DP,GC,V
18,,2,Fagner Conserva Lemos,Corinthians,fagner,16,7,True,19,0.1,Fagner,3.86,42500,264,Fagner,7.73,-0.15,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,1.0,5.0,22.0,11.0,1.0,3.0,24.0,1.0,,,,,4.0,,,,,,,,
19,,6,Luiz Felipe Scolari,Atlético-MG,luiz-felipe-scolari,9,7,True,19,7.46,Luiz Felipe Scolari,4.47,43618,282,L. Scolari,10.36,0.26,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,,,,,,,,,,,,,,,,,,,,,2.0
20,,5,Alexandre Rodrigues da Silva,São Paulo,alexandre-pato,5,7,True,19,2.2,Alexandre Pato,2.28,49675,276,A. Pato,4.29,0.35,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,,,1.0,,,1.0,3.0,,1.0,1.0,,,,,,,,,,,
21,,3,David Braz de Oliveira Filho,Fluminense,david-braz,10,6,False,19,0.0,David Braz,2.86,50317,266,D. Braz,5.34,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,,1.0,3.0,7.0,,2.0,3.0,,,,,,5.0,,,,,,,,
22,,5,Alan Kardec de Sousa Pereira Júnior,Atlético-MG,alan-kardec,5,6,False,19,0.0,Alan Kardec,1.76,50347,282,A. Kardec,4.36,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,,1.0,,3.0,,3.0,1.0,,1.0,2.0,,,,,,,,,,,
23,,3,Christian Chagas Tarouco,Fortaleza,titi,17,7,True,19,5.6,Titi,4.58,50353,356,Titi,8.66,0.44,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,1.0,6.0,28.0,18.0,1.0,2.0,18.0,,,,,1.0,8.0,,,,,,,,
24,,3,Henrique Adriano Buss,Coritiba,henrique,13,7,True,19,-0.7,Henrique,1.15,50856,294,Henrique,2.64,-0.28,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,,4.0,8.0,14.0,2.0,,2.0,,,,,,2.0,,,,,,,,
25,,2,Luiz Diallison de Souza Alves,Goiás,apodi,9,6,False,19,0.0,Apodi,2.46,51042,290,Apodi,5.29,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,,1.0,3.0,6.0,5.0,1.0,2.0,,1.0,5.0,,,1.0,1.0,,,,,,,
26,,1,Walter Leandro Capeloza Artune,Cuiabá,walter,18,6,False,19,0.0,Walter,3.33,51413,1371,Walter,7.15,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,,2.0,,,,,2.0,,,,,1.0,5.0,,,56.0,19.0,,,,
27,,4,Giuliano Victor de Paula,Corinthians,giuliano,12,6,True,19,0.0,Giuliano,0.79,51548,264,Giuliano,2.37,-0.38,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,,1.0,7.0,5.0,,2.0,4.0,,,,,,,,,,,,,,
