,atletas.nome,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.foto,atletas.status_id,atletas.clube_id,A,DS,FC,FD,FF,FS,FT,G,I,CA,SG,PS,DE,GS,PC,CV,DP,PP,V,GC
76,Rafael Pereira da Silva,2.6,,9,5,4.82,70171,-0.63,2,Rafael,rafael,Botafogo,3.64,Rafael,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,6,263,,15.0,6.0,,,2.0,,,,1.0,1.0,,,,,1.0,,,,
77,Fábio Pereira da Silva,2.9,,9,4,4.63,70172,0.34,2,Fábio,fabio,Grêmio,2.75,Fábio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,7,284,1.0,4.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
78,Bruno Uvini,0.6,,9,6,2.76,70221,-1.05,3,B. Uvini,bruno-uvini,Grêmio,1.53,Bruno Uvini,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,7,284,,3.0,3.0,,,3.0,,1.0,,2.0,,,,,1.0,,,,,
79,Eduardo Colcenti Antunes,5.7,,9,9,10.86,70360,0.07,5,E. Sasha,eduardo-sasha,Bragantino,5.25,Eduardo Sasha,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,7,280,2.0,4.0,6.0,1.0,3.0,12.0,1.0,3.0,4.0,2.0,,,,,,,,,,
80,Gabriel Vasconcelos Ferreira - Vasconcellos,2.0,,9,8,3.54,70449,0.29,1,Gabriel,gabriel,Coritiba,1.25,Gabriel,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,7,294,,,,,,,,,,2.0,,,30.0,18.0,,,,,,
81,Marllon Gonçalves Jerônimo Borges,4.6,,9,9,7.47,70666,0.19,3,Marllon,marllon,Cuiabá,3.84,Marllon,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,7,1371,1.0,11.0,6.0,,2.0,5.0,,1.0,,3.0,2.0,,,,1.0,,,,,
82,Jorge Sampaoli,8.49,,9,8,11.48,70800,0.83,6,J. Sampaoli,jorge-sampaoli,Flamengo,6.01,Jorge Sampaoli,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,7,262,,,,,,,,,,,,,,,,,,,4.0,
83,Diogo Barbosa Mendanha,0.0,,9,6,6.95,70916,-0.26,2,D. Barbosa,diogo-barbosa,Grêmio,2.0,Diogo Barbosa,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hD7TNLn.png,6,284,,5.0,4.0,,1.0,5.0,,,1.0,1.0,1.0,,,,,,,,,
84,Leonardo Cittadini,0.0,,9,2,2.05,70986,0.0,4,L. Cittadini,leo-cittadini,Athlético-PR,-0.25,Léo Cittadini,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,6,293,,,5.0,,,2.0,,,,,,,,,,,,,,
85,Vinícius Goes Barbosa de Souza,0.0,,9,9,4.99,71162,-0.41,4,Vina,vina,Grêmio,1.83,Vina,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q8oUM9e.png,2,284,,2.0,2.0,2.0,1.0,11.0,,1.0,,2.0,,,,,,,,,,
86,Maicon Pereira Roque,0.0,,9,1,6.73,71227,0.0,3,Maicon,maicon,Santos,8.6,Maicon,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_NcXdUCj.png,6,277,,2.0,,1.0,,,,,,,1.0,,,,,,,,,
87,Fernando Miguel Kaufmann,0.0,,9,4,10.86,71571,0.0,1,F. Miguel,fernando-miguel,Fortaleza,5.25,Fernando Miguel,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qLr4Pp0.png,5,356,,,,,,,,,,,1.0,,20.0,4.0,,,,,,
88,Weverton Pereira da Silva,2.0,,9,9,8.49,71631,-0.14,1,Weverton,weverton,Palmeiras,2.84,Weverton,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,7,275,,,,,,1.0,,,,,2.0,,23.0,8.0,,,,,,
89,Gustavo Raúl Gómez Portillo,-1.3,,9,9,8.32,71684,-0.93,3,G. Gómez,gustavo-gomez,Palmeiras,3.09,Gustavo Gómez,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,7,275,1.0,11.0,10.0,2.0,1.0,5.0,,,1.0,3.0,2.0,,,,,,,,,
90,Ocimar de Almeida Júnior,0.0,,9,5,3.63,71829,-0.19,4,J. Urso,junior-urso,Coritiba,0.9,Júnior Urso,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ft8zu4.png,6,294,,2.0,3.0,1.0,1.0,6.0,,,,2.0,,,,,,,,,,
91,Thiago Galhardo do Nascimento Rocha,3.9,,9,6,6.86,71844,-0.69,5,T. Galhardo,thiago-galhardo,Fortaleza,4.02,Thiago Galhardo,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_LaKDS7J.png,7,356,,1.0,1.0,3.0,2.0,4.0,,2.0,,,,,,,,,,,,
92,Gabriel Appelt Pires,0.0,,9,3,5.61,71898,0.0,4,G. Pires,gabriel-pires,Botafogo,4.57,Gabriel Pires,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_wzlbP45.png,6,263,,11.0,7.0,,2.0,2.0,,,,,,,,,,,,,,
93,Danilo Fernando Avelar,14.7,,9,6,6.1,72142,2.61,3,D. Avelar,danilo-avelar,América-MG,3.88,Danilo Avelar,https://s.sde.globo.com/media/person_role/2022/04/12/2a7b85e6015605e0770fe393faf72a9a_FORMATO.png,7,327,,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,
94,Everson Felipe Marques Pires,11.0,,9,9,7.1,72294,2.08,1,Everson,everson,Atlético-MG,4.22,Everson,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_XhJDp6n.png,7,282,,,,,,2.0,,,,2.0,4.0,,26.0,7.0,,,,,,
95,Felipe Alves Raymundo,0.0,,9,0,6.0,72372,0.0,1,F. Alves,felipe-alves,São Paulo,0.0,Felipe Alves,https://s.sde.globo.com/media/person_role/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,6,276,,,,,,,,,,,,,,,,,,,,
96,Fernando Diniz Silva,5.2,,9,9,14.3,72391,0.17,6,F. Diniz,fernando-diniz,Fluminense,6.04,Fernando Diniz,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,7,266,,,,,,,,,,,,,,,,,,,5.0,
97,Gustavo Campanharo,0.0,,9,5,5.43,72497,0.0,4,G. Campanharo,gustavo-campanharo,Internacional,3.74,Gustavo Campanharo,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_Fbab3V0.png,3,285,,17.0,11.0,3.0,,2.0,,,,3.0,,,,,,,,,,
98,Magno José da Silva,1.8,,9,8,3.01,72532,-0.94,2,Maguinho,maguinho,Goiás,2.5,Maguinho,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_r03QzyK.png,7,290,,6.0,24.0,,5.0,12.0,,2.0,,3.0,,,,,,1.0,,,,
99,Matheus Fernando Cavichioli,0.0,,9,5,6.74,72580,0.0,1,M. Cavichioli,matheus-cavichioli,América-MG,1.74,Matheus Cavichioli,https://s.sde.globo.com/media/person_role/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,6,327,,,1.0,,,,,,,,,,19.0,14.0,,1.0,1.0,,,
100,Pedro Henrique Konzen Medina da Silva,0.0,,9,8,7.06,72583,0.0,5,P. Henrique,pedro-henrique,Internacional,3.21,Pedro Henrique,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,6,285,1.0,9.0,11.0,4.0,9.0,4.0,,,8.0,,,,,,,,,,,
101,Maurício Kozlinski,0.0,,9,1,4.92,72595,0.0,1,M. Kozlinski,mauricio-kozlinski,Fortaleza,6.0,Maurício Kozlinski,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mZtm5zI.png,6,356,,,,,,,,,,,1.0,,1.0,,,,,,,
102,Vitor Hugo Franchescoli de Souza,5.0,,9,5,5.74,72605,0.92,3,V. Hugo,vitor-hugo,Bahia,2.28,Vitor Hugo,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,7,265,,6.0,3.0,,2.0,1.0,,,,1.0,1.0,,,,1.0,,,,,
103,Pablo Daniel Ceppelini Gatto,0.0,,9,8,3.46,72762,0.0,4,Ceppelini,ceppelini,Cuiabá,1.38,Ceppelini,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_l5sEyLV.png,6,1371,,4.0,5.0,3.0,2.0,9.0,,,,2.0,,,,,,,,,,
104,Luiz Adriano de Souza da Silva,9.3,,9,8,6.55,72772,1.72,5,L. Adriano,luiz-adriano,Internacional,2.66,Luiz Adriano,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png,7,285,,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,
105,Fernando Luiz Rosa,0.0,,9,4,5.65,72775,0.0,4,Fernandinho,fernandinho,Athlético-PR,1.83,Fernandinho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,5,293,1.0,4.0,8.0,,,6.0,,,1.0,2.0,,,,,1.0,,,,,
106,Gabriel Iván Mercado,0.0,,9,5,5.07,72951,0.0,3,Mercado,mercado,Internacional,3.18,Mercado,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,5,285,,9.0,7.0,2.0,1.0,2.0,,,,2.0,1.0,,,,,,,,,
107,Daniel Fortunato Borges,0.0,,9,1,6.39,73318,0.0,2,D. Borges,daniel-borges,Botafogo,5.9,Daniel Borges,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_KcG4Ldd.png,6,263,,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
108,Samuel Xavier Brito,1.9,,9,6,9.83,73384,-0.55,2,S. Xavier,samuel-xavier,Fluminense,4.17,Samuel Xavier,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,7,266,1.0,5.0,6.0,2.0,5.0,5.0,,,1.0,3.0,2.0,,,,,,,,,
109,Jean Dias da Costa,0.4,,9,5,2.87,73479,-0.09,5,J. Dias,jean-dias,Internacional,1.54,Jean Dias,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png,6,285,1.0,2.0,4.0,,,5.0,,,,1.0,,,,,,,,,,
110,Bruno Fabiano Alves,2.8,,9,9,6.25,73620,0.37,3,B. Alves,bruno-alves,Grêmio,1.93,Bruno Alves,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,7,284,,4.0,5.0,1.0,2.0,5.0,,,2.0,1.0,2.0,,,,,,,,,
111,Guilherme Costa Marques,-0.1,,9,4,2.11,73781,-0.58,5,G. Marques,guilherme-marques,Goiás,0.63,Guilherme Marques,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_8U4l1F1.png,6,290,,3.0,3.0,,1.0,,,,,1.0,,,,,,,,,,
112,Rodrigo Caio Coquette Russo,0.0,,9,1,3.97,73800,0.0,3,R. Caio,rodrigo-caio,Flamengo,0.0,Rodrigo Caio,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png,6,262,,,,,,,,,,,,,,,,,,,,
113,Aloísio dos Santos Gonçalves,3.5,,9,8,8.95,73850,0.34,5,Aloísio,aloisio,América-MG,6.33,Aloísio,https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,7,327,1.0,2.0,12.0,4.0,10.0,5.0,3.0,3.0,5.0,1.0,,,,,,,,,,
114,Alison Lopes Ferreira,2.1,,9,4,3.3,73974,0.13,4,Alison,alison,Santos,1.43,Alison,https://s.sde.globo.com/media/person_role/2021/05/04/83ae4938b05e0e1d67ad49af17785e89_FORMATO.png,7,277,,5.0,1.0,,,,,,,,,,,,,,,,,
115,Roberto Junior Fernández Torres,0.0,,9,0,8.0,74061,0.0,1,G. Fernández,gatito-fernandez,Botafogo,0.0,Gatito Fernández,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,6,263,,,,,,,,,,,,,,,,,,,,
116,Gustavo Lucas Domingues Piazón,0.0,,9,1,2.81,74084,-1.19,4,L. Piazon,lucas-piazon,Botafogo,0.0,Lucas Piazon,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8iJQEr4.png,6,263,,,,,,,,,,,,,,,,,,,,
117,William de Oliveira Pottker,0.0,,9,4,2.92,77809,0.0,5,W. Pottker,william-pottker,Coritiba,0.8,William Pottker,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_yjb57GF.png,6,294,,2.0,3.0,1.0,,3.0,,,,1.0,,,,,,,,,,
118,Madson Ferreira dos Santos,0.0,,9,6,5.81,78077,0.0,2,Madson,madson,Athlético-PR,1.97,Madson,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,6,293,,3.0,4.0,,2.0,8.0,,,2.0,1.0,1.0,,,,,,,,,
119,Everaldo Stum,-0.4,,9,7,8.3,78117,-0.63,5,Everaldo,everaldo,Bahia,3.35,Everaldo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,7,265,,3.0,10.0,4.0,1.0,7.0,,2.0,2.0,2.0,,,,,,,,,,
120,Renê Rodrigues Martins,3.1,,9,7,8.91,78445,-0.44,2,Renê,rene,Internacional,4.67,Renê,https://s.sde.globo.com/media/person_role/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,7,285,,17.0,6.0,,2.0,5.0,,,,,2.0,,,,,,,,,
121,Jonathan Renato Barbosa,0.7,,9,9,6.31,78580,-0.71,5,J. Cafu,jonathan-cafu,Cuiabá,2.79,Jonathan Cafu,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,7,1371,2.0,9.0,7.0,,2.0,12.0,,,2.0,1.0,,,,,,,,,,
122,Gabriel Girotto Franco,0.0,,9,0,6.0,78605,0.0,4,Gabriel,gabriel,Internacional,0.0,Gabriel,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_GUlE7bV.png,5,285,,,,,,,,,,,,,,,,,,,,
123,Ramiro Moschen Benetti,0.0,,9,6,5.62,78715,0.0,4,Ramiro,ramiro,Cruzeiro,3.8,Ramiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png,5,283,1.0,9.0,8.0,1.0,4.0,,,1.0,,3.0,,,,,,,,,,
124,Reinaldo Manoel da Silva,7.8,,9,5,7.55,78850,0.68,2,Reinaldo,reinaldo,Grêmio,3.36,Reinaldo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,7,284,1.0,3.0,9.0,,,2.0,,1.0,1.0,3.0,1.0,,,,,,,,,
125,Thiago dos Santos,0.0,,9,6,1.7,78855,-0.38,4,T. Santos,thiago-santos,Fluminense,0.37,Thiago Santos,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png,6,266,,4.0,7.0,,,3.0,,,,2.0,,,,,,,,,,
126,Douglas Borges,0.0,,9,0,3.0,78893,0.0,1,D. Borges,douglas-borges,Botafogo,0.0,Douglas Borges,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_33D9G2h.png,6,263,,,,,,,,,,,,,,,,,,,,
127,Luiz Felipe do Nascimento dos Santos,0.0,,9,0,3.0,79035,0.0,3,L. Felipe,luiz-felipe,Santos,0.0,Luiz Felipe,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_aiqNBl6.png,6,277,,,,,,,,,,,,,,,,,,,,
128,Víctor Leandro Cuesta,3.9,,9,8,9.17,79113,-0.18,3,V. Cuesta,victor-cuesta,Botafogo,5.74,Víctor Cuesta,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,7,263,1.0,10.0,7.0,2.0,2.0,2.0,1.0,1.0,,5.0,4.0,,,,,,,,,
129,Silvio Ezequiel Romero,0.0,,9,8,5.05,79188,-1.14,5,S. Romero,silvio-romero,Fortaleza,2.81,Silvio Romero,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png,6,356,1.0,1.0,5.0,,2.0,3.0,,2.0,3.0,1.0,,,,,,,,,,
130,Filipe Augusto Carvalho Souza,0.0,,9,4,1.92,79268,0.0,4,F. Augusto,filipe-augusto,Cuiabá,1.67,Filipe Augusto,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,6,1371,,8.0,8.0,,,5.0,,,,,,,,,,1.0,,,,
131,Ricardo César Dantas da Silva,0.0,,9,5,2.01,79334,0.0,3,R. Silva,ricardo-silva,América-MG,1.04,Ricardo Silva,https://s.sde.globo.com/media/person_role/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png,6,327,,5.0,6.0,,,4.0,,,,1.0,,,,,,,,,,
132,Germán Ezequiel Cano,3.7,,9,9,14.41,79631,0.02,5,Cano,cano,Fluminense,4.42,Cano,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png,7,266,,7.0,5.0,5.0,10.0,3.0,2.0,2.0,6.0,,,,,,,,,1.0,,
133,Lucas Silva Borges,0.0,,9,4,4.71,79701,0.0,4,L. Silva,lucas-silva,Grêmio,2.67,Lucas Silva,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_22BJorG.png,6,284,,8.0,3.0,,,4.0,,,,,,,,,,,,,,
134,José Roberto Assunção de Araújo Filho,3.8,,9,6,4.14,80076,0.54,5,Z. Roberto,ze-roberto,Coritiba,3.17,Zé Roberto,https://s.sde.globo.com/media/person_role/2023/04/10/photo_220x220_Mzobxer.png,7,294,1.0,3.0,14.0,3.0,2.0,13.0,,1.0,1.0,2.0,,,,,,1.0,,,,
135,Glaybson Yago Souza Lisboa,2.0,,9,9,7.99,80196,0.06,4,Y. Pikachu,yago-pikachu,Fortaleza,2.96,Yago Pikachu,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png,6,356,,3.0,4.0,2.0,5.0,8.0,,2.0,2.0,2.0,,,,,,,,,,
136,Luciano da Rocha Neves,1.6,,9,9,11.2,80287,-0.61,5,Luciano,luciano,São Paulo,4.58,Luciano,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,6,276,2.0,3.0,7.0,4.0,7.0,13.0,1.0,2.0,2.0,2.0,,,,,,,,1.0,,
137,Lucas Rafael Araújo Lima,11.1,,9,9,8.37,80583,1.78,4,L. Lima,lucas-lima,Santos,4.39,Lucas Lima,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png,7,277,2.0,15.0,19.0,2.0,3.0,13.0,,1.0,1.0,2.0,,,,,,,,,,
138,Luan Garcia Teixeira,1.7,,9,6,7.33,80692,-0.15,3,Luan,luan,Palmeiras,5.08,Luan,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cnIvHfj.png,7,275,,7.0,9.0,1.0,2.0,4.0,1.0,1.0,,1.0,2.0,,,,,,,,,
139,Pedro Tonon Geromel,0.0,,9,0,7.0,80853,0.0,3,P. Geromel,pedro-geromel,Grêmio,0.0,Pedro Geromel,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_2mIyND1.png,6,284,,,,,,,,,,,,,,,,,,,,
140,Jair Rodrigues Júnior,11.9,,9,9,10.24,81091,1.51,4,Jair,jair,Vasco,4.84,Jair,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,7,267,,20.0,13.0,1.0,1.0,29.0,,1.0,,2.0,,1.0,,,,,,,,
141,Lucas Andrés Mugni,0.0,,9,1,3.4,81121,0.0,4,L. Mugni,lucas-mugni,Bahia,-0.3,Lucas Mugni,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,6,265,,,1.0,,,,,,,,,,,,,,,,,
142,Mayke Rocha de Oliveira,5.5,,9,7,7.32,81150,0.91,2,Mayke,mayke,Palmeiras,4.67,Mayke,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_VrbLrFd.png,7,275,2.0,7.0,10.0,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,,
143,Alisson Euler de Freitas Castro,2.5,,9,9,5.76,81845,-1.08,4,Alisson,alisson,São Paulo,3.51,Alisson,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,7,276,2.0,14.0,8.0,1.0,4.0,8.0,,,1.0,1.0,,,,,,,,,,
144,João Ricardo Riedi,7.5,,9,4,7.19,81881,0.62,1,J. Ricardo,joao-ricardo,Fortaleza,5.5,João Ricardo,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,7,356,,,,,,2.0,,,,1.0,3.0,,9.0,2.0,,,,,,
145,José Henrique da Silva Dourado,2.0,,9,6,4.97,81905,-0.15,5,H. Dourado,henrique-dourado,Cruzeiro,2.77,Henrique Dourado,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_X04virK.png,6,283,,3.0,10.0,1.0,6.0,7.0,,1.0,5.0,1.0,,,,,,,,,,
146,Willian Osmar de Oliveira Silva,4.1,,9,6,2.7,81952,0.43,4,W. Oliveira,willian-oliveira,Goiás,1.53,Willian Oliveira,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,7,290,,7.0,13.0,1.0,,9.0,,,,1.0,,,,,,,,,,
147,Adilson dos Anjos Oliveira,0.1,,9,9,5.03,82381,-0.15,4,Juninho,juninho,América-MG,1.69,Juninho,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ek7YW7J.png,7,327,,9.0,10.0,2.0,2.0,7.0,,,1.0,1.0,,1.0,,,,,,,,
148,Tadeu Antônio Ferreira,6.0,,9,6,6.25,82453,0.78,1,Tadeu,tadeu,Goiás,2.75,Tadeu,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,7,290,,,,,,1.0,,,,,,,24.0,8.0,,,,,,
149,José Rafael Vivian,1.1,,9,8,9.29,82455,-0.15,4,Z. Rafael,ze-rafael,Palmeiras,3.4,Zé Rafael,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,7,275,1.0,16.0,22.0,4.0,1.0,16.0,,,,4.0,,,,,,,,,,
150,Otávio Henrique Passos Santos,2.8,,9,4,4.13,82463,-0.37,4,Otávio,otavio,Atlético-MG,2.03,Otávio,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,7,282,,8.0,5.0,1.0,1.0,2.0,,,,3.0,,,,,,,,,,
151,Guilherme de Jesus da Silva,10.5,,9,8,10.52,82628,0.47,2,Tinga,tinga,Fortaleza,6.27,Tinga,https://s.sde.globo.com/media/person_role/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png,7,356,,23.0,5.0,1.0,2.0,3.0,,,2.0,,4.0,,,,,,,,,
152,Marcelo Rangel da Rosa,0.0,,9,3,2.34,82730,0.0,1,M. Rangel,marcelo-rangel,Goiás,0.0,Marcelo Rangel,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,6,290,,,,,,,,,,,,,8.0,8.0,,,,,,
153,Paulo César Turra,8.41,,9,9,10.99,82747,0.9,6,P. Turra,paulo-turra,Athlético-PR,5.53,Paulo Turra,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_L21KedQ.png,7,293,,,,,,,,,,,,,,,,,,,5.0,
154,Wellington Soares da Silva,1.2,,9,9,6.07,82766,0.18,4,W. Rato,wellington-rato,São Paulo,2.64,Wellington Rato,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,7,276,2.0,9.0,5.0,2.0,2.0,5.0,,,,2.0,,,,,,,,,,
155,Maurício Nogueira Barbieri,4.09,,9,9,9.13,82792,0.27,6,M. Barbieri,mauricio-barbieri,Vasco,3.86,Maurício Barbieri,https://s.sde.globo.com/media/person_role/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,7,267,,,,,,,,,,,,,,,,,,,1.0,
156,Gabriel Barbosa Almeida,0.0,,9,7,14.85,83257,0.0,5,Gabriel,gabriel,Flamengo,6.39,Gabriel,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,6,262,1.0,2.0,3.0,8.0,8.0,7.0,1.0,3.0,3.0,4.0,,,,,,,,1.0,,
157,Patrick Bezerra do Nascimento,2.2,,9,9,6.14,83433,0.09,4,Patrick,patrick,Atlético-MG,2.12,Patrick,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,6,282,,13.0,3.0,1.0,1.0,7.0,,,1.0,1.0,,,,,,,,,,
158,Leonardo Pereira,0.0,,9,8,14.41,83528,0.0,3,L. Pereira,leo-pereira,Flamengo,7.12,Léo Pereira,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png,6,262,,13.0,6.0,,1.0,9.0,,3.0,1.0,1.0,3.0,,,,,,,,,
159,Hueglo dos Santos Neris,0.0,,9,2,3.01,83786,-0.99,3,Neris,neris,Cruzeiro,3.05,Neris,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_U329TT2.png,7,283,,2.0,6.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,
160,Francisco das Chagas Soares dos Santos Meireles,3.0,,9,8,18.54,84042,-1.43,5,T. Soares,tiquinho-soares,Botafogo,9.99,Tiquinho Soares,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,7,263,3.0,5.0,10.0,2.0,9.0,16.0,,6.0,7.0,3.0,,,,,,,,,,
161,Jemerson de Jesus Nascimento,5.6,,9,8,8.32,84263,0.87,3,Jemerson,jemerson,Atlético-MG,3.33,Jemerson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,7,282,1.0,3.0,12.0,1.0,,3.0,,,1.0,1.0,4.0,,,,,,,,,
162,Bruno Ferreira Melo,1.3,,9,8,4.71,84339,-0.04,3,B. Melo,bruno-melo,Goiás,3.2,Bruno Melo,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png,7,290,,6.0,4.0,1.0,5.0,5.0,,2.0,1.0,3.0,,,,,1.0,,,,,
163,Fernando Pereira do Nascimento,2.7,,9,6,7.03,84428,-1.56,4,F. Sobral,fernando-sobral,Cuiabá,6.48,Fernando Sobral,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png,7,1371,1.0,14.0,8.0,3.0,3.0,13.0,,1.0,,1.0,,,,,,,,,,
