,atletas.nome,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.foto,atletas.status_id,atletas.clube_id,A,DS,FC,FD,FF,FS,FT,G,I,CA,SG,PS,DE,GS,PC,CV,DP,PP,V,GC
19,Fagner Conserva Lemos,2.2,,9,8,7.7,42500,-1.07,2,Fagner,fagner,Corinthians,4.1,Fagner,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,7,264,1.0,13.0,4.0,,3.0,10.0,1.0,,,2.0,1.0,,,,,,,,,
20,Alexandre Rodrigues da Silva,0.0,,9,0,5.0,49675,0.0,5,A. Pato,alexandre-pato,São Paulo,0.0,Alexandre Pato,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,6,276,,,,,,,,,,,,,,,,,,,,
21,David Braz de Oliveira Filho,0.0,,9,4,5.45,50317,-1.03,3,D. Braz,david-braz,Fluminense,3.75,David Braz,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,6,266,,,,,,,,,,,3.0,,,,,,,,,
22,Alan Kardec de Sousa Pereira Júnior,0.0,,9,0,6.0,50347,0.0,5,A. Kardec,alan-kardec,Atlético-MG,0.0,Alan Kardec,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,6,282,,,,,,,,,,,,,,,,,,,,
23,Christian Chagas Tarouco,5.8,,9,8,8.03,50353,0.04,3,Titi,titi,Fortaleza,5.32,Titi,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,7,356,,13.0,7.0,1.0,1.0,8.0,,,,2.0,5.0,,,,,,,,,
24,Emerson Rodrigues Ávila,2.68,,9,9,6.31,50456,0.08,6,E. Ávila,emerson-avila,Goiás,3.51,Emerson Ávila,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dFLXQrB.png,7,290,,,,,,,,,,,,,,,,,,,2.0,
25,Henrique Adriano Buss,-1.0,,9,6,2.3,50856,-0.41,3,Henrique,henrique,Coritiba,0.33,Henrique,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,7,294,,3.0,6.0,1.0,,2.0,,,,2.0,,,,,,,,,,
26,Luiz Diallison de Souza Alves,-0.3,,9,5,4.67,51042,-0.23,2,Apodi,apodi,Goiás,2.08,Apodi,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,6,290,,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,
27,Walter Leandro Capeloza Artune,8.5,,9,9,6.08,51413,1.57,1,Walter,walter,Cuiabá,2.61,Walter,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,7,1371,,,,,,1.0,,,,1.0,2.0,,27.0,13.0,,,,,,
28,Giuliano Victor de Paula,-0.3,,9,7,2.31,51548,-0.15,4,Giuliano,giuliano,Corinthians,0.32,Giuliano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,6,264,,2.0,5.0,,1.0,3.0,,,,1.0,,,,,,,,,,
29,Everton Augusto de Barros Ribeiro,0.0,,9,5,10.66,51772,0.0,4,E. Ribeiro,everton-ribeiro,Flamengo,5.22,Everton Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,6,262,1.0,6.0,4.0,2.0,1.0,8.0,,1.0,1.0,,,,,,,,,,,
30,Réver Humberto Alves Araújo,5.0,,9,2,4.52,52253,0.1,3,Réver,rever,Atlético-MG,4.85,Réver,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,6,282,,,1.0,,,,,,,1.0,2.0,,,,,,,,,
31,David Luiz Moreira Marinho,2.3,,9,5,7.05,52827,-0.23,3,D. Luiz,david-luiz,Flamengo,5.18,David Luiz,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,7,262,1.0,6.0,7.0,1.0,2.0,2.0,,1.0,,1.0,1.0,,,,,,,,,
