,atletas.apelido,atletas.posicao_id,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.rodada_id,atletas.preco_num,atletas.status_id,A,CA,DS,FC,FD,FF,FS,G,I,PP,PC,SG,PS,CV,DE,DP,GC,GS,FT,V,PI
193,Rodrigo Pinho,5,0.0,,False,1.57,Coritiba,0.0,rodrigo-pinho,R. Pinho,86799,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vRioSFE.png,294,10,Rodrigo Cunha Pereira de Pinho,27,3.27,6,,2.0,3.0,8.0,4.0,5.0,10.0,,4.0,,,,,,,,,,1.0,,
194,Boschilia,4,0.0,,False,3.17,Coritiba,0.0,boschilia,Boschilia,86841,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_f9gTrC7.png,294,11,Gabriel Boschilia,27,5.85,6,1.0,1.0,8.0,6.0,5.0,7.0,7.0,1.0,,,,,,,,,,,,,
195,José Welison,4,-0.82,,True,3.38,Fortaleza,2.1,jose-welison,J. Welison,86859,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_Sq4MDcU.png,356,16,José Welison da Silva,27,4.08,7,2.0,6.0,26.0,24.0,2.0,10.0,15.0,1.0,1.0,,,,,,,,,,,,
196,Marlon,2,-0.59,,True,3.18,América-MG,1.3,marlon,Marlon,86864,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_hRhEq94.png,327,15,Marlon Matheus Lopes do Nascimento,27,5.3,6,1.0,1.0,26.0,10.0,,3.0,22.0,,,,,1.0,,,,,1.0,,,,
197,Léo Jardim,1,-0.55,,True,3.5,Vasco,10.0,leo-jardim,L. Jardim,87008,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_2NC7Cvz.png,267,26,Leonardo César Jardim,27,10.94,7,,2.0,,,,,2.0,,,,,5.0,,,98.0,1.0,,38.0,,,
198,Nathan,4,-0.12,,True,1.78,Grêmio,0.0,nathan,Nathan,87009,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,284,16,Nathan Allan de Souza,27,4.32,6,1.0,2.0,12.0,12.0,4.0,5.0,12.0,,1.0,,,,,,,,,,,,
199,Pedro Henrique,3,0.0,,False,3.65,Athlético-PR,0.0,pedro-henrique,P. Henrique,87225,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Pmz9ta0.png,293,11,Pedro Henrique Ribeiro Gonçalves,27,8.95,6,,3.0,10.0,14.0,1.0,5.0,5.0,1.0,2.0,,,4.0,,,,,,,,,
200,Guilherme Arana,2,0.35,,True,4.7,Atlético-MG,5.8,guilherme-arana,G. Arana,87228,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,282,17,Guilherme Antonio Arana Lopes,27,10.67,7,,1.0,24.0,11.0,3.0,8.0,17.0,,,,,8.0,,1.0,,,,,,,
201,Carlos de Pena,4,0.0,,False,2.75,Internacional,0.0,carlos-de-pena,C. Pena,87242,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8NTSnKt.png,285,19,Carlos María de Pena Bonino,27,8.17,6,,3.0,21.0,15.0,7.0,10.0,12.0,2.0,,,1.0,,,1.0,,,,,,,
202,Soteldo,5,-1.12,,True,4.66,Santos,0.8,soteldo,Soteldo,87258,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xCE9nv8.png,277,12,Yeferson Julio Soteldo Martínez,27,7.92,6,4.0,3.0,9.0,3.0,5.0,6.0,27.0,1.0,3.0,,,,,2.0,,,,,1.0,,
203,Kannemann,3,0.46,,True,3.85,Grêmio,4.1,kannemann,Kannemann,87342,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png,284,18,Walter Kannemann,27,8.41,7,1.0,9.0,40.0,32.0,3.0,2.0,16.0,,,,,5.0,,1.0,,,,,,,
204,Allano,5,-1.0,,True,3.27,Goiás,-0.7,allano,Allano,87391,https://s.sde.globo.com/media/person_role/2023/08/08/photo_FORMATO_tmBtY58.png,290,12,Allano Brendon de Souza Lima,27,4.56,7,,4.0,17.0,14.0,7.0,6.0,22.0,,2.0,,,,,,,,,,1.0,,
205,Messias,3,0.0,,False,2.65,Santos,0.0,messias,Messias,87402,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png,277,19,Messias Rodrigues da Silva Júnior,27,6.25,7,,2.0,21.0,16.0,2.0,2.0,8.0,,1.0,,1.0,5.0,,,,,,,,,
206,Thaciano,4,-0.44,,True,4.7,Bahia,3.5,thaciano,Thaciano,87470,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_dQGg2S1.png,265,25,Thaciano Mickael da Silva,27,11.49,7,3.0,1.0,34.0,25.0,9.0,24.0,21.0,3.0,5.0,,,,,,,,,,2.0,,
207,Vitor Bueno,4,-0.51,,True,4.26,Athlético-PR,1.8,vitor-bueno,V. Bueno,87552,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png,293,20,Vitor Frezarin Bueno,27,7.55,7,3.0,6.0,9.0,12.0,11.0,15.0,28.0,3.0,3.0,,,,,,,,,,2.0,,
208,Mateus Pasinato,1,0.0,,False,2.6,América-MG,0.0,mateus-pasinato,M. Pasinato,87603,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_Zcws9I1.png,327,10,Mateus Pasinato,27,3.03,6,,1.0,,,,,2.0,,,,,1.0,,,41.0,,,20.0,,,
209,Yago Felipe,4,0.85,,True,1.36,Bahia,6.3,yago-felipe,Y. Felipe,87747,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png,265,16,Yago Felipe da Costa Rocha,27,4.9,7,,4.0,18.0,22.0,1.0,4.0,13.0,,,,,,,,,,,,,,
210,Philipe Sampaio,3,-0.1,,True,2.43,Botafogo,0.0,philipe-sampaio,P. Sampaio,87808,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_E29teNI.png,263,9,Philipe Sampaio Azevedo,27,3.23,6,,2.0,6.0,6.0,,2.0,4.0,,1.0,,,3.0,,,,,,,,,
211,Mauricio Lemos,3,0.8,,True,4.63,Atlético-MG,6.4,mauricio-lemos,M. Lemos,87853,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,282,19,Paolo Mauricio Lemos Merladett,27,10.63,6,,8.0,26.0,20.0,6.0,6.0,12.0,1.0,2.0,,,9.0,,1.0,,,,,1.0,,
212,Arrascaeta,4,-0.18,,True,5.6,Flamengo,0.5,arrascaeta,Arrascaeta,87863,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_CaSgg7s.png,262,17,Giorgian Daniel de Arrascaeta Benedetti,27,12.72,2,5.0,3.0,15.0,18.0,4.0,9.0,20.0,4.0,3.0,,,,1.0,,,,,,2.0,,
213,Alan Empereur,3,-0.84,,True,2.61,Cuiabá,5.2,alan-empereur,A. Empereur,88033,https://s.sde.globo.com/media/person_role/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,1371,22,Alan Pereira Empereur,27,5.41,7,1.0,6.0,12.0,9.0,3.0,4.0,10.0,1.0,,,,6.0,,,,,1.0,,,,
214,Jorge,2,0.0,,False,0.0,Fluminense,0.0,jorge,Jorge,88065,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_Rnoad6D.png,266,0,Jorge Marco de Oliveira Moraes,27,4.0,5,,,,,,,,,,,,,,,,,,,,,
215,Ivan,1,0.0,,False,0.0,Vasco,0.0,ivan,Ivan,88136,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_qStnmUz.png,267,0,Ivan Quaresma da Silva,27,5.0,6,,,,,,,,,,,,,,,,,,,,,
216,Aguerre,1,0.0,,False,-1.25,América-MG,0.0,aguerre,Aguerre,88237,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_HgqxxNH.png,327,2,Washington Omar Aguerre Lima,27,1.45,6,,1.0,,,,,1.0,,,,,,,,2.0,,,4.0,,,
217,Ángel Romero,5,0.41,,True,2.19,Corinthians,2.6,angel-romero,Ã. Romero,88323,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_CufTSrv.png,264,12,Ángel Rodrigo Romero Villamayor,27,3.38,6,1.0,1.0,6.0,4.0,1.0,2.0,11.0,1.0,,,,,,,,,,,,,
218,Gabriel Dias,2,0.0,,False,4.0,Vasco,0.0,gabriel-dias,G. Dias,88368,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_SmDR7cT.png,267,1,Gabriel Dias de Oliveira,27,2.89,6,,1.0,,,,,,,,,,1.0,,,,,,,,,
219,Ayrton Lucas,2,1.52,,True,5.78,Flamengo,13.9,ayrton-lucas,A. Lucas,88393,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png,262,24,Ayrton Lucas Dantas de Medeiros,27,16.23,7,1.0,6.0,36.0,31.0,5.0,5.0,36.0,4.0,,,,9.0,1.0,,,,,,,,
220,Aderlan,2,0.48,,True,4.36,Bragantino,3.9,aderlan,Aderlan,88423,https://s.sde.globo.com/media/person_role/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,280,18,Aderlan de Lima Silva,27,8.81,7,1.0,5.0,34.0,27.0,,4.0,7.0,,,,1.0,8.0,,1.0,,,,,1.0,,
221,Lucas Crispim,4,0.0,,False,1.25,Fortaleza,0.0,lucas-crispim,L. Crispim,88597,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_EvxhSX5.png,356,9,Lucas de Figueiredo Crispim,27,4.08,6,,,3.0,3.0,1.0,3.0,4.0,,,,,,,,,,,,1.0,,
222,Slimani,5,-0.93,,True,7.16,Coritiba,4.0,slimani,Slimani,88744,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_yTHJHMX.png,294,5,Islam Slimani,27,10.18,7,1.0,,2.0,7.0,6.0,6.0,6.0,2.0,5.0,,,,,,,,,,,,
223,Marcelino Moreno,4,-1.57,,True,4.32,Coritiba,2.1,marcelino-moreno,M. Moreno,88857,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_gNmfi9P.png,294,21,Damián Marcelino Moreno,27,6.13,7,4.0,3.0,20.0,11.0,10.0,6.0,53.0,1.0,3.0,,1.0,,,,,,,,1.0,,
224,Luan Polli,1,0.0,,False,0.88,Coritiba,0.0,luan-polli,L. Polli,88916,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_BtY3LFq.png,294,4,Luan Polli Gomes,27,2.51,5,,2.0,,,,,1.0,,,,,,,,12.0,,,7.0,,,
225,Iago Maidana,3,0.7,,True,1.04,América-MG,3.7,iago-maidana,I. Maidana,89226,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_CEXnMRV.png,327,22,Iago Justen Maidana Martins,27,2.68,7,,5.0,16.0,25.0,4.0,7.0,4.0,,1.0,,1.0,1.0,,,,,,,,,
226,Gerson,4,-0.87,,True,4.72,Flamengo,3.0,gerson,Gerson,89256,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png,262,22,Gerson Santos da Silva,27,11.01,7,5.0,3.0,19.0,34.0,4.0,6.0,56.0,4.0,4.0,,1.0,,1.0,,,,,,,,
227,João Pedro,2,-1.5,,True,3.79,Grêmio,0.0,joao-pedro,J. Pedro,89273,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ux7O1sm.png,284,21,João Pedro Maturano dos Santos,27,10.42,7,1.0,1.0,20.0,12.0,,2.0,15.0,3.0,,,,5.0,,,,,1.0,,,,
228,William,2,0.0,,False,5.07,Cruzeiro,0.0,william,William,89275,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png,283,22,Willian de Asevedo Furtado,27,10.15,6,1.0,4.0,41.0,27.0,2.0,8.0,32.0,,1.0,,,9.0,,,,,,,,,
229,Igor Rabello,3,0.0,,False,3.94,Atlético-MG,0.0,igor-rabello,I. Rabello,89493,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,282,5,Igor Rabello da Costa,27,5.23,6,,1.0,10.0,6.0,,,1.0,,,,,2.0,,,,,,,,,
230,Thiago Maia,4,-0.91,,True,1.69,Flamengo,-0.2,thiago-maia,T. Maia,89637,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png,262,24,Thiago Maia Alencar,27,5.67,7,,5.0,41.0,26.0,,3.0,5.0,,,,1.0,,,,,,,,,,
231,Calleri,5,0.0,,False,6.47,São Paulo,0.0,calleri,Calleri,89840,https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,276,18,Jonathan Calleri,27,16.64,5,2.0,5.0,4.0,37.0,10.0,13.0,33.0,9.0,14.0,,,,2.0,,,,,,2.0,,
232,Cristaldo,4,0.13,,True,5.03,Grêmio,2.2,cristaldo,Cristaldo,89846,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png,284,22,Franco Cristaldo,27,10.93,7,3.0,,23.0,7.0,10.0,7.0,30.0,5.0,4.0,1.0,,,2.0,,,,,,,,
233,Dodi,4,0.09,,True,1.93,Santos,0.8,dodi,Dodi,89883,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png,277,22,Douglas Moreira Fagundes,27,4.39,2,,8.0,31.0,34.0,3.0,4.0,33.0,,,,,,,,,,,,,,
234,Everton Galdino,5,-0.05,,True,2.33,Grêmio,0.0,everton-galdino,E. Galdino,89918,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png,284,17,Everton Galdino Moreira,27,4.77,6,1.0,2.0,6.0,5.0,6.0,6.0,6.0,2.0,,,,,,,,,,,,,
235,Mendoza,5,0.38,,True,5.82,Santos,5.0,mendoza,Mendoza,90031,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_fdX9HMF.png,277,18,John Stiven Mendoza Valencia,27,12.94,6,2.0,4.0,14.0,19.0,7.0,16.0,45.0,5.0,2.0,,,,1.0,,,,,,1.0,,
236,Bruno Pacheco,2,0.0,,False,6.61,Fortaleza,0.0,bruno-pacheco,B. Pacheco,90061,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_PYjs4Li.png,356,22,Bruno de Jesus Pacheco,27,12.77,7,3.0,2.0,44.0,39.0,3.0,9.0,39.0,2.0,,,,9.0,,,,,,,,,
237,Edu,5,0.02,,True,2.25,Coritiba,0.8,edu,Edu,90120,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_o4zQHNu.png,294,6,Eduardo Nascimento da Silva Júnior,27,4.44,6,,,1.0,1.0,2.0,3.0,,1.0,2.0,,,,,,,,,,,,
238,Raí Ramos,2,0.0,,False,3.16,São Paulo,0.0,rai-ramos,R. Ramos,90232,https://s.sde.globo.com/media/person_role/2023/04/15/photo_FORMATO_p3UWrBW.png,276,5,Raí dos Reis Ramos,27,4.51,6,,2.0,4.0,5.0,2.0,2.0,1.0,,,,,2.0,,,,,,,,,
239,Bruno Henrique,5,0.19,,True,2.92,Flamengo,3.4,bruno-henrique,B. Henrique,90285,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PsLr2Kh.png,262,20,Bruno Henrique Pinto,27,6.44,7,,5.0,14.0,19.0,11.0,10.0,30.0,2.0,8.0,,,,1.0,,,,,,,,
240,Jailson,4,0.0,,False,1.28,Palmeiras,0.0,jailson,Jailson,90290,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_borikKg.png,275,5,Jaílson Marques Siqueira,27,3.69,6,,,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
241,Pedro Rocha,5,0.0,,False,0.0,Fortaleza,0.0,pedro-rocha,P. Rocha,90302,https://s.sde.globo.com/media/person_role/2022/09/28/photo_FORMATO_wjBokpm.png,356,0,Pedro Rocha Neves,27,5.0,6,,,,,,,,,,,,,,,,,,,,,
242,David,5,0.59,,True,2.74,São Paulo,3.7,david,David,90309,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_zc5jjjt.png,276,13,David Correa da Fonseca,27,4.32,6,2.0,4.0,5.0,13.0,3.0,5.0,9.0,2.0,6.0,,,,,,,,,,,,
243,Rezende,4,0.26,,True,3.5,Bahia,4.8,rezende,Rezende,90449,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png,265,23,Júlio César Rezende de Miranda,27,7.45,3,2.0,6.0,57.0,45.0,2.0,7.0,19.0,1.0,,,1.0,,,1.0,,,,,,,
244,Diego Gonçalves,5,0.0,,False,0.96,Goiás,0.0,diego-goncalves,D. Gonçalves,90540,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_eh2bZ7u.png,290,10,Diego Gonçalves,27,1.86,6,,1.0,3.0,7.0,2.0,3.0,9.0,,1.0,,,,,,,,,,,,
245,Mateus Claus,1,0.0,,False,-1.0,Bahia,0.0,mateus-claus,M. Claus,90590,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_UPFwDzZ.png,265,1,Mateus Eduardo Claus,27,1.95,6,,,,,,,,,,,,,,,1.0,,,2.0,,,
246,Lucas Mineiro,4,0.22,,True,0.42,Cuiabá,1.1,lucas-mineiro,L. Mineiro,90634,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_AlOmB6m.png,1371,9,Lucas da Silva Izidoro,27,2.55,7,,3.0,5.0,12.0,,1.0,7.0,,,,,,,,,,,,,,
247,Fabrício Bruno,3,0.78,,True,3.32,Flamengo,5.5,fabricio-bruno,F. Bruno,90768,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_zrQ4flU.png,262,24,Fabrício Bruno Soares de Faria,27,9.29,7,1.0,5.0,22.0,10.0,2.0,2.0,14.0,,,,,9.0,,,,,,,,,
248,Everaldo,5,0.0,,False,4.01,América-MG,0.0,everaldo,Everaldo,91151,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_5VgdyWf.png,327,15,Everaldo Silva do Nascimento,27,8.75,6,3.0,5.0,17.0,14.0,3.0,6.0,24.0,1.0,5.0,,,,,,,,,,2.0,,
249,PK,2,0.0,,False,1.7,Cuiabá,0.0,pk,PK,91190,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_kfJYHxI.png,1371,8,Ítaro Patric Cardoso Calmon,27,3.47,6,,1.0,10.0,10.0,,2.0,4.0,,,,,1.0,,1.0,,,,,,,
250,Éder,3,0.0,,False,0.85,América-MG,0.0,eder,Éder,91203,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ELJqlLk.png,327,15,Éder Ferreira Graminho,27,2.28,6,,4.0,18.0,17.0,1.0,1.0,3.0,,3.0,,,,,1.0,,,,,,,
251,Carballo,4,0.0,,False,2.37,Grêmio,0.0,carballo,Carballo,91254,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NYg6Ymv.png,284,15,Felipe Ignacio Carballo Ares,27,4.07,7,,1.0,18.0,11.0,2.0,6.0,6.0,1.0,,,,,,,,,,,,,
252,Lucas Perri,1,-0.71,,True,6.09,Botafogo,5.0,lucas-perri,L. Perri,91260,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_83wBpb6.png,263,27,Lucas Estella Perri,27,12.57,7,,1.0,,,,,3.0,,,,,14.0,,,110.0,,,16.0,,,
253,Marcelo Fernandes,6,0.15,,True,5.41,Santos,4.71,marcelo-fernandes,M. Fernandes,91274,https://s.sde.globo.com/media/person_role/2021/04/27/7f50feb3c2bff8d96ced4bd8a038efad_220x220.png,277,3,Marcelo Faria Fernandes,27,9.02,7,,,,,,,,,,,,,,,,,,,,2.0,
254,Erick Pulgar,4,0.14,,True,3.01,Flamengo,3.2,erick-pulgar,E. Pulgar,91473,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_xuM4Nls.png,262,16,Erick Antonio Pulgar Farfán,27,4.5,7,,5.0,25.0,32.0,3.0,5.0,7.0,2.0,3.0,,,,,,,,,,2.0,,
255,Arboleda,3,0.0,,False,4.73,São Paulo,0.0,arboleda,Arboleda,91573,https://s.sde.globo.com/media/person_role/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png,276,13,Robert Abel Arboleda Escobar,27,8.16,5,,,19.0,3.0,3.0,3.0,8.0,,4.0,,,6.0,,1.0,,,,,1.0,,
256,Rony,5,-1.01,,True,3.2,Palmeiras,-1.6,rony,Rony,91607,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_eJOedW8.png,275,22,Ronielson da Silva Barbosa,27,8.56,7,,2.0,8.0,19.0,11.0,11.0,27.0,4.0,19.0,,,,,,,,,,1.0,,
257,Adryelson,3,0.04,,True,4.38,Botafogo,5.9,adryelson,Adryelson,91664,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_3WVFnva.png,263,26,Adryelson Shawann Lima Silva,27,8.09,7,1.0,5.0,23.0,14.0,4.0,2.0,12.0,1.0,,,,14.0,,,,,,,,,
258,Matheus Jussa,4,0.32,,True,1.41,Cruzeiro,2.4,matheus-jussa,M. Jussa,91689,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vMaiFUT.png,283,19,Matheus Isaías dos Santos,27,2.61,7,,6.0,21.0,36.0,3.0,6.0,4.0,1.0,,,,,,,,,,,,,
259,Marlon,2,-0.48,,True,7.87,Cruzeiro,3.7,marlon,Marlon,91706,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_vrVAWB7.png,283,25,Marlon Rodrigues Xavier,27,16.92,3,2.0,6.0,97.0,27.0,5.0,9.0,20.0,2.0,1.0,,,9.0,,,,,,,,,
260,Nino,3,0.0,,False,3.48,Fluminense,0.0,nino,Nino,91708,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_U5c1E7V.png,266,21,Marcílio Florêncio Mota Filho,27,10.76,5,,4.0,9.0,22.0,3.0,3.0,22.0,2.0,,,,8.0,,1.0,,,,,1.0,,
261,Matheus Alves,1,0.0,,False,0.0,Goiás,0.0,matheus-alves,M. Alves,91712,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_voSytVs.png,290,0,Matheus Alves da Silva Cardoso,27,2.0,6,,,,,,,,,,,,,,,,,,,,,
262,David Duarte,3,0.0,,False,3.6,Bahia,0.0,david-duarte,D. Duarte,91772,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0ibQkD2.png,265,8,David de Duarte Macedo,27,5.2,6,,1.0,6.0,4.0,,1.0,4.0,1.0,,,,2.0,,,,,,,1.0,,
263,Hayner,2,0.0,,False,3.12,Coritiba,0.0,hayner,Hayner,91856,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uNyULXz.png,294,4,Hayner Willian Monjardim Cordeiro,27,3.75,6,1.0,2.0,3.0,7.0,,,6.0,,,,,1.0,,,,,,,,,
264,Zé Ivaldo,3,0.0,,False,2.61,Athlético-PR,0.0,ze-ivaldo,Z. Ivaldo,91866,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ZOxQ99E.png,293,14,José Ivaldo Almeida Silva,27,4.69,6,,2.0,14.0,19.0,1.0,1.0,9.0,,1.0,,1.0,5.0,,1.0,,,,,,,
265,Pavón,5,-0.26,,True,4.65,Atlético-MG,0.4,pavon,Pavón,91908,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_U1jXQaU.png,282,24,Cristian David Pavón,27,8.66,7,4.0,6.0,30.0,18.0,13.0,18.0,22.0,3.0,10.0,,,,,,,,,,1.0,,
266,Wesley Carvalho,6,0.55,,True,5.33,Athlético-PR,7.22,wesley-carvalho,W. Carvalho,91971,https://s.sde.globo.com/media/person_role/2022/05/05/21d7b4d24237a06ec8872f1ff041e713_FORMATO.png,293,16,Wesley Oliveira de Carvalho,27,12.04,7,,,,,,,,,,,,,,,,,,,,6.0,
267,Ramón Díaz,6,0.77,,True,5.38,Vasco,8.8,ramon-diaz,R. Díaz,92075,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,267,12,Ramón Ángel Díaz,27,10.26,7,,,,,,,,,,,,,,,,,,,,5.0,
268,Caíque,1,0.0,,False,8.0,Grêmio,0.0,caique,Caíque,92207,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_bq0AF4S.png,284,1,Caíque Luiz Santos da Purificação,27,4.18,6,,,,,,,,,,,,1.0,,,3.0,,,,,,
269,Rodrigo Ely,3,0.0,,False,2.43,Grêmio,0.0,rodrigo-ely,R. Ely,92237,https://s.sde.globo.com/media/person_role/2023/08/03/photo_220x220_mGnJe3Z.png,284,6,Rodrigo Ely,27,4.6,6,,3.0,2.0,6.0,,,4.0,,,,,3.0,,,,,,,,,
270,Raul,4,0.07,,True,-0.4,Bragantino,0.0,raul,Raul,92496,https://s.sde.globo.com/media/person_role/2022/05/05/278a2f0c3cd97ace8138ffbe2f23d81d_FORMATO.png,280,2,Raul Lô Gonçalves,27,3.63,6,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
271,Renato Kayzer,5,0.07,,True,1.45,América-MG,2.8,renato-kayzer,R. Kayzer,92696,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_NWhDcn5.png,327,2,Renato Kayzer de Souza,27,3.79,5,,,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,
272,Deyverson,5,0.52,,True,5.84,Cuiabá,9.8,deyverson,Deyverson,92708,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_AvLd8xm.png,1371,24,Deyverson Brum Silva Acosta,27,9.78,7,2.0,4.0,7.0,25.0,15.0,15.0,45.0,10.0,22.0,1.0,,,1.0,,,,,,2.0,,
273,Bruno Rodrigues,5,0.62,,True,4.99,Cruzeiro,3.9,bruno-rodrigues,B. Rodrigues,92811,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_xfgmkoy.png,283,24,Bruno Rafael Rodrigues do Nascimento,27,12.21,7,3.0,3.0,22.0,16.0,14.0,25.0,38.0,4.0,16.0,1.0,,,1.0,,,,,,1.0,,
274,Palacios,2,-0.43,,True,2.09,Cruzeiro,0.2,palacios,Palacios,92855,https://s.sde.globo.com/media/person_role/2023/07/05/photo_FORMATO.png,283,7,Helibelton Palacios Zapata,27,3.38,3,,3.0,9.0,20.0,,1.0,4.0,,,,,2.0,,,,,,,,,
275,Mateus Vital,4,-0.8,,True,2.49,Cruzeiro,0.8,mateus-vital,M. Vital,93108,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CifS8My.png,283,23,Mateus da Silva Vital Assumpção,27,6.22,6,1.0,,18.0,14.0,9.0,15.0,19.0,,1.0,,,,,,,,,,1.0,,
276,Rafael Ramos,2,0.0,,False,0.0,Corinthians,0.0,rafael-ramos,R. Ramos,93236,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Tdjz7Nn.png,264,0,Rafael António Figueiredo Ramos,27,4.0,6,,,,,,,,,,,,,,,,,,,,,
277,Lucas Veríssimo,3,0.0,,False,3.66,Corinthians,0.0,lucas-verissimo,L. Veríssimo,93368,https://s.sde.globo.com/media/person_role/2023/08/18/photo_FORMATO_LvuX4b4.png,264,5,Lucas Veríssimo da Silva,27,8.6,7,,3.0,8.0,10.0,2.0,2.0,2.0,,3.0,,,2.0,,,,,,,,,
