,atletas.apelido,atletas.posicao_id,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.rodada_id,atletas.preco_num,atletas.status_id,A,CA,DS,FC,FD,FF,FS,G,I,PP,PC,SG,PS,CV,DE,DP,GC,GS,FT,V,PI
10,Filipe Luís,2,0.0,,False,2.85,Flamengo,0.0,filipe-luis,F. Luís,38750,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,262,6,Filipe Luís Kasmirski,27,5.66,6,,2.0,6.0,3.0,,1.0,6.0,,,,1.0,2.0,,,,,,,,,
11,Mariano,2,0.0,,False,3.5,Atlético-MG,0.0,mariano,Mariano,38877,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,282,19,Mariano Ferreira Filho,27,6.82,7,1.0,5.0,30.0,26.0,1.0,,4.0,,,,,7.0,,,,,,,,,
12,Hulk,5,0.86,,True,8.58,Atlético-MG,14.1,hulk,Hulk,39148,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,282,24,Givanildo Vieira de Souza,27,19.38,7,6.0,6.0,9.0,41.0,28.0,34.0,80.0,10.0,11.0,,,,1.0,1.0,,,,,2.0,,
13,Alan Franco,4,0.2,,True,1.39,Atlético-MG,2.3,alan-franco,A. Franco,39656,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,282,8,Alan Steven Franco Palma,27,3.52,2,,2.0,10.0,12.0,1.0,,1.0,,,,,,,,,,,,1.0,,
14,Dorival Júnior,6,-0.51,,True,4.76,São Paulo,1.76,dorival-junior,D. Júnior,40990,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,276,25,Dorival Silvestre Júnior,27,10.93,7,,,,,,,,,,,,,,,,,,,,8.0,
15,Renato Gaúcho,6,0.05,,True,5.21,Grêmio,3.24,renato-gaucho,R. Gaúcho,41929,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,284,26,Renato Portaluppi,27,12.71,7,,,,,,,,,,,,,,,,,,,,13.0,
16,Willian,5,0.0,,False,2.28,Athlético-PR,0.0,willian,Willian,42116,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,293,9,Willian Gomes de Siqueira,27,4.46,6,,,2.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,
17,Cássio,1,-0.12,,True,3.65,Corinthians,4.0,cassio,Cássio,42234,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,264,26,Cássio Roberto Ramos,27,8.32,7,,2.0,,,,,5.0,,,,1.0,6.0,,,96.0,,,31.0,,,
18,Fagner,2,0.23,,True,3.63,Corinthians,2.2,fagner,Fagner,42500,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,264,19,Fagner Conserva Lemos,27,7.68,6,1.0,7.0,25.0,14.0,1.0,3.0,27.0,,,,,5.0,,,,,,,1.0,,
19,Luiz Felipe Scolari,6,0.96,,True,5.38,Atlético-MG,8.8,luiz-felipe-scolari,L. Scolari,43618,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,282,17,Luiz Felipe Scolari,27,11.72,7,,,,,,,,,,,,,,,,,,,,7.0,
20,Tite,6,0.73,,True,7.49,Flamengo,7.49,tite,Tite,45125,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,262,1,Adenor Leonardo Bachi,27,10.61,7,,,,,,,,,,,,,,,,,,,,1.0,
21,Alexandre Pato,5,0.0,,False,1.95,São Paulo,0.0,alexandre-pato,A. Pato,49675,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,276,9,Alexandre Rodrigues da Silva,27,3.98,6,,,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,,,,,,,,,,,
22,David Braz,3,0.0,,False,3.07,Fluminense,0.0,david-braz,D. Braz,50317,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,266,13,David Braz de Oliveira Filho,27,5.53,7,,1.0,6.0,8.0,1.0,3.0,5.0,,,,,6.0,,,,,,,,,
23,Alan Kardec,5,0.0,,False,0.91,Atlético-MG,0.0,alan-kardec,A. Kardec,50347,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,282,11,Alan Kardec de Sousa Pereira Júnior,27,4.02,6,,1.0,1.0,6.0,,3.0,3.0,1.0,3.0,,,,,,,,,,,,
24,Titi,3,0.5,,True,3.57,Fortaleza,3.3,titi,Titi,50353,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,356,23,Christian Chagas Tarouco,27,7.89,7,1.0,8.0,35.0,26.0,1.0,3.0,21.0,,1.0,,3.0,8.0,,,,,,,,,
25,Henrique,3,0.0,,False,1.44,Coritiba,0.0,henrique,Henrique,50856,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,294,16,Henrique Adriano Buss,27,2.8,7,,5.0,11.0,15.0,2.0,1.0,2.0,,,,,3.0,,,,,,,,,
26,Apodi,2,0.0,,False,2.21,Goiás,0.0,apodi,Apodi,51042,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,290,10,Luiz Diallison de Souza Alves,27,4.53,6,,1.0,3.0,6.0,5.0,1.0,2.0,1.0,5.0,,,1.0,1.0,,,,,,,,
27,Walter,1,0.26,,True,3.12,Cuiabá,8.0,walter,Walter,51413,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,1371,25,Walter Leandro Capeloza Artune,27,7.11,7,,2.0,,,,,2.0,,,,1.0,7.0,,,73.0,,,28.0,,,
28,Giuliano,4,-0.23,,True,0.9,Corinthians,0.2,giuliano,Giuliano,51548,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,264,19,Giuliano Victor de Paula,27,2.46,6,,1.0,10.0,11.0,2.0,2.0,11.0,,,,,,,,,,,,,,
29,Everton Ribeiro,4,-1.44,,True,3.4,Flamengo,1.9,everton-ribeiro,E. Ribeiro,51772,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,262,22,Everton Augusto de Barros Ribeiro,27,8.82,2,3.0,2.0,18.0,14.0,5.0,5.0,33.0,2.0,1.0,,1.0,,,,,,,,1.0,,
30,Réver,3,0.0,,False,4.2,Atlético-MG,0.0,rever,Réver,52253,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,282,6,Réver Humberto Alves Araújo,27,4.77,6,,1.0,,1.0,,,1.0,,,,,5.0,,,,,,,,,
31,David Luiz,3,0.61,,True,3.5,Flamengo,4.7,david-luiz,D. Luiz,52827,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,262,15,David Luiz Moreira Marinho,27,7.06,5,1.0,1.0,12.0,15.0,2.0,2.0,3.0,1.0,,,,5.0,,,,,,,,,
32,Alex Teixeira,4,0.0,,False,2.56,Vasco,0.0,alex-teixeira,A. Teixeira,60793,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,267,16,Alex Teixeira Santos,27,5.79,6,3.0,1.0,7.0,21.0,6.0,10.0,21.0,,8.0,,,,,,,,,,,,
33,Felipe Azevedo,5,-0.31,,True,3.84,América-MG,5.5,felipe-azevedo,F. Azevedo,60825,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,327,19,Felipe Azevedo dos Santos,27,6.18,7,1.0,2.0,12.0,19.0,8.0,9.0,20.0,4.0,4.0,,,,,,,,,,1.0,,
34,Uendel,2,0.0,,False,2.3,Cuiabá,0.0,uendel,Uendel,60852,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,1371,4,Uendel Pereira Gonçalves,27,3.66,6,,1.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,
35,Cicinho,2,0.0,,False,3.63,Bahia,0.0,cicinho,Cicinho,61106,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,265,9,Neuciano de Jesus Gusmão,27,3.77,6,,3.0,13.0,19.0,2.0,1.0,9.0,,,,,3.0,,,,,,,1.0,,
36,Gilberto,5,0.0,,False,2.8,Cruzeiro,0.0,gilberto,Gilberto,61188,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,283,20,Gilberto Oliveira Souza Júnior,27,7.86,6,1.0,4.0,8.0,20.0,6.0,19.0,11.0,3.0,4.0,,,,,,,,,,,,
37,Ganso,4,0.82,,True,4.1,Fluminense,6.9,ganso,Ganso,62977,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,266,19,Paulo Henrique Chagas de Lima,27,10.98,7,4.0,2.0,15.0,13.0,3.0,5.0,28.0,3.0,1.0,,,,,,,,,,,,
38,Júnior Caiçara,2,0.0,,False,1.2,Santos,0.0,junior-caicara,J. Caiçara,63011,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,277,2,Uilson de Souza Paula Júnior,27,2.74,6,,1.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,,
39,Marcos Rocha,2,0.0,,False,4.28,Palmeiras,0.0,marcos-rocha,M. Rocha,63013,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,275,11,Marcos Luis Rocha Aquino,27,5.42,6,,1.0,20.0,13.0,,,8.0,,,,1.0,5.0,,,,,,,,,
40,Fransérgio,4,0.0,,False,1.41,Coritiba,0.0,fransergio,Fransérgio,63024,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,294,11,Fransérgio Rodrigues Barbosa,27,3.83,6,,,7.0,5.0,1.0,5.0,7.0,,1.0,,,,,,,,,,,,
41,Willian Farias,4,0.33,,True,1.18,Coritiba,2.1,willian-farias,W. Farias,63058,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,294,7,Willian Roberto Farias,27,3.19,7,,2.0,7.0,9.0,,2.0,6.0,,,,,,,,,,,,,,
42,Edenílson,4,0.0,,False,1.87,Atlético-MG,0.0,edenilson,Edenílson,63289,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,282,20,Edenílson Andrade dos Santos,27,5.15,6,2.0,,19.0,14.0,2.0,1.0,11.0,,,,,,,,,,,,,,
43,Rodrigo Moledo,3,0.0,,False,1.26,Internacional,0.0,rodrigo-moledo,R. Moledo,63354,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,285,7,Rodrigo Modesto da Silva Moledo,27,2.82,3,,3.0,4.0,2.0,1.0,,3.0,,1.0,,,1.0,,,,,,,,,
44,Alan Patrick,4,-1.18,,True,2.64,Internacional,2.5,alan-patrick,A. Patrick,68685,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,285,24,Alan Patrick Lourenço,27,8.4,7,3.0,4.0,11.0,18.0,4.0,12.0,39.0,1.0,3.0,,,,,,,,,,1.0,,
45,Eduardo,4,0.19,,True,4.37,Botafogo,6.0,eduardo,Eduardo,68708,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,263,24,Carlos Eduardo de Oliveira Alves,27,12.93,7,5.0,4.0,15.0,27.0,7.0,9.0,41.0,4.0,,,,,,,,,,,2.0,,
46,Dodô,2,0.19,,True,1.98,Santos,4.5,dodo,Dodô,68727,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,277,12,José Rodolfo Pires Ribeiro,27,4.21,6,1.0,3.0,16.0,7.0,,2.0,7.0,,3.0,,,,,,,,,,,,
47,Camacho,4,0.0,,False,0.63,Santos,0.0,camacho,Camacho,68770,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,277,10,Guilherme de Aguiar Camacho,27,1.79,6,,3.0,14.0,18.0,,,2.0,,1.0,,,,,1.0,,,,,,,
48,Marcelo Lomba,1,0.0,,False,4.83,Palmeiras,0.0,marcelo-lomba,M. Lomba,68872,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,275,3,Marcelo Lomba do Nascimento,27,6.17,6,,,,,,,1.0,,,,,1.0,,,12.0,,,3.0,,,
49,Wellington Silva,5,0.0,,False,2.84,Cuiabá,0.0,wellington-silva,W. Silva,68895,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,1371,22,Wellington Alves da Silva,27,4.96,6,1.0,1.0,22.0,11.0,5.0,6.0,33.0,1.0,2.0,,,,,,,,,,,,
50,Vinicius,5,-0.09,,True,2.67,Goiás,0.5,vinicius,Vinicius,68917,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,290,16,Vinicius Santos Silva,27,6.43,6,1.0,1.0,15.0,10.0,6.0,11.0,10.0,,3.0,,,,,,,,,,1.0,,
51,Dudu,5,0.0,,False,6.04,Palmeiras,0.0,dudu,Dudu,68920,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,275,14,Eduardo Pereira Rodrigues,27,14.16,5,3.0,,7.0,9.0,7.0,11.0,40.0,3.0,3.0,,,,,,,,,,1.0,,
52,Gil,3,-0.23,,True,3.22,Corinthians,0.0,gil,Gil,68923,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,264,23,Carlos Gilberto do Nascimento Silva,27,5.52,7,,7.0,23.0,21.0,5.0,6.0,6.0,2.0,4.0,,,6.0,,,,,,,,,
53,Rafael,1,-1.42,,True,2.83,São Paulo,-2.0,rafael,Rafael,68928,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,276,22,Rafael Pires Monteiro,27,6.7,7,,,1.0,,,,2.0,,,,,6.0,,,55.0,,,25.0,,,
54,Rafael Cabral,1,-1.23,,True,3.86,Cruzeiro,-2.0,rafael-cabral,R. Cabral,68940,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,283,25,Rafael Cabral Barbosa,27,9.43,7,,3.0,1.0,,,,4.0,,,,1.0,9.0,,,76.0,,,24.0,,,
55,Luciano Castán,3,-1.41,,True,3.26,Cruzeiro,0.0,luciano-castan,L. Castán,68942,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,283,24,Luciano Castán da Silva,27,6.23,7,,6.0,15.0,18.0,6.0,6.0,14.0,1.0,1.0,,,9.0,,,,,,,,,
56,Marinho,5,-0.64,,True,3.18,Fortaleza,1.2,marinho,Marinho,68952,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,356,15,Mário Sérgio Santos Costa,27,3.74,5,1.0,5.0,10.0,17.0,7.0,8.0,39.0,1.0,5.0,1.0,,,3.0,,,,,,,,
57,Lucas Sasha,4,0.0,,False,3.28,Fortaleza,0.0,lucas-sasha,L. Sasha,68991,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,356,13,Lucas Pacheco Affini,27,6.87,6,,2.0,34.0,19.0,1.0,3.0,12.0,,1.0,,,,,,,,,,,,
58,João Carlos,1,0.0,,False,0.0,Cuiabá,0.0,joao-carlos,J. Carlos,69010,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,1371,0,João Carlos Heidemann,27,3.0,6,,,,,,,,,,,,,,,,,,,,,
59,Santos,1,0.0,,False,3.25,Flamengo,0.0,santos,Santos,69012,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,262,6,Aderbar Melo dos Santos Neto,27,9.47,6,,,,,,,1.0,,,,,2.0,,,17.0,,,8.0,,,
60,Manoel,3,0.0,,False,1.97,Fluminense,0.0,manoel,Manoel,69014,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,266,6,Manoel Messias Silva Carvalho,27,5.19,3,,1.0,3.0,1.0,,,1.0,,,,1.0,2.0,,,,,,,,,
61,Marcelo Cirino,5,0.0,,False,0.6,Athlético-PR,0.0,marcelo-cirino,M. Cirino,69022,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,293,4,Marcelo Cirino da Silva,27,3.44,6,,1.0,2.0,2.0,,1.0,2.0,,2.0,,,,,,,,,,,,
62,Paulinho,4,0.0,,False,2.1,Corinthians,0.0,paulinho,Paulinho,69034,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,264,4,José Paulo Bezerra Maciel Júnior,27,4.5,5,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
63,Vladimir,1,0.0,,False,1.5,Santos,0.0,vladimir,Vladimir,69040,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,277,2,Vladimir Orlando Cardoso de Araújo Filho,27,3.05,7,,,,,,,,,,,,,,1.0,9.0,,,6.0,,,
64,Danilo Fernandes,1,0.0,,False,7.0,Bahia,0.0,danilo-fernandes,D. Fernandes,69051,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,265,1,Danilo Fernandes Batista,27,4.64,6,,1.0,,,,,,,,,,,,,7.0,,,,,,
65,James Rodríguez,4,0.0,,False,2.33,São Paulo,0.0,james-rodriguez,J. Rodríguez,69063,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,276,6,James David Rodríguez Rubio,27,9.7,6,,,4.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,1.0,,
66,Vargas,5,0.0,,False,1.24,Atlético-MG,0.0,vargas,Vargas,69102,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,282,12,Eduardo Jesús Vargas Rojas,27,4.1,5,,3.0,4.0,7.0,2.0,2.0,4.0,1.0,,,,,1.0,,,,,,,,
67,Pablo,5,-1.27,,True,4.21,Athlético-PR,1.1,pablo,Pablo,69138,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,293,19,Pablo Felipe Teixeira,27,10.24,7,2.0,3.0,14.0,17.0,6.0,14.0,17.0,4.0,8.0,,,,,,,,,,1.0,,
68,Pablo,3,-0.4,,True,3.52,Flamengo,5.0,pablo,Pablo,69165,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,262,5,Pablo Nascimento Castro,27,4.5,6,,,3.0,5.0,,,1.0,,,,,3.0,,,,,,,,,
69,Sidimar,3,0.81,,True,1.96,Goiás,4.9,sidimar,Sidimar,69189,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,290,13,Sidimar Fernando Cigolini,27,3.07,7,,2.0,6.0,8.0,1.0,2.0,6.0,,1.0,,,4.0,,,,,1.0,,,,
70,Luis Suárez,5,-0.18,,True,8.6,Grêmio,7.5,luis-suarez,L. Suárez,69318,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,284,22,Luis Alberto Suárez Díaz,27,16.46,7,7.0,5.0,10.0,22.0,23.0,29.0,53.0,8.0,21.0,1.0,,,,,,,,,6.0,,
71,Aránguiz,4,0.0,,False,1.31,Internacional,0.0,aranguiz,Aránguiz,69325,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,285,12,Charles Mariano Aránguiz Sandoval,27,7.28,7,,1.0,7.0,10.0,1.0,7.0,9.0,,,,,,,,,,,,,,
72,Medel,4,0.0,,False,0.95,Vasco,0.0,medel,Medel,69355,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,267,9,Gary Alexis Medel Soto,27,3.64,7,,3.0,13.0,7.0,,,2.0,,,,,,,1.0,,,,,,,
73,Vidal,4,0.0,,False,2.21,Athlético-PR,0.0,vidal,Vidal,69375,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,293,12,Arturo Erasmo Vidal Pardo,27,5.23,5,,5.0,16.0,13.0,2.0,6.0,12.0,,,,,,,,,,,,1.0,,
74,João Pedro Galvão,5,0.0,,False,0.33,Grêmio,0.0,joao-pedro-galvao,J. Galvão,69686,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,284,7,João Pedro Geraldino dos Santos Galvão,27,4.26,6,,1.0,3.0,14.0,,2.0,5.0,,2.0,,,,,,,,,,,,
