,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.status_id,atletas.jogos_num,atletas.media_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.preco_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.nome,atletas.foto,A,CA,DS,FC,FF,FS,G,I,PC,SG,CV,DE,DP,GC,GS,FD,FT,PS,V,PP,PI
18,35,,293,Willian,7,15,2.55,True,Athlético-PR,5.18,willian,5.5,Willian,42116,0.55,5,Willian Gomes de Siqueira,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,,,5.0,6.0,5.0,4.0,3.0,1.0,,,,,,,,1.0,1.0,,,,
19,35,,264,Cássio,6,33,4.0,False,Corinthians,10.08,cassio,0.0,Cássio,42234,0.0,1,Cássio Roberto Ramos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,,2.0,,,,5.0,,,1.0,9.0,,122.0,,,35.0,,,,,,
20,35,,264,Fagner,6,25,3.72,False,Corinthians,8.36,fagner,0.0,Fagner,42500,0.0,2,Fagner Conserva Lemos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,1.0,10.0,34.0,22.0,3.0,34.0,,,,8.0,,,,,,1.0,1.0,,,,
21,35,,282,L. Scolari,7,25,5.51,True,Atlético-MG,12.4,luiz-felipe-scolari,10.54,Luiz Felipe Scolari,43618,0.74,6,Luiz Felipe Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,,,,,,,,,,,,,,,,,,,12.0,,
22,35,,262,Tite,7,8,6.82,True,Flamengo,13.0,tite,10.56,Tite,45125,1.12,6,Adenor Leonardo Bachi,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,,,,,,,,,,,,,,,,,,,5.0,,
23,35,,276,A. Pato,5,9,1.95,False,São Paulo,3.98,alexandre-pato,0.0,Alexandre Pato,49675,0.0,5,Alexandre Rodrigues da Silva,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,,,1.0,1.0,2.0,4.0,2.0,2.0,,,,,,,,1.0,,,,1.0,
24,35,,266,D. Braz,7,15,2.85,False,Fluminense,5.68,david-braz,0.0,David Braz,50317,0.0,3,David Braz de Oliveira Filho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,,1.0,7.0,8.0,3.0,6.0,,,,6.0,,,,,,2.0,,,,,
25,35,,282,A. Kardec,6,13,1.27,False,Atlético-MG,4.89,alan-kardec,0.0,Alan Kardec,50347,0.0,5,Alan Kardec de Sousa Pereira Júnior,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,1.0,1.0,1.0,8.0,5.0,4.0,1.0,3.0,,,,,,,,,,,,,
26,35,,356,Titi,7,27,3.42,True,Fortaleza,7.59,titi,3.3,Titi,50353,-0.09,3,Christian Chagas Tarouco,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,1.0,9.0,43.0,33.0,3.0,28.0,,1.0,3.0,8.0,,,,,,1.0,,,,,
27,35,,294,Henrique,7,23,1.61,False,Coritiba,3.63,henrique,0.0,Henrique,50856,0.0,3,Henrique Adriano Buss,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,,6.0,14.0,22.0,2.0,5.0,,,,5.0,,,,,,3.0,,,,,
28,35,,290,Apodi,6,12,1.78,True,Goiás,3.88,apodi,-1.9,Apodi,51042,-0.66,2,Luiz Diallison de Souza Alves,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,,2.0,4.0,9.0,1.0,2.0,1.0,5.0,,1.0,,,,,,5.0,,1.0,,,
29,35,,1371,Walter,7,32,3.85,True,Cuiabá,7.87,walter,9.0,Walter,51413,1.2,1,Walter Leandro Capeloza Artune,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,,3.0,,,,4.0,,,1.0,11.0,,101.0,,,31.0,,,,,,
30,35,,264,Giuliano,6,26,1.98,False,Corinthians,3.24,giuliano,0.0,Giuliano,51548,0.0,4,Giuliano Victor de Paula,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,,2.0,26.0,14.0,9.0,16.0,1.0,,,,,,,,,3.0,,,,,
31,35,,262,E. Ribeiro,6,28,3.26,True,Flamengo,9.81,everton-ribeiro,10.1,Everton Ribeiro,51772,1.47,4,Everton Augusto de Barros Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,4.0,3.0,21.0,17.0,5.0,37.0,3.0,1.0,1.0,,,,,,,5.0,1.0,,,,
32,35,,282,Réver,6,8,3.21,False,Atlético-MG,3.77,rever,0.0,Réver,52253,0.0,3,Réver Humberto Alves Araújo,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,,1.0,,1.0,,2.0,,,,5.0,,,,,,,,,,,
33,35,,262,D. Luiz,6,15,3.5,False,Flamengo,7.06,david-luiz,0.0,David Luiz,52827,0.0,3,David Luiz Moreira Marinho,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,1.0,1.0,12.0,15.0,2.0,3.0,1.0,,,5.0,,,,,,2.0,,,,,
34,35,,267,A. Teixeira,6,21,2.42,False,Vasco,5.33,alex-teixeira,0.0,Alex Teixeira,60793,0.0,4,Alex Teixeira Santos,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,3.0,1.0,9.0,25.0,10.0,23.0,1.0,10.0,,,,,,,,6.0,,,,,
35,35,,327,F. Azevedo,7,27,3.34,True,América-MG,6.37,felipe-azevedo,6.8,Felipe Azevedo,60825,0.59,5,Felipe Azevedo dos Santos,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,1.0,2.0,15.0,23.0,13.0,30.0,4.0,4.0,,,,,,,,11.0,2.0,,,,
36,35,,1371,Uendel,6,5,2.0,False,Cuiabá,3.0,uendel,0.0,Uendel,60852,0.0,2,Uendel Pereira Gonçalves,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,,1.0,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,
37,35,,265,Cicinho,6,11,3.0,False,Bahia,3.26,cicinho,0.0,Cicinho,61106,0.0,2,Neuciano de Jesus Gusmão,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,,4.0,14.0,22.0,1.0,11.0,,,,3.0,,,,,,2.0,1.0,,,,
38,35,,283,Gilberto,6,20,2.8,False,Cruzeiro,7.86,gilberto,0.0,Gilberto,61188,0.0,5,Gilberto Oliveira Souza Júnior,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,1.0,4.0,8.0,20.0,19.0,11.0,3.0,4.0,,,,,,,,6.0,,,,,
39,35,,266,Ganso,7,24,3.82,True,Fluminense,9.74,ganso,0.0,Ganso,62977,-0.47,4,Paulo Henrique Chagas de Lima,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,6.0,4.0,17.0,13.0,6.0,31.0,3.0,1.0,,,,,,,,4.0,,,,,
40,35,,277,J. Caiçara,6,4,1.78,False,Santos,2.91,junior-caicara,0.0,Júnior Caiçara,63011,0.0,2,Uilson de Souza Paula Júnior,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,,1.0,3.0,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,
