,atletas.preco_num,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube_id,atletas.pontos_num,atletas.entrou_em_campo,atletas.status_id,atletas.posicao_id,atletas.foto,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.apelido,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,G,PS,SG,I,PP,CV,PC,FT,DE,GS,DP,GC,V,PI
18,8.19,17,fagner,3.9,264,4.6,True,3,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,42500,Fagner,Corinthians,Fagner Conserva Lemos,24,0.46,Fagner,,1.0,6.0,23.0,13.0,1.0,3.0,24.0,,,5.0,,,,,1.0,,,,,,
19,11.13,14,luiz-felipe-scolari,5.07,282,7.04,True,7,6,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,43618,L. Scolari,Atlético-MG,Luiz Felipe Scolari,24,0.17,Luiz Felipe Scolari,,,,,,,,,,,,,,,,,,,,,5.0,
20,3.98,9,alexandre-pato,1.95,276,-0.3,True,6,5,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,49675,A. Pato,São Paulo,Alexandre Rodrigues da Silva,24,-0.09,Alexandre Pato,,,,1.0,1.0,1.0,2.0,4.0,2.0,,,2.0,1.0,,,,,,,,,
21,6.51,12,david-braz,3.24,266,0.0,False,6,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,50317,D. Braz,Fluminense,David Braz de Oliveira Filho,24,0.0,David Braz,,,1.0,6.0,8.0,1.0,3.0,3.0,,,6.0,,,,,,,,,,,
22,4.12,10,alan-kardec,1.0,282,0.0,True,6,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,50347,A. Kardec,Atlético-MG,Alan Kardec de Sousa Pereira Júnior,24,-0.23,Alan Kardec,,,1.0,1.0,6.0,,3.0,3.0,1.0,,,3.0,,,,,,,,,,
23,7.5,21,titi,3.75,356,-0.6,True,7,3,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,50353,Titi,Fortaleza,Christian Chagas Tarouco,24,-0.53,Titi,,1.0,8.0,32.0,25.0,1.0,3.0,21.0,,,8.0,,,,3.0,,,,,,,
24,2.91,14,henrique,1.15,294,0.0,False,6,3,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,50856,Henrique,Coritiba,Henrique Adriano Buss,24,0.0,Henrique,,,4.0,9.0,14.0,2.0,,2.0,,,2.0,,,,,,,,,,,
25,5.29,9,apodi,2.46,290,0.0,False,6,2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,51042,Apodi,Goiás,Luiz Diallison de Souza Alves,24,0.0,Apodi,,,1.0,3.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,
26,5.87,23,walter,2.74,1371,1.0,True,7,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,51413,Walter,Cuiabá,Walter Leandro Capeloza Artune,24,0.3,Walter,,,2.0,,,,,2.0,,,5.0,,,,1.0,,68.0,28.0,,,,
27,2.66,16,giuliano,0.94,264,0.0,False,6,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,51548,Giuliano,Corinthians,Giuliano Victor de Paula,24,0.0,Giuliano,,,1.0,10.0,9.0,1.0,2.0,8.0,,,,,,,,,,,,,,
28,8.88,19,everton-ribeiro,3.11,262,3.2,True,6,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,51772,E. Ribeiro,Flamengo,Everton Augusto de Barros Ribeiro,24,0.64,Everton Ribeiro,,2.0,2.0,15.0,13.0,3.0,5.0,29.0,2.0,,,1.0,,,1.0,,,,,,,
29,4.77,6,rever,4.2,282,5.5,True,6,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,52253,Réver,Atlético-MG,Réver Humberto Alves Araújo,24,0.22,Réver,,,1.0,,1.0,,,1.0,,,5.0,,,,,,,,,,,
