,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.clube.id.full.name,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.foto,atletas.apelido,atletas.preco_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.variacao_num,atletas.clube_id,CV,FC,FD,FF,FS,G,I,PP,CA,DS,PC,SG,A,DE,GS,FT,GC,V,PS,DP,PI
18,Fagner,5,2,22,,Fagner Conserva Lemos,0.0,Corinthians,3.86,fagner,16,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,Fagner,7.73,False,42500,0.0,264,,11.0,1.0,3.0,24.0,,,,5.0,22.0,,4.0,1.0,,,1.0,,,,,
19,L. Scolari,7,6,22,,Luiz Felipe Scolari,3.78,Atlético-MG,4.69,luiz-felipe-scolari,12,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,Luiz Felipe Scolari,10.27,True,43618,-0.61,282,,,,,,,,,,,,,,,,,,3.0,,,
20,A. Pato,6,5,22,,Alexandre Rodrigues da Silva,0.0,São Paulo,2.55,alexandre-pato,7,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,Alexandre Pato,4.92,False,49675,0.0,276,,,1.0,2.0,4.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,
21,D. Braz,7,3,22,,David Braz de Oliveira Filho,7.4,Fluminense,3.24,david-braz,12,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,David Braz,6.51,True,50317,0.87,266,,8.0,1.0,3.0,3.0,,,,1.0,6.0,,6.0,,,,,,,,,
22,A. Kardec,6,5,22,,Alan Kardec de Sousa Pereira Júnior,-0.3,Atlético-MG,1.06,alan-kardec,8,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,Alan Kardec,4.11,True,50347,-0.06,282,,4.0,,3.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,
23,Titi,7,3,22,,Christian Chagas Tarouco,1.4,Fortaleza,4.03,titi,19,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,Titi,7.86,True,50353,0.61,356,,22.0,1.0,3.0,18.0,,,,7.0,29.0,2.0,8.0,1.0,,,,,,,,
24,Henrique,6,3,22,,Henrique Adriano Buss,0.0,Coritiba,1.15,henrique,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,Henrique,2.91,False,50856,0.0,294,,14.0,2.0,,2.0,,,,4.0,9.0,,2.0,,,,,,,,,
25,Apodi,6,2,22,,Luiz Diallison de Souza Alves,0.0,Goiás,2.46,apodi,9,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,Apodi,5.29,False,51042,0.0,290,,6.0,5.0,1.0,2.0,1.0,5.0,,1.0,3.0,,1.0,,,,,,,1.0,,
26,Walter,7,1,22,,Walter Leandro Capeloza Artune,2.0,Cuiabá,3.0,walter,21,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,Walter,6.12,True,51413,0.35,1371,,,,,2.0,,,,2.0,,1.0,5.0,,65.0,25.0,,,,,,
27,Giuliano,7,4,22,,Giuliano Victor de Paula,-0.1,Corinthians,0.91,giuliano,15,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,Giuliano,2.44,True,51548,0.03,264,,8.0,1.0,2.0,7.0,,,,1.0,9.0,,,,,,,,,,,
