,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.clube.id.full.name,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.foto,atletas.apelido,atletas.preco_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.variacao_num,atletas.clube_id,CV,FC,FD,FF,FS,G,I,PP,CA,DS,PC,SG,A,DE,GS,FT,GC,V,PS,DP,PI
188,Keno,7,5,22,,Marcos da Silva França,5.8,Fluminense,3.97,keno,13,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_RDEOJLs.png,Keno,4.76,True,86485,-0.41,266,,10.0,9.0,8.0,13.0,,4.0,,3.0,16.0,,,3.0,,,,,,,,
189,Jandrei,6,1,22,,Jandrei Chitolina Carniel,0.0,São Paulo,5.17,jandrei,3,https://s.sde.globo.com/media/person_role/2022/03/01/aea40f3f23e91096dde97a5b7a877640_FORMATO.png,Jandrei,4.85,False,86508,0.0,276,,,,,1.0,,,,1.0,,,2.0,,7.0,1.0,,,,,,
190,T. Tchê,6,4,22,,Danilo das Neves Pinheiro,-0.4,Botafogo,2.33,tche-tche,21,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_FytIYxJ.png,Tchê Tchê,7.3,True,86686,-0.21,263,,26.0,7.0,7.0,24.0,1.0,,,4.0,14.0,,,2.0,,,,,,,,
191,Everton,6,5,22,,Everton Sousa Soares,-0.3,Flamengo,3.89,everton,18,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_EcaScZP.png,Everton,7.8,True,86757,-0.39,262,,13.0,8.0,13.0,13.0,2.0,3.0,,1.0,14.0,,,3.0,,,,,,1.0,,
192,Luan,6,4,22,,Luan Guilherme de Jesus Vieira,0.5,Grêmio,0.57,luan,3,https://s.sde.globo.com/media/person_role/2023/08/01/photo_FORMATO_wWoVCQJ.png,Luan,3.47,True,86759,0.0,284,,,,,1.0,,,,,1.0,,,,,,,,,,,
193,D. Barbosa,6,4,22,,Danilo Barbosa da Silva,0.0,Botafogo,1.79,danilo-barbosa,13,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_6wIsdHM.png,Danilo Barbosa,4.66,False,86777,0.0,263,,8.0,,2.0,15.0,1.0,,,1.0,8.0,,,,,,,,,,,
194,R. Pinho,6,5,22,,Rodrigo Cunha Pereira de Pinho,0.0,Coritiba,1.57,rodrigo-pinho,10,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_28kb8HP.png,Rodrigo Pinho,3.27,False,86799,0.0,294,,8.0,4.0,5.0,10.0,,4.0,,2.0,3.0,,,,,,1.0,,,,,
195,Boschilia,6,4,22,,Gabriel Boschilia,0.0,Coritiba,3.17,boschilia,11,https://s.sde.globo.com/media/person_role/2022/08/12/8bbade4dbabca44eb3eda2767deda745_FORMATO.png,Boschilia,5.85,False,86841,0.0,294,,6.0,5.0,7.0,7.0,1.0,,,1.0,8.0,,,1.0,,,,,,,,
196,J. Welison,7,4,22,,José Welison da Silva,6.2,Fortaleza,2.49,jose-welison,12,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_Sq4MDcU.png,José Welison,4.12,True,86859,0.46,356,,18.0,1.0,9.0,13.0,,1.0,,5.0,17.0,,,1.0,,,,,,,,
197,Marlon,6,2,22,,Marlon Matheus Lopes do Nascimento,0.0,América-MG,3.32,marlon,12,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_9jhAK26.png,Marlon,5.6,False,86864,0.0,327,,10.0,,2.0,20.0,,,,1.0,21.0,,1.0,1.0,,,,1.0,,,,
198,L. Jardim,7,1,22,,Leonardo César Jardim,1.0,Vasco,3.0,leo-jardim,21,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_2NC7Cvz.png,Léo Jardim,9.37,True,87008,-0.61,267,,,,,2.0,,,,2.0,,,3.0,,80.0,31.0,,,,,,
199,Nathan,6,4,22,,Nathan Allan de Souza,0.0,Grêmio,2.19,nathan,12,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,Nathan,4.94,False,87009,0.0,284,,11.0,4.0,4.0,9.0,,1.0,,1.0,11.0,,,1.0,,,,,,,,
200,P. Henrique,6,3,22,,Pedro Henrique Ribeiro Gonçalves,0.0,Athlético-PR,3.65,pedro-henrique,11,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Pmz9ta0.png,Pedro Henrique,8.95,False,87225,0.0,293,,14.0,1.0,5.0,5.0,1.0,2.0,,3.0,10.0,,4.0,,,,,,,,,
201,G. Arana,7,2,22,,Guilherme Antonio Arana Lopes,3.4,Atlético-MG,3.95,guilherme-arana,12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,Guilherme Arana,9.91,True,87228,-0.43,282,1.0,4.0,3.0,5.0,14.0,,,,1.0,15.0,,4.0,,,,,,,,,
202,C. Pena,7,4,22,,Carlos María de Pena Bonino,0.5,Internacional,2.41,carlos-de-pena,18,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8NTSnKt.png,Carlos de Pena,6.84,True,87242,-0.51,285,1.0,13.0,6.0,10.0,12.0,1.0,,,2.0,20.0,1.0,,,,,,,,,,
203,Soteldo,6,5,22,,Yeferson Julio Soteldo Martínez,-3.8,Santos,4.72,soteldo,10,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xCE9nv8.png,Soteldo,7.43,True,87258,-2.38,277,2.0,3.0,5.0,5.0,25.0,,2.0,,2.0,9.0,,,4.0,,,1.0,,,,,
204,Kannemann,7,3,22,,Walter Kannemann,4.9,Grêmio,4.44,kannemann,14,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png,Kannemann,8.74,True,87342,-0.23,284,1.0,26.0,3.0,2.0,13.0,,,,7.0,32.0,,5.0,1.0,,,,,,,,
205,Allano,7,5,22,,Allano Brendon de Souza Lima,4.8,Goiás,3.41,allano,8,https://s.sde.globo.com/media/person_role/2023/08/08/photo_FORMATO_tmBtY58.png,Allano,5.02,True,87391,0.32,290,,7.0,4.0,5.0,13.0,,1.0,,2.0,11.0,,,,,,1.0,,,,,
206,Messias,6,3,22,,Messias Rodrigues da Silva Júnior,0.0,Santos,3.08,messias,16,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png,Messias,6.79,False,87402,0.0,277,,14.0,2.0,2.0,7.0,,1.0,,2.0,20.0,1.0,5.0,,,,,,,,,
207,Thaciano,7,4,22,,Thaciano Mickael da Silva,3.3,Bahia,4.25,thaciano,21,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_dQGg2S1.png,Thaciano,11.18,True,87470,0.62,265,,22.0,7.0,22.0,18.0,2.0,3.0,,1.0,25.0,,,2.0,,,2.0,,,,,
208,V. Bueno,7,4,22,,Vitor Frezarin Bueno,4.6,Athlético-PR,4.03,vitor-bueno,16,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png,Vitor Bueno,7.71,True,87552,0.8,293,,10.0,8.0,10.0,19.0,2.0,2.0,,5.0,7.0,,,3.0,,,2.0,,,,,
209,M. Pasinato,6,1,22,,Mateus Pasinato,0.0,América-MG,2.6,mateus-pasinato,10,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_1bOXVa7.png,Mateus Pasinato,3.03,False,87603,0.0,327,,,,,2.0,,,,1.0,,,1.0,,41.0,20.0,,,,,,
210,Y. Felipe,3,4,22,,Yago Felipe da Costa Rocha,0.0,Bahia,0.95,yago-felipe,12,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png,Yago Felipe,3.9,False,87747,0.0,265,,20.0,,3.0,5.0,,,,3.0,13.0,,,,,,,,,,,
211,P. Sampaio,6,3,22,,Philipe Sampaio Azevedo,0.0,Botafogo,2.73,philipe-sampaio,8,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_E29teNI.png,Philipe Sampaio,3.33,False,87808,0.0,263,,6.0,,2.0,4.0,,1.0,,2.0,6.0,,3.0,,,,,,,,,
212,M. Lemos,3,3,22,,Paolo Mauricio Lemos Merladett,0.0,Atlético-MG,4.23,mauricio-lemos,14,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,Mauricio Lemos,10.04,False,87853,0.0,282,1.0,13.0,5.0,3.0,9.0,1.0,2.0,,6.0,22.0,,5.0,,,,,,,,,
213,Arrascaeta,5,4,22,,Giorgian Daniel de Arrascaeta Benedetti,0.0,Flamengo,6.25,arrascaeta,15,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_CaSgg7s.png,Arrascaeta,13.43,False,87863,0.0,262,,17.0,4.0,9.0,19.0,4.0,3.0,,3.0,14.0,,,5.0,,,2.0,,,1.0,,
214,A. Empereur,7,3,22,,Alan Pereira Empereur,0.0,Cuiabá,2.11,alan-empereur,18,https://s.sde.globo.com/media/person_role/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,Alan Empereur,4.3,True,88033,0.08,1371,,7.0,2.0,4.0,9.0,,,,4.0,10.0,,4.0,1.0,,,,1.0,,,,
215,Jorge,5,2,22,,Jorge Marco de Oliveira Moraes,0.0,Fluminense,0.0,jorge,0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_Rnoad6D.png,Jorge,4.0,False,88065,0.0,266,,,,,,,,,,,,,,,,,,,,,
216,Ivan,6,1,22,,Ivan Quaresma da Silva,0.0,Vasco,0.0,ivan,0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_qStnmUz.png,Ivan,5.0,False,88136,0.0,267,,,,,,,,,,,,,,,,,,,,,
217,Ã. Romero,6,5,22,,Ángel Rodrigo Romero Villamayor,0.0,Corinthians,1.8,angel-romero,7,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_CufTSrv.png,Ángel Romero,2.78,True,88323,-0.46,264,,1.0,1.0,1.0,7.0,,,,,2.0,,,1.0,,,,,,,,
218,G. Dias,5,2,22,,Gabriel Dias de Oliveira,0.0,Vasco,4.0,gabriel-dias,1,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_SmDR7cT.png,Gabriel Dias,2.89,False,88368,0.0,267,,,,,,,,,1.0,,,1.0,,,,,,,,,
219,A. Lucas,7,2,22,,Ayrton Lucas Dantas de Medeiros,4.0,Flamengo,5.16,ayrton-lucas,20,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png,Ayrton Lucas,14.54,True,88393,-0.98,262,,29.0,3.0,5.0,31.0,3.0,,,6.0,29.0,,6.0,1.0,,,,,,1.0,,
220,Aderlan,7,2,22,,Aderlan de Lima Silva,9.5,Bragantino,4.83,aderlan,14,https://s.sde.globo.com/media/person_role/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,Aderlan,9.73,True,88423,0.82,280,1.0,18.0,,3.0,6.0,,,,2.0,28.0,1.0,7.0,1.0,,,,,,,,
221,L. Crispim,6,4,22,,Lucas de Figueiredo Crispim,0.0,Fortaleza,0.77,lucas-crispim,8,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_EvxhSX5.png,Lucas Crispim,3.24,False,88597,0.0,356,,3.0,1.0,,1.0,,,,,2.0,,,,,,1.0,,,,,
222,Slimani,6,5,22,,Islam Slimani,0.0,Coritiba,0.0,slimani,0,https://s.sde.globo.com/media/person_role/2023/08/23/photo_220x220.png,Slimani,9.0,False,88744,0.0,294,,,,,,,,,,,,,,,,,,,,,
223,M. Moreno,6,4,22,,Damián Marcelino Moreno,0.0,Coritiba,3.99,marcelino-moreno,17,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_S4cMFFx.png,Marcelino Moreno,5.88,False,88857,0.0,294,,8.0,10.0,4.0,42.0,1.0,2.0,,2.0,16.0,1.0,,2.0,,,,,,,,
224,L. Polli,6,1,22,,Luan Polli Gomes,0.0,Coritiba,1.17,luan-polli,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_gZl1v6O.png,Luan Polli,2.69,False,88916,0.0,294,,,,,1.0,,,,2.0,,,,,8.0,3.0,,,,,,
225,I. Maidana,7,3,22,,Iago Justen Maidana Martins,5.2,América-MG,1.04,iago-maidana,19,https://s.sde.globo.com/media/person_role/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png,Iago Maidana,2.92,True,89226,0.95,327,,22.0,4.0,5.0,4.0,,1.0,,5.0,14.0,1.0,1.0,,,,,,,,,
226,Gerson,7,4,22,,Gerson Santos da Silva,-0.3,Flamengo,5.07,gerson,17,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png,Gerson,10.61,True,89256,-1.24,262,,29.0,4.0,4.0,44.0,3.0,3.0,,3.0,16.0,1.0,,5.0,,,,,,1.0,,
227,J. Pedro,7,2,22,,João Pedro Maturano dos Santos,5.4,Grêmio,3.57,joao-pedro,16,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ux7O1sm.png,João Pedro,11.12,True,89273,0.03,284,,11.0,,2.0,13.0,1.0,,,1.0,17.0,,4.0,1.0,,,,,,,,
228,William,7,2,22,,Willian de Asevedo Furtado,11.9,Cruzeiro,4.98,william,19,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png,William,10.99,True,89275,1.32,283,,22.0,1.0,6.0,30.0,,1.0,,4.0,33.0,,8.0,1.0,,,,,,,,
229,I. Rabello,5,3,22,,Igor Rabello da Costa,0.0,Atlético-MG,3.94,igor-rabello,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,Igor Rabello,5.23,False,89493,0.0,282,,6.0,,,1.0,,,,1.0,10.0,,2.0,,,,,,,,,
230,T. Maia,6,4,22,,Thiago Maia Alencar,1.2,Flamengo,1.77,thiago-maia,19,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png,Thiago Maia,5.99,True,89637,0.04,262,,20.0,,3.0,3.0,,,,3.0,33.0,1.0,,,,,,,,,,
231,Calleri,6,5,22,,Jonathan Calleri,0.0,São Paulo,5.57,calleri,16,https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,Calleri,13.89,False,89840,0.0,276,,34.0,9.0,11.0,32.0,6.0,14.0,,3.0,4.0,,,2.0,,,1.0,,,2.0,,
232,Cristaldo,7,4,22,,Franco Cristaldo,2.9,Grêmio,6.48,cristaldo,17,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png,Cristaldo,11.59,True,89846,-0.55,284,,5.0,9.0,7.0,24.0,5.0,3.0,,,23.0,,,3.0,,,,,,1.0,,
233,Dodi,3,4,22,,Douglas Moreira Fagundes,0.0,Santos,2.27,dodi,19,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png,Dodi,4.65,False,89883,0.0,277,,31.0,3.0,2.0,32.0,,,,6.0,31.0,,,,,,,,,,,
234,E. Galdino,6,5,22,,Everton Galdino Moreira,1.1,Grêmio,2.69,everton-galdino,12,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png,Everton Galdino,4.97,True,89918,-0.11,284,,5.0,5.0,2.0,5.0,2.0,,,2.0,4.0,,,1.0,,,,,,,,
235,Mendoza,7,5,22,,John Stiven Mendoza Valencia,3.4,Santos,6.22,mendoza,16,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_fdX9HMF.png,Mendoza,13.21,True,90031,0.16,277,,17.0,5.0,16.0,43.0,5.0,2.0,,4.0,12.0,,,2.0,,,1.0,,,1.0,,
236,B. Pacheco,7,2,22,,Bruno de Jesus Pacheco,3.4,Fortaleza,6.58,bruno-pacheco,19,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_PYjs4Li.png,Bruno Pacheco,11.68,True,90061,-0.72,356,,33.0,3.0,7.0,33.0,1.0,,,2.0,36.0,,9.0,3.0,,,,,,,,
237,Edu,6,5,22,,Eduardo Nascimento da Silva Júnior,0.0,Coritiba,3.25,edu,4,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_b9BOGwx.png,Edu,5.92,False,90120,0.0,294,,,2.0,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,
238,R. Ramos,6,2,22,,Raí dos Reis Ramos,0.0,São Paulo,3.16,rai-ramos,5,https://s.sde.globo.com/media/person_role/2023/04/15/photo_FORMATO_p3UWrBW.png,Raí Ramos,4.51,False,90232,0.0,276,,5.0,2.0,2.0,1.0,,,,2.0,4.0,,2.0,,,,,,,,,
239,B. Henrique,7,5,22,,Bruno Henrique Pinto,11.6,Flamengo,2.88,bruno-henrique,16,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PsLr2Kh.png,Bruno Henrique,7.52,True,90285,1.47,262,,12.0,7.0,7.0,23.0,2.0,6.0,,3.0,10.0,,,,,,,,,,,
240,Jailson,6,4,22,,Jaílson Marques Siqueira,0.0,Palmeiras,1.67,jailson,4,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_borikKg.png,Jailson,3.87,False,90290,0.0,275,,2.0,1.0,1.0,1.0,,,,,4.0,,,,,,,,,,,
241,P. Rocha,5,5,22,,Pedro Rocha Neves,0.0,Fortaleza,0.0,pedro-rocha,0,https://s.sde.globo.com/media/person_role/2022/09/28/photo_FORMATO_wjBokpm.png,Pedro Rocha,5.0,False,90302,0.0,356,,,,,,,,,,,,,,,,,,,,,
242,David,5,5,22,,David Correa da Fonseca,0.0,São Paulo,3.28,david,10,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_zc5jjjt.png,David,4.11,False,90309,0.0,276,,10.0,2.0,4.0,8.0,2.0,6.0,,4.0,4.0,,,2.0,,,,,,,,
243,Rezende,7,4,22,,Júlio César Rezende de Miranda,0.9,Bahia,3.81,rezende,19,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png,Rezende,7.02,True,90449,-0.5,265,1.0,32.0,2.0,6.0,18.0,1.0,,,2.0,48.0,,,1.0,,,,,,,,
244,D. Gonçalves,6,5,22,,Diego Gonçalves,0.0,Goiás,0.96,diego-goncalves,10,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_eh2bZ7u.png,Diego Gonçalves,1.86,False,90540,0.0,290,,7.0,2.0,3.0,9.0,,1.0,,1.0,3.0,,,,,,,,,,,
245,M. Claus,6,1,22,,Mateus Eduardo Claus,0.0,Bahia,-1.0,mateus-claus,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_UPFwDzZ.png,Mateus Claus,1.95,False,90590,0.0,265,,,,,,,,,,,,,,1.0,2.0,,,,,,
246,L. Mineiro,7,4,22,,Lucas da Silva Izidoro,0.8,Cuiabá,0.55,lucas-mineiro,6,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_AlOmB6m.png,Lucas Mineiro,2.75,True,90634,0.16,1371,,7.0,,1.0,4.0,,,,1.0,3.0,,,,,,,,,,,
247,F. Bruno,7,3,22,,Fabrício Bruno Soares de Faria,0.2,Flamengo,3.15,fabricio-bruno,19,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_zrQ4flU.png,Fabrício Bruno,8.42,True,90768,-0.85,262,,7.0,2.0,1.0,10.0,,,,4.0,19.0,,6.0,1.0,,,,,,,,
248,Everaldo,6,5,22,,Everaldo Silva do Nascimento,0.0,América-MG,3.88,everaldo,14,https://s.sde.globo.com/media/person_role/2022/02/25/561f3ca4238e82e1b2e1479a1a66c551_FORMATO.png,Everaldo,8.45,False,91151,0.0,327,,11.0,3.0,5.0,22.0,1.0,4.0,,5.0,17.0,,,2.0,,,2.0,,,,,
249,PK,6,2,22,,Ítaro Patric Cardoso Calmon,0.0,Cuiabá,1.7,pk,8,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_kfJYHxI.png,PK,3.47,True,91190,-0.57,1371,1.0,10.0,,2.0,4.0,,,,1.0,10.0,,1.0,,,,,,,,,
250,Éder,6,3,22,,Éder Ferreira Graminho,0.0,América-MG,0.98,eder,13,https://s.sde.globo.com/media/person_role/2022/02/24/e0b5f4c6647fe1b42922ddb4458dade0_FORMATO.png,Éder,2.36,False,91203,0.0,327,1.0,17.0,1.0,1.0,3.0,,3.0,,4.0,18.0,,,,,,,,,,,
251,Carballo,7,4,22,,Felipe Ignacio Carballo Ares,-0.1,Grêmio,2.51,carballo,12,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NYg6Ymv.png,Carballo,4.06,True,91254,-1.39,284,,9.0,1.0,6.0,6.0,1.0,,,1.0,14.0,,,,,,,,,,,
252,L. Perri,7,1,22,,Lucas Estella Perri,1.0,Botafogo,6.55,lucas-perri,22,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_83wBpb6.png,Lucas Perri,12.05,True,91260,-1.38,263,,,,,2.0,,,,,,,13.0,,91.0,13.0,,,,,,
253,E. Pulgar,7,4,22,,Erick Antonio Pulgar Farfán,0.9,Flamengo,2.5,erick-pulgar,13,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_xuM4Nls.png,Erick Pulgar,3.93,True,91473,0.24,262,,26.0,1.0,4.0,5.0,2.0,3.0,,4.0,18.0,,,,,,,,,,,
254,Arboleda,3,3,22,,Robert Abel Arboleda Escobar,0.0,São Paulo,4.73,arboleda,13,https://s.sde.globo.com/media/person_role/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png,Arboleda,8.16,False,91573,0.0,276,1.0,3.0,3.0,3.0,8.0,,4.0,,,19.0,,6.0,,,,1.0,,,,,
255,Rony,7,5,22,,Ronielson da Silva Barbosa,1.5,Palmeiras,3.62,rony,18,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_eJOedW8.png,Rony,9.33,True,91607,-0.18,275,,16.0,8.0,8.0,22.0,4.0,16.0,,,8.0,,,,,,1.0,,,,,
256,Adryelson,7,3,22,,Adryelson Shawann Lima Silva,0.0,Botafogo,4.63,adryelson,21,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_3WVFnva.png,Adryelson,7.16,True,91664,-1.17,263,,12.0,4.0,2.0,10.0,1.0,,,4.0,17.0,,13.0,,,,,,,,,
257,M. Jussa,7,4,22,,Matheus Isaías dos Santos,1.1,Cruzeiro,0.58,matheus-jussa,15,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vMaiFUT.png,Matheus Jussa,2.0,True,91689,0.28,283,,29.0,1.0,3.0,4.0,,,,5.0,14.0,,,,,,,,,,,
258,Marlon,7,2,22,,Marlon Rodrigues Xavier,10.8,Cruzeiro,8.3,marlon,21,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_vrVAWB7.png,Marlon,18.13,True,91706,1.82,283,,22.0,4.0,7.0,18.0,2.0,1.0,,4.0,87.0,,8.0,1.0,,,,,,,,
259,Nino,6,3,22,,Marcílio Florêncio Mota Filho,0.0,Fluminense,3.73,nino,18,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_U5c1E7V.png,Nino,11.22,False,91708,0.0,266,1.0,17.0,3.0,3.0,20.0,2.0,,,3.0,7.0,,7.0,,,,1.0,,,,,
260,M. Alves,6,1,22,,Matheus Alves da Silva Cardoso,0.0,Goiás,0.0,matheus-alves,0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_voSytVs.png,Matheus Alves,2.0,False,91712,0.0,290,,,,,,,,,,,,,,,,,,,,,
261,D. Duarte,6,3,22,,David de Duarte Macedo,0.0,Bahia,3.6,david-duarte,8,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0ibQkD2.png,David Duarte,5.2,False,91772,0.0,265,,4.0,,1.0,4.0,1.0,,,1.0,6.0,,2.0,,,,1.0,,,,,
262,Hayner,6,2,22,,Hayner Willian Monjardim Cordeiro,0.0,Coritiba,-1.1,hayner,1,https://s.sde.globo.com/media/person_role/2023/08/20/photo_220x220_uARHeLZ.png,Hayner,1.82,False,91856,0.0,294,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,
263,Z. Ivaldo,6,3,22,,José Ivaldo Almeida Silva,0.0,Athlético-PR,2.61,ze-ivaldo,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ZOxQ99E.png,Zé Ivaldo,4.69,False,91866,0.0,293,1.0,19.0,1.0,1.0,9.0,,1.0,,2.0,14.0,1.0,5.0,,,,,,,,,
264,Pavón,7,5,22,,Cristian David Pavón,6.8,Atlético-MG,5.45,pavon,19,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_U1jXQaU.png,Pavón,9.8,True,91908,0.66,282,,16.0,12.0,16.0,14.0,3.0,4.0,,6.0,28.0,,,4.0,,,1.0,,,,,
265,W. Carvalho,7,6,22,,Wesley Oliveira de Carvalho,3.07,Athlético-PR,5.13,wesley-carvalho,11,https://s.sde.globo.com/media/person_role/2022/05/05/21d7b4d24237a06ec8872f1ff041e713_FORMATO.png,Wesley Carvalho,11.05,True,91971,-0.05,293,,,,,,,,,,,,,,,,,,3.0,,,
266,R. Díaz,7,6,22,,Ramón Ángel Díaz,2.51,Vasco,4.16,ramon-diaz,7,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,Ramón Díaz,8.16,True,92075,0.09,267,,,,,,,,,,,,,,,,,,2.0,,,
267,Caíque,7,1,22,,Caíque Luiz Santos da Purificação,8.0,Grêmio,8.0,caique,1,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_bq0AF4S.png,Caíque,4.18,True,92207,1.18,284,,,,,,,,,,,,1.0,,3.0,,,,,,,
268,R. Ely,7,3,22,,Rodrigo Ely,3.7,Grêmio,2.35,rodrigo-ely,4,https://s.sde.globo.com/media/person_role/2023/08/03/photo_220x220_mGnJe3Z.png,Rodrigo Ely,4.16,True,92237,0.21,284,,6.0,,,4.0,,,,2.0,1.0,,2.0,,,,,,,,,
269,Raul,5,4,22,,Raul Lô Gonçalves,0.0,Bragantino,0.0,raul,0,https://s.sde.globo.com/media/person_role/2022/05/05/278a2f0c3cd97ace8138ffbe2f23d81d_FORMATO.png,Raul,5.0,False,92496,0.0,280,,,,,,,,,,,,,,,,,,,,,
270,R. Kayzer,6,5,22,,Renato Kayzer de Souza,0.1,América-MG,0.1,renato-kayzer,1,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_fWFDOrP.png,Renato Kayzer,3.72,True,92696,-1.28,327,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
271,Deyverson,7,5,22,,Deyverson Brum Silva Acosta,4.1,Cuiabá,5.44,deyverson,20,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_AvLd8xm.png,Deyverson,8.46,True,92708,0.19,1371,,23.0,11.0,14.0,38.0,8.0,18.0,1.0,4.0,6.0,,,1.0,,,2.0,,,,,
272,B. Rodrigues,7,5,22,,Bruno Rafael Rodrigues do Nascimento,5.5,Cruzeiro,5.45,bruno-rodrigues,20,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_xfgmkoy.png,Bruno Rodrigues,12.75,True,92811,0.99,283,,14.0,14.0,24.0,35.0,3.0,13.0,1.0,2.0,20.0,,,3.0,,,1.0,,,1.0,,
