,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido_abreviado,atletas.nome,atletas.rodada_id,atletas.atleta_id,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.foto,atletas.pontos_num,A,CA,DS,FC,FF,FS,G,PP,SG,V,FD,FT,I,PC,CV,GC,PS,DE,GS,DP,PI
18,True,Athlético-PR,5,0.93,5.71,7,,17,willian,Willian,Willian Gomes de Siqueira,37,42116,Willian,2.83,293,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,7.7,,,6.0,9.0,5.0,5.0,4.0,,,,2.0,1.0,1.0,,,,,,,,
19,True,Corinthians,1,-2.14,7.94,7,,34,cassio,Cássio,Cássio Roberto Ramos,37,42234,Cássio,3.85,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,-1.0,,2.0,,,,5.0,,,9.0,,,,,1.0,,,,123.0,37.0,,
20,True,Corinthians,2,-0.84,7.52,7,,26,fagner,Fagner,Fagner Conserva Lemos,37,42500,Fagner,3.6,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,0.5,1.0,10.0,34.0,22.0,3.0,35.0,,,8.0,,1.0,1.0,,,,,,,,,
21,True,Atlético-MG,6,-0.62,12.12,7,,27,luiz-felipe-scolari,L. Scolari,Luiz Felipe Scolari,37,43618,Luiz Felipe Scolari,5.72,282,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,5.82,,,,,,,,,,14.0,,,,,,,,,,,
22,True,Flamengo,6,0.51,12.39,7,,10,tite,Tite,Adenor Leonardo Bachi,37,45125,Tite,6.21,262,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,5.17,,,,,,,,,,6.0,,,,,,,,,,,
23,False,São Paulo,5,0.0,3.98,5,,9,alexandre-pato,A. Pato,Alexandre Rodrigues da Silva,37,49675,Alexandre Pato,1.95,276,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,0.0,,,1.0,1.0,2.0,4.0,2.0,1.0,,,1.0,,2.0,,,,,,,,
24,True,Fluminense,3,-0.31,5.37,2,,16,david-braz,D. Braz,David Braz de Oliveira Filho,37,50317,David Braz,2.78,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,1.8,,1.0,9.0,10.0,3.0,6.0,,,6.0,,2.0,,,,,,,,,,
25,False,Atlético-MG,5,0.0,4.89,6,,13,alan-kardec,A. Kardec,Alan Kardec de Sousa Pereira Júnior,37,50347,Alan Kardec,1.27,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,0.0,1.0,1.0,1.0,8.0,5.0,4.0,1.0,,,,,,3.0,,,,,,,,
26,True,Fortaleza,3,0.92,8.13,7,,29,titi,Titi,Christian Chagas Tarouco,37,50353,Titi,3.42,356,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,6.1,1.0,10.0,45.0,34.0,3.0,29.0,,,9.0,,1.0,,1.0,3.0,,,,,,,
27,False,Goiás,2,0.0,3.98,6,,13,apodi,Apodi,Luiz Diallison de Souza Alves,37,51042,Apodi,1.56,290,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,0.0,,3.0,4.0,12.0,2.0,2.0,1.0,,1.0,,5.0,,5.0,,,,1.0,,,,
28,False,Cuiabá,1,0.0,6.59,6,,33,walter,Walter,Walter Leandro Capeloza Artune,37,51413,Walter,3.73,1371,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,0.0,,3.0,,,,4.0,,,11.0,,,,,1.0,,,,103.0,33.0,,
29,True,Corinthians,4,-0.19,3.05,7,,27,giuliano,Giuliano,Giuliano Victor de Paula,37,51548,Giuliano,1.91,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,0.0,,2.0,26.0,14.0,9.0,16.0,1.0,,,,3.0,,,,,,,,,,
30,False,Flamengo,4,0.0,8.45,6,,29,everton-ribeiro,E. Ribeiro,Everton Augusto de Barros Ribeiro,37,51772,Everton Ribeiro,3.16,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,0.0,4.0,3.0,21.0,17.0,5.0,38.0,3.0,,,,5.0,1.0,1.0,1.0,,,,,,,
31,True,Atlético-MG,3,0.21,3.98,2,,9,rever,Réver,Réver Humberto Alves Araújo,37,52253,Réver,3.04,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,1.7,,1.0,1.0,1.0,,3.0,,,5.0,,,,,,,,,,,,
32,False,Flamengo,3,0.0,7.06,6,,15,david-luiz,D. Luiz,David Luiz Moreira Marinho,37,52827,David Luiz,3.5,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,0.0,1.0,1.0,12.0,15.0,2.0,3.0,1.0,,5.0,,2.0,,,,,,,,,,
33,False,Vasco,4,0.0,5.33,6,,21,alex-teixeira,A. Teixeira,Alex Teixeira Santos,37,60793,Alex Teixeira,2.42,267,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,0.0,3.0,1.0,9.0,25.0,10.0,23.0,1.0,,,,6.0,,10.0,,,,,,,,
34,False,América-MG,5,0.0,5.48,6,,28,felipe-azevedo,F. Azevedo,Felipe Azevedo dos Santos,37,60825,Felipe Azevedo,3.24,327,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,0.0,1.0,2.0,15.0,24.0,14.0,30.0,4.0,,,,11.0,2.0,4.0,,,,,,,,
