,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.clube.id.full.name,atletas.variacao_num,atletas.pontos_num,atletas.jogos_num,atletas.preco_num,atletas.entrou_em_campo,atletas.status_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.foto,atletas.nome,atletas.apelido_abreviado,atletas.slug,atletas.rodada_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PC,PP,DE,DP,GS,CV,PS,GC,V,PI
10,262,2,2.85,Flamengo,0.0,0.0,6,5.66,False,6,,Filipe Luís,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,Filipe Luís Kasmirski,F. Luís,filipe-luis,26,38750,,2.0,6.0,3.0,,1.0,6.0,,,2.0,,1.0,,,,,,,,,
11,282,2,3.5,Atlético-MG,-0.1,7.1,19,6.82,True,7,,Mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,Mariano Ferreira Filho,Mariano,mariano,26,38877,1.0,5.0,30.0,26.0,1.0,,4.0,,,7.0,,,,,,,,,,,
12,282,5,8.34,Atlético-MG,0.08,9.4,23,18.52,True,7,,Hulk,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,Givanildo Vieira de Souza,Hulk,hulk,26,39148,6.0,6.0,8.0,38.0,27.0,32.0,74.0,9.0,11.0,,2.0,,,,,,1.0,1.0,,,
13,282,4,1.26,Atlético-MG,-0.34,1.2,7,3.32,True,7,,Alan Franco,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,Alan Steven Franco Palma,A. Franco,alan-franco,26,39656,,1.0,9.0,9.0,1.0,,1.0,,,,,,,,,,,,,,
14,276,6,4.89,São Paulo,-0.05,4.87,24,11.44,True,7,,Dorival Júnior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,Dorival Silvestre Júnior,D. Júnior,dorival-junior,26,40990,,,,,,,,,,,,,,,,,,,,8.0,
15,284,6,5.29,Grêmio,-0.18,2.56,25,12.66,True,7,,Renato Gaúcho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,Renato Portaluppi,R. Gaúcho,renato-gaucho,26,41929,,,,,,,,,,,,,,,,,,,,13.0,
16,293,5,2.28,Athlético-PR,0.0,0.0,9,4.46,False,6,,Willian,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,Willian Gomes de Siqueira,Willian,willian,26,42116,,,2.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,
17,264,1,3.64,Corinthians,0.27,5.0,25,8.44,True,7,,Cássio,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,Cássio Roberto Ramos,Cássio,cassio,26,42234,,2.0,,,,,5.0,,,6.0,,1.0,,89.0,,28.0,,,,,
18,264,2,3.71,Corinthians,-0.74,0.4,18,7.45,True,6,,Fagner,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,Fagner Conserva Lemos,Fagner,fagner,26,42500,1.0,7.0,24.0,14.0,1.0,3.0,25.0,,,5.0,1.0,,,,,,,,,,
19,282,6,5.17,Atlético-MG,-0.73,3.34,16,10.76,True,7,,Luiz Felipe Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,Luiz Felipe Scolari,L. Scolari,luiz-felipe-scolari,26,43618,,,,,,,,,,,,,,,,,,,,6.0,
20,276,5,1.95,São Paulo,0.0,0.0,9,3.98,False,6,,Alexandre Pato,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,Alexandre Rodrigues da Silva,A. Pato,alexandre-pato,26,49675,,,1.0,1.0,1.0,2.0,4.0,2.0,2.0,,,,1.0,,,,,,,,
21,266,3,3.07,Fluminense,0.0,0.0,13,5.53,False,6,,David Braz,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,David Braz de Oliveira Filho,D. Braz,david-braz,26,50317,,1.0,6.0,8.0,1.0,3.0,5.0,,,6.0,,,,,,,,,,,
22,282,5,0.91,Atlético-MG,-0.1,0.0,11,4.02,True,6,,Alan Kardec,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,Alan Kardec de Sousa Pereira Júnior,A. Kardec,alan-kardec,26,50347,,1.0,1.0,6.0,,3.0,3.0,1.0,3.0,,,,,,,,,,,,
23,356,3,3.58,Fortaleza,-0.11,-0.1,22,7.39,True,7,,Titi,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,Christian Chagas Tarouco,Titi,titi,26,50353,1.0,8.0,32.0,25.0,1.0,3.0,21.0,,1.0,8.0,,3.0,,,,,,,,,
24,294,3,1.44,Coritiba,-1.05,-0.1,16,2.8,True,7,,Henrique,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,Henrique Adriano Buss,Henrique,henrique,26,50856,,5.0,11.0,15.0,2.0,1.0,2.0,,,3.0,,,,,,,,,,,
25,290,2,2.21,Goiás,0.0,0.0,10,4.53,False,6,,Apodi,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,Luiz Diallison de Souza Alves,Apodi,apodi,26,51042,,1.0,3.0,6.0,5.0,1.0,2.0,1.0,5.0,1.0,,,,,,,,1.0,,,
26,1371,1,2.92,Cuiabá,0.0,0.0,24,6.85,False,6,,Walter,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,Walter Leandro Capeloza Artune,Walter,walter,26,51413,,2.0,,,,,2.0,,,6.0,,1.0,,70.0,,28.0,,,,,
27,264,4,0.94,Corinthians,0.24,1.7,18,2.69,True,6,,Giuliano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,Giuliano Victor de Paula,Giuliano,giuliano,26,51548,,1.0,10.0,10.0,2.0,2.0,10.0,,,,,,,,,,,,,,
28,262,4,3.47,Flamengo,1.58,11.6,21,10.26,True,7,,Everton Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,Everton Augusto de Barros Ribeiro,E. Ribeiro,everton-ribeiro,26,51772,3.0,2.0,17.0,13.0,5.0,5.0,31.0,2.0,1.0,,1.0,1.0,,,,,,,,,
29,282,3,4.2,Atlético-MG,0.0,0.0,6,4.77,False,6,,Réver,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,Réver Humberto Alves Araújo,Réver,rever,26,52253,,1.0,,1.0,,,1.0,,,5.0,,,,,,,,,,,
30,262,3,3.41,Flamengo,0.0,0.0,14,6.45,False,6,,David Luiz,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,David Luiz Moreira Marinho,D. Luiz,david-luiz,26,52827,1.0,1.0,12.0,14.0,2.0,2.0,3.0,1.0,,4.0,,,,,,,,,,,
31,267,4,2.56,Vasco,0.0,0.0,16,5.79,False,6,,Alex Teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,Alex Teixeira Santos,A. Teixeira,alex-teixeira,26,60793,3.0,1.0,7.0,21.0,6.0,10.0,21.0,,8.0,,,,,,,,,,,,
32,327,5,3.75,América-MG,0.0,0.0,18,6.49,False,3,,Felipe Azevedo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,Felipe Azevedo dos Santos,F. Azevedo,felipe-azevedo,26,60825,1.0,2.0,12.0,19.0,6.0,6.0,18.0,4.0,1.0,,1.0,,,,,,,,,,
33,1371,2,2.3,Cuiabá,0.0,0.0,4,3.66,False,6,,Uendel,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Uendel Pereira Gonçalves,Uendel,uendel,26,60852,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,
34,265,2,3.63,Bahia,0.0,0.0,9,3.77,False,6,,Cicinho,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,Neuciano de Jesus Gusmão,Cicinho,cicinho,26,61106,,3.0,13.0,19.0,2.0,1.0,9.0,,,3.0,1.0,,,,,,,,,,
35,283,5,2.8,Cruzeiro,0.0,0.0,20,7.86,False,6,,Gilberto,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,Gilberto Oliveira Souza Júnior,Gilberto,gilberto,26,61188,1.0,4.0,8.0,20.0,6.0,19.0,11.0,3.0,4.0,,,,,,,,,,,,
36,266,4,3.94,Fluminense,-0.64,1.7,18,10.16,True,7,,Ganso,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,Paulo Henrique Chagas de Lima,Ganso,ganso,26,62977,3.0,2.0,15.0,11.0,2.0,4.0,27.0,3.0,1.0,,,,,,,,,,,,
37,277,2,1.2,Santos,0.0,0.0,2,2.74,False,6,,Júnior Caiçara,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,Uilson de Souza Paula Júnior,J. Caiçara,junior-caicara,26,63011,,1.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,,
38,275,2,4.28,Palmeiras,0.0,0.0,11,5.42,False,6,,Marcos Rocha,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,Marcos Luis Rocha Aquino,M. Rocha,marcos-rocha,26,63013,,1.0,20.0,13.0,,,8.0,,,5.0,,1.0,,,,,,,,,
39,294,4,1.41,Coritiba,0.0,0.0,11,3.83,False,6,,Fransérgio,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,Fransérgio Rodrigues Barbosa,Fransérgio,fransergio,26,63024,,,7.0,5.0,1.0,5.0,7.0,,1.0,,,,,,,,,,,,
40,294,4,1.03,Coritiba,-0.08,0.0,6,2.86,True,7,,Willian Farias,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,Willian Roberto Farias,W. Farias,willian-farias,26,63058,,2.0,7.0,9.0,,,5.0,,,,,,,,,,,,,,
41,282,4,1.87,Atlético-MG,0.0,0.0,20,5.15,False,6,,Edenílson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,Edenílson Andrade dos Santos,Edenílson,edenilson,26,63289,2.0,,19.0,14.0,2.0,1.0,11.0,,,,,,,,,,,,,,
