,atletas.pontos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.posicao_id,atletas.apelido,atletas.jogos_num,atletas.preco_num,atletas.slug,atletas.nome,atletas.foto,atletas.variacao_num,atletas.status_id,atletas.entrou_em_campo,atletas.atleta_id,atletas.rodada_id,atletas.clube.id.full.name,CV,DE,DP,FC,FS,GC,GS,SG,A,CA,DS,FD,FF,G,I,FT,PP,PC,PS,V,PI
18,0.0,Fagner,264,,3.64,2,Fagner,24,7.5,fagner,Fagner Conserva Lemos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,0.0,6,False,42500,33,Corinthians,,,,20.0,32.0,,,7.0,1.0,9.0,33.0,1.0,3.0,,,1.0,,,,,
19,3.82,L. Scolari,282,,5.29,6,Luiz Felipe Scolari,23,11.23,luiz-felipe-scolari,Luiz Felipe Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,-0.02,7,True,43618,33,Atlético-MG,,,,,,,,,,,,,,,,,,,,10.0,
20,10.82,Tite,262,,6.55,6,Tite,6,12.52,tite,Adenor Leonardo Bachi,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,0.9,7,True,45125,33,Flamengo,,,,,,,,,,,,,,,,,,,,4.0,
21,0.0,A. Pato,276,,1.95,5,Alexandre Pato,9,3.98,alexandre-pato,Alexandre Rodrigues da Silva,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,0.0,6,False,49675,33,São Paulo,,,,1.0,4.0,,,,,,1.0,1.0,2.0,2.0,2.0,,1.0,,,,
22,0.0,D. Braz,266,,2.85,3,David Braz,15,5.68,david-braz,David Braz de Oliveira Filho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,0.0,6,False,50317,33,Fluminense,,,,8.0,6.0,,,6.0,,1.0,7.0,2.0,3.0,,,,,,,,
23,6.8,A. Kardec,282,,1.27,5,Alan Kardec,13,4.89,alan-kardec,Alan Kardec de Sousa Pereira Júnior,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,0.98,6,True,50347,33,Atlético-MG,,,,8.0,4.0,,,,1.0,1.0,1.0,,5.0,1.0,3.0,,,,,,
24,2.9,Titi,356,,3.42,3,Titi,25,7.51,titi,Christian Chagas Tarouco,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,0.17,7,True,50353,33,Fortaleza,,,,27.0,23.0,,,8.0,1.0,9.0,38.0,1.0,3.0,,1.0,,,3.0,,,
25,5.0,Henrique,294,,1.47,3,Henrique,22,3.56,henrique,Henrique Adriano Buss,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,0.41,7,True,50856,33,Coritiba,,,,21.0,5.0,,,4.0,,6.0,14.0,3.0,2.0,,,,,,,,
26,0.0,Apodi,290,,2.12,2,Apodi,11,4.54,apodi,Luiz Diallison de Souza Alves,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,0.0,6,False,51042,33,Goiás,,,,6.0,2.0,,,1.0,,1.0,4.0,5.0,1.0,1.0,5.0,,,,1.0,,
27,9.0,Walter,1371,,3.77,1,Walter,30,7.78,walter,Walter Leandro Capeloza Artune,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,0.16,7,True,51413,33,Cuiabá,,95.0,,,4.0,,30.0,10.0,,3.0,,,,,,,,1.0,,,
28,1.4,Giuliano,264,,2.02,4,Giuliano,25,3.27,giuliano,Giuliano Victor de Paula,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,-0.99,7,True,51548,33,Corinthians,,,,14.0,14.0,,,,,2.0,26.0,3.0,9.0,1.0,,,,,,,
29,1.7,E. Ribeiro,262,,3.12,4,Everton Ribeiro,26,8.53,everton-ribeiro,Everton Augusto de Barros Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,0.16,6,True,51772,33,Flamengo,,,,15.0,36.0,,,,4.0,3.0,19.0,5.0,5.0,2.0,1.0,1.0,,1.0,,,
30,0.0,Réver,282,,3.67,3,Réver,7,3.97,rever,Réver Humberto Alves Araújo,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,0.0,6,False,52253,33,Atlético-MG,,,,1.0,2.0,,,5.0,,1.0,,,,,,,,,,,
31,0.0,D. Luiz,262,,3.5,3,David Luiz,15,7.06,david-luiz,David Luiz Moreira Marinho,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,0.0,5,False,52827,33,Flamengo,,,,15.0,3.0,,,5.0,1.0,1.0,12.0,2.0,2.0,1.0,,,,,,,
32,0.0,A. Teixeira,267,,2.56,4,Alex Teixeira,20,5.68,alex-teixeira,Alex Teixeira Santos,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,0.0,6,False,60793,33,Vasco,,,,24.0,23.0,,,,3.0,1.0,9.0,6.0,10.0,1.0,10.0,,,,,,
33,0.2,F. Azevedo,327,,3.22,5,Felipe Azevedo,25,5.31,felipe-azevedo,Felipe Azevedo dos Santos,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,-0.7,7,True,60825,33,América-MG,,,,22.0,28.0,,,,1.0,2.0,14.0,9.0,10.0,4.0,4.0,1.0,,,,,
34,0.0,Uendel,1371,,2.3,2,Uendel,4,3.66,uendel,Uendel Pereira Gonçalves,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,0.0,7,False,60852,33,Cuiabá,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,
35,0.0,Cicinho,265,,3.0,2,Cicinho,11,3.26,cicinho,Neuciano de Jesus Gusmão,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,0.0,6,False,61106,33,Bahia,,,,22.0,11.0,,,3.0,,4.0,14.0,2.0,1.0,,,1.0,,,,,
36,0.0,Gilberto,283,,2.8,5,Gilberto,20,7.86,gilberto,Gilberto Oliveira Souza Júnior,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,0.0,6,False,61188,33,Cruzeiro,,,,20.0,11.0,,,,1.0,4.0,8.0,6.0,19.0,3.0,4.0,,,,,,
37,0.0,Ganso,266,,4.09,4,Ganso,22,9.86,ganso,Paulo Henrique Chagas de Lima,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,-1.82,7,True,62977,33,Fluminense,,,,13.0,30.0,,,,6.0,3.0,16.0,3.0,6.0,3.0,1.0,,,,,,
38,0.0,J. Caiçara,277,,1.78,2,Júnior Caiçara,4,2.91,junior-caicara,Uilson de Souza Paula Júnior,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,0.0,6,False,63011,33,Santos,,,,3.0,1.0,,,1.0,,1.0,3.0,,,,1.0,,,,,,
39,0.0,M. Rocha,275,,5.92,2,Marcos Rocha,15,7.4,marcos-rocha,Marcos Luis Rocha Aquino,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,0.0,6,False,63013,33,Palmeiras,,,,15.0,9.0,,,9.0,1.0,1.0,26.0,,2.0,1.0,,,,1.0,,,
40,2.0,Fransérgio,294,,1.04,4,Fransérgio,15,3.7,fransergio,Fransérgio Rodrigues Barbosa,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,0.27,6,True,63024,33,Coritiba,,,,8.0,7.0,,,,,1.0,8.0,1.0,6.0,,1.0,,,,,,
41,0.0,W. Farias,294,,1.27,4,Willian Farias,10,3.14,willian-farias,Willian Roberto Farias,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,0.0,6,False,63058,33,Coritiba,1.0,,,12.0,7.0,,,,,3.0,13.0,,4.0,,,,,,,,
42,-0.3,Edenílson,282,,1.67,4,Edenílson,23,4.46,edenilson,Edenílson Andrade dos Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,-0.17,6,True,63289,33,Atlético-MG,,,,15.0,11.0,,,,2.0,,20.0,2.0,1.0,,,,,,,,
43,0.0,R. Moledo,285,,1.26,3,Rodrigo Moledo,7,2.82,rodrigo-moledo,Rodrigo Modesto da Silva Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,0.0,3,False,63354,33,Internacional,,,,2.0,3.0,,,1.0,,3.0,4.0,1.0,,,1.0,,,,,,
44,5.6,A. Patrick,285,,3.55,4,Alan Patrick,30,9.42,alan-patrick,Alan Patrick Lourenço,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,0.81,7,True,68685,33,Internacional,,,,27.0,50.0,,,,5.0,5.0,15.0,7.0,21.0,3.0,4.0,1.0,,,,,
45,3.4,Eduardo,263,,4.14,4,Eduardo,29,12.27,eduardo,Carlos Eduardo de Oliveira Alves,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,0.47,2,True,68708,33,Botafogo,,,,30.0,45.0,,,,5.0,5.0,18.0,10.0,9.0,5.0,,2.0,,,,,
46,0.0,Dodô,277,,2.11,2,Dodô,15,4.03,dodo,José Rodolfo Pires Ribeiro,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,0.0,2,False,68727,33,Santos,,,,11.0,8.0,,,,1.0,3.0,24.0,,2.0,,3.0,,,1.0,,,
47,0.0,Camacho,277,,0.63,4,Camacho,10,1.79,camacho,Guilherme de Aguiar Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,0.0,6,False,68770,33,Santos,1.0,,,18.0,2.0,,,,,3.0,14.0,,,,1.0,,,,,,
48,0.0,M. Lomba,275,,4.83,1,Marcelo Lomba,3,6.17,marcelo-lomba,Marcelo Lomba do Nascimento,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,0.0,6,False,68872,33,Palmeiras,,12.0,,,1.0,,3.0,1.0,,,,,,,,,,,,,
49,5.0,W. Silva,1371,,2.64,5,Wellington Silva,28,5.13,wellington-silva,Wellington Alves da Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,0.27,2,True,68895,33,Cuiabá,,,,13.0,38.0,,,,2.0,1.0,26.0,5.0,6.0,1.0,3.0,,,,,,
50,0.2,Vinicius,290,,2.52,5,Vinicius,20,6.23,vinicius,Vinicius Santos Silva,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,-0.45,6,True,68917,33,Goiás,,,,15.0,11.0,,,,2.0,1.0,16.0,6.0,14.0,,4.0,1.0,,,,,
51,0.0,Dudu,275,,6.04,5,Dudu,14,14.16,dudu,Eduardo Pereira Rodrigues,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,0.0,5,False,68920,33,Palmeiras,,,,9.0,40.0,,,,3.0,,7.0,7.0,11.0,3.0,3.0,1.0,,,,,
52,1.6,Gil,264,,3.77,3,Gil,29,6.27,gil,Carlos Gilberto do Nascimento Silva,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,-0.71,7,True,68923,33,Corinthians,,,,27.0,8.0,,,8.0,2.0,8.0,32.0,9.0,8.0,2.0,5.0,,,,,,
53,9.5,Rafael,276,,3.21,1,Rafael,27,8.57,rafael,Rafael Pires Monteiro,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,0.1,7,True,68928,33,São Paulo,,71.0,,,3.0,,31.0,9.0,,1.0,1.0,,,,,,,,,,
54,0.0,R. Cabral,283,,3.78,1,Rafael Cabral,29,9.53,rafael-cabral,Rafael Cabral Barbosa,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,0.0,7,False,68940,33,Cruzeiro,,82.0,,,4.0,,27.0,11.0,,3.0,1.0,,,,,,,1.0,,,
55,0.0,L. Castán,283,,3.36,3,Luciano Castán,28,6.57,luciano-castan,Luciano Castán da Silva,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,0.0,7,False,68942,33,Cruzeiro,,,,20.0,14.0,,,11.0,,6.0,18.0,7.0,8.0,1.0,1.0,,,,,,
