,atletas.slug,atletas.clube_id,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.foto,atletas.jogos_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.apelido,atletas.nome,atletas.apelido_abreviado,atletas.preco_num,atletas.media_num,A,CA,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,PP,CV,V,DE,GS,PS,DP,PI
192,danilo-barbosa,263,86777,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_6wIsdHM.png,15,6,Botafogo,28,Danilo Barbosa,Danilo Barbosa da Silva,D. Barbosa,4.62,1.76,,1.0,10.0,8.0,,3.0,15.0,,,,,1.0,,,,,,,,,
193,rodrigo-pinho,294,86799,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vRioSFE.png,10,6,Coritiba,28,Rodrigo Pinho,Rodrigo Cunha Pereira de Pinho,R. Pinho,3.27,1.57,,2.0,3.0,8.0,4.0,5.0,10.0,1.0,,,,,4.0,,,,,,,,
194,boschilia,294,86841,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_f9gTrC7.png,11,6,Coritiba,28,Boschilia,Gabriel Boschilia,Boschilia,5.85,3.17,1.0,1.0,8.0,6.0,5.0,7.0,7.0,,,,,1.0,,,,,,,,,
195,jose-welison,356,86859,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_Sq4MDcU.png,16,6,Fortaleza,28,José Welison,José Welison da Silva,J. Welison,4.08,3.38,2.0,6.0,26.0,24.0,2.0,10.0,15.0,,,,,1.0,1.0,,,,,,,,
196,marlon,327,86864,5.0,,0.64,True,2,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_hRhEq94.png,16,7,América-MG,28,Marlon,Marlon Matheus Lopes do Nascimento,Marlon,5.94,3.29,1.0,1.0,29.0,11.0,1.0,3.0,23.0,,1.0,,1.0,,,,,,,,,,
197,leo-jardim,267,87008,3.0,,-0.97,True,1,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_2NC7Cvz.png,27,7,Vasco,28,Léo Jardim,Leonardo César Jardim,L. Jardim,9.97,3.48,,2.0,,,,,2.0,,,,5.0,,,,,,102.0,39.0,,1.0,
198,nathan,284,87009,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,16,5,Grêmio,28,Nathan,Nathan Allan de Souza,Nathan,4.32,1.78,1.0,2.0,12.0,12.0,4.0,5.0,12.0,,,,,,1.0,,,,,,,,
199,pedro-henrique,293,87225,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Pmz9ta0.png,11,6,Athlético-PR,28,Pedro Henrique,Pedro Henrique Ribeiro Gonçalves,P. Henrique,8.95,3.65,,3.0,10.0,14.0,1.0,5.0,5.0,,,,4.0,1.0,2.0,,,,,,,,
200,guilherme-arana,282,87228,4.4,,-0.13,True,2,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,18,7,Atlético-MG,28,Guilherme Arana,Guilherme Antonio Arana Lopes,G. Arana,10.54,4.68,,1.0,25.0,13.0,4.0,10.0,19.0,,,,8.0,,,,1.0,,,,,,
201,carlos-de-pena,285,87242,-0.6,,-1.51,True,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8NTSnKt.png,20,6,Internacional,28,Carlos de Pena,Carlos María de Pena Bonino,C. Pena,6.66,2.58,,3.0,21.0,17.0,7.0,10.0,12.0,,,1.0,,2.0,,,1.0,,,,,,
202,soteldo,277,87258,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xCE9nv8.png,12,6,Santos,28,Soteldo,Yeferson Julio Soteldo Martínez,Soteldo,7.92,4.66,4.0,3.0,9.0,3.0,5.0,6.0,27.0,1.0,,,,1.0,3.0,,2.0,,,,,,
203,kannemann,284,87342,2.9,,-0.13,True,3,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png,19,7,Grêmio,28,Kannemann,Walter Kannemann,Kannemann,8.28,3.8,1.0,10.0,42.0,32.0,3.0,2.0,19.0,,,,5.0,,,,1.0,,,,,,
204,allano,290,87391,4.6,,0.9,True,5,https://s.sde.globo.com/media/person_role/2023/08/08/photo_FORMATO_tmBtY58.png,13,7,Goiás,28,Allano,Allano Brendon de Souza Lima,Allano,5.46,3.37,,4.0,18.0,14.0,7.0,6.0,23.0,2.0,,,,,3.0,,,,,,,,
205,messias,277,87402,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png,19,6,Santos,28,Messias,Messias Rodrigues da Silva Júnior,Messias,6.25,2.65,,2.0,21.0,16.0,2.0,2.0,8.0,,,1.0,5.0,,1.0,,,,,,,,
206,thaciano,265,87470,-0.3,,-0.6,True,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_dQGg2S1.png,26,7,Bahia,28,Thaciano,Thaciano Mickael da Silva,Thaciano,10.89,4.51,3.0,2.0,34.0,26.0,9.0,24.0,23.0,2.0,,,,3.0,5.0,,,,,,,,
207,vitor-bueno,293,87552,-0.1,,-0.31,True,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png,21,7,Athlético-PR,28,Vitor Bueno,Vitor Frezarin Bueno,V. Bueno,7.24,4.05,3.0,6.0,9.0,12.0,11.0,15.0,28.0,2.0,,,,3.0,4.0,,,,,,,,
208,mateus-pasinato,327,87603,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_Zcws9I1.png,10,6,América-MG,28,Mateus Pasinato,Mateus Pasinato,M. Pasinato,3.03,2.6,,1.0,,,,,2.0,,,,1.0,,,,,,41.0,20.0,,,
209,yago-felipe,265,87747,5.0,,-0.07,True,4,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png,17,7,Bahia,28,Yago Felipe,Yago Felipe da Costa Rocha,Y. Felipe,4.83,1.57,,5.0,23.0,28.0,1.0,5.0,15.0,,,,,,,,,,,,,,
210,philipe-sampaio,263,87808,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_E29teNI.png,9,6,Botafogo,28,Philipe Sampaio,Philipe Sampaio Azevedo,P. Sampaio,3.23,2.43,,2.0,6.0,6.0,,2.0,4.0,,,,3.0,,1.0,,,,,,,,
211,mauricio-lemos,282,87853,0.7,,-0.84,True,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,20,3,Atlético-MG,28,Mauricio Lemos,Paolo Mauricio Lemos Merladett,M. Lemos,9.79,4.43,,9.0,27.0,20.0,6.0,6.0,13.0,1.0,,,9.0,1.0,2.0,,1.0,,,,,,
212,arrascaeta,262,87863,6.1,,0.91,True,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_CaSgg7s.png,18,7,Flamengo,28,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,Arrascaeta,13.63,5.63,5.0,3.0,17.0,18.0,5.0,11.0,22.0,2.0,,,,4.0,4.0,,,,,,1.0,,
213,alan-empereur,1371,88033,1.4,,-0.53,True,3,https://s.sde.globo.com/media/person_role/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,23,7,Cuiabá,28,Alan Empereur,Alan Pereira Empereur,A. Empereur,4.88,2.56,1.0,6.0,13.0,11.0,3.0,5.0,10.0,,1.0,,6.0,1.0,,,,,,,,,
214,jorge,266,88065,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_Rnoad6D.png,0,5,Fluminense,28,Jorge,Jorge Marco de Oliveira Moraes,Jorge,4.0,0.0,,,,,,,,,,,,,,,,,,,,,
215,ivan,267,88136,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_qStnmUz.png,0,6,Vasco,28,Ivan,Ivan Quaresma da Silva,Ivan,5.0,0.0,,,,,,,,,,,,,,,,,,,,,
216,aguerre,327,88237,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_HgqxxNH.png,2,6,América-MG,28,Aguerre,Washington Omar Aguerre Lima,Aguerre,1.45,-1.25,,1.0,,,,,1.0,,,,,,,,,,2.0,4.0,,,
217,angel-romero,264,88323,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_CufTSrv.png,12,6,Corinthians,28,Ángel Romero,Ángel Rodrigo Romero Villamayor,Ã. Romero,3.38,2.19,1.0,1.0,6.0,4.0,1.0,2.0,11.0,,,,,1.0,,,,,,,,,
218,gabriel-dias,267,88368,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_SmDR7cT.png,1,6,Vasco,28,Gabriel Dias,Gabriel Dias de Oliveira,G. Dias,2.89,4.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
219,ayrton-lucas,262,88393,7.0,,-0.87,True,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png,25,7,Flamengo,28,Ayrton Lucas,Ayrton Lucas Dantas de Medeiros,A. Lucas,15.36,5.83,1.0,6.0,38.0,34.0,5.0,5.0,37.0,,,,10.0,4.0,,,,,,,1.0,,
220,aderlan,280,88423,9.6,,1.03,True,2,https://s.sde.globo.com/media/person_role/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,19,7,Bragantino,28,Aderlan,Aderlan de Lima Silva,Aderlan,9.84,4.64,1.0,5.0,35.0,29.0,,4.0,9.0,2.0,,1.0,9.0,,,,1.0,,,,,,
221,lucas-crispim,356,88597,0.1,,-0.76,True,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_EvxhSX5.png,10,6,Fortaleza,28,Lucas Crispim,Lucas de Figueiredo Crispim,L. Crispim,3.32,1.14,,,3.0,4.0,1.0,3.0,5.0,1.0,,,,,1.0,,,,,,,,
222,slimani,294,88744,1.2,,-0.5,True,5,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_yTHJHMX.png,6,7,Coritiba,28,Slimani,Islam Slimani,Slimani,9.68,6.17,1.0,,2.0,7.0,6.0,7.0,7.0,,,,,2.0,6.0,,,,,,,,
223,marcelino-moreno,294,88857,1.9,,-0.01,True,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_gNmfi9P.png,22,7,Coritiba,28,Marcelino Moreno,Damián Marcelino Moreno,M. Moreno,6.12,4.21,4.0,3.0,21.0,12.0,10.0,6.0,55.0,1.0,,1.0,,1.0,3.0,,,,,,,,
224,luan-polli,294,88916,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_BtY3LFq.png,4,5,Coritiba,28,Luan Polli,Luan Polli Gomes,L. Polli,2.51,0.88,,2.0,,,,,1.0,,,,,,,,,,12.0,7.0,,,
225,iago-maidana,327,89226,1.9,,-0.22,True,3,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_CEXnMRV.png,23,7,América-MG,28,Iago Maidana,Iago Justen Maidana Martins,I. Maidana,2.46,1.08,,5.0,17.0,26.0,4.0,7.0,6.0,,,1.0,1.0,,1.0,,,,,,,,
226,gerson,262,89256,9.0,,1.05,True,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png,23,7,Flamengo,28,Gerson,Gerson Santos da Silva,Gerson,12.06,4.91,5.0,3.0,19.0,34.0,4.0,6.0,58.0,,,1.0,,5.0,4.0,,,,,,1.0,,
227,joao-pedro,284,89273,0.6,,0.06,True,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ux7O1sm.png,22,7,Grêmio,28,João Pedro,João Pedro Maturano dos Santos,J. Pedro,10.48,3.64,1.0,1.0,20.0,15.0,,2.0,18.0,,1.0,,5.0,3.0,,,,,,,,,
228,william,283,89275,11.0,,1.02,True,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png,23,7,Cruzeiro,28,William,Willian de Asevedo Furtado,William,11.17,5.33,1.0,4.0,45.0,29.0,2.0,9.0,34.0,,,,10.0,,1.0,,,,,,,,
229,igor-rabello,282,89493,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,5,6,Atlético-MG,28,Igor Rabello,Igor Rabello da Costa,I. Rabello,5.23,3.94,,1.0,10.0,6.0,,,1.0,,,,2.0,,,,,,,,,,
230,thiago-maia,262,89637,1.4,,0.24,True,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png,25,7,Flamengo,28,Thiago Maia,Thiago Maia Alencar,T. Maia,5.91,1.68,,5.0,42.0,27.0,,3.0,6.0,,,1.0,,,,,,,,,,,
231,calleri,276,89840,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,18,5,São Paulo,28,Calleri,Jonathan Calleri,Calleri,16.64,6.47,2.0,5.0,4.0,37.0,10.0,13.0,33.0,2.0,,,,9.0,14.0,,,,,,2.0,,
232,cristaldo,284,89846,1.7,,-0.07,True,4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png,23,7,Grêmio,28,Cristaldo,Franco Cristaldo,Cristaldo,10.86,4.89,3.0,,24.0,7.0,10.0,7.0,31.0,,,,,5.0,4.0,1.0,,,,,2.0,,
233,dodi,277,89883,0.5,,-0.05,True,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png,23,7,Santos,28,Dodi,Douglas Moreira Fagundes,Dodi,4.34,1.87,,8.0,31.0,34.0,3.0,4.0,34.0,,,,,,,,,,,,,,
234,everton-galdino,284,89918,0.0,,-0.02,True,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png,18,6,Grêmio,28,Everton Galdino,Everton Galdino Moreira,E. Galdino,4.75,2.2,1.0,2.0,6.0,5.0,6.0,6.0,6.0,,,,,2.0,,,,,,,,,
235,mendoza,277,90031,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_fdX9HMF.png,18,6,Santos,28,Mendoza,John Stiven Mendoza Valencia,Mendoza,12.94,5.82,2.0,4.0,14.0,19.0,7.0,16.0,45.0,1.0,,,,5.0,2.0,,,,,,1.0,,
236,bruno-pacheco,356,90061,0.7,,-1.44,True,2,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_PYjs4Li.png,23,6,Fortaleza,28,Bruno Pacheco,Bruno de Jesus Pacheco,B. Pacheco,11.33,6.35,3.0,3.0,46.0,43.0,3.0,9.0,40.0,,,,9.0,2.0,,,,,,,,,
237,edu,294,90120,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_o4zQHNu.png,6,6,Coritiba,28,Edu,Eduardo Nascimento da Silva Júnior,Edu,4.44,2.25,,,1.0,1.0,2.0,3.0,,,,,,1.0,2.0,,,,,,,,
238,rai-ramos,276,90232,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/04/15/photo_FORMATO_p3UWrBW.png,5,6,São Paulo,28,Raí Ramos,Raí dos Reis Ramos,R. Ramos,4.51,3.16,,2.0,4.0,5.0,2.0,2.0,1.0,,,,2.0,,,,,,,,,,
239,bruno-henrique,262,90285,2.7,,-0.06,True,5,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PsLr2Kh.png,21,7,Flamengo,28,Bruno Henrique,Bruno Henrique Pinto,B. Henrique,6.38,2.91,,5.0,14.0,19.0,12.0,10.0,33.0,,,,,2.0,8.0,,,,,,1.0,,
240,jailson,275,90290,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_borikKg.png,5,6,Palmeiras,28,Jailson,Jaílson Marques Siqueira,Jailson,3.69,1.28,,,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
241,pedro-rocha,356,90302,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2022/09/28/photo_FORMATO_wjBokpm.png,0,6,Fortaleza,28,Pedro Rocha,Pedro Rocha Neves,P. Rocha,5.0,0.0,,,,,,,,,,,,,,,,,,,,,
242,david,276,90309,4.5,,0.22,True,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_zc5jjjt.png,14,7,São Paulo,28,David,David Correa da Fonseca,David,4.54,2.87,2.0,4.0,6.0,13.0,4.0,7.0,10.0,,,,,2.0,6.0,,,,,,,,
243,rezende,265,90449,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png,23,6,Bahia,28,Rezende,Júlio César Rezende de Miranda,Rezende,7.45,3.5,2.0,6.0,57.0,45.0,2.0,7.0,19.0,,,1.0,,1.0,,,1.0,,,,,,
244,diego-goncalves,290,90540,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_eh2bZ7u.png,10,6,Goiás,28,Diego Gonçalves,Diego Gonçalves,D. Gonçalves,1.86,0.96,,1.0,3.0,7.0,2.0,3.0,9.0,,,,,,1.0,,,,,,,,
245,mateus-claus,265,90590,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_UPFwDzZ.png,1,6,Bahia,28,Mateus Claus,Mateus Eduardo Claus,M. Claus,1.95,-1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,
246,lucas-mineiro,1371,90634,2.8,,0.33,True,4,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_AlOmB6m.png,10,7,Cuiabá,28,Lucas Mineiro,Lucas da Silva Izidoro,L. Mineiro,2.88,0.66,,3.0,6.0,12.0,,3.0,7.0,,,,,,,,,,,,,,
247,fabricio-bruno,262,90768,8.4,,0.6,True,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_zrQ4flU.png,25,3,Flamengo,28,Fabrício Bruno,Fabrício Bruno Soares de Faria,F. Bruno,9.89,3.52,1.0,6.0,22.0,11.0,3.0,2.0,15.0,1.0,,,10.0,,,,,,,,,,
248,everaldo,327,91151,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_5VgdyWf.png,15,6,América-MG,28,Everaldo,Everaldo Silva do Nascimento,Everaldo,8.75,4.01,3.0,5.0,17.0,14.0,3.0,6.0,24.0,2.0,,,,1.0,5.0,,,,,,,,
249,pk,1371,91190,0.0,,-0.18,True,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_kfJYHxI.png,9,6,Cuiabá,28,PK,Ítaro Patric Cardoso Calmon,PK,3.29,1.51,,1.0,10.0,10.0,,2.0,4.0,,,,1.0,,,,1.0,,,,,,
250,eder,327,91203,-0.3,,-0.1,True,3,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ELJqlLk.png,16,7,América-MG,28,Éder,Éder Ferreira Graminho,Éder,2.18,0.78,,4.0,18.0,18.0,1.0,1.0,3.0,,,,,,3.0,,1.0,,,,,,
251,carballo,284,91254,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NYg6Ymv.png,15,6,Grêmio,28,Carballo,Felipe Ignacio Carballo Ares,Carballo,4.07,2.37,,1.0,18.0,11.0,2.0,6.0,6.0,,,,,1.0,,,,,,,,,
252,lucas-perri,263,91260,-1.0,,-0.93,True,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_83wBpb6.png,28,6,Botafogo,28,Lucas Perri,Lucas Estella Perri,L. Perri,11.64,5.84,,1.0,,,,,3.0,,,,14.0,,,,,,110.0,17.0,,,
253,marcelo-fernandes,277,91274,2.84,,-0.22,True,6,https://s.sde.globo.com/media/person_role/2021/04/27/7f50feb3c2bff8d96ced4bd8a038efad_220x220.png,4,7,Santos,28,Marcelo Fernandes,Marcelo Faria Fernandes,M. Fernandes,8.8,4.77,,,,,,,,,,,,,,,,2.0,,,,,
254,erick-pulgar,262,91473,1.7,,-0.18,True,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_xuM4Nls.png,17,7,Flamengo,28,Erick Pulgar,Erick Antonio Pulgar Farfán,E. Pulgar,4.32,2.93,,5.0,26.0,33.0,3.0,6.0,7.0,2.0,,,,2.0,3.0,,,,,,,,
255,arboleda,276,91573,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png,13,5,São Paulo,28,Arboleda,Robert Abel Arboleda Escobar,Arboleda,8.16,4.73,,,19.0,3.0,3.0,3.0,8.0,1.0,,,6.0,,4.0,,1.0,,,,,,
256,rony,275,91607,3.2,,0.74,True,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_eJOedW8.png,23,6,Palmeiras,28,Rony,Ronielson da Silva Barbosa,Rony,9.3,3.2,,2.0,8.0,19.0,12.0,13.0,28.0,1.0,,,,4.0,20.0,,,,,,,,
257,adryelson,263,91664,0.5,,-0.79,True,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_3WVFnva.png,27,6,Botafogo,28,Adryelson,Adryelson Shawann Lima Silva,Adryelson,7.3,4.24,1.0,5.0,23.0,14.0,4.0,2.0,13.0,,,,14.0,1.0,,,,,,,,,
258,matheus-jussa,283,91689,0.4,,-0.29,True,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vMaiFUT.png,20,7,Cruzeiro,28,Matheus Jussa,Matheus Isaías dos Santos,M. Jussa,2.32,1.36,,7.0,22.0,37.0,3.0,6.0,5.0,,,,,1.0,,,,,,,,,
259,marlon,283,91706,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_vrVAWB7.png,25,6,Cruzeiro,28,Marlon,Marlon Rodrigues Xavier,Marlon,16.92,7.87,2.0,6.0,97.0,27.0,5.0,9.0,20.0,,,,9.0,2.0,1.0,,,,,,,,
260,nino,266,91708,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_U5c1E7V.png,21,5,Fluminense,28,Nino,Marcílio Florêncio Mota Filho,Nino,10.76,3.48,,4.0,9.0,22.0,3.0,3.0,22.0,1.0,,,8.0,2.0,,,1.0,,,,,,
261,matheus-alves,290,91712,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_voSytVs.png,0,6,Goiás,28,Matheus Alves,Matheus Alves da Silva Cardoso,M. Alves,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
262,david-duarte,265,91772,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0ibQkD2.png,8,6,Bahia,28,David Duarte,David de Duarte Macedo,D. Duarte,5.2,3.6,,1.0,6.0,4.0,,1.0,4.0,1.0,,,2.0,1.0,,,,,,,,,
263,hayner,294,91856,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uNyULXz.png,4,6,Coritiba,28,Hayner,Hayner Willian Monjardim Cordeiro,Hayner,3.75,3.12,1.0,2.0,3.0,7.0,,,6.0,,,,1.0,,,,,,,,,,
264,ze-ivaldo,293,91866,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ZOxQ99E.png,14,6,Athlético-PR,28,Zé Ivaldo,José Ivaldo Almeida Silva,Z. Ivaldo,4.69,2.61,,2.0,14.0,19.0,1.0,1.0,9.0,,,1.0,5.0,,1.0,,1.0,,,,,,
265,pavon,282,91908,1.6,,0.18,True,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_U1jXQaU.png,25,6,Atlético-MG,28,Pavón,Cristian David Pavón,Pavón,8.84,4.53,4.0,6.0,30.0,18.0,13.0,20.0,22.0,1.0,,,,3.0,10.0,,,,,,,,
266,wesley-carvalho,293,91971,3.32,,-0.52,True,6,https://s.sde.globo.com/media/person_role/2022/05/05/21d7b4d24237a06ec8872f1ff041e713_FORMATO.png,17,7,Athlético-PR,28,Wesley Carvalho,Wesley Oliveira de Carvalho,W. Carvalho,11.52,5.21,,,,,,,,,,,,,,,,6.0,,,,,
267,ramon-diaz,267,92075,3.36,,-0.71,True,6,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,13,7,Vasco,28,Ramón Díaz,Ramón Ángel Díaz,R. Díaz,9.55,5.22,,,,,,,,,,,,,,,,5.0,,,,,
268,caique,284,92207,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_bq0AF4S.png,1,6,Grêmio,28,Caíque,Caíque Luiz Santos da Purificação,Caíque,4.18,8.0,,,,,,,,,,,1.0,,,,,,3.0,,,,
269,rodrigo-ely,284,92237,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/08/03/photo_220x220_mGnJe3Z.png,6,6,Grêmio,28,Rodrigo Ely,Rodrigo Ely,R. Ely,4.6,2.43,,3.0,2.0,6.0,,,4.0,,,,3.0,,,,,,,,,,
270,raul,280,92496,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/05/05/278a2f0c3cd97ace8138ffbe2f23d81d_FORMATO.png,2,7,Bragantino,28,Raul,Raul Lô Gonçalves,Raul,3.63,-0.4,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
271,renato-kayzer,327,92696,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_NWhDcn5.png,2,5,América-MG,28,Renato Kayzer,Renato Kayzer de Souza,R. Kayzer,3.79,1.45,,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,
272,deyverson,1371,92708,1.2,,-1.24,True,5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_AvLd8xm.png,25,7,Cuiabá,28,Deyverson,Deyverson Brum Silva Acosta,Deyverson,8.54,5.65,2.0,4.0,7.0,26.0,16.0,15.0,46.0,2.0,,,,10.0,24.0,1.0,,,,,1.0,,
273,bruno-rodrigues,283,92811,3.5,,-0.01,True,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_xfgmkoy.png,25,7,Cruzeiro,28,Bruno Rodrigues,Bruno Rafael Rodrigues do Nascimento,B. Rodrigues,12.2,4.93,3.0,3.0,22.0,16.0,15.0,25.0,43.0,1.0,,,,4.0,18.0,1.0,,,,,1.0,,
274,palacios,283,92855,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/07/05/photo_FORMATO.png,7,6,Cruzeiro,28,Palacios,Helibelton Palacios Zapata,Palacios,3.38,2.09,,3.0,9.0,20.0,,1.0,4.0,,,,2.0,,,,,,,,,,
275,mateus-vital,283,93108,0.0,,-0.14,True,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CifS8My.png,24,6,Cruzeiro,28,Mateus Vital,Mateus da Silva Vital Assumpção,M. Vital,6.08,2.39,1.0,,18.0,14.0,9.0,15.0,19.0,1.0,,,,,1.0,,,,,,,,
276,rafael-ramos,264,93236,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Tdjz7Nn.png,0,6,Corinthians,28,Rafael Ramos,Rafael António Figueiredo Ramos,R. Ramos,4.0,0.0,,,,,,,,,,,,,,,,,,,,,
