,atletas.slug,atletas.clube_id,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.foto,atletas.jogos_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.apelido,atletas.nome,atletas.apelido_abreviado,atletas.preco_num,atletas.media_num,A,CA,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,PP,CV,V,DE,GS,PS,DP,PI
18,fagner,264,42500,0.6,,-0.24,True,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,20,7,Corinthians,28,Fagner,Fagner Conserva Lemos,Fagner,7.44,3.48,1.0,8.0,26.0,16.0,1.0,3.0,29.0,1.0,,,5.0,,,,,,,,,,
19,luiz-felipe-scolari,282,43618,2.03,,-0.97,True,6,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,18,7,Atlético-MG,28,Luiz Felipe Scolari,Luiz Felipe Scolari,L. Scolari,10.75,5.19,,,,,,,,,,,,,,,,7.0,,,,,
20,tite,262,45125,7.07,,0.93,True,6,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,2,7,Flamengo,28,Tite,Adenor Leonardo Bachi,Tite,11.54,7.28,,,,,,,,,,,,,,,,2.0,,,,,
21,alexandre-pato,276,49675,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,9,6,São Paulo,28,Alexandre Pato,Alexandre Rodrigues da Silva,A. Pato,3.98,1.95,,,1.0,1.0,1.0,2.0,4.0,,,,,2.0,2.0,1.0,,,,,,,
22,david-braz,266,50317,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,13,6,Fluminense,28,David Braz,David Braz de Oliveira Filho,D. Braz,5.53,3.07,,1.0,6.0,8.0,1.0,3.0,5.0,,,,6.0,,,,,,,,,,
23,alan-kardec,282,50347,-0.3,,-0.11,True,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,12,6,Atlético-MG,28,Alan Kardec,Alan Kardec de Sousa Pereira Júnior,A. Kardec,3.91,0.81,,1.0,1.0,7.0,,3.0,3.0,,,,,1.0,3.0,,,,,,,,
24,titi,356,50353,-1.0,,-0.68,False,3,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,23,6,Fortaleza,28,Titi,Christian Chagas Tarouco,Titi,7.21,3.53,1.0,9.0,35.0,26.0,1.0,3.0,21.0,,,3.0,8.0,,1.0,,,,,,,,
25,henrique,294,50856,0.9,,0.12,True,3,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,17,7,Coritiba,28,Henrique,Henrique Adriano Buss,Henrique,2.92,1.41,,5.0,11.0,16.0,3.0,1.0,2.0,,,,3.0,,,,,,,,,,
26,apodi,290,51042,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,10,6,Goiás,28,Apodi,Luiz Diallison de Souza Alves,Apodi,4.53,2.21,,1.0,3.0,6.0,5.0,1.0,2.0,,,,1.0,1.0,5.0,,,,,,1.0,,
27,walter,1371,51413,1.0,,-1.0,True,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,26,7,Cuiabá,28,Walter,Walter Leandro Capeloza Artune,Walter,6.11,3.04,,2.0,,,,,2.0,,,1.0,7.0,,,,,,75.0,29.0,,,
28,giuliano,264,51548,10.0,,1.65,True,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,20,6,Corinthians,28,Giuliano,Giuliano Victor de Paula,Giuliano,4.11,1.35,,1.0,11.0,11.0,2.0,3.0,11.0,,,,,1.0,,,,,,,,,
29,everton-ribeiro,262,51772,0.5,,-0.22,True,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,23,6,Flamengo,28,Everton Ribeiro,Everton Augusto de Barros Ribeiro,E. Ribeiro,8.6,3.27,3.0,2.0,18.0,14.0,5.0,5.0,34.0,1.0,,1.0,,2.0,1.0,,,,,,,,
30,rever,282,52253,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,6,6,Atlético-MG,28,Réver,Réver Humberto Alves Araújo,Réver,4.77,4.2,,1.0,,1.0,,,1.0,,,,5.0,,,,,,,,,,
31,david-luiz,262,52827,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,15,5,Flamengo,28,David Luiz,David Luiz Moreira Marinho,D. Luiz,7.06,3.5,1.0,1.0,12.0,15.0,2.0,2.0,3.0,,,,5.0,1.0,,,,,,,,,
32,alex-teixeira,267,60793,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,16,6,Vasco,28,Alex Teixeira,Alex Teixeira Santos,A. Teixeira,5.79,2.56,3.0,1.0,7.0,21.0,6.0,10.0,21.0,,,,,,8.0,,,,,,,,
33,felipe-azevedo,327,60825,1.3,,-0.59,True,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,20,7,América-MG,28,Felipe Azevedo,Felipe Azevedo dos Santos,F. Azevedo,5.59,3.71,1.0,2.0,12.0,19.0,8.0,10.0,21.0,1.0,,,,4.0,4.0,,,,,,,,
34,uendel,1371,60852,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,4,6,Cuiabá,28,Uendel,Uendel Pereira Gonçalves,Uendel,3.66,2.3,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,,,
35,cicinho,265,61106,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,9,6,Bahia,28,Cicinho,Neuciano de Jesus Gusmão,Cicinho,3.77,3.63,,3.0,13.0,19.0,2.0,1.0,9.0,1.0,,,3.0,,,,,,,,,,
36,gilberto,283,61188,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,20,6,Cruzeiro,28,Gilberto,Gilberto Oliveira Souza Júnior,Gilberto,7.86,2.8,1.0,4.0,8.0,20.0,6.0,19.0,11.0,,,,,3.0,4.0,,,,,,,,
37,ganso,266,62977,1.2,,-0.83,True,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,20,7,Fluminense,28,Ganso,Paulo Henrique Chagas de Lima,Ganso,10.15,3.95,4.0,2.0,16.0,13.0,3.0,5.0,28.0,,,,,3.0,1.0,,,,,,,,
38,junior-caicara,277,63011,0.0,,-0.55,True,2,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,3,6,Santos,28,Júnior Caiçara,Uilson de Souza Paula Júnior,J. Caiçara,2.19,0.8,,1.0,3.0,2.0,,,1.0,,,,,,1.0,,,,,,,,
39,marcos-rocha,275,63013,5.0,,0.55,True,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,12,6,Palmeiras,28,Marcos Rocha,Marcos Luis Rocha Aquino,M. Rocha,5.97,4.34,,1.0,20.0,13.0,,,8.0,,,1.0,6.0,,,,,,,,,,
40,fransergio,294,63024,0.0,,-0.15,True,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,12,6,Coritiba,28,Fransérgio,Fransérgio Rodrigues Barbosa,Fransérgio,3.68,1.29,,,7.0,5.0,1.0,5.0,7.0,,,,,,1.0,,,,,,,,
41,willian-farias,294,63058,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,7,6,Coritiba,28,Willian Farias,Willian Roberto Farias,W. Farias,3.19,1.18,,2.0,7.0,9.0,,2.0,6.0,,,,,,,,,,,,,,
42,edenilson,282,63289,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,20,6,Atlético-MG,28,Edenílson,Edenílson Andrade dos Santos,Edenílson,5.15,1.87,2.0,,19.0,14.0,2.0,1.0,11.0,,,,,,,,,,,,,,
43,rodrigo-moledo,285,63354,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,7,3,Internacional,28,Rodrigo Moledo,Rodrigo Modesto da Silva Moledo,R. Moledo,2.82,1.26,,3.0,4.0,2.0,1.0,,3.0,,,,1.0,,1.0,,,,,,,,
44,alan-patrick,285,68685,14.9,,2.13,True,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,25,7,Internacional,28,Alan Patrick,Alan Patrick Lourenço,A. Patrick,10.53,3.13,4.0,4.0,12.0,19.0,4.0,12.0,41.0,1.0,,,,2.0,3.0,,,,,,,,
45,eduardo,263,68708,0.4,,-0.85,True,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,25,6,Botafogo,28,Eduardo,Carlos Eduardo de Oliveira Alves,Eduardo,12.08,4.21,5.0,5.0,16.0,28.0,7.0,9.0,42.0,2.0,,,,4.0,,,,,,,,,
46,dodo,277,68727,2.1,,-0.31,True,2,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,13,7,Santos,28,Dodô,José Rodolfo Pires Ribeiro,Dodô,3.9,1.99,1.0,3.0,18.0,8.0,,2.0,7.0,,,,,,3.0,,,,,,,,
47,camacho,277,68770,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,10,6,Santos,28,Camacho,Guilherme de Aguiar Camacho,Camacho,1.79,0.63,,3.0,14.0,18.0,,,2.0,,,,,,1.0,,1.0,,,,,,
48,marcelo-lomba,275,68872,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,3,6,Palmeiras,28,Marcelo Lomba,Marcelo Lomba do Nascimento,M. Lomba,6.17,4.83,,,,,,,1.0,,,,1.0,,,,,,12.0,3.0,,,
49,wellington-silva,1371,68895,2.9,,-0.11,True,5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,23,6,Cuiabá,28,Wellington Silva,Wellington Alves da Silva,W. Silva,4.85,2.84,1.0,1.0,24.0,11.0,5.0,6.0,34.0,,,,,1.0,2.0,,,,,,,,
50,vinicius,290,68917,-0.4,,-0.17,True,5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,17,6,Goiás,28,Vinicius,Vinicius Santos Silva,Vinicius,6.26,2.49,1.0,1.0,15.0,11.0,6.0,11.0,10.0,1.0,,,,,4.0,,,,,,,,
51,dudu,275,68920,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,14,5,Palmeiras,28,Dudu,Eduardo Pereira Rodrigues,Dudu,14.16,6.04,3.0,,7.0,9.0,7.0,11.0,40.0,1.0,,,,3.0,3.0,,,,,,,,
52,gil,264,68923,7.4,,1.23,True,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,24,7,Corinthians,28,Gil,Carlos Gilberto do Nascimento Silva,Gil,6.75,3.39,1.0,7.0,25.0,21.0,5.0,6.0,6.0,,,,6.0,2.0,4.0,,,,,,,,
53,rafael,276,68928,7.0,,1.45,True,1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,23,7,São Paulo,28,Rafael,Rafael Pires Monteiro,Rafael,8.15,3.01,,,1.0,,,,2.0,,,,7.0,,,,,,57.0,25.0,,,
54,rafael-cabral,283,68940,6.0,,1.26,True,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,26,7,Cruzeiro,28,Rafael Cabral,Rafael Cabral Barbosa,R. Cabral,10.69,3.94,,3.0,1.0,,,,4.0,,,1.0,10.0,,,,,,77.0,24.0,,,
55,luciano-castan,283,68942,5.5,,0.91,True,3,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,25,7,Cruzeiro,28,Luciano Castán,Luciano Castán da Silva,L. Castán,7.14,3.35,,6.0,15.0,19.0,6.0,7.0,14.0,,,,10.0,1.0,1.0,,,,,,,,
56,marinho,356,68952,5.6,,0.77,True,5,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,16,6,Fortaleza,28,Marinho,Mário Sérgio Santos Costa,Marinho,4.51,3.33,1.0,5.0,10.0,19.0,9.0,9.0,45.0,,,,,1.0,5.0,1.0,,,,,3.0,,
57,lucas-sasha,356,68991,2.4,,-0.7,True,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,14,6,Fortaleza,28,Lucas Sasha,Lucas Pacheco Affini,L. Sasha,6.17,3.22,,3.0,37.0,21.0,1.0,3.0,13.0,,,,,,2.0,,,,,,,,
58,joao-carlos,1371,69010,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,0,6,Cuiabá,28,João Carlos,João Carlos Heidemann,J. Carlos,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
59,santos,262,69012,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,6,6,Flamengo,28,Santos,Aderbar Melo dos Santos Neto,Santos,9.47,3.25,,,,,,,1.0,,,,2.0,,,,,,17.0,8.0,,,
60,manoel,266,69014,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,6,3,Fluminense,28,Manoel,Manoel Messias Silva Carvalho,Manoel,5.19,1.97,,1.0,3.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,
61,marcelo-cirino,293,69022,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,4,6,Athlético-PR,28,Marcelo Cirino,Marcelo Cirino da Silva,M. Cirino,3.44,0.6,,1.0,2.0,2.0,,1.0,2.0,,,,,,2.0,,,,,,,,
62,paulinho,264,69034,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,4,5,Corinthians,28,Paulinho,José Paulo Bezerra Maciel Júnior,Paulinho,4.5,2.1,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
63,vladimir,277,69040,-6.0,,-1.54,True,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,3,7,Santos,28,Vladimir,Vladimir Orlando Cardoso de Araújo Filho,Vladimir,1.51,-1.0,,,,,,,,,,,,,,,1.0,,10.0,13.0,,,
64,danilo-fernandes,265,69051,-1.0,,-1.22,False,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,1,6,Bahia,28,Danilo Fernandes,Danilo Fernandes Batista,D. Fernandes,3.42,6.0,,2.0,,,,,,,,,,,,,,,7.0,,,,
65,james-rodriguez,276,69063,11.7,,1.85,True,4,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,7,7,São Paulo,28,James Rodríguez,James David Rodríguez Rubio,J. Rodríguez,11.55,3.67,2.0,,4.0,7.0,1.0,3.0,5.0,1.0,,,,1.0,1.0,1.0,,,,,,,
66,vargas,282,69102,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,12,5,Atlético-MG,28,Vargas,Eduardo Jesús Vargas Rojas,Vargas,4.1,1.24,,3.0,4.0,7.0,2.0,2.0,4.0,,,,,1.0,,,,,,,1.0,,
67,pablo,293,69138,10.2,,1.53,True,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,20,7,Athlético-PR,28,Pablo,Pablo Felipe Teixeira,Pablo,11.77,4.51,2.0,3.0,15.0,20.0,6.0,16.0,18.0,1.0,,,,5.0,10.0,,,,,,,,
68,pablo,262,69165,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,5,6,Flamengo,28,Pablo,Pablo Nascimento Castro,Pablo,4.5,3.52,,,3.0,5.0,,,1.0,,,,3.0,,,,,,,,,,
69,sidimar,290,69189,1.2,,-0.51,True,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,14,7,Goiás,28,Sidimar,Sidimar Fernando Cigolini,Sidimar,2.56,1.91,,2.0,7.0,8.0,1.0,2.0,6.0,,1.0,,4.0,,1.0,,,,,,,,
70,luis-suarez,284,69318,1.7,,-0.85,True,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,23,3,Grêmio,28,Luis Suárez,Luis Alberto Suárez Díaz,L. Suárez,15.61,8.3,7.0,6.0,10.0,24.0,25.0,29.0,55.0,6.0,,,,8.0,22.0,1.0,,,,,,,
71,aranguiz,285,69325,4.9,,0.09,True,4,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,13,7,Internacional,28,Aránguiz,Charles Mariano Aránguiz Sandoval,Aránguiz,7.37,1.59,1.0,1.0,7.0,13.0,1.0,8.0,9.0,,,,,,,,,,,,,,
72,medel,267,69355,0.0,,0.17,True,4,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,10,7,Vasco,28,Medel,Gary Alexis Medel Soto,Medel,3.81,0.85,,3.0,13.0,7.0,,,2.0,,,,,,,,1.0,,,,,,
73,vidal,293,69375,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,12,5,Athlético-PR,28,Vidal,Arturo Erasmo Vidal Pardo,Vidal,5.23,2.21,,5.0,16.0,13.0,2.0,6.0,12.0,1.0,,,,,,,,,,,,,
