,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.preco_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.apelido,A,CA,CV,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,V,DE,GS,PP,PS,DP,PI
18,Corinthians,0.0,Cássio Roberto Ramos,36,0.0,4.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,42234,10.08,False,1,Cássio,7,,264,cassio,33,Cássio,,2.0,,,,,,5.0,,,1.0,9.0,,,,122.0,35.0,,,,
19,Corinthians,0.0,Fagner Conserva Lemos,36,0.0,3.72,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,42500,8.36,False,2,Fagner,7,,264,fagner,25,Fagner,1.0,10.0,,34.0,22.0,1.0,3.0,34.0,1.0,,,8.0,,,,,,,,,
20,Atlético-MG,10.85,Luiz Felipe Scolari,36,0.34,5.72,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,43618,12.74,True,6,L. Scolari,7,,282,luiz-felipe-scolari,26,Luiz Felipe Scolari,,,,,,,,,,,,,,,13.0,,,,,,
21,Flamengo,2.43,Adenor Leonardo Bachi,36,-1.12,6.33,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,45125,11.88,True,6,Tite,7,,262,tite,9,Tite,,,,,,,,,,,,,,,5.0,,,,,,
22,São Paulo,0.0,Alexandre Rodrigues da Silva,36,0.0,1.95,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,49675,3.98,False,5,A. Pato,5,,276,alexandre-pato,9,Alexandre Pato,,,,1.0,1.0,1.0,2.0,4.0,,,,,2.0,2.0,,,,1.0,,,
23,Fluminense,0.0,David Braz de Oliveira Filho,36,0.0,2.85,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,50317,5.68,False,3,D. Braz,7,,266,david-braz,15,David Braz,,1.0,,7.0,8.0,2.0,3.0,6.0,,,,6.0,,,,,,,,,
24,Atlético-MG,0.0,Alan Kardec de Sousa Pereira Júnior,36,0.0,1.27,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,50347,4.89,False,5,A. Kardec,6,,282,alan-kardec,13,Alan Kardec,1.0,1.0,,1.0,8.0,,5.0,4.0,,,,,1.0,3.0,,,,,,,
25,Fortaleza,0.5,Christian Chagas Tarouco,36,-0.38,3.32,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,50353,7.21,True,3,Titi,7,,356,titi,28,Titi,1.0,9.0,,43.0,33.0,1.0,3.0,29.0,,,3.0,8.0,,1.0,,,,,,,
26,Goiás,-1.1,Luiz Diallison de Souza Alves,36,0.1,1.56,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,51042,3.98,True,2,Apodi,3,,290,apodi,13,Apodi,,3.0,,4.0,12.0,5.0,2.0,2.0,,,,1.0,1.0,5.0,,,,,1.0,,
27,Cuiabá,0.0,Walter Leandro Capeloza Artune,36,-1.28,3.73,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,51413,6.59,True,1,Walter,7,,1371,walter,33,Walter,,3.0,,,,,,4.0,,,1.0,11.0,,,,103.0,33.0,,,,
28,Corinthians,0.0,Giuliano Victor de Paula,36,0.0,1.98,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,51548,3.24,False,4,Giuliano,7,,264,giuliano,26,Giuliano,,2.0,,26.0,14.0,3.0,9.0,16.0,,,,,1.0,,,,,,,,
29,Flamengo,0.5,Everton Augusto de Barros Ribeiro,36,-1.36,3.16,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,51772,8.45,True,4,E. Ribeiro,6,,262,everton-ribeiro,29,Everton Ribeiro,4.0,3.0,,21.0,17.0,5.0,5.0,38.0,1.0,,1.0,,3.0,1.0,,,,,,,
30,Atlético-MG,0.0,Réver Humberto Alves Araújo,36,0.0,3.21,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,52253,3.77,False,3,Réver,7,,282,rever,8,Réver,,1.0,,,1.0,,,2.0,,,,5.0,,,,,,,,,
31,Flamengo,0.0,David Luiz Moreira Marinho,36,0.0,3.5,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,52827,7.06,False,3,D. Luiz,6,,262,david-luiz,15,David Luiz,1.0,1.0,,12.0,15.0,2.0,2.0,3.0,,,,5.0,1.0,,,,,,,,
32,Vasco,0.0,Alex Teixeira Santos,36,0.0,2.42,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,60793,5.33,False,4,A. Teixeira,6,,267,alex-teixeira,21,Alex Teixeira,3.0,1.0,,9.0,25.0,6.0,10.0,23.0,,,,,1.0,10.0,,,,,,,
33,América-MG,0.5,Felipe Azevedo dos Santos,36,-0.89,3.24,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,60825,5.48,True,5,F. Azevedo,7,,327,felipe-azevedo,28,Felipe Azevedo,1.0,2.0,,15.0,24.0,11.0,14.0,30.0,2.0,,,,4.0,4.0,,,,,,,
34,Cuiabá,0.0,Uendel Pereira Gonçalves,36,0.0,2.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,60852,3.0,False,2,Uendel,6,,1371,uendel,5,Uendel,,1.0,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,
35,Bahia,0.0,Neuciano de Jesus Gusmão,36,0.0,3.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,61106,3.26,False,2,Cicinho,6,,265,cicinho,11,Cicinho,,4.0,,14.0,22.0,2.0,1.0,11.0,1.0,,,3.0,,,,,,,,,
36,Cruzeiro,0.0,Gilberto Oliveira Souza Júnior,36,0.0,2.8,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,61188,7.86,False,5,Gilberto,6,,283,gilberto,20,Gilberto,1.0,4.0,,8.0,20.0,6.0,19.0,11.0,,,,,3.0,4.0,,,,,,,
37,Fluminense,4.2,Paulo Henrique Chagas de Lima,36,0.71,3.84,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,62977,10.45,True,4,Ganso,2,,266,ganso,25,Ganso,6.0,4.0,,18.0,13.0,4.0,6.0,31.0,1.0,,,,3.0,1.0,,,,,,,
38,Santos,0.0,Uilson de Souza Paula Júnior,36,0.0,1.78,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,63011,2.91,False,2,J. Caiçara,6,,277,junior-caicara,4,Júnior Caiçara,,1.0,,3.0,3.0,,,1.0,,,,1.0,,1.0,,,,,,,
39,Palmeiras,5.9,Marcos Luis Rocha Aquino,36,0.98,5.95,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,63013,7.04,True,2,M. Rocha,6,,275,marcos-rocha,18,Marcos Rocha,1.0,1.0,,32.0,17.0,,3.0,11.0,,,1.0,11.0,1.0,1.0,,,,,,,
40,Coritiba,0.0,Fransérgio Rodrigues Barbosa,36,0.0,1.04,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,63024,3.7,False,4,Fransérgio,6,,294,fransergio,15,Fransérgio,,1.0,,8.0,8.0,1.0,6.0,7.0,,,,,,1.0,,,,,,,
41,Coritiba,0.9,Willian Roberto Farias,36,0.15,1.03,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,63058,2.93,True,4,W. Farias,6,,294,willian-farias,13,Willian Farias,,3.0,1.0,14.0,14.0,,4.0,7.0,,,,,,,,,,,,,
42,Atlético-MG,10.5,Edenílson Andrade dos Santos,36,1.54,1.93,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,63289,6.2,True,4,Edenílson,7,,282,edenilson,26,Edenílson,2.0,1.0,,21.0,17.0,2.0,2.0,12.0,1.0,,,,1.0,,,,,,,,
43,Internacional,0.0,Rodrigo Modesto da Silva Moledo,36,0.0,1.26,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,63354,2.82,False,3,R. Moledo,3,,285,rodrigo-moledo,7,Rodrigo Moledo,,3.0,,4.0,2.0,1.0,,3.0,,,,1.0,,1.0,,,,,,,
44,Internacional,3.5,Alan Patrick Lourenço,36,-0.01,3.54,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,68685,9.15,True,4,A. Patrick,7,,285,alan-patrick,32,Alan Patrick,5.0,6.0,,17.0,29.0,9.0,21.0,57.0,1.0,,,,3.0,5.0,,,,,,,
45,Botafogo,-0.9,Carlos Eduardo de Oliveira Alves,36,-1.24,4.22,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,68708,11.78,True,4,Eduardo,3,,263,eduardo,32,Eduardo,6.0,5.0,1.0,18.0,33.0,13.0,10.0,48.0,2.0,,,,6.0,,,,,,,,
46,Santos,0.2,José Rodolfo Pires Ribeiro,36,-0.44,1.99,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,68727,3.59,True,2,Dodô,2,,277,dodo,16,Dodô,1.0,3.0,,24.0,13.0,,3.0,8.0,,,1.0,,,3.0,,,,,,,
47,Santos,0.0,Guilherme de Aguiar Camacho,36,0.0,0.73,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,68770,1.95,False,4,Camacho,2,,277,camacho,11,Camacho,,3.0,1.0,15.0,18.0,,,3.0,,,,,,1.0,,,,,,,
48,Palmeiras,0.0,Marcelo Lomba do Nascimento,36,0.0,4.83,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,68872,6.17,False,1,M. Lomba,6,,275,marcelo-lomba,3,Marcelo Lomba,,,,,,,,1.0,,,,1.0,,,,12.0,3.0,,,,
49,Cuiabá,0.0,Wellington Alves da Silva,36,0.0,2.57,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,68895,4.43,False,5,W. Silva,6,,1371,wellington-silva,29,Wellington Silva,2.0,1.0,,26.0,13.0,5.0,6.0,39.0,,,,,1.0,3.0,,,,,,,
50,Goiás,3.1,Vinicius Santos Silva,36,0.37,2.38,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,68917,6.65,True,5,Vinicius,7,,290,vinicius,23,Vinicius,2.0,1.0,,17.0,20.0,8.0,15.0,14.0,1.0,,,,,4.0,,,,,,,
51,Palmeiras,0.0,Eduardo Pereira Rodrigues,36,0.0,6.04,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,68920,14.16,False,5,Dudu,5,,275,dudu,14,Dudu,3.0,,,7.0,9.0,7.0,11.0,40.0,1.0,,,,3.0,3.0,,,,,,,
52,Corinthians,0.0,Carlos Gilberto do Nascimento Silva,36,0.0,3.77,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,68923,6.27,False,3,Gil,7,,264,gil,29,Gil,2.0,8.0,,32.0,27.0,9.0,8.0,8.0,,,,8.0,2.0,5.0,,,,,,,
