,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.foto,atletas.rodada_id,atletas.nome,atletas.apelido,atletas.pontos_num,atletas.slug,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube.id.full.name,atletas.atleta_id,atletas.clube_id,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.preco_num,V,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,CV,FT,GC,PC,PS,PP,DP,PI
15,-0.37,1.24,A. Franco,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,38,Alan Steven Franco Palma,Alan Franco,0.0,alan-franco,True,18,Atlético-MG,39656,282,2.35,6,4,3.18,,,2.0,22.0,30.0,1.0,1.0,3.0,,,,,,,1.0,,,,,,
16,0.79,5.15,D. Júnior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,38,Dorival Silvestre Júnior,Dorival Júnior,8.61,dorival-junior,True,35,São Paulo,40990,276,4.05,7,6,12.48,13.0,,,,,,,,,,,,,,,,,,,,
17,-0.16,5.3,R. Gaúcho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,38,Renato Portaluppi,Renato Gaúcho,6.09,renato-gaucho,True,37,Grêmio,41929,284,7.04,7,6,13.53,21.0,,,,,,,,,,,,,,,,,,,,
18,-0.79,2.79,Willian,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,38,Willian Gomes de Siqueira,Willian,2.2,willian,True,18,Athlético-PR,42116,293,6.52,7,5,4.92,,,,7.0,12.0,3.0,6.0,5.0,4.0,2.0,,,,,1.0,,,,,,
19,0.0,3.85,Cássio,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,38,Cássio Roberto Ramos,Cássio,0.0,cassio,False,34,Corinthians,42234,264,-0.12,6,1,7.94,,,2.0,,,,,5.0,,,9.0,123.0,37.0,,,,1.0,,,,
20,1.02,3.72,Fagner,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,38,Fagner Conserva Lemos,Fagner,6.8,fagner,True,27,Corinthians,42500,264,1.03,7,2,8.54,,1.0,10.0,34.0,22.0,1.0,4.0,37.0,,,9.0,,,,1.0,,,,,,
21,-0.44,5.62,L. Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,38,Luiz Felipe Scolari,Luiz Felipe Scolari,2.82,luiz-felipe-scolari,True,28,Atlético-MG,43618,282,5.41,7,6,11.68,14.0,,,,,,,,,,,,,,,,,,,,
22,-0.46,5.86,Tite,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,38,Adenor Leonardo Bachi,Tite,2.41,tite,True,11,Flamengo,45125,262,4.87,7,6,11.93,6.0,,,,,,,,,,,,,,,,,,,,
23,0.0,1.95,A. Pato,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,38,Alexandre Rodrigues da Silva,Alexandre Pato,0.0,alexandre-pato,False,9,São Paulo,49675,276,0.28,5,5,3.98,,,,1.0,1.0,1.0,2.0,4.0,2.0,2.0,,,,,,,,,1.0,,
24,0.0,2.78,D. Braz,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,38,David Braz de Oliveira Filho,David Braz,0.0,david-braz,False,16,Fluminense,50317,266,1.9,6,3,5.37,,,1.0,9.0,10.0,2.0,3.0,6.0,,,6.0,,,,,,,,,,
25,-0.98,1.18,A. Kardec,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,38,Alan Kardec de Sousa Pereira Júnior,Alan Kardec,0.0,alan-kardec,True,14,Atlético-MG,50347,282,5.79,6,5,3.91,,1.0,1.0,1.0,8.0,,5.0,4.0,1.0,3.0,,,,,,,,,,,
26,-0.53,3.39,Titi,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,38,Christian Chagas Tarouco,Titi,2.4,titi,True,30,Fortaleza,50353,356,5.47,7,3,7.6,,1.0,10.0,47.0,34.0,1.0,3.0,29.0,,1.0,9.0,,,,,,3.0,,,,
27,0.0,1.56,Apodi,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,38,Luiz Diallison de Souza Alves,Apodi,0.0,apodi,False,13,Goiás,51042,290,-0.42,6,2,3.98,,,3.0,4.0,12.0,5.0,2.0,2.0,1.0,5.0,1.0,,,,,,,1.0,,,
28,0.0,3.73,Walter,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,38,Walter Leandro Capeloza Artune,Walter,0.0,walter,False,33,Cuiabá,51413,1371,0.65,6,1,6.59,,,3.0,,,,,4.0,,,11.0,103.0,33.0,,,,1.0,,,,
29,0.0,1.91,Giuliano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,38,Giuliano Victor de Paula,Giuliano,0.0,giuliano,False,27,Corinthians,51548,264,0.35,6,4,3.05,,,2.0,26.0,14.0,3.0,9.0,16.0,1.0,,,,,,,,,,,,
