,atletas.clube.id.full.name,atletas.foto,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.slug,atletas.preco_num,atletas.atleta_id,atletas.status_id,atletas.apelido,atletas.variacao_num,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,DE,GS,SG,PC,PS,CV,DP,GC,V,PI
189,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_FytIYxJ.png,True,,34,T. Tchê,Danilo das Neves Pinheiro,31,263,4,2.97,tche-tche,8.38,86686,7,Tchê Tchê,0.55,4.9,4.0,7.0,23.0,34.0,9.0,10.0,42.0,2.0,2.0,,,,,,,,,,,,
190,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_EcaScZP.png,True,,34,Everton,Everton Sousa Soares,28,262,5,3.96,everton,9.11,86757,7,Everton,-0.37,7.3,4.0,1.0,24.0,19.0,16.0,15.0,21.0,1.0,3.0,7.0,,,,,,1.0,,,,,
191,Grêmio,https://s.sde.globo.com/media/person_role/2023/08/01/photo_FORMATO_wWoVCQJ.png,False,,34,Luan,Luan Guilherme de Jesus Vieira,4,284,4,0.43,luan,3.03,86759,6,Luan,0.0,0.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
192,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_6wIsdHM.png,True,,34,D. Barbosa,Danilo Barbosa da Silva,19,263,4,1.61,danilo-barbosa,4.32,86777,2,Danilo Barbosa,-0.17,-0.1,,2.0,13.0,11.0,,3.0,20.0,,1.0,1.0,,,,,,,,,,,
193,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vRioSFE.png,False,,34,R. Pinho,Rodrigo Cunha Pereira de Pinho,10,294,5,1.57,rodrigo-pinho,3.27,86799,6,Rodrigo Pinho,0.0,0.0,,2.0,3.0,8.0,4.0,5.0,10.0,1.0,,4.0,,,,,,,,,,,
194,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_f9gTrC7.png,False,,34,Boschilia,Gabriel Boschilia,11,294,4,3.17,boschilia,5.85,86841,6,Boschilia,0.0,0.0,1.0,1.0,8.0,6.0,5.0,7.0,7.0,,1.0,,,,,,,,,,,,
195,Fortaleza,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_Sq4MDcU.png,True,,34,J. Welison,José Welison da Silva,20,356,4,3.49,jose-welison,4.38,86859,7,José Welison,-0.19,2.8,2.0,6.0,37.0,32.0,2.0,12.0,16.0,1.0,1.0,1.0,,,,,,,,,,,
196,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_hRhEq94.png,True,,34,Marlon,Marlon Matheus Lopes do Nascimento,22,327,2,3.61,marlon,5.78,86864,7,Marlon,-0.63,1.4,1.0,1.0,41.0,14.0,2.0,4.0,30.0,,1.0,,,,,1.0,,,,,1.0,,
197,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_2NC7Cvz.png,True,,34,L. Jardim,Leonardo César Jardim,32,267,1,3.69,leo-jardim,10.25,87008,7,Léo Jardim,-0.29,4.0,,2.0,,,,,2.0,,,,,120.0,43.0,7.0,,,,1.0,,,
198,Grêmio,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,False,,34,Nathan,Nathan Allan de Souza,16,284,4,1.78,nathan,4.32,87009,7,Nathan,0.0,0.0,1.0,2.0,12.0,12.0,4.0,5.0,12.0,,,1.0,,,,,,,,,,,
199,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Pmz9ta0.png,False,,34,P. Henrique,Pedro Henrique Ribeiro Gonçalves,11,293,3,3.65,pedro-henrique,8.95,87225,6,Pedro Henrique,0.0,0.0,,3.0,10.0,14.0,1.0,5.0,5.0,,1.0,2.0,,,,4.0,,,,,,,
200,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,True,,34,G. Arana,Guilherme Antonio Arana Lopes,24,282,2,4.55,guilherme-arana,11.73,87228,7,Guilherme Arana,2.04,11.8,,1.0,33.0,17.0,5.0,13.0,19.0,,1.0,,,,,9.0,,,1.0,,,,
201,Internacional,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8NTSnKt.png,True,,34,C. Pena,Carlos María de Pena Bonino,24,285,4,2.18,carlos-de-pena,6.47,87242,7,Carlos de Pena,0.02,0.0,,4.0,22.0,19.0,7.0,10.0,14.0,,2.0,,,,,,1.0,,1.0,,,,
202,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xCE9nv8.png,True,,34,Soteldo,Yeferson Julio Soteldo Martínez,17,277,5,4.73,soteldo,8.73,87258,2,Soteldo,0.59,5.1,5.0,3.0,12.0,6.0,9.0,11.0,41.0,1.0,1.0,3.0,,,,,,1.0,2.0,,,,
203,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png,True,,34,Kannemann,Walter Kannemann,24,284,3,3.3,kannemann,7.84,87342,7,Kannemann,0.1,1.2,1.0,13.0,46.0,38.0,3.0,2.0,23.0,,,,,,,6.0,,,1.0,,,,
204,Goiás,https://s.sde.globo.com/media/person_role/2023/08/08/photo_FORMATO_tmBtY58.png,True,,34,Allano,Allano Brendon de Souza Lima,19,290,5,3.96,allano,6.05,87391,7,Allano,0.25,3.1,,5.0,25.0,22.0,12.0,10.0,42.0,2.0,1.0,5.0,,,,,,,,,,,
205,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png,True,,34,Messias,Messias Rodrigues da Silva Júnior,24,277,3,2.94,messias,7.4,87402,7,Messias,0.5,7.4,,2.0,24.0,20.0,4.0,2.0,9.0,,,1.0,,,,8.0,1.0,,,,,,
206,Bahia,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_dQGg2S1.png,True,,34,Thaciano,Thaciano Mickael da Silva,29,265,4,4.27,thaciano,11.25,87470,7,Thaciano,0.46,4.4,3.0,3.0,37.0,29.0,11.0,26.0,25.0,2.0,3.0,5.0,,,,,,,,,,,
207,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png,True,,34,V. Bueno,Vitor Frezarin Bueno,27,293,4,4.26,vitor-bueno,7.79,87552,7,Vitor Bueno,-0.24,1.2,4.0,7.0,13.0,17.0,17.0,24.0,29.0,2.0,4.0,4.0,,,,,,,,,,,
208,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_Zcws9I1.png,False,,34,M. Pasinato,Mateus Pasinato,10,327,1,2.6,mateus-pasinato,3.03,87603,6,Mateus Pasinato,0.0,0.0,,1.0,,,,,2.0,,,,,41.0,20.0,1.0,,,,,,,
209,Bahia,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png,True,,34,Y. Felipe,Yago Felipe da Costa Rocha,21,265,4,1.66,yago-felipe,4.31,87747,7,Yago Felipe,0.07,1.2,,5.0,27.0,32.0,2.0,6.0,20.0,,,,,,,,,,,,,,
210,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_E29teNI.png,False,,34,P. Sampaio,Philipe Sampaio Azevedo,11,263,3,2.41,philipe-sampaio,3.8,87808,6,Philipe Sampaio,0.0,0.0,,2.0,10.0,8.0,,2.0,5.0,,,2.0,,,,3.0,,,,,,,
211,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,True,,34,M. Lemos,Paolo Mauricio Lemos Merladett,25,282,3,4.58,mauricio-lemos,10.01,87853,7,Mauricio Lemos,-0.51,1.2,,9.0,42.0,24.0,6.0,8.0,18.0,1.0,1.0,2.0,,,,10.0,,,1.0,,,,
212,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_CaSgg7s.png,True,,34,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,23,262,4,5.66,arrascaeta,14.33,87863,7,Arrascaeta,0.19,10.4,5.0,3.0,22.0,20.0,6.0,12.0,33.0,2.0,6.0,4.0,,,,,,1.0,,,,,
213,Cuiabá,https://s.sde.globo.com/media/person_role/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,True,,34,A. Empereur,Alan Pereira Empereur,29,1371,3,2.58,alan-empereur,4.82,88033,7,Alan Empereur,-0.69,0.0,1.0,7.0,14.0,16.0,3.0,6.0,13.0,,1.0,,,,,9.0,,,,,1.0,,
214,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_Rnoad6D.png,False,,34,Jorge,Jorge Marco de Oliveira Moraes,0,266,2,0.0,jorge,4.0,88065,5,Jorge,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
215,Vasco,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_qStnmUz.png,False,,34,Ivan,Ivan Quaresma da Silva,0,267,1,0.0,ivan,5.0,88136,6,Ivan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
216,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_HgqxxNH.png,False,,34,Aguerre,Washington Omar Aguerre Lima,2,327,1,-1.25,aguerre,1.45,88237,6,Aguerre,0.0,0.0,,1.0,,,,,1.0,,,,,2.0,4.0,,,,,,,,
217,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_CufTSrv.png,True,,34,Ã. Romero,Ángel Rodrigo Romero Villamayor,18,264,5,3.93,angel-romero,6.11,88323,7,Ángel Romero,0.9,15.5,1.0,2.0,13.0,7.0,4.0,6.0,26.0,,4.0,2.0,,,,,,,,,,,
218,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_SmDR7cT.png,False,,34,G. Dias,Gabriel Dias de Oliveira,1,267,2,4.0,gabriel-dias,2.89,88368,6,Gabriel Dias,0.0,0.0,,1.0,,,,,,,,,,,,1.0,,,,,,,
219,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png,True,,34,A. Lucas,Ayrton Lucas Dantas de Medeiros,30,262,2,5.8,ayrton-lucas,14.58,88393,2,Ayrton Lucas,-1.05,1.7,2.0,6.0,45.0,35.0,5.0,5.0,41.0,1.0,4.0,,,,,12.0,,1.0,,,,,
220,Bragantino,https://s.sde.globo.com/media/person_role/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,False,,34,Aderlan,Aderlan de Lima Silva,21,280,2,4.59,aderlan,9.47,88423,7,Aderlan,0.0,0.0,1.0,6.0,43.0,33.0,,5.0,9.0,2.0,,,,,,9.0,1.0,,1.0,,,,
221,Fortaleza,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_EvxhSX5.png,False,,34,L. Crispim,Lucas de Figueiredo Crispim,13,356,4,1.24,lucas-crispim,3.47,88597,6,Lucas Crispim,0.0,0.0,,,3.0,6.0,1.0,4.0,8.0,2.0,,1.0,,,,,,,,,,,
222,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_yTHJHMX.png,True,,34,Slimani,Islam Slimani,10,294,5,4.07,slimani,8.68,88744,7,Slimani,-0.66,0.8,2.0,,3.0,11.0,6.0,7.0,11.0,,2.0,9.0,,,,,,,1.0,,,,
223,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_gNmfi9P.png,True,,34,M. Moreno,Damián Marcelino Moreno,28,294,4,3.86,marcelino-moreno,6.13,88857,3,Marcelino Moreno,-0.99,1.4,4.0,6.0,26.0,23.0,10.0,7.0,67.0,1.0,2.0,3.0,,,,,1.0,1.0,,,,,
224,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_BtY3LFq.png,False,,34,L. Polli,Luan Polli Gomes,4,294,1,0.88,luan-polli,2.51,88916,6,Luan Polli,0.0,0.0,,2.0,,,,,1.0,,,,,12.0,7.0,,,,,,,,
225,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_CEXnMRV.png,True,,34,I. Maidana,Iago Justen Maidana Martins,27,327,3,0.98,iago-maidana,2.08,89226,6,Iago Maidana,-0.13,-0.3,,5.0,18.0,33.0,4.0,10.0,6.0,,,1.0,,,,1.0,1.0,,,,,,
226,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png,True,,34,Gerson,Gerson Santos da Silva,27,262,4,4.77,gerson,11.64,89256,7,Gerson,0.16,6.9,6.0,3.0,27.0,43.0,6.0,8.0,64.0,,5.0,4.0,,,,,1.0,1.0,1.0,,,,
227,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ux7O1sm.png,True,,34,J. Pedro,João Pedro Maturano dos Santos,28,284,2,3.09,joao-pedro,10.06,89273,7,João Pedro,0.07,0.0,1.0,2.0,22.0,19.0,,2.0,20.0,,3.0,,,,,6.0,,,,,1.0,,
228,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png,True,,34,William,Willian de Asevedo Furtado,27,283,2,5.46,william,10.79,89275,7,William,0.69,7.0,2.0,5.0,52.0,36.0,3.0,11.0,41.0,1.0,,1.0,,,,11.0,,,,,,,
229,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,True,,34,I. Rabello,Igor Rabello da Costa,8,282,3,2.04,igor-rabello,3.31,89493,3,Igor Rabello,-0.53,-3.3,,2.0,11.0,8.0,,,1.0,,,,,,,2.0,,,1.0,,,,
230,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png,True,,34,T. Maia,Thiago Maia Alencar,29,262,4,1.7,thiago-maia,6.11,89637,2,Thiago Maia,0.55,3.3,,6.0,50.0,33.0,,3.0,7.0,,,,,,,,1.0,,,,,,
231,São Paulo,https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,False,,34,Calleri,Jonathan Calleri,18,276,5,6.47,calleri,16.64,89840,5,Calleri,0.0,0.0,2.0,5.0,4.0,37.0,10.0,13.0,33.0,2.0,9.0,14.0,,,,,,2.0,,,,,
232,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png,True,,34,Cristaldo,Franco Cristaldo,29,284,4,4.52,cristaldo,10.86,89846,2,Cristaldo,0.26,2.0,4.0,,27.0,9.0,12.0,8.0,32.0,,6.0,5.0,1.0,,,,1.0,2.0,,,,,
233,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png,True,,34,Dodi,Douglas Moreira Fagundes,26,277,4,1.72,dodi,4.25,89883,6,Dodi,0.11,0.9,,9.0,33.0,37.0,4.0,4.0,34.0,,,,,,,,,,,,,,
234,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png,True,,34,E. Galdino,Everton Galdino Moreira,24,284,5,3.07,everton-galdino,5.76,89918,7,Everton Galdino,-0.69,3.2,2.0,2.0,10.0,11.0,9.0,12.0,9.0,,4.0,,,,,,,,,,,,
235,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_fdX9HMF.png,False,,34,Mendoza,John Stiven Mendoza Valencia,23,277,5,5.12,mendoza,12.15,90031,2,Mendoza,0.0,0.0,2.0,4.0,15.0,19.0,7.0,17.0,51.0,1.0,6.0,2.0,,,,,,1.0,,,,,
236,Fortaleza,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_PYjs4Li.png,True,,34,B. Pacheco,Bruno de Jesus Pacheco,26,356,2,6.15,bruno-pacheco,11.53,90061,7,Bruno Pacheco,-0.25,3.3,3.0,3.0,57.0,46.0,3.0,9.0,43.0,,2.0,,,,,9.0,,,,,,,
237,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_o4zQHNu.png,False,,34,Edu,Eduardo Nascimento da Silva Júnior,6,294,5,2.25,edu,4.44,90120,6,Edu,0.0,0.0,,,1.0,1.0,2.0,3.0,,,1.0,2.0,,,,,,,,,,,
238,São Paulo,https://s.sde.globo.com/media/person_role/2023/04/15/photo_FORMATO_p3UWrBW.png,False,,34,R. Ramos,Raí dos Reis Ramos,5,276,2,3.16,rai-ramos,4.51,90232,6,Raí Ramos,0.0,0.0,,2.0,4.0,5.0,2.0,2.0,1.0,,,,,,,2.0,,,,,,,
239,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PsLr2Kh.png,True,,34,B. Henrique,Bruno Henrique Pinto,24,262,5,2.57,bruno-henrique,5.69,90285,6,Bruno Henrique,-0.13,-0.4,,6.0,15.0,25.0,12.0,11.0,42.0,,2.0,9.0,,,,,,1.0,1.0,,,,
240,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_borikKg.png,False,,34,Jailson,Jaílson Marques Siqueira,7,275,4,1.26,jailson,3.58,90290,6,Jailson,0.0,0.0,,,6.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
241,Fortaleza,https://s.sde.globo.com/media/person_role/2022/09/28/photo_FORMATO_wjBokpm.png,False,,34,P. Rocha,Pedro Rocha Neves,2,356,5,-0.55,pedro-rocha,3.63,90302,6,Pedro Rocha,0.0,0.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,
242,São Paulo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_zc5jjjt.png,True,,34,David,David Correa da Fonseca,19,276,5,2.3,david,4.22,90309,6,David,0.38,3.0,2.0,4.0,7.0,21.0,5.0,7.0,12.0,1.0,2.0,11.0,,,,,,,,,,,
243,Bahia,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png,True,,34,Rezende,Júlio César Rezende de Miranda,28,265,4,3.36,rezende,7.59,90449,2,Rezende,0.9,5.7,2.0,7.0,67.0,53.0,3.0,8.0,25.0,,1.0,,,,,,1.0,,1.0,,,,
244,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_eh2bZ7u.png,False,,34,D. Gonçalves,Diego Gonçalves,10,290,5,0.96,diego-goncalves,1.86,90540,6,Diego Gonçalves,0.0,0.0,,1.0,3.0,7.0,2.0,3.0,9.0,,,1.0,,,,,,,,,,,
245,Bahia,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_UPFwDzZ.png,False,,34,M. Claus,Mateus Eduardo Claus,1,265,1,-1.0,mateus-claus,1.95,90590,6,Mateus Claus,0.0,0.0,,,,,,,,,,,,1.0,2.0,,,,,,,,
246,Cuiabá,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_AlOmB6m.png,False,,34,L. Mineiro,Lucas da Silva Izidoro,13,1371,4,0.66,lucas-mineiro,2.47,90634,5,Lucas Mineiro,0.0,0.0,,4.0,8.0,14.0,,4.0,8.0,,,1.0,,,,,,,,,,,
247,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_zrQ4flU.png,True,,34,F. Bruno,Fabrício Bruno Soares de Faria,29,262,3,3.52,fabricio-bruno,8.79,90768,7,Fabrício Bruno,-0.67,0.9,1.0,6.0,26.0,13.0,3.0,2.0,15.0,1.0,,,,,,12.0,,,,,,,
248,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_5VgdyWf.png,True,,34,Everaldo,Everaldo Silva do Nascimento,17,327,5,3.91,everaldo,8.25,91151,6,Everaldo,0.23,3.6,3.0,5.0,20.0,16.0,3.0,7.0,29.0,2.0,1.0,5.0,,,,,,,,,,,
249,Cuiabá,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_kfJYHxI.png,True,,34,PK,Ítaro Patric Cardoso Calmon,14,1371,2,1.83,pk,3.72,91190,6,PK,-0.41,2.0,,1.0,11.0,11.0,1.0,2.0,4.0,,,1.0,,,,3.0,,,1.0,,,,
250,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ELJqlLk.png,False,,34,Éder,Éder Ferreira Graminho,18,327,3,0.69,eder,2.19,91203,6,Éder,0.0,0.0,,4.0,18.0,18.0,1.0,1.0,3.0,,,3.0,,,,,,,1.0,,,,
251,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NYg6Ymv.png,True,,34,Carballo,Felipe Ignacio Carballo Ares,19,284,4,2.52,carballo,4.62,91254,7,Carballo,-0.01,3.6,1.0,2.0,23.0,18.0,5.0,7.0,6.0,,1.0,,,,,,,,,,,,
252,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_83wBpb6.png,True,,34,L. Perri,Lucas Estella Perri,33,263,1,4.96,lucas-perri,11.69,91260,7,Lucas Perri,0.68,3.0,,1.0,,,,,3.0,,,,,122.0,29.0,14.0,,,,,,,
253,Santos,https://s.sde.globo.com/media/person_role/2021/04/27/7f50feb3c2bff8d96ced4bd8a038efad_220x220.png,True,,34,M. Fernandes,Marcelo Faria Fernandes,10,277,6,5.1,marcelo-fernandes,10.12,91274,7,Marcelo Fernandes,-0.25,5.24,,,,,,,,,,,,,,,,,,,,5.0,
254,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_xuM4Nls.png,True,,34,E. Pulgar,Erick Antonio Pulgar Farfán,21,262,4,2.78,erick-pulgar,4.74,91473,2,Erick Pulgar,0.08,4.6,2.0,8.0,27.0,40.0,3.0,6.0,12.0,2.0,2.0,3.0,,,,,,,,,,,
255,São Paulo,https://s.sde.globo.com/media/person_role/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png,True,,34,Arboleda,Robert Abel Arboleda Escobar,16,276,3,5.13,arboleda,9.31,91573,7,Arboleda,0.52,7.7,,,22.0,3.0,3.0,3.0,12.0,1.0,,4.0,,,,9.0,,,1.0,,,,
256,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_eJOedW8.png,True,,34,Rony,Ronielson da Silva Barbosa,28,275,5,2.87,rony,9.92,91607,6,Rony,1.62,9.2,,3.0,9.0,21.0,12.0,14.0,28.0,1.0,5.0,24.0,,,,,1.0,,,,,,
257,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_3WVFnva.png,True,,34,Adryelson,Adryelson Shawann Lima Silva,31,263,3,3.66,adryelson,6.91,91664,7,Adryelson,-0.02,0.2,1.0,5.0,24.0,18.0,4.0,2.0,17.0,,1.0,,,,,14.0,,,1.0,,,,
258,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vMaiFUT.png,True,,34,M. Jussa,Matheus Isaías dos Santos,24,283,4,1.66,matheus-jussa,2.41,91689,7,Matheus Jussa,-0.55,-0.5,,9.0,29.0,45.0,8.0,8.0,7.0,,1.0,,,,,,,,,,,,
259,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_vrVAWB7.png,True,,34,Marlon,Marlon Rodrigues Xavier,29,283,2,8.02,marlon,17.53,91706,7,Marlon,0.14,7.0,2.0,6.0,110.0,29.0,5.0,11.0,27.0,1.0,3.0,1.0,,,,10.0,,,,,,,
260,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_U5c1E7V.png,True,,34,Nino,Marcílio Florêncio Mota Filho,23,266,3,3.37,nino,10.05,91708,7,Nino,-1.13,-1.6,,4.0,11.0,23.0,3.0,3.0,23.0,1.0,2.0,,,,,9.0,,,2.0,,,,
261,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_voSytVs.png,False,,34,M. Alves,Matheus Alves da Silva Cardoso,0,290,1,0.0,matheus-alves,2.0,91712,6,Matheus Alves,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
262,Bahia,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0ibQkD2.png,False,,34,D. Duarte,David de Duarte Macedo,9,265,3,3.08,david-duarte,4.08,91772,3,David Duarte,-0.2,-1.0,,3.0,7.0,5.0,,1.0,4.0,1.0,1.0,,,,,2.0,,,,,,,
263,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uNyULXz.png,False,,34,Hayner,Hayner Willian Monjardim Cordeiro,6,294,2,2.17,hayner,2.86,91856,6,Hayner,0.0,0.0,1.0,3.0,3.0,7.0,,,9.0,,,,,,,1.0,,,,,,,
264,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ZOxQ99E.png,False,,34,Z. Ivaldo,José Ivaldo Almeida Silva,14,293,3,2.61,ze-ivaldo,4.69,91866,6,Zé Ivaldo,0.0,0.0,,2.0,14.0,19.0,1.0,1.0,9.0,,,1.0,,,,5.0,1.0,,1.0,,,,
265,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_U1jXQaU.png,False,,34,Pavón,Cristian David Pavón,29,282,5,4.57,pavon,10.21,91908,6,Pavón,0.0,0.0,6.0,7.0,33.0,19.0,14.0,22.0,24.0,2.0,3.0,10.0,,,,,,,,,,,
266,Athlético-PR,https://s.sde.globo.com/media/person_role/2022/05/05/21d7b4d24237a06ec8872f1ff041e713_FORMATO.png,True,,34,W. Carvalho,Wesley Oliveira de Carvalho,23,293,6,4.89,wesley-carvalho,11.54,91971,7,Wesley Carvalho,-0.04,3.13,,,,,,,,,,,,,,,,,,,,7.0,
267,Vasco,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,True,,34,R. Díaz,Ramón Ángel Díaz,18,267,6,5.21,ramon-diaz,10.16,92075,7,Ramón Díaz,-0.07,5.38,,,,,,,,,,,,,,,,,,,,8.0,
268,Grêmio,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_bq0AF4S.png,False,,34,Caíque,Caíque Luiz Santos da Purificação,1,284,1,8.0,caique,4.18,92207,6,Caíque,0.0,0.0,,,,,,,,,,,,3.0,,1.0,,,,,,,
269,Grêmio,https://s.sde.globo.com/media/person_role/2023/08/03/photo_220x220_mGnJe3Z.png,False,,34,R. Ely,Rodrigo Ely,6,284,3,2.43,rodrigo-ely,4.6,92237,2,Rodrigo Ely,0.0,0.0,,3.0,2.0,6.0,,,4.0,,,,,,,3.0,,,,,,,
270,Bragantino,https://s.sde.globo.com/media/person_role/2022/05/05/278a2f0c3cd97ace8138ffbe2f23d81d_FORMATO.png,False,,34,Raul,Raul Lô Gonçalves,3,280,4,-0.27,raul,3.5,92496,6,Raul,0.0,0.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
271,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_NWhDcn5.png,False,,34,R. Kayzer,Renato Kayzer de Souza,3,327,5,0.87,renato-kayzer,3.23,92696,6,Renato Kayzer,0.0,0.0,,,,2.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,
272,Cuiabá,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_AvLd8xm.png,True,,34,Deyverson,Deyverson Brum Silva Acosta,31,1371,5,5.52,deyverson,9.86,92708,3,Deyverson,0.07,8.2,2.0,5.0,11.0,31.0,19.0,19.0,57.0,2.0,12.0,29.0,1.0,,,,,1.0,,,,,
