,atletas.clube.id.full.name,atletas.foto,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.slug,atletas.preco_num,atletas.atleta_id,atletas.status_id,atletas.apelido,atletas.variacao_num,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,DE,GS,SG,PC,PS,CV,DP,GC,V,PI
13,Atlético-MG,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,False,,34,A. Franco,Alan Steven Franco Palma,14,282,4,1.26,alan-franco,3.13,39656,7,Alan Franco,0.0,0.0,,2.0,18.0,29.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,
14,São Paulo,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,True,,34,D. Júnior,Dorival Silvestre Júnior,31,276,6,5.02,dorival-junior,11.86,40990,7,Dorival Júnior,-0.28,5.83,,,,,,,,,,,,,,,,,,,,11.0,
15,Grêmio,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,True,,34,R. Gaúcho,Renato Portaluppi,33,284,6,5.28,renato-gaucho,12.92,41929,7,Renato Gaúcho,-0.47,2.77,,,,,,,,,,,,,,,,,,,,18.0,
16,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,True,,34,Willian,Willian Gomes de Siqueira,14,293,5,2.34,willian,4.63,42116,7,Willian,-1.07,1.8,,,5.0,6.0,,4.0,3.0,,3.0,1.0,,,,,,,,,,,
17,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,True,,34,Cássio,Cássio Roberto Ramos,33,264,1,4.0,cassio,10.08,42234,2,Cássio,1.9,13.0,,2.0,,,,,5.0,,,,,122.0,35.0,9.0,1.0,,,,,,
18,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,True,,34,Fagner,Fagner Conserva Lemos,25,264,2,3.72,fagner,8.36,42500,7,Fagner,0.86,5.6,1.0,10.0,34.0,22.0,1.0,3.0,34.0,1.0,,,,,,8.0,,,,,,,
19,Atlético-MG,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,True,,34,L. Scolari,Luiz Felipe Scolari,24,282,6,5.3,luiz-felipe-scolari,11.66,43618,7,Luiz Felipe Scolari,0.43,5.56,,,,,,,,,,,,,,,,,,,,11.0,
20,Flamengo,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,True,,34,Tite,Adenor Leonardo Bachi,7,262,6,6.28,tite,11.88,45125,7,Tite,-0.64,4.64,,,,,,,,,,,,,,,,,,,,4.0,
21,São Paulo,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,False,,34,A. Pato,Alexandre Rodrigues da Silva,9,276,5,1.95,alexandre-pato,3.98,49675,6,Alexandre Pato,0.0,0.0,,,1.0,1.0,1.0,2.0,4.0,,2.0,2.0,1.0,,,,,,,,,,
22,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,False,,34,D. Braz,David Braz de Oliveira Filho,15,266,3,2.85,david-braz,5.68,50317,6,David Braz,0.0,0.0,,1.0,7.0,8.0,2.0,3.0,6.0,,,,,,,6.0,,,,,,,
