,atletas.clube_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.jogos_num,atletas.apelido,atletas.status_id,atletas.slug,atletas.pontos_num,atletas.atleta_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.nome,atletas.clube.id.full.name,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,PS,PC,SG,DE,GS,V,CV,DP,GC
19,264,-0.07,4.11,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,Fagner,15,Fagner,7,fagner,0.7,42500,2,,18,Fagner Conserva Lemos,Corinthians,7.88,1.0,4.0,22.0,9.0,,3.0,23.0,1.0,,,,,,4.0,,,,,,
20,282,0.87,4.1,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,L. Scolari,8,Luiz Felipe Scolari,7,luiz-felipe-scolari,7.98,43618,6,,18,Luiz Felipe Scolari,Atlético-MG,10.1,,,,,,,,,,,,,,,,,1.0,,,
21,276,-0.23,2.3,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,A. Pato,4,Alexandre Pato,6,alexandre-pato,0.0,49675,5,,18,Alexandre Rodrigues da Silva,São Paulo,3.94,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,
22,266,-0.7,2.86,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,D. Braz,10,David Braz,7,david-braz,0.2,50317,3,,18,David Braz de Oliveira Filho,Fluminense,5.34,,1.0,3.0,7.0,,2.0,3.0,,,,,,,5.0,,,,,,
23,282,0.0,1.76,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,A. Kardec,5,Alan Kardec,6,alan-kardec,0.0,50347,5,,18,Alan Kardec de Sousa Pereira Júnior,Atlético-MG,4.36,,1.0,,3.0,,3.0,1.0,,1.0,2.0,,,,,,,,,,
24,356,0.37,4.52,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,Titi,16,Titi,7,titi,3.4,50353,3,,18,Christian Chagas Tarouco,Fortaleza,8.22,1.0,5.0,27.0,16.0,1.0,2.0,16.0,,,,,,1.0,7.0,,,,,,
25,294,0.02,1.3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,Henrique,12,Henrique,7,henrique,0.9,50856,3,,18,Henrique Adriano Buss,Coritiba,2.92,,3.0,8.0,11.0,1.0,,2.0,,,,,,,2.0,,,,,,
26,290,0.0,2.46,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,Apodi,9,Apodi,6,apodi,0.0,51042,2,,18,Luiz Diallison de Souza Alves,Goiás,5.29,,1.0,3.0,6.0,5.0,1.0,2.0,,1.0,5.0,,1.0,,1.0,,,,,,
27,1371,1.42,3.33,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,Walter,18,Walter,6,walter,9.0,51413,1,,18,Walter Leandro Capeloza Artune,Cuiabá,7.15,,2.0,,,,,2.0,,,,,,1.0,5.0,56.0,19.0,,,,
28,264,0.0,0.86,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,Giuliano,11,Giuliano,6,giuliano,0.0,51548,4,,18,Giuliano Victor de Paula,Corinthians,2.75,,1.0,7.0,5.0,,2.0,4.0,,,,,,,,,,,,,
