,atletas.clube_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.jogos_num,atletas.apelido,atletas.status_id,atletas.slug,atletas.pontos_num,atletas.atleta_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.nome,atletas.clube.id.full.name,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,PS,PC,SG,DE,GS,V,CV,DP,GC
83,285,0.29,3.78,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,E. Valencia,5,Enner Valencia,6,enner-valencia,4.7,70788,5,,18,Enner Remberto Valencia Lastra,Internacional,9.56,1.0,,3.0,6.0,2.0,4.0,8.0,1.0,,5.0,,,,,,,,,,
84,262,-0.55,5.66,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,J. Sampaoli,17,Jorge Sampaoli,7,jorge-sampaoli,1.55,70800,6,,18,Jorge Sampaoli,Flamengo,11.39,,,,,,,,,,,,,,,,,8.0,,,
85,266,0.0,3.01,https://s.sde.globo.com/media/person_role/2023/06/23/photo_FORMATO.png,D. Barbosa,8,Diogo Barbosa,6,diogo-barbosa,0.0,70916,2,,18,Diogo Barbosa Mendanha,Fluminense,7.68,,1.0,8.0,4.0,,1.0,12.0,,,1.0,,,,2.0,,,,,,
86,285,1.33,3.45,https://s.sde.globo.com/media/person_role/2023/07/19/photo_FORMATO_oLjIZUt.png,B. Henrique,2,Bruno Henrique,7,bruno-henrique,6.6,70944,4,,18,Bruno Henrique Corsini,Internacional,7.91,,1.0,1.0,7.0,,1.0,,,1.0,,,,,,,,,,,
87,265,-0.36,0.42,https://s.sde.globo.com/media/person_role/2023/07/28/photo_FORMATO_SboFC8B.png,L. Cittadini,6,Léo Cittadini,6,leo-cittadini,-0.4,70986,4,,18,Leonardo Cittadini,Bahia,1.49,,1.0,2.0,8.0,1.0,1.0,3.0,,,,,,,,,,,,,
88,267,0.0,4.4,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO.png,Maicon,2,Maicon,6,maicon,0.0,71227,3,,18,Maicon Pereira Roque,Vasco,5.32,,,2.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,
89,356,0.0,5.25,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qLr4Pp0.png,F. Miguel,4,Fernando Miguel,6,fernando-miguel,0.0,71571,1,,18,Fernando Miguel Kaufmann,Fortaleza,10.86,,,,,,,,,,,,,,1.0,20.0,4.0,,,,
90,275,-0.76,3.48,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,Weverton,17,Weverton,7,weverton,0.0,71631,1,,18,Weverton Pereira da Silva,Palmeiras,8.68,,2.0,,,,,2.0,,,,,,,4.0,56.0,16.0,,,,
91,275,1.47,3.29,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,G. Gómez,17,Gustavo Gómez,7,gustavo-gomez,10.6,71684,3,,18,Gustavo Raúl Gómez Portillo,Palmeiras,9.87,1.0,5.0,22.0,18.0,2.0,4.0,13.0,,1.0,3.0,,,,3.0,,,,,,
92,356,-0.27,2.89,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_LaKDS7J.png,T. Galhardo,14,Thiago Galhardo,6,thiago-galhardo,1.2,71844,5,,18,Thiago Galhardo do Nascimento Rocha,Fortaleza,6.31,,3.0,7.0,8.0,6.0,11.0,12.0,,2.0,6.0,,,,,,,,,,
93,263,0.0,4.57,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_wzlbP45.png,G. Pires,3,Gabriel Pires,6,gabriel-pires,0.0,71898,4,,18,Gabriel Appelt Pires,Botafogo,5.61,,,11.0,7.0,,2.0,2.0,,,,,,,,,,,,,
94,284,0.0,1.7,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_jd2MPl6.png,Iturbe,1,Iturbe,6,iturbe,0.0,72134,5,,18,Juan Manuel Iturbe Arévalos,Grêmio,4.81,,,1.0,,,,1.0,,,,,,,,,,,,,
95,327,0.0,5.27,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TwK8xQJ.png,D. Avelar,11,Danilo Avelar,5,danilo-avelar,0.0,72142,3,,18,Danilo Fernando Avelar,América-MG,6.02,1.0,2.0,15.0,24.0,5.0,6.0,7.0,1.0,3.0,1.0,,,1.0,1.0,,1.0,,,,
96,282,0.0,2.97,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_XhJDp6n.png,Everson,17,Everson,3,everson,0.0,72294,1,,18,Everson Felipe Marques Pires,Atlético-MG,5.48,,3.0,,,,,5.0,,,,,,,5.0,43.0,17.0,,,,
97,276,0.0,0.0,https://s.sde.globo.com/media/person_role/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,F. Alves,0,Felipe Alves,6,felipe-alves,0.0,72372,1,,18,Felipe Alves Raymundo,São Paulo,6.0,,,,,,,,,,,,,,,,,,,,
98,266,-0.3,5.38,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,F. Diniz,18,Fernando Diniz,7,fernando-diniz,4.41,72391,6,,18,Fernando Diniz Silva,Fluminense,14.15,,,,,,,,,,,,,,,,,9.0,,,
99,285,0.0,2.65,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_Fbab3V0.png,G. Campanharo,11,Gustavo Campanharo,6,gustavo-campanharo,0.0,72497,4,,18,Gustavo Campanharo,Internacional,5.56,,5.0,27.0,19.0,3.0,,8.0,,,,,,,,,,,,,
100,290,1.23,3.5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_r03QzyK.png,Maguinho,16,Maguinho,6,maguinho,8.4,72532,2,,18,Magno José da Silva,Goiás,5.19,,5.0,20.0,42.0,,9.0,17.0,,2.0,,,1.0,,4.0,,,,1.0,,
101,327,0.0,1.17,https://s.sde.globo.com/media/person_role/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,M. Cavichioli,7,Matheus Cavichioli,6,matheus-cavichioli,0.0,72580,1,,18,Matheus Fernando Cavichioli,América-MG,5.43,,,,1.0,,,1.0,,,,,,,,26.0,19.0,,1.0,1.0,1.0
102,285,-0.06,2.99,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,P. Henrique,13,Pedro Henrique,7,pedro-henrique,-0.1,72583,5,,18,Pedro Henrique Konzen Medina da Silva,Internacional,6.01,1.0,,12.0,22.0,4.0,10.0,11.0,,1.0,11.0,,1.0,,,,,,,,
103,356,0.0,6.0,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mZtm5zI.png,M. Kozlinski,1,Maurício Kozlinski,6,mauricio-kozlinski,0.0,72595,1,,18,Maurício Kozlinski,Fortaleza,4.92,,,,,,,,,,,,,,1.0,1.0,,,,,
104,265,-0.3,2.81,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,V. Hugo,12,Vitor Hugo,7,vitor-hugo,4.0,72605,3,,18,Vitor Hugo Franchescoli de Souza,Bahia,5.91,,2.0,15.0,11.0,,5.0,6.0,,,,,,1.0,3.0,,,,,,
105,1371,-0.74,2.42,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_l5sEyLV.png,Ceppelini,16,Ceppelini,6,ceppelini,2.1,72762,4,,18,Pablo Daniel Ceppelini Gatto,Cuiabá,4.33,3.0,3.0,9.0,11.0,7.0,6.0,12.0,,,1.0,,,,,,,,,,
106,285,1.8,2.96,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png,L. Adriano,16,Luiz Adriano,7,luiz-adriano,10.4,72772,5,,18,Luiz Adriano de Souza da Silva,Internacional,7.26,1.0,,7.0,8.0,3.0,5.0,14.0,2.0,2.0,3.0,,,,,,,,,,
107,293,0.1,3.04,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,Fernandinho,9,Fernandinho,6,fernandinho,7.0,72775,4,,18,Fernando Luiz Rosa,Athlético-PR,6.31,2.0,4.0,11.0,16.0,,2.0,9.0,,1.0,1.0,,,1.0,,,,,,,
108,285,0.0,3.69,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,Mercado,11,Mercado,3,mercado,0.0,72951,3,,18,Gabriel Iván Mercado,Internacional,4.96,,5.0,20.0,19.0,2.0,1.0,4.0,,,,,,,5.0,,,,1.0,,
109,327,0.35,2.64,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_9c2ocup.png,D. Borges,5,Daniel Borges,7,daniel-borges,3.3,73318,2,,18,Daniel Fortunato Borges,América-MG,5.31,,1.0,9.0,6.0,1.0,,2.0,1.0,,,,,,,,,,,,
110,266,-1.06,4.97,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,S. Xavier,14,Samuel Xavier,7,samuel-xavier,1.7,73384,2,,18,Samuel Xavier Brito,Fluminense,10.41,2.0,4.0,16.0,11.0,2.0,6.0,15.0,,1.0,2.0,,,,5.0,,,,,,
111,285,0.0,2.24,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png,J. Dias,10,Jean Dias,6,jean-dias,0.0,73479,5,,18,Jean Dias da Costa,Internacional,3.41,1.0,1.0,2.0,5.0,1.0,3.0,12.0,,1.0,1.0,,,,,,,,,,
112,284,-0.22,1.95,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,B. Alves,16,Bruno Alves,7,bruno-alves,-0.2,73620,3,,18,Bruno Fabiano Alves,Grêmio,5.6,,1.0,10.0,11.0,1.0,3.0,10.0,,,2.0,,,,3.0,,,,,,
113,290,-0.92,3.82,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_8U4l1F1.png,G. Marques,12,Guilherme Marques,7,guilherme-marques,0.4,73781,5,,18,Guilherme Costa Marques,Goiás,4.01,2.0,2.0,13.0,17.0,3.0,8.0,9.0,,2.0,2.0,,,,,,,,1.0,,
114,262,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png,R. Caio,1,Rodrigo Caio,6,rodrigo-caio,0.0,73800,3,,18,Rodrigo Caio Coquette Russo,Flamengo,3.97,,,,,,,,,,,,,,,,,,,,
115,327,0.0,4.57,https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,Aloísio,12,Aloísio,5,aloisio,0.0,73850,5,,18,Aloísio dos Santos Gonçalves,América-MG,7.85,1.0,3.0,2.0,18.0,7.0,10.0,8.0,4.0,3.0,6.0,,,,,,,,,,
116,277,0.0,1.24,https://s.sde.globo.com/media/person_role/2021/05/04/83ae4938b05e0e1d67ad49af17785e89_FORMATO.png,Alison,5,Alison,5,alison,0.0,73974,4,,18,Alison Lopes Ferreira,Santos,3.03,,,5.0,1.0,,,1.0,,,,,,,,,,,,,
117,263,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,G. Fernández,0,Gatito Fernández,6,gatito-fernandez,0.0,74061,1,,18,Roberto Junior Fernández Torres,Botafogo,8.0,,,,,,,,,,,,,,,,,,,,
118,293,-1.97,3.12,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,Madson,14,Madson,6,madson,1.1,78077,2,,18,Madson Ferreira dos Santos,Athlético-PR,6.11,2.0,3.0,5.0,14.0,1.0,2.0,9.0,,1.0,3.0,,,,4.0,,,,,,
119,265,1.98,2.59,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,Everaldo,15,Everaldo,7,everaldo,11.5,78117,5,,18,Everaldo Stum,Bahia,9.27,,4.0,6.0,14.0,5.0,5.0,13.0,,3.0,6.0,,,,,,,,,,
120,285,0.0,5.09,https://s.sde.globo.com/media/person_role/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,Renê,15,Renê,6,rene,0.0,78445,2,,18,Renê Rodrigues Martins,Internacional,9.63,,2.0,31.0,13.0,1.0,3.0,23.0,,,1.0,,,,6.0,,,,,,
121,1371,0.05,3.12,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,J. Cafu,16,Jonathan Cafu,6,jonathan-cafu,4.6,78580,5,,18,Jonathan Renato Barbosa,Cuiabá,7.08,2.0,3.0,22.0,16.0,2.0,6.0,25.0,,,4.0,,2.0,,,,,,,,
122,285,-0.15,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_GUlE7bV.png,Gabriel,2,Gabriel,7,gabriel,0.0,78605,4,,18,Gabriel Girotto Franco,Internacional,4.13,,,,,,,,,,,,,,,,,,,,
123,283,0.0,3.8,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png,Ramiro,6,Ramiro,5,ramiro,0.0,78715,4,,18,Ramiro Moschen Benetti,Cruzeiro,5.62,1.0,3.0,9.0,8.0,1.0,4.0,,,1.0,,,,,,,,,,,
124,284,-0.97,4.34,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,Reinaldo,11,Reinaldo,7,reinaldo,0.4,78850,2,,18,Reinaldo Manoel da Silva,Grêmio,7.27,4.0,7.0,8.0,18.0,4.0,3.0,11.0,,1.0,2.0,,,,2.0,,,,,,
125,266,0.0,0.54,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png,T. Santos,8,Thiago Santos,6,thiago-santos,0.0,78855,4,,18,Thiago dos Santos,Fluminense,1.94,,2.0,5.0,8.0,1.0,,3.0,,,,,,,,,,,,,
126,277,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_aiqNBl6.png,L. Felipe,1,Luiz Felipe,6,luiz-felipe,0.0,79035,3,,18,Luiz Felipe do Nascimento dos Santos,Santos,2.16,,,,,,,,,,,,,,,,,,,,
127,263,0.13,6.22,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,V. Cuesta,16,Víctor Cuesta,7,victor-cuesta,5.5,79113,3,,18,Víctor Leandro Cuesta,Botafogo,10.81,1.0,6.0,24.0,14.0,2.0,4.0,9.0,1.0,1.0,1.0,,,,11.0,,,,,,
128,356,0.37,2.23,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png,S. Romero,12,Silvio Romero,7,silvio-romero,2.1,79188,5,,18,Silvio Ezequiel Romero,Fortaleza,4.79,1.0,2.0,1.0,7.0,2.0,2.0,4.0,1.0,2.0,4.0,,,,,,,,,,
129,1371,0.03,0.87,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,F. Augusto,11,Filipe Augusto,6,filipe-augusto,0.0,79268,4,,18,Filipe Augusto Carvalho Souza,Cuiabá,1.63,,1.0,11.0,12.0,,,8.0,,,,,,,,,,,1.0,,
130,327,0.0,1.04,https://s.sde.globo.com/media/person_role/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png,R. Silva,5,Ricardo Silva,5,ricardo-silva,0.0,79334,3,,18,Ricardo César Dantas da Silva,América-MG,2.01,,1.0,5.0,6.0,,,4.0,,,,,,,,,,,,,
131,266,-1.07,4.56,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png,Cano,17,Cano,7,cano,2.6,79631,5,,18,Germán Ezequiel Cano,Fluminense,13.93,,4.0,13.0,17.0,12.0,15.0,7.0,2.0,5.0,8.0,1.0,,,,,,,,,
132,283,-0.53,3.03,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_YrS5yhK.png,L. Silva,6,Lucas Silva,7,lucas-silva,1.7,79701,4,,18,Lucas Silva Borges,Cruzeiro,4.46,1.0,,9.0,6.0,,1.0,7.0,,,1.0,,,,,,,,,,
133,356,0.16,2.43,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png,Y. Pikachu,18,Yago Pikachu,7,yago-pikachu,2.2,80196,4,,18,Glaybson Yago Souza Lisboa,Fortaleza,7.62,,2.0,7.0,6.0,5.0,6.0,17.0,,3.0,2.0,1.0,,,,,,,,,
134,276,0.29,4.91,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,Luciano,16,Luciano,7,luciano,3.3,80287,5,,18,Luciano da Rocha Neves,São Paulo,11.69,2.0,3.0,8.0,13.0,8.0,12.0,26.0,2.0,4.0,3.0,1.0,,,,,,,,,
135,265,-0.12,5.67,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_2XeJymB.png,Gilberto,3,Gilberto,7,gilberto,2.7,80313,2,,18,Gilberto Moraes Júnior,Bahia,7.91,,1.0,3.0,2.0,1.0,1.0,6.0,,,,,,,2.0,,,,,,
136,266,-1.02,1.5,https://s.sde.globo.com/media/person_role/2023/07/12/photo_220x220.png,Marlon,2,Marlon,7,marlon,-0.9,80538,3,,18,Marlon Santos da Silva Barbosa,Fluminense,5.15,,1.0,,5.0,,,1.0,,,,,,,1.0,,,,,,
137,277,0.11,3.55,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png,L. Lima,18,Lucas Lima,3,lucas-lima,2.1,80583,4,,18,Lucas Rafael Araújo Lima,Santos,7.3,4.0,3.0,26.0,34.0,2.0,3.0,27.0,,1.0,4.0,,,,,,,,,,
138,275,-0.72,3.47,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cnIvHfj.png,Luan,12,Luan,7,luan,0.0,80692,3,,18,Luan Garcia Teixeira,Palmeiras,6.73,,1.0,10.0,16.0,2.0,5.0,9.0,1.0,1.0,3.0,,,1.0,3.0,,,,,,
139,284,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_2mIyND1.png,P. Geromel,0,Pedro Geromel,6,pedro-geromel,0.0,80853,3,,18,Pedro Tonon Geromel,Grêmio,7.0,,,,,,,,,,,,,,,,,,,,
140,267,0.0,4.06,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,Jair,14,Jair,7,jair,0.0,81091,4,,18,Jair Rodrigues Júnior,Vasco,8.36,,5.0,24.0,23.0,2.0,2.0,38.0,,2.0,,,1.0,,,,,,,,
141,265,0.0,1.52,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,L. Mugni,5,Lucas Mugni,6,lucas-mugni,0.0,81121,4,,18,Lucas Andrés Mugni,Bahia,3.48,,,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
142,275,-1.22,4.85,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_VrbLrFd.png,Mayke,15,Mayke,6,mayke,1.1,81150,2,,18,Mayke Rocha de Oliveira,Palmeiras,7.75,4.0,3.0,29.0,16.0,,1.0,4.0,,1.0,1.0,,,,3.0,,,,,,
143,276,0.0,2.5,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,Alisson,18,Alisson,6,alisson,0.2,81845,4,,18,Alisson Euler de Freitas Castro,São Paulo,5.28,3.0,2.0,20.0,20.0,1.0,9.0,12.0,,,1.0,,,,,,,,,,
144,356,-0.28,4.5,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,J. Ricardo,13,João Ricardo,7,joao-ricardo,3.0,81881,1,,18,João Ricardo Riedi,Fortaleza,7.55,,1.0,,,,,3.0,,,,,,,5.0,41.0,15.0,,,1.0,
145,290,0.32,2.31,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,W. Oliveira,14,Willian Oliveira,7,willian-oliveira,2.9,81952,4,,18,Willian Osmar de Oliveira Silva,Goiás,3.33,,4.0,22.0,20.0,2.0,2.0,18.0,1.0,,,,,,,,,,,,
146,290,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_fajmeHY.png,R. Guzzo,0,Raphael Guzzo,6,raphael-guzzo,0.0,81966,4,,18,Raphael Gregório Guzzo,Goiás,4.0,,,,,,,,,,,,,,,,,,,,
147,327,0.32,2.65,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ek7YW7J.png,Juninho,17,Juninho,3,juninho,2.1,82381,4,,18,Adilson dos Anjos Oliveira,América-MG,6.04,,3.0,18.0,14.0,3.0,3.0,15.0,,2.0,1.0,,1.0,,,,,,,,
148,290,1.55,3.54,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,Tadeu,15,Tadeu,7,tadeu,9.0,82453,1,,18,Tadeu Antônio Ferreira,Goiás,7.56,,,,,,,4.0,,,,,,,4.0,50.0,19.0,,,,
149,275,0.0,5.08,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,Z. Rafael,14,Zé Rafael,6,ze-rafael,0.0,82455,4,,18,José Rafael Vivian,Palmeiras,11.42,2.0,5.0,44.0,33.0,5.0,3.0,30.0,,,1.0,,,,,,,,,,
150,282,0.03,2.27,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,Otávio,8,Otávio,7,otavio,1.5,82463,4,,18,Otávio Henrique Passos Santos,Atlético-MG,3.96,,3.0,18.0,13.0,1.0,1.0,3.0,,,,,,,,,,,,,
151,262,0.33,1.0,https://s.sde.globo.com/media/person_role/2023/07/03/photo_FORMATO.png,L. Araújo,4,Luiz Araújo,7,luiz-araujo,3.2,82627,5,,18,Luiz de Araújo Guimarães Neto,Flamengo,5.23,,,3.0,5.0,2.0,,5.0,,,,,,,,,,,1.0,,
152,356,0.0,5.72,https://s.sde.globo.com/media/person_role/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png,Tinga,12,Tinga,6,tinga,0.0,82628,2,,18,Guilherme de Jesus da Silva,Fortaleza,9.35,,,27.0,8.0,2.0,2.0,4.0,,1.0,3.0,,,,5.0,,,,,,
153,290,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,M. Rangel,3,Marcelo Rangel,6,marcelo-rangel,0.0,82730,1,,18,Marcelo Rangel da Rosa,Goiás,2.34,,,,,,,,,,,,,,,8.0,8.0,,,,
154,1,-0.05,4.74,,P. Turra,16,Paulo Turra,6,paulo-turra,2.29,82747,6,,18,Paulo César Turra,,10.06,,,,,,,,,,,,,,,,,,,,
155,276,-0.03,1.88,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,W. Rato,16,Wellington Rato,6,wellington-rato,-0.1,82766,4,,18,Wellington Soares da Silva,São Paulo,5.33,2.0,2.0,11.0,7.0,3.0,6.0,6.0,,,5.0,,,,,,,,,,
156,262,0.0,4.85,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,Gabriel,13,Gabriel,3,gabriel,0.0,83257,5,,18,Gabriel Barbosa Almeida,Flamengo,12.66,1.0,6.0,5.0,4.0,11.0,12.0,12.0,1.0,4.0,5.0,1.0,,,,,,,,,
157,277,-0.23,0.25,https://s.sde.globo.com/media/person_role/2023/07/21/photo_220x220_fMrOLLy.png,J. Furch,2,Julio Furch,6,julio-furch,0.5,83276,5,,18,Julio César Furch,Santos,4.09,,,,,,,1.0,,,,,,,,,,,,,
158,282,-0.04,2.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,Patrick,14,Patrick,6,patrick,2.8,83433,4,,18,Patrick Bezerra do Nascimento,Atlético-MG,5.82,,1.0,18.0,6.0,1.0,2.0,11.0,,,1.0,,1.0,,,,,,,,
159,262,0.0,5.74,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png,L. Pereira,15,Léo Pereira,6,leo-pereira,0.0,83528,3,,18,Leonardo Pereira,Flamengo,13.3,,2.0,23.0,8.0,,2.0,15.0,,3.0,1.0,,,,6.0,,,,,,
160,283,0.07,5.61,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_U329TT2.png,Neris,8,Neris,7,neris,6.5,83786,3,,18,Hueglo dos Santos Neris,Cruzeiro,5.22,1.0,3.0,13.0,19.0,1.0,1.0,2.0,,,,,,,6.0,,,,,,
161,1371,2.47,4.92,https://s.sde.globo.com/media/person_role/2023/06/30/photo_220x220_AACy2wU.png,Clayson,5,Clayson,6,clayson,12.0,83817,5,,18,Clayson Henrique da Silva Vieira,Cuiabá,7.69,,1.0,2.0,4.0,,3.0,12.0,,2.0,,,,,,,,,,,
162,263,-2.56,9.26,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,T. Soares,17,Tiquinho Soares,3,tiquinho-soares,0.2,84042,5,,18,Francisco das Chagas Soares dos Santos Meireles,Botafogo,19.17,4.0,6.0,8.0,26.0,6.0,20.0,39.0,,13.0,10.0,1.0,,,,,,,,,
163,282,0.54,3.12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,Jemerson,16,Jemerson,7,jemerson,5.1,84263,3,,18,Jemerson de Jesus Nascimento,Atlético-MG,8.23,1.0,4.0,15.0,20.0,1.0,2.0,8.0,,,1.0,,,,6.0,,,,,,
164,290,0.0,2.99,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png,B. Melo,15,Bruno Melo,6,bruno-melo,0.0,84339,3,,18,Bruno Ferreira Melo,Goiás,4.99,1.0,7.0,9.0,13.0,2.0,9.0,11.0,,2.0,2.0,,,1.0,2.0,,,,,,
165,1371,0.54,5.42,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png,F. Sobral,14,Fernando Sobral,6,fernando-sobral,6.1,84428,4,,18,Fernando Pereira do Nascimento,Cuiabá,8.3,2.0,3.0,34.0,19.0,6.0,9.0,21.0,,1.0,,,1.0,,,,,,,,
166,356,0.0,0.75,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_UU97nfg.png,Romarinho,9,Romarinho,6,romarinho,0.0,84523,5,,18,José Romário Silva de Souza,Fortaleza,2.6,,,,1.0,2.0,2.0,6.0,,,,,,,,,,,,,
167,280,-0.71,5.5,https://s.sde.globo.com/media/person_role/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,L. Evangelista,17,Lucas Evangelista,7,lucas-evangelista,2.7,84674,4,,18,Lucas Evangelista Santana de Oliveira,Bragantino,8.69,5.0,2.0,26.0,17.0,7.0,16.0,41.0,1.0,,2.0,,,,,,,,,,
168,262,-1.09,2.35,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_M1z2XK5.png,Varela,2,Varela,7,varela,-0.9,84816,2,,18,Guillermo Varela Olivera,Flamengo,3.52,,,1.0,5.0,,,,,,,,,,1.0,,,,,,
169,294,0.0,5.68,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wdF92Dr.png,Robson,15,Robson,3,robson,0.0,84817,5,,18,Robson dos Santos Fernandes,Coritiba,7.61,1.0,6.0,26.0,31.0,6.0,8.0,20.0,,5.0,3.0,,1.0,,,,,,,,
170,265,4.85,8.25,https://s.sde.globo.com/media/person_role/2023/07/26/photo_220x220_q8xm0Ax.png,R. Ratão,2,Rafael Ratão,7,rafael-ratao,16.1,84918,5,,18,Rafael Rogério da Silva,Bahia,9.34,,1.0,5.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,
