,atletas.rodada_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.slug,atletas.media_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,PC,PS,V,FT,PP,DE,DP,GS,CV,GC,PI
18,29,Corinthians,21,2,Fagner Conserva Lemos,fagner,3.58,7,Fagner,8.2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,True,Fagner,42500,5.5,,264,0.76,1.0,8.0,26.0,16.0,1.0,3.0,30.0,,,6.0,,,,1.0,,,,,,,
19,29,Atlético-MG,19,6,Luiz Felipe Scolari,luiz-felipe-scolari,5.19,7,L. Scolari,11.24,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,True,Luiz Felipe Scolari,43618,5.24,,282,0.49,,,,,,,,,,,,,8.0,,,,,,,,
20,29,Flamengo,3,6,Adenor Leonardo Bachi,tite,6.01,6,Tite,11.09,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,True,Tite,45125,3.47,,262,-0.45,,,,,,,,,,,,,2.0,,,,,,,,
21,29,São Paulo,9,5,Alexandre Rodrigues da Silva,alexandre-pato,1.95,6,A. Pato,3.98,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,False,Alexandre Pato,49675,0.0,,276,0.0,,,1.0,1.0,1.0,2.0,4.0,2.0,2.0,,,,,,1.0,,,,,,
22,29,Fluminense,14,3,David Braz de Oliveira Filho,david-braz,2.85,2,D. Braz,5.21,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,True,David Braz,50317,0.0,,266,-0.32,,1.0,6.0,8.0,1.0,3.0,5.0,,,6.0,,,,,,,,,,,
23,29,Atlético-MG,12,5,Alan Kardec de Sousa Pereira Júnior,alan-kardec,0.81,5,A. Kardec,3.91,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,False,Alan Kardec,50347,0.0,,282,0.0,,1.0,1.0,7.0,,3.0,3.0,1.0,3.0,,,,,,,,,,,,
24,29,Fortaleza,23,3,Christian Chagas Tarouco,titi,3.53,6,Titi,7.21,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,False,Titi,50353,0.0,,356,0.0,1.0,9.0,35.0,26.0,1.0,3.0,21.0,,1.0,8.0,3.0,,,,,,,,,,
25,29,Coritiba,18,3,Henrique Adriano Buss,henrique,1.31,7,Henrique,2.69,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,True,Henrique,50856,-0.4,,294,-0.23,,5.0,11.0,19.0,3.0,1.0,3.0,,,3.0,,,,,,,,,,,
26,29,Goiás,10,2,Luiz Diallison de Souza Alves,apodi,2.21,6,Apodi,4.53,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,False,Apodi,51042,0.0,,290,0.0,,1.0,3.0,6.0,5.0,1.0,2.0,1.0,5.0,1.0,,1.0,,,,,,,,,
27,29,Cuiabá,27,1,Walter Leandro Capeloza Artune,walter,3.04,7,Walter,6.4,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,True,Walter,51413,3.0,,1371,0.29,,2.0,,,,,2.0,,,7.0,1.0,,,,,79.0,,30.0,,,
28,29,Corinthians,21,4,Giuliano Victor de Paula,giuliano,1.46,6,Giuliano,3.25,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,True,Giuliano,51548,3.6,,264,-0.86,,1.0,14.0,11.0,2.0,3.0,11.0,1.0,,,,,,,,,,,,,
29,29,Flamengo,24,4,Everton Augusto de Barros Ribeiro,everton-ribeiro,3.31,6,E. Ribeiro,9.14,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,True,Everton Ribeiro,51772,4.2,,262,0.54,4.0,3.0,18.0,15.0,5.0,5.0,35.0,2.0,1.0,,1.0,,,1.0,,,,,,,
30,29,Atlético-MG,7,3,Réver Humberto Alves Araújo,rever,3.67,6,Réver,3.97,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,True,Réver,52253,0.5,,282,-0.8,,1.0,,1.0,,,2.0,,,5.0,,,,,,,,,,,
31,29,Flamengo,15,3,David Luiz Moreira Marinho,david-luiz,3.5,5,D. Luiz,7.06,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,False,David Luiz,52827,0.0,,262,0.0,1.0,1.0,12.0,15.0,2.0,2.0,3.0,1.0,,5.0,,,,,,,,,,,
32,29,Vasco,17,4,Alex Teixeira Santos,alex-teixeira,2.96,6,A. Teixeira,6.9,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,True,Alex Teixeira,60793,9.4,,267,1.11,3.0,1.0,8.0,22.0,6.0,10.0,22.0,1.0,8.0,,,,,,,,,,,,
33,29,América-MG,21,5,Felipe Azevedo dos Santos,felipe-azevedo,3.56,7,F. Azevedo,5.43,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,True,Felipe Azevedo,60825,0.5,,327,-0.16,1.0,2.0,12.0,19.0,8.0,10.0,22.0,4.0,4.0,,,,,1.0,,,,,,,
34,29,Cuiabá,4,2,Uendel Pereira Gonçalves,uendel,2.3,6,Uendel,3.66,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,False,Uendel,60852,0.0,,1371,0.0,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,
35,29,Bahia,9,2,Neuciano de Jesus Gusmão,cicinho,3.63,6,Cicinho,3.77,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,False,Cicinho,61106,0.0,,265,0.0,,3.0,13.0,19.0,2.0,1.0,9.0,,,3.0,,,,1.0,,,,,,,
36,29,Cruzeiro,20,5,Gilberto Oliveira Souza Júnior,gilberto,2.8,6,Gilberto,7.86,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,False,Gilberto,61188,0.0,,283,0.0,1.0,4.0,8.0,20.0,6.0,19.0,11.0,3.0,4.0,,,,,,,,,,,,
