,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.apelido,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.variacao_num,atletas.posicao_id,atletas.slug,DS,FC,FS,PC,SG,CA,DE,GS,CV,DP,GC,FD,FF,G,I,A,PP,PS,FT,V,PI
17,264,7.54,7,42234,3.21,Corinthians,2.0,Cássio Roberto Ramos,Cássio,Cássio,1.98,True,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,21,20,-0.45,1,cassio,,,4.0,1.0,4.0,2.0,68.0,23.0,,,,,,,,,,,,,
18,264,7.73,5,42500,3.86,Corinthians,0.0,Fagner Conserva Lemos,Fagner,Fagner,1.02,False,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,21,16,0.0,2,fagner,22.0,11.0,24.0,,4.0,5.0,,,,,,1.0,3.0,,,1.0,,,1.0,,
19,282,10.88,7,43618,4.77,Atlético-MG,9.16,Luiz Felipe Scolari,Luiz Felipe Scolari,L. Scolari,7.45,True,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,21,11,1.16,6,luiz-felipe-scolari,,,,,,,,,,,,,,,,,,,,3.0,
20,276,4.92,6,49675,2.55,São Paulo,5.7,Alexandre Rodrigues da Silva,Alexandre Pato,A. Pato,4.73,True,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,21,7,0.88,5,alexandre-pato,1.0,,4.0,,,,,,,,,1.0,2.0,2.0,2.0,,1.0,,,,
21,266,5.64,6,50317,2.86,Fluminense,2.9,David Braz de Oliveira Filho,David Braz,D. Braz,2.61,True,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,21,11,0.3,3,david-braz,4.0,8.0,3.0,,5.0,1.0,,,,,,1.0,3.0,,,,,,,,
22,282,4.17,6,50347,1.26,Atlético-MG,0.0,Alan Kardec de Sousa Pereira Júnior,Alan Kardec,A. Kardec,0.38,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,21,7,-0.05,5,alan-kardec,,3.0,1.0,,,1.0,,,,,,,3.0,1.0,2.0,,,,,,
23,356,7.25,7,50353,4.18,Fortaleza,-2.6,Christian Chagas Tarouco,Titi,Titi,-1.51,True,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,21,18,-1.41,3,titi,28.0,20.0,18.0,2.0,8.0,7.0,,,,,,1.0,2.0,,,1.0,,,,,
24,294,2.91,7,50856,1.15,Coritiba,0.0,Henrique Adriano Buss,Henrique,Henrique,1.28,False,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,21,14,0.0,3,henrique,9.0,14.0,2.0,,2.0,4.0,,,,,,2.0,,,,,,,,,
25,290,5.29,6,51042,2.46,Goiás,0.0,Luiz Diallison de Souza Alves,Apodi,Apodi,2.8,False,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,21,9,0.0,2,apodi,3.0,6.0,2.0,,1.0,1.0,,,,,,5.0,1.0,1.0,5.0,,,1.0,,,
26,1371,5.77,7,51413,3.05,Cuiabá,0.0,Walter Leandro Capeloza Artune,Walter,Walter,0.46,True,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,21,20,-0.21,1,walter,,,2.0,1.0,5.0,2.0,61.0,23.0,,,,,,,,,,,,,
27,264,2.41,6,51548,0.98,Corinthians,-0.3,Giuliano Victor de Paula,Giuliano,Giuliano,0.16,True,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,21,14,-0.73,4,giuliano,9.0,6.0,6.0,,,1.0,,,,,,1.0,2.0,,,,,,,,
28,262,8.59,6,51772,3.45,Flamengo,0.9,Everton Augusto de Barros Ribeiro,Everton Ribeiro,E. Ribeiro,1.11,True,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,21,16,-0.29,4,everton-ribeiro,14.0,12.0,19.0,,,1.0,,,,,,3.0,5.0,2.0,1.0,2.0,,,,,
29,282,4.49,6,52253,4.9,Atlético-MG,0.0,Réver Humberto Alves Araújo,Réver,Réver,4.19,False,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,21,3,0.0,3,rever,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,
30,262,6.95,6,52827,4.0,Flamengo,0.0,David Luiz Moreira Marinho,David Luiz,D. Luiz,1.43,False,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,21,12,0.0,3,david-luiz,12.0,13.0,3.0,,4.0,1.0,,,,,,2.0,2.0,1.0,,1.0,,,,,
31,267,5.7,6,60793,2.58,Vasco,0.9,Alex Teixeira Santos,Alex Teixeira,A. Teixeira,1.11,True,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,21,15,-0.3,4,alex-teixeira,6.0,21.0,19.0,,,1.0,,,,,,6.0,10.0,,8.0,3.0,,,,,
32,327,4.93,7,60825,3.2,América-MG,0.1,Felipe Azevedo dos Santos,Felipe Azevedo,F. Azevedo,0.52,True,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,21,16,-1.77,5,felipe-azevedo,11.0,15.0,16.0,,,1.0,,,,,,4.0,5.0,3.0,1.0,,,,1.0,,
33,1371,3.42,6,60852,2.0,Cuiabá,0.0,Uendel Pereira Gonçalves,Uendel,Uendel,3.25,False,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,21,2,0.0,2,uendel,,,,,1.0,1.0,,,,,,,,,,,,,,,
34,265,3.77,6,61106,3.63,Bahia,0.0,Neuciano de Jesus Gusmão,Cicinho,Cicinho,0.15,False,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,21,9,0.0,2,cicinho,13.0,19.0,9.0,,3.0,3.0,,,,,,2.0,1.0,,,,,,1.0,,
35,283,7.77,6,61188,2.98,Cruzeiro,0.0,Gilberto Oliveira Souza Júnior,Gilberto,Gilberto,-9.06,False,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,21,18,0.0,5,gilberto,6.0,16.0,11.0,,,4.0,,,,,,5.0,19.0,3.0,4.0,1.0,,,,,
36,266,5.29,6,62969,8.0,Fluminense,0.0,Alan Douglas Borges de Carvalho,Alan,Alan,3.12,False,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,21,1,0.0,5,alan,,,,,,,,,,,,,,1.0,,,,,,,
37,266,10.8,7,62977,4.07,Fluminense,0.0,Paulo Henrique Chagas de Lima,Ganso,Ganso,3.89,False,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,21,17,0.0,4,ganso,14.0,10.0,27.0,,,2.0,,,,,,2.0,3.0,3.0,1.0,3.0,,,,,
38,277,3.0,6,63011,0.0,Santos,0.0,Uilson de Souza Paula Júnior,Júnior Caiçara,J. Caiçara,1.71,False,https://s.sde.globo.com/media/person_role/2023/08/21/photo_220x220_fRsHNqF.png,21,0,0.0,2,junior-caicara,,,,,,,,,,,,,,,,,,,,,
39,275,5.47,7,63013,3.31,Palmeiras,5.0,Marcos Luis Rocha Aquino,Marcos Rocha,M. Rocha,4.2,True,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,21,8,0.15,2,marcos-rocha,10.0,10.0,7.0,1.0,3.0,,,,,,,,,,,,,,,,
40,294,4.06,7,63024,1.49,Coritiba,1.0,Fransérgio Rodrigues Barbosa,Fransérgio,Fransérgio,1.17,True,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,21,8,0.09,4,fransergio,5.0,5.0,6.0,,,,,,,,,1.0,4.0,,,,,,,,
41,294,3.8,5,63058,2.43,Coritiba,0.0,Willian Roberto Farias,Willian Farias,W. Farias,2.36,False,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,21,3,0.0,4,willian-farias,6.0,3.0,4.0,,,1.0,,,,,,,,,,,,,,,
