,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.atleta_id,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido,atletas.foto,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,DS,FC,FD,FF,FS,FT,G,I,CA,CV,SG,PS,DE,GS,DP,A,PC,PP,V,GC
19,7,Corinthians,264,0.5,6.92,42500,Fagner Conserva Lemos,0.42,6,fagner,Fagner,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,-0.56,3.43,Fagner,2,6,12.0,4.0,,3.0,8.0,1.0,,,2.0,,,,,,,,,,,
20,7,Fluminense,266,0.0,6.48,50317,David Braz de Oliveira Filho,3.6,3,david-braz,David Braz,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,0.0,5.0,D. Braz,3,6,,,,,,,,,,,3.0,,,,,,,,,
21,7,Atlético-MG,282,0.0,6.0,50347,Alan Kardec de Sousa Pereira Júnior,6.78,0,alan-kardec,Alan Kardec,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,0.0,0.0,A. Kardec,5,6,,,,,,,,,,,,,,,,,,,,
22,7,Fortaleza,356,0.0,7.55,50353,Christian Chagas Tarouco,4.42,6,titi,Titi,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,0.0,4.92,Titi,3,7,10.0,5.0,1.0,1.0,6.0,,,,1.0,,3.0,,,,,,,,,
23,7,Goiás,290,3.42,6.35,50456,Emerson Rodrigues Ávila,2.11,7,emerson-avila,Emerson Ávila,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dFLXQrB.png,-0.07,3.81,E. Ávila,6,7,,,,,,,,,,,,,,,,,,,2.0,
24,7,Coritiba,294,-0.3,2.56,50856,Henrique Adriano Buss,-0.07,4,henrique,Henrique,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,-0.25,0.53,Henrique,3,7,2.0,5.0,1.0,,2.0,,,,1.0,,,,,,,,,,,
25,7,Goiás,290,0.0,5.84,51042,Luiz Diallison de Souza Alves,1.9,3,apodi,Apodi,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,0.0,3.57,Apodi,2,2,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,
26,7,Cuiabá,1371,13.0,6.25,51413,Walter Leandro Capeloza Artune,7.55,7,walter,Walter,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,3.04,2.14,Walter,1,7,,,,,,,,,1.0,,1.0,,23.0,12.0,,,,,,
27,7,Corinthians,264,0.0,2.72,51548,Giuliano Victor de Paula,0.85,5,giuliano,Giuliano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,0.0,0.5,Giuliano,4,6,2.0,4.0,,1.0,3.0,,,,1.0,,,,,,,,,,,
28,7,Flamengo,262,0.0,10.66,51772,Everton Augusto de Barros Ribeiro,3.49,5,everton-ribeiro,Everton Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,0.0,5.22,E. Ribeiro,4,5,6.0,4.0,2.0,1.0,8.0,,1.0,1.0,,,,,,,,1.0,,,,
29,7,Atlético-MG,282,0.0,4.42,52253,Réver Humberto Alves Araújo,2.15,1,rever,Réver,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,0.0,4.7,Réver,3,6,,1.0,,,,,,,1.0,,1.0,,,,,,,,,
30,7,Flamengo,262,0.0,8.37,52827,David Luiz Moreira Marinho,7.76,3,david-luiz,David Luiz,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,0.0,6.63,D. Luiz,3,5,2.0,5.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,,,,
31,7,Vasco,267,-0.1,5.67,60793,Alex Teixeira Santos,0.09,7,alex-teixeira,Alex Teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,-0.56,2.5,A. Teixeira,4,7,3.0,12.0,2.0,3.0,6.0,,,3.0,,,,,,,,2.0,,,,
32,7,América-MG,327,7.4,4.9,60825,Felipe Azevedo dos Santos,4.35,7,felipe-azevedo,Felipe Azevedo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,1.31,1.97,F. Azevedo,5,6,1.0,6.0,2.0,2.0,5.0,,1.0,1.0,,,,,,,,,,,,
33,7,Cuiabá,1371,0.0,4.0,60852,Uendel Pereira Gonçalves,4.52,0,uendel,Uendel,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,0.0,0.0,Uendel,2,6,,,,,,,,,,,,,,,,,,,,
34,7,Bahia,265,0.0,2.72,61106,Neuciano de Jesus Gusmão,1.78,1,cicinho,Cicinho,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,0.0,-0.1,Cicinho,2,6,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
35,7,Cruzeiro,283,1.6,8.9,61188,Gilberto Oliveira Souza Júnior,1.11,7,gilberto,Gilberto,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,-1.93,5.44,Gilberto,5,2,3.0,10.0,3.0,12.0,5.0,,3.0,2.0,2.0,,,,,,,,,,,
36,7,Fluminense,266,0.0,5.29,62969,Alan Douglas Borges de Carvalho,4.82,1,alan,Alan,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,0.0,8.0,Alan,5,6,,,,,,,1.0,,,,,,,,,,,,,
37,7,Fluminense,266,2.0,11.81,62977,Paulo Henrique Chagas de Lima,1.34,7,ganso,Ganso,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,-1.65,6.52,Ganso,4,7,5.0,1.0,2.0,,13.0,,2.0,,,,,,,,,3.0,,,,
38,7,Palmeiras,275,0.0,6.26,63013,Marcos Luis Rocha Aquino,3.49,1,marcos-rocha,Marcos Rocha,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,0.0,4.7,M. Rocha,2,6,4.0,2.0,,,1.0,,,,,,,,,,,,,,,
39,7,Coritiba,294,0.0,3.8,63058,Willian Roberto Farias,2.1,3,willian-farias,Willian Farias,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,0.0,2.43,W. Farias,4,6,6.0,3.0,,,4.0,,,,1.0,,,,,,,,,,,
40,7,Atlético-MG,282,4.1,5.69,63289,Edenílson Andrade dos Santos,2.48,7,edenilson,Edenílson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,0.55,2.47,Edenílson,4,6,9.0,4.0,1.0,,3.0,,,,,,,,,,,1.0,,,,
41,7,Internacional,285,-0.1,2.59,63354,Rodrigo Modesto da Silva Moledo,0.04,4,rodrigo-moledo,Rodrigo Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,-0.53,0.65,R. Moledo,3,7,3.0,2.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,
42,7,Internacional,285,7.2,9.99,68685,Alan Patrick Lourenço,4.26,6,alan-patrick,Alan Patrick,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,0.55,3.67,A. Patrick,4,7,2.0,4.0,2.0,3.0,14.0,,,,1.0,,,,,,,2.0,,,,
43,7,Botafogo,263,0.2,12.67,68708,Carlos Eduardo de Oliveira Alves,0.29,7,eduardo,Eduardo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,-1.04,5.23,Eduardo,4,7,6.0,13.0,,1.0,17.0,,2.0,,2.0,,,,,,,2.0,,,,
44,7,Atlético-MG,282,2.2,3.94,68727,José Rodolfo Pires Ribeiro,1.36,1,dodo,Dodô,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,-1.06,2.2,Dodô,2,6,1.0,,,,2.0,,,,,,,,,,,,,,,
45,7,Santos,277,0.0,2.73,68770,Guilherme de Aguiar Camacho,1.79,3,camacho,Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,0.0,1.8,Camacho,4,6,7.0,8.0,,,1.0,,,1.0,1.0,,,,,,,,,,,
46,7,América-MG,327,0.0,4.23,68773,Henrique Almeida Caixeta Nascentes,0.78,2,henrique-almeida,Henrique Almeida,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,0.0,1.45,H. Almeida,5,6,,3.0,,1.0,,1.0,,,,,,,,,,,,,,
47,7,Palmeiras,275,0.0,8.0,68872,Marcelo Lomba do Nascimento,9.04,0,marcelo-lomba,Marcelo Lomba,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,0.0,0.0,M. Lomba,1,6,,,,,,,,,,,,,,,,,,,,
48,7,Cuiabá,1371,0.0,3.11,68895,Wellington Alves da Silva,0.11,6,wellington-silva,Wellington Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,-0.66,1.3,W. Silva,5,7,4.0,3.0,1.0,1.0,6.0,,,1.0,1.0,,,,,,,,,,,
49,7,Grêmio,284,0.0,7.0,68911,Diego Souza de Andrade,7.91,0,diego-souza,Diego Souza,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,0.0,0.0,D. Souza,5,6,,,,,,,,,,,,,,,,,,,,
50,7,Goiás,290,0.0,7.92,68917,Vinicius Santos Silva,2.9,5,vinicius,Vinicius,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,0.0,3.96,Vinicius,5,7,8.0,4.0,4.0,6.0,6.0,,,2.0,1.0,,,,,,,,,,,
51,7,Palmeiras,275,3.3,14.7,68920,Eduardo Pereira Rodrigues,2.08,7,dudu,Dudu,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,-0.05,5.98,Dudu,5,7,3.0,2.0,4.0,7.0,15.0,1.0,1.0,,,,,,,,,2.0,,,,
52,7,Corinthians,264,1.4,3.7,68923,Carlos Gilberto do Nascimento Silva,0.91,7,gil,Gil,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,0.34,0.59,Gil,3,7,5.0,8.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,
53,7,São Paulo,276,2.5,8.25,68928,Rafael Pires Monteiro,1.59,7,rafael,Rafael,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,0.13,4.93,Rafael,1,7,,,,,1.0,,,,,,3.0,,25.0,6.0,,,,,,
54,7,Cruzeiro,283,0.0,10.15,68940,Rafael Cabral Barbosa,0.2,7,rafael-cabral,Rafael Cabral,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,-1.4,5.25,R. Cabral,1,7,1.0,,,,1.0,,,,,,3.0,,26.0,6.0,,,,,,
55,7,Cruzeiro,283,5.0,6.54,68942,Luciano Castán da Silva,3.02,7,luciano-castan,Luciano Castán,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,0.21,3.83,L. Castán,3,7,8.0,6.0,1.0,1.0,6.0,,,,1.0,,3.0,,,,,,,,,
56,7,Flamengo,262,0.0,2.92,68952,Mário Sérgio Santos Costa,0.73,4,marinho,Marinho,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,0.0,0.67,Marinho,5,6,2.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
57,7,Fortaleza,356,5.1,7.22,68991,Lucas Pacheco Affini,3.07,6,lucas-sasha,Lucas Sasha,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,0.21,3.88,L. Sasha,4,7,19.0,10.0,,2.0,6.0,,,1.0,1.0,,,,,,,,,,,
58,7,Cuiabá,1371,0.0,3.0,69010,João Carlos Heidemann,3.39,0,joao-carlos,João Carlos,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,0.0,0.0,J. Carlos,1,6,,,,,,,,,,,,,,,,,,,,
59,7,Flamengo,262,8.0,9.47,69012,Aderbar Melo dos Santos Neto,4.71,6,santos,Santos,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,1.15,3.25,Santos,1,7,,,,,1.0,,,,,,2.0,,17.0,8.0,,,,,,
60,7,Fluminense,266,1.4,5.6,69014,Manoel Messias Silva Carvalho,0.92,4,manoel,Manoel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,-0.53,2.65,Manoel,3,2,2.0,1.0,,,1.0,,,,1.0,,2.0,,,,,,1.0,,,
61,7,Athlético-PR,293,0.0,5.0,69022,Marcelo Cirino da Silva,5.65,0,marcelo-cirino,Marcelo Cirino,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,0.0,0.0,M. Cirino,5,5,,,,,,,,,,,,,,,,,,,,
