,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.variacao_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.slug,atletas.nome,atletas.jogos_num,atletas.status_id,atletas.media_num,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FD,FF,FS,FT,I,PC,SG,A,CV,GC,DE,GS,G,PP,V,PS,DP,PI
18,True,Fagner,-0.4,30,Corinthians,264,2,42500,2.5,7.8,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,fagner,Fagner Conserva Lemos,22,7,3.53,Fagner,,8.0,28.0,19.0,1.0,3.0,32.0,1.0,,,6.0,1.0,,,,,,,,,,
19,True,L. Scolari,0.86,30,Atlético-MG,282,6,43618,9.49,12.1,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,luiz-felipe-scolari,Luiz Felipe Scolari,20,7,5.41,Luiz Felipe Scolari,,,,,,,,,,,,,,,,,,,9.0,,,
20,False,Tite,0.0,30,Flamengo,262,6,45125,0.0,11.09,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,tite,Adenor Leonardo Bachi,3,7,6.01,Tite,,,,,,,,,,,,,,,,,,,2.0,,,
21,False,A. Pato,0.0,30,São Paulo,276,5,49675,0.0,3.98,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,alexandre-pato,Alexandre Rodrigues da Silva,9,6,1.95,Alexandre Pato,,,1.0,1.0,1.0,2.0,4.0,,2.0,,,,,,,,2.0,1.0,,,,
22,True,D. Braz,0.47,30,Fluminense,266,3,50317,2.9,5.68,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,david-braz,David Braz de Oliveira Filho,15,6,2.85,David Braz,,1.0,7.0,8.0,2.0,3.0,6.0,,,,6.0,,,,,,,,,,,
23,False,A. Kardec,0.0,30,Atlético-MG,282,5,50347,0.0,3.91,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,alan-kardec,Alan Kardec de Sousa Pereira Júnior,12,5,0.81,Alan Kardec,,1.0,1.0,7.0,,3.0,3.0,,3.0,,,,,,,,1.0,,,,,
24,False,Titi,0.0,30,Fortaleza,356,3,50353,0.0,7.21,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,titi,Christian Chagas Tarouco,23,3,3.53,Titi,,9.0,35.0,26.0,1.0,3.0,21.0,,1.0,3.0,8.0,1.0,,,,,,,,,,
25,True,Henrique,0.05,30,Coritiba,294,3,50856,0.0,2.74,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,henrique,Henrique Adriano Buss,19,7,1.24,Henrique,,5.0,11.0,19.0,3.0,1.0,3.0,,,,3.0,,,,,,,,,,,
26,False,Apodi,0.0,30,Goiás,290,2,51042,0.0,4.53,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,apodi,Luiz Diallison de Souza Alves,10,6,2.21,Apodi,,1.0,3.0,6.0,5.0,1.0,2.0,,5.0,,1.0,,,,,,1.0,,,1.0,,
27,True,Walter,1.83,30,Cuiabá,1371,1,51413,13.5,8.23,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,walter,Walter Leandro Capeloza Artune,28,3,3.41,Walter,,3.0,,,,,3.0,,,1.0,8.0,,,,88.0,30.0,,,,,,
28,True,Giuliano,0.5,30,Corinthians,264,4,51548,6.1,3.75,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,giuliano,Giuliano Victor de Paula,22,7,1.67,Giuliano,,2.0,17.0,13.0,3.0,6.0,12.0,,,,,,,,,,1.0,,,,,
29,False,E. Ribeiro,0.0,30,Flamengo,262,4,51772,0.0,9.14,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,everton-ribeiro,Everton Augusto de Barros Ribeiro,24,3,3.31,Everton Ribeiro,,3.0,18.0,15.0,5.0,5.0,35.0,1.0,1.0,1.0,,4.0,,,,,2.0,,,,,
30,False,Réver,0.0,30,Atlético-MG,282,3,52253,0.0,3.97,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,rever,Réver Humberto Alves Araújo,7,6,3.67,Réver,,1.0,,1.0,,,2.0,,,,5.0,,,,,,,,,,,
31,False,D. Luiz,0.0,30,Flamengo,262,3,52827,0.0,7.06,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,david-luiz,David Luiz Moreira Marinho,15,5,3.5,David Luiz,,1.0,12.0,15.0,2.0,2.0,3.0,,,,5.0,1.0,,,,,1.0,,,,,
32,True,A. Teixeira,-1.38,30,Vasco,267,4,60793,0.0,5.52,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,alex-teixeira,Alex Teixeira Santos,18,7,2.8,Alex Teixeira,,1.0,8.0,22.0,6.0,10.0,22.0,,8.0,,,3.0,,,,,1.0,,,,,
33,True,F. Azevedo,-0.09,30,América-MG,327,5,60825,0.0,5.34,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,felipe-azevedo,Felipe Azevedo dos Santos,22,7,3.4,Felipe Azevedo,,2.0,12.0,19.0,8.0,10.0,22.0,1.0,4.0,,,1.0,,,,,4.0,,,,,
34,False,Uendel,0.0,30,Cuiabá,1371,2,60852,0.0,3.66,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,uendel,Uendel Pereira Gonçalves,4,6,2.3,Uendel,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,,,,
35,True,Cicinho,-0.06,30,Bahia,265,2,61106,1.4,3.71,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,cicinho,Neuciano de Jesus Gusmão,10,6,3.41,Cicinho,,3.0,14.0,20.0,2.0,1.0,10.0,1.0,,,3.0,,,,,,,,,,,
