,atletas.posicao_id,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.atleta_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.foto,atletas.slug,atletas.status_id,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.nome,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,PS,SG,CV,I,PC,DE,GS,FT,PP,DP,GC,V,PI
33,2,0.0,2,Uendel,60852,2.0,,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,uendel,6,1371,3.42,20,Cuiabá,Uendel Pereira Gonçalves,False,Uendel,0.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
34,2,0.0,9,Cicinho,61106,3.63,,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,cicinho,6,265,3.77,20,Bahia,Neuciano de Jesus Gusmão,False,Cicinho,0.0,,3.0,13.0,19.0,2.0,1.0,9.0,,,3.0,,,,,,1.0,,,,,
35,5,0.12,18,Gilberto,61188,2.98,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,gilberto,6,283,7.77,20,Cruzeiro,Gilberto Oliveira Souza Júnior,True,Gilberto,0.0,1.0,4.0,6.0,16.0,5.0,19.0,11.0,3.0,,,,4.0,,,,,,,,,
36,5,0.0,1,Alan,62969,8.0,,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,alan,6,266,5.29,20,Fluminense,Alan Douglas Borges de Carvalho,False,Alan,0.0,,,,,,,,1.0,,,,,,,,,,,,,
37,4,0.21,17,Ganso,62977,4.07,,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,ganso,7,266,10.8,20,Fluminense,Paulo Henrique Chagas de Lima,True,Ganso,3.4,3.0,2.0,14.0,10.0,2.0,3.0,27.0,3.0,,,,1.0,,,,,,,,,
38,2,0.0,0,Júnior Caiçara,63011,0.0,,https://s.sde.globo.com/media/person_role/2023/08/21/photo_220x220_fRsHNqF.png,junior-caicara,6,277,3.0,20,Santos,Uilson de Souza Paula Júnior,False,J. Caiçara,0.0,,,,,,,,,,,,,,,,,,,,,
39,2,0.41,7,Marcos Rocha,63013,3.07,,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,marcos-rocha,7,275,5.32,20,Palmeiras,Marcos Luis Rocha Aquino,True,M. Rocha,4.7,,,10.0,10.0,,,7.0,,,2.0,,,1.0,,,,,,,,
40,4,-0.4,7,Fransérgio,63024,1.56,,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,fransergio,7,294,3.97,20,Coritiba,Fransérgio Rodrigues Barbosa,True,Fransérgio,0.0,,,5.0,5.0,1.0,4.0,4.0,,,,,,,,,,,,,,
41,4,0.0,3,Willian Farias,63058,2.43,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,willian-farias,6,294,3.8,20,Coritiba,Willian Roberto Farias,False,W. Farias,0.0,,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,,
42,4,0.82,17,Edenílson,63289,2.04,,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,edenilson,7,282,5.57,20,Atlético-MG,Edenílson Andrade dos Santos,True,Edenílson,4.8,2.0,,18.0,13.0,1.0,1.0,10.0,,,,,,,,,,,,,,
43,3,0.0,7,Rodrigo Moledo,63354,1.26,,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,rodrigo-moledo,3,285,2.82,20,Internacional,Rodrigo Modesto da Silva Moledo,False,R. Moledo,0.0,,3.0,4.0,2.0,1.0,,3.0,,,1.0,,1.0,,,,,,,,,
44,4,-0.24,17,Alan Patrick,68685,2.17,,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,alan-patrick,6,285,7.8,20,Internacional,Alan Patrick Lourenço,True,A. Patrick,0.0,2.0,4.0,6.0,13.0,4.0,8.0,27.0,,,,,2.0,,,,1.0,,,,,
45,4,-0.66,17,Eduardo,68708,4.93,,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,eduardo,7,263,12.68,20,Botafogo,Carlos Eduardo de Oliveira Alves,True,Eduardo,2.9,4.0,4.0,9.0,23.0,6.0,4.0,31.0,4.0,,,,,,,,2.0,,,,,
46,2,-0.09,7,Dodô,68727,1.81,,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,dodo,7,277,3.42,20,Santos,José Rodolfo Pires Ribeiro,True,Dodô,-0.2,,2.0,11.0,5.0,,,6.0,,,,,,,,,,,,,,
47,4,0.0,8,Camacho,68770,0.65,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,camacho,6,277,1.83,20,Santos,Guilherme de Aguiar Camacho,False,Camacho,0.0,,2.0,12.0,17.0,,,2.0,,,,1.0,1.0,,,,,,,,,
48,1,0.0,2,Marcelo Lomba,68872,5.0,,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,marcelo-lomba,6,275,6.78,20,Palmeiras,Marcelo Lomba do Nascimento,False,M. Lomba,0.0,,,,,,,,,,1.0,,,,6.0,1.0,,,,,,
49,5,-0.1,17,Wellington Silva,68895,2.33,,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,wellington-silva,6,1371,4.44,20,Cuiabá,Wellington Alves da Silva,True,W. Silva,3.7,1.0,1.0,17.0,8.0,2.0,4.0,24.0,,,,,2.0,,,,,,,,,
50,5,0.54,12,Vinicius,68917,3.33,,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,vinicius,6,290,7.68,20,Goiás,Vinicius Santos Silva,True,Vinicius,7.0,1.0,1.0,14.0,8.0,5.0,10.0,10.0,,,,,3.0,,,,1.0,,,,,
51,5,0.0,13,Dudu,68920,6.36,,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,dudu,6,275,16.34,20,Palmeiras,Eduardo Pereira Rodrigues,False,Dudu,0.0,3.0,,6.0,8.0,7.0,11.0,38.0,3.0,,,,3.0,,,,1.0,,,,,
52,3,0.0,17,Gil,68923,2.94,,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,gil,6,264,6.61,20,Corinthians,Carlos Gilberto do Nascimento Silva,False,Gil,0.0,,5.0,19.0,15.0,3.0,4.0,4.0,1.0,,4.0,,3.0,,,,,,,,,
53,1,0.0,17,Rafael,68928,3.3,,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,rafael,6,276,7.2,20,São Paulo,Rafael Pires Monteiro,False,Rafael,0.0,,,1.0,,,,2.0,,,5.0,,,,47.0,18.0,,,,,,
54,1,-0.33,19,Rafael Cabral,68940,3.96,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,rafael-cabral,7,283,9.77,20,Cruzeiro,Rafael Cabral Barbosa,True,R. Cabral,0.5,,3.0,1.0,,,,2.0,,,7.0,,,1.0,59.0,17.0,,,,,,
55,3,0.22,19,Luciano Castán,68942,2.95,,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,luciano-castan,7,283,6.25,20,Cruzeiro,Luciano Castán da Silva,True,L. Castán,2.5,,5.0,13.0,17.0,4.0,5.0,14.0,,,7.0,,1.0,,,,,,,,,
56,5,0.32,11,Marinho,68952,2.34,,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,marinho,7,356,3.76,20,Fortaleza,Mário Sérgio Santos Costa,True,Marinho,5.3,,2.0,6.0,11.0,5.0,6.0,25.0,,1.0,,,5.0,,,,,,,,,
57,4,0.0,10,Lucas Sasha,68991,2.92,,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,lucas-sasha,6,356,5.77,20,Fortaleza,Lucas Pacheco Affini,False,L. Sasha,0.0,,2.0,25.0,17.0,,3.0,8.0,,,,,1.0,,,,,,,,,
58,1,0.0,0,João Carlos,69010,0.0,,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,joao-carlos,6,1371,3.0,20,Cuiabá,João Carlos Heidemann,False,J. Carlos,0.0,,,,,,,,,,,,,,,,,,,,,
59,1,0.0,6,Santos,69012,3.25,,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,santos,6,262,9.47,20,Flamengo,Aderbar Melo dos Santos Neto,False,Santos,0.0,,,,,,,1.0,,,2.0,,,,17.0,8.0,,,,,,
60,3,0.0,6,Manoel,69014,1.97,,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,manoel,3,266,5.19,20,Fluminense,Manoel Messias Silva Carvalho,False,Manoel,0.0,,1.0,3.0,1.0,,,1.0,,,2.0,,,1.0,,,,,,,,
61,5,0.0,4,Marcelo Cirino,69022,0.6,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,marcelo-cirino,6,293,3.44,20,Athlético-PR,Marcelo Cirino da Silva,False,M. Cirino,0.0,,1.0,2.0,2.0,,1.0,2.0,,,,,2.0,,,,,,,,,
62,4,0.0,4,Paulinho,69034,2.1,,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,paulinho,5,264,4.5,20,Corinthians,José Paulo Bezerra Maciel Júnior,False,Paulinho,0.0,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
63,1,0.0,2,Vladimir,69040,1.5,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,vladimir,6,277,3.05,20,Santos,Vladimir Orlando Cardoso de Araújo Filho,False,Vladimir,0.0,,,,,,,,,,,1.0,,,9.0,6.0,,,,,,
64,1,0.0,1,Danilo Fernandes,69051,7.0,,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,danilo-fernandes,6,265,4.64,20,Bahia,Danilo Fernandes Batista,False,D. Fernandes,0.0,,1.0,,,,,,,,,,,,7.0,,,,,,,
65,4,-1.03,2,James Rodríguez,69063,0.7,,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,james-rodriguez,7,276,10.41,20,São Paulo,James David Rodríguez Rubio,True,J. Rodríguez,-0.3,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,
66,5,0.15,12,Vargas,69102,1.24,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,vargas,6,282,4.1,20,Atlético-MG,Eduardo Jesús Vargas Rojas,True,Vargas,1.2,,3.0,4.0,7.0,2.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,
67,5,-1.53,13,Pablo,69138,5.11,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,pablo,6,293,10.5,20,Athlético-PR,Pablo Felipe Teixeira,True,Pablo,0.8,2.0,2.0,13.0,9.0,3.0,10.0,14.0,3.0,,,,1.0,,,,1.0,,,,,
68,3,0.0,3,Pablo,69165,1.43,,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,pablo,6,262,3.62,20,Flamengo,Pablo Nascimento Castro,False,Pablo,0.0,,,,4.0,,,1.0,,,1.0,,,,,,,,,,,
69,3,0.0,9,Sidimar,69189,2.14,,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,sidimar,5,290,2.99,20,Goiás,Sidimar Fernando Cigolini,False,Sidimar,0.0,,1.0,4.0,6.0,1.0,2.0,5.0,,,3.0,,,,,,,,,1.0,,
70,5,0.0,15,Luis Suárez,69318,8.02,,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,luis-suarez,3,284,15.34,20,Grêmio,Luis Alberto Suárez Díaz,False,L. Suárez,0.0,4.0,3.0,8.0,14.0,19.0,21.0,33.0,4.0,,,,14.0,,,,5.0,1.0,,,,
71,4,-0.06,8,Aránguiz,69325,1.15,,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,aranguiz,6,285,6.92,20,Internacional,Charles Mariano Aránguiz Sandoval,True,Aránguiz,0.8,,,4.0,6.0,,4.0,6.0,,,,,,,,,,,,,,
72,4,-0.79,5,Medel,69355,1.56,,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,medel,7,267,4.41,20,Vasco,Gary Alexis Medel Soto,True,Medel,-1.0,,2.0,9.0,5.0,,,1.0,,,,,,,,,,,,,,
73,4,-0.09,10,Vidal,69375,2.43,,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,vidal,7,293,5.53,20,Athlético-PR,Arturo Erasmo Vidal Pardo,True,Vidal,2.1,,4.0,13.0,10.0,2.0,6.0,11.0,,,,,,,,,1.0,,,,,
74,5,-0.43,2,João Pedro Galvão,69686,1.5,,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,joao-pedro-galvao,7,284,5.39,20,Grêmio,João Pedro Geraldino dos Santos Galvão,True,J. Galvão,0.9,,,2.0,4.0,,1.0,2.0,,,,,,,,,,,,,,
75,4,0.14,8,Nikão,69705,0.7,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,nikao,6,283,3.15,20,Cruzeiro,Maycon Vinícius Ferreira da Cruz,True,Nikão,1.2,,1.0,5.0,4.0,,,4.0,,,,,2.0,,,,,,,,,
76,5,-1.73,3,Lucas Moura,70164,6.57,,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,lucas-moura,6,276,12.66,20,São Paulo,Lucas Rodrigues Moura da Silva,True,L. Moura,1.7,,,6.0,1.0,,1.0,4.0,1.0,,,,,1.0,,,1.0,,,,,
77,2,0.0,9,Rafael,70171,5.16,,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,rafael,5,263,6.7,20,Botafogo,Rafael Pereira da Silva,False,Rafael,0.0,,2.0,22.0,12.0,1.0,,5.0,,,5.0,1.0,,,,,,,,,,
78,2,-0.98,7,Fábio,70172,2.63,,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,fabio,7,284,3.96,20,Grêmio,Fábio Pereira da Silva,True,Fábio,-0.4,2.0,2.0,8.0,5.0,,1.0,3.0,,,,,,,,,,,,,,
79,3,0.0,13,Bruno Uvini,70221,1.86,,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,bruno-uvini,6,284,2.97,20,Grêmio,Bruno Uvini,False,B. Uvini,0.0,,4.0,5.0,9.0,3.0,4.0,6.0,1.0,,1.0,,,1.0,,,1.0,,,,,
80,5,-2.64,1,Diego Costa,70316,0.2,,https://s.sde.globo.com/media/person_role/2023/08/12/photo_220x220_RCzvL0a.png,diego-costa,6,263,7.36,20,Botafogo,Diego da Silva Costa,True,D. Costa,0.2,,,,1.0,,,1.0,,,,,,,,,,,,,,
81,5,0.0,18,Eduardo Sasha,70360,5.21,,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,eduardo-sasha,6,280,11.09,20,Bragantino,Eduardo Colcenti Antunes,False,E. Sasha,0.0,2.0,2.0,8.0,14.0,5.0,10.0,26.0,6.0,,,,6.0,,,,2.0,,,,,
82,1,-0.84,18,Gabriel,70449,2.58,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,gabriel,7,294,4.24,20,Coritiba,Gabriel Vasconcelos Ferreira - Vasconcellos,True,Gabriel,-2.0,1.0,3.0,,,,,1.0,,,3.0,,,,65.0,36.0,,,,,,
