,atletas.apelido,atletas.variacao_num,atletas.nome,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.status_id,atletas.slug,atletas.jogos_num,atletas.rodada_id,atletas.media_num,atletas.foto,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,SG,V,PS,DE,GS,DP,PP,PC,GC
36,Alan,0.0,Alan Douglas Borges de Carvalho,Alan,,6,alan,1,10,8.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,266,0.0,5.29,Fluminense,5,62969,,,,,,,,,1.0,,,,,,,,,,,
37,Ganso,0.0,Paulo Henrique Chagas de Lima,Ganso,,7,ganso,9,10,6.11,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,266,0.0,12.57,Fluminense,4,62977,3.0,1.0,7.0,3.0,2.0,,14.0,,3.0,,,,,,,,,,,
38,Marcos Rocha,0.0,Marcos Luis Rocha Aquino,M. Rocha,,6,marcos-rocha,2,10,3.3,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,275,0.0,5.12,Palmeiras,2,63013,,,5.0,3.0,,,3.0,,,,,,,,,,,,,
39,Willian Farias,0.0,Willian Roberto Farias,W. Farias,,6,willian-farias,3,10,2.43,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,294,0.0,3.8,Coritiba,4,63058,,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,
40,Edenílson,-0.21,Edenílson Andrade dos Santos,Edenílson,,6,edenilson,9,10,1.97,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,282,0.0,4.82,Atlético-MG,4,63289,1.0,,9.0,4.0,1.0,,4.0,,,,,,,,,,,,,
41,Rodrigo Moledo,-1.07,Rodrigo Modesto da Silva Moledo,R. Moledo,,3,rodrigo-moledo,6,10,1.47,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,285,-0.5,2.86,Internacional,3,63354,,3.0,4.0,2.0,1.0,,3.0,,,1.0,,1.0,,,,,,,,
42,Alan Patrick,-0.16,Alan Patrick Lourenço,A. Patrick,,7,alan-patrick,9,10,3.15,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,285,2.3,9.02,Internacional,4,68685,2.0,2.0,4.0,6.0,3.0,4.0,21.0,,,,,,,,,,,,,
43,Eduardo,-1.22,Carlos Eduardo de Oliveira Alves,Eduardo,,3,eduardo,9,10,5.32,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,263,2.8,12.86,Botafogo,4,68708,3.0,3.0,7.0,15.0,1.0,1.0,22.0,1.0,2.0,,,,,,,,,,,
44,Dodô,0.0,José Rodolfo Pires Ribeiro,Dodô,,6,dodo,1,10,2.2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,282,0.0,3.94,Atlético-MG,2,68727,,,1.0,,,,2.0,,,,,,,,,,,,,
45,Camacho,-0.99,Guilherme de Aguiar Camacho,Camacho,,3,camacho,5,10,1.06,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,277,-2.7,1.91,Santos,4,68770,,1.0,10.0,12.0,,,2.0,,,1.0,1.0,,,,,,,,,
46,Henrique Almeida,0.0,Henrique Almeida Caixeta Nascentes,H. Almeida,,6,henrique-almeida,3,10,1.17,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,327,0.0,3.37,América-MG,5,68773,,,,3.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,
47,Marcelo Lomba,0.0,Marcelo Lomba do Nascimento,M. Lomba,,6,marcelo-lomba,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,275,0.0,8.0,Palmeiras,1,68872,,,,,,,,,,,,,,,,,,,,
48,Wellington Silva,-0.6,Wellington Alves da Silva,W. Silva,,7,wellington-silva,9,10,1.83,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,1371,1.0,3.59,Cuiabá,5,68895,,1.0,7.0,3.0,2.0,2.0,12.0,,,1.0,,,,,,,,,,
49,Diego Souza,0.0,Diego Souza de Andrade,D. Souza,,6,diego-souza,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,284,0.0,7.0,Grêmio,5,68911,,,,,,,,,,,,,,,,,,,,
50,Vinicius,0.0,Vinicius Santos Silva,Vinicius,,7,vinicius,6,10,3.58,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,290,0.0,7.3,Goiás,5,68917,,1.0,9.0,4.0,4.0,6.0,7.0,,,2.0,,,,,,,,,,
51,Dudu,-2.04,Eduardo Pereira Rodrigues,Dudu,,7,dudu,10,10,6.57,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,275,0.6,14.88,Palmeiras,5,68920,3.0,,5.0,6.0,6.0,8.0,28.0,1.0,2.0,1.0,,,,,,,,,,
52,Gil,0.22,Carlos Gilberto do Nascimento Silva,Gil,,7,gil,9,10,1.89,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,264,6.3,5.03,Corinthians,3,68923,,3.0,9.0,11.0,3.0,3.0,3.0,,,,,1.0,,,,,,,,
53,Rafael,-0.48,Rafael Pires Monteiro,Rafael,,7,rafael,10,10,3.85,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,276,0.0,7.57,São Paulo,1,68928,,,,,,,1.0,,,,,3.0,,,34.0,11.0,,,,
54,Rafael Cabral,-0.21,Rafael Cabral Barbosa,R. Cabral,,7,rafael-cabral,10,10,3.77,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,283,1.0,9.46,Cruzeiro,1,68940,,1.0,1.0,,,,1.0,,,,,3.0,,,32.0,10.0,,,,
55,Luciano Castán,-0.12,Luciano Castán da Silva,L. Castán,,7,luciano-castan,10,10,2.9,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,283,1.0,5.71,Cruzeiro,3,68942,,2.0,10.0,8.0,1.0,1.0,9.0,,,1.0,,3.0,,,,,,,,
56,Marinho,0.0,Mário Sérgio Santos Costa,Marinho,,6,marinho,4,10,0.67,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,262,0.0,2.92,Flamengo,5,68952,,1.0,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,
57,Lucas Sasha,0.0,Lucas Pacheco Affini,L. Sasha,,6,lucas-sasha,6,10,3.88,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,356,0.0,7.22,Fortaleza,4,68991,,1.0,19.0,10.0,,2.0,6.0,,,1.0,,,,,,,,,,
58,João Carlos,0.0,João Carlos Heidemann,J. Carlos,,6,joao-carlos,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,1371,0.0,3.0,Cuiabá,1,69010,,,,,,,,,,,,,,,,,,,,
59,Santos,0.0,Aderbar Melo dos Santos Neto,Santos,,6,santos,6,10,3.25,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,262,0.0,9.47,Flamengo,1,69012,,,,,,,1.0,,,,,2.0,,,17.0,8.0,,,,
60,Manoel,0.08,Manoel Messias Silva Carvalho,Manoel,,7,manoel,6,10,1.97,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,266,1.2,5.19,Fluminense,3,69014,,1.0,3.0,1.0,,,1.0,,,,,2.0,,,,,,,1.0,
61,Marcelo Cirino,0.0,Marcelo Cirino da Silva,M. Cirino,,6,marcelo-cirino,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,293,0.0,5.0,Athlético-PR,5,69022,,,,,,,,,,,,,,,,,,,,
62,Antônio Carlos Zago,0.76,Antônio Carlos Zago,A. Zago,,7,antonio-carlos-zago,8,10,3.83,https://s.sde.globo.com/media/person_role/2023/05/10/photo_FORMATO_QhbNvRM.png,294,6.66,6.86,Coritiba,6,69029,,,,,,,,,,,,,,,,,,,,
63,Paulinho,0.0,José Paulo Bezerra Maciel Júnior,Paulinho,,5,paulinho,4,10,2.1,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,264,0.0,4.5,Corinthians,4,69034,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,
64,Vladimir,0.0,Vladimir Orlando Cardoso de Araújo Filho,Vladimir,,6,vladimir,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,277,0.0,4.0,Santos,1,69040,,,,,,,,,,,,,,,,,,,,
65,Danilo Fernandes,-1.68,Danilo Fernandes Batista,D. Fernandes,,6,danilo-fernandes,0,10,-1.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,265,-1.0,3.32,Bahia,1,69051,,1.0,,,,,,,,,,,,,,,,,,
66,Vargas,-0.51,Eduardo Jesús Vargas Rojas,Vargas,,6,vargas,6,10,2.27,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,282,1.0,4.71,Atlético-MG,5,69102,,2.0,3.0,4.0,2.0,1.0,2.0,,1.0,,,,,1.0,,,,,,
67,Pablo,0.0,Pablo Felipe Teixeira,Pablo,,6,pablo,8,10,5.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,293,0.0,11.51,Athlético-PR,5,69138,2.0,2.0,10.0,8.0,3.0,8.0,9.0,,1.0,1.0,,,,,,,,,,
68,Pablo,0.0,Pablo Nascimento Castro,Pablo,,6,pablo,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,262,0.0,5.0,Flamengo,3,69165,,,,,,,,,,,,,,,,,,,,
69,Sidimar,0.0,Sidimar Fernando Cigolini,Sidimar,,6,sidimar,5,10,0.74,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,290,0.0,1.92,Goiás,3,69189,,1.0,3.0,4.0,1.0,2.0,5.0,,,,,,,,,,,,,1.0
70,Luis Suárez,-0.87,Luis Alberto Suárez Díaz,L. Suárez,,7,luis-suarez,8,10,7.64,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,284,5.7,14.0,Grêmio,5,69318,2.0,2.0,8.0,11.0,10.0,10.0,19.0,2.0,2.0,7.0,,,,,,,,1.0,,
71,Aránguiz,0.0,Charles Mariano Aránguiz Sandoval,Aránguiz,,6,aranguiz,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,285,0.0,10.0,Internacional,4,69325,,,,,,,,,,,,,,,,,,,,
72,Vidal,0.0,Arturo Erasmo Vidal Pardo,Vidal,,6,vidal,6,10,2.32,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,262,0.0,5.71,Flamengo,4,69375,,2.0,5.0,4.0,2.0,4.0,5.0,1.0,,,,,,,,,,,,
73,Nikão,0.0,Maycon Vinícius Ferreira da Cruz,Nikão,,6,nikao,5,10,0.3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,283,0.0,3.48,Cruzeiro,4,69705,,1.0,2.0,4.0,,,3.0,,,2.0,,,,,,,,,,
74,Fellipe Bastos,0.0,Fellipe Ramos Ignez Bastos,F. Bastos,,6,fellipe-bastos,1,10,-1.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,290,0.0,3.3,Goiás,4,70116,,1.0,,,,,,,,,,,,,,,,,,
75,Rafael,0.67,Rafael Pereira da Silva,Rafael,,2,rafael,6,10,4.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,263,5.8,5.49,Botafogo,2,70171,,2.0,16.0,8.0,1.0,,2.0,,,,1.0,2.0,,,,,,,,
76,Fábio,0.0,Fábio Pereira da Silva,Fábio,,5,fabio,4,10,2.75,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,284,0.0,4.63,Grêmio,2,70172,1.0,,4.0,2.0,,1.0,2.0,,,,,,,,,,,,,
77,Bruno Uvini,0.55,Bruno Uvini,B. Uvini,,3,bruno-uvini,7,10,1.83,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,284,3.6,3.31,Grêmio,3,70221,,3.0,3.0,4.0,3.0,1.0,4.0,,1.0,,,,,,,,,,1.0,
78,Eduardo Sasha,0.66,Eduardo Colcenti Antunes,E. Sasha,,7,eduardo-sasha,10,10,5.58,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,280,8.6,11.52,Bragantino,5,70360,2.0,2.0,4.0,7.0,1.0,3.0,14.0,1.0,4.0,5.0,,,,,,,,,,
79,Gabriel,1.42,Gabriel Vasconcelos Ferreira - Vasconcellos,Gabriel,,7,gabriel,9,10,2.11,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,294,9.0,4.96,Coritiba,1,70449,,2.0,,,,,,,,,,1.0,,,34.0,18.0,,,,
80,Marllon,0.0,Marllon Gonçalves Jerônimo Borges,Marllon,,7,marllon,9,10,3.84,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,1371,0.0,7.47,Cuiabá,3,70666,1.0,3.0,11.0,6.0,,2.0,5.0,,1.0,,,2.0,,,,,,,1.0,
81,Enner Valencia,0.0,Enner Remberto Valencia Lastra,E. Valencia,,6,enner-valencia,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,285,0.0,12.0,Internacional,5,70788,,,,,,,,,,,,,,,,,,,,
82,Jorge Sampaoli,0.71,Jorge Sampaoli,J. Sampaoli,,7,jorge-sampaoli,9,10,6.54,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,262,10.75,12.19,Flamengo,6,70800,,,,,,,,,,,,,5.0,,,,,,,
83,Diogo Barbosa,0.0,Diogo Barbosa Mendanha,D. Barbosa,,6,diogo-barbosa,6,10,2.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hD7TNLn.png,284,0.0,6.95,Grêmio,2,70916,,1.0,5.0,4.0,,1.0,5.0,,,1.0,,1.0,,,,,,,,
84,Léo Cittadini,-0.53,Leonardo Cittadini,L. Cittadini,,6,leo-cittadini,3,10,-0.17,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,293,0.0,1.52,Athlético-PR,4,70986,,,,5.0,,,2.0,,,,,,,,,,,,,
85,Vina,0.01,Vinícius Goes Barbosa de Souza,Vina,,6,vina,10,10,1.73,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q8oUM9e.png,284,0.8,5.0,Grêmio,4,71162,,2.0,2.0,2.0,2.0,2.0,11.0,,1.0,,,,,,,,,,,
