"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.81","0.98","-0.34","267","62","75","284","0.17","1.11","1.01"
"1.17","0.85","0","263","71","58","283","-0.53","1","0.69"
"0.93","0.45","-1.26","314","42","63","356","-0.37","0.92","0.84"
"0.73","0.4","-1.78","341","21","64","264","0.32","0.74","1.67"
"3.22","1.83","2.56","275","67","22","276","0.42","0.82","1.63"
"0.99","1.31","0.37","290","64","77","262","0.89","1.46","1.27"
"1.12","0.9","0","354","70","65","266","-0.21","1.17","0.74"
"0.89","1.63","0.53","282","87","70","315","-0.23","1.06","0.81"
"1.36","1.36","0.89","277","78","58","265","0.09","1.18","0.9"
"1.22","1.41","0.78","285","77","70","293","0.5","1.49","0.95"
