AtletaID,Rodada,ClubeID,Participou,Posicao,Jogos,Pontos,PontosMedia,Preco,PrecoVariacao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,ano,Apelido,Status,media,roll.media
36522,7,294.0,True,mei,4.0,2.4,6.6,17.76,-0.87,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,3.3,5.28
36522,9,294.0,True,mei,5.0,13.1,7.9,19.49,1.73,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,3.95,6.06
36522,10,294.0,True,mei,6.0,2.8,7.05,18.24,-1.25,2,5,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,2014,0,0,3.8454545454545497,4.88
36522,11,294.0,True,mei,7.0,4.0,6.61,18.44,0.2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,3.8583333333333303,4.46
36522,12,294.0,True,mei,8.0,20.2,8.31,21.83,3.39,2,4,1,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,2014,0,0,5.1153846153846105,8.02
36522,13,294.0,True,mei,9.0,-2.5,7.11,18.13,-3.7,1,4,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,2014,0,0,4.57142857142857,7.52
36522,14,294.0,True,mei,10.0,-2.0,6.2,17.88,-0.25,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,0,0,4.13333333333333,4.5
36522,18,294.0,True,mei,11.0,3.1,5.92,18.02,0.14,3,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2014,0,0,3.4263157894736804,0.22
36522,22,294.0,True,mei,12.0,4.5,5.8,17.78,-0.24,1,5,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,2014,0,0,3.02608695652174,1.52
36522,24,294.0,True,mei,13.0,-3.7,5.07,16.16,-1.62,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2014,0,0,2.636,0.16
36522,25,294.0,True,mei,14.0,6.8,5.19,17.87,1.71,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014,0,0,2.79615384615385,1.52
36522,26,294.0,True,mei,15.0,2.6,5.02,17.17,-0.7,4,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,0,0,2.78888888888889,2.04
36522,27,294.0,True,mei,16.0,5.4,5.04,17.45,0.28,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,0,0,2.88214285714286,2.22
36522,28,294.0,True,mei,17.0,3.6,4.96,17.2,-0.25,0,5,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2014,0,0,2.90689655172414,2.94
36522,29,294.0,True,mei,18.0,3.4,4.87,17.34,0.14,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2014,0,0,2.9233333333333302,4.36
36522,30,294.0,True,mei,19.0,13.5,5.32,19.1,1.76,3,3,0,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,2014,0,0,3.2645161290322595,5.7
36522,31,294.0,True,mei,20.0,0.7,5.09,16.85,-2.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,3.184375,5.32
36522,32,294.0,True,mei,21.0,10.1,5.33,18.55,1.7,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,3.39393939393939,6.26
36522,34,294.0,True,mei,22.0,2.1,5.18,17.24,-1.31,1,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2014,0,0,3.26,5.28
36522,35,294.0,True,mei,23.0,1.4,5.02,17.02,-0.22,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2014,0,0,3.2083333333333304,2.86
36522,36,294.0,True,mei,24.0,11.2,5.28,18.74,1.72,3,3,1,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,2014,0,0,3.4243243243243198,4.96
36522,37,294.0,True,mei,25.0,4.7,5.26,17.78,-0.96,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,0,0,3.4578947368421,3.88
36522,38,294.0,True,mei,26.0,-0.3,5.05,16.75,-1.03,0,5,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2014,0,0,3.3615384615384603,3.82
36540,1,285.0,True,zag,1.0,2.0,2.0,12.88,-2.12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2014,0,0,1.0,1.0
36540,2,285.0,True,zag,2.0,3.4,2.7,12.04,-0.84,1,4,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2014,0,0,1.8,1.0
36540,3,285.0,True,zag,3.0,0.1,1.83,10.85,-1.19,4,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2014,0,0,1.375,1.0
36540,4,285.0,True,zag,4.0,0.9,1.6,10.61,-0.24,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,1.28,1.28
36540,5,285.0,True,zag,5.0,1.2,1.52,10.45,-0.16,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,2014,0,0,1.26666666666667,1.52
36540,7,285.0,True,zag,6.0,1.9,1.58,10.14,-0.31,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,1.1875,0.82
36540,8,285.0,True,zag,7.0,10.7,2.88,11.87,1.73,2,2,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,2014,0,0,2.24444444444444,2.94
36540,9,285.0,True,zag,8.0,4.1,3.03,11.2,-0.67,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2014,0,0,2.43,3.58
36540,10,285.0,True,zag,9.0,0.4,2.74,10.7,-0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,2.2454545454545496,3.42
36540,11,285.0,True,zag,10.0,10.0,3.47,12.69,1.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,0,2.8916666666666697,5.42
36540,12,285.0,True,zag,11.0,2.3,3.36,11.47,-1.22,0,3,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,2014,0,0,2.84615384615385,5.5
36540,13,285.0,True,zag,12.0,7.1,3.67,12.55,1.08,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2014,0,0,3.15,4.78
36540,14,285.0,True,zag,13.0,6.6,3.9,12.72,0.17,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2014,0,0,3.38,5.28
36540,15,285.0,True,zag,14.0,7.3,4.14,13.15,0.43,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2014,0,0,3.625,6.66
36540,16,285.0,True,zag,15.0,1.8,3.98,12.04,-1.11,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2014,0,0,3.5176470588235302,5.02
36540,17,285.0,True,zag,16.0,5.0,4.04,12.86,0.82,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2014,0,0,3.6,5.56
36540,23,285.0,True,zag,17.0,9.8,4.38,13.33,0.47,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2014,0,0,3.1083333333333303,1.96
36540,24,285.0,True,zag,18.0,7.4,4.55,13.21,-0.12,1,4,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,2014,0,0,3.28,3.44
36540,25,285.0,True,zag,19.0,10.0,4.84,13.82,0.61,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2014,0,0,3.5384615384615397,5.44
36540,26,285.0,True,zag,20.0,-2.5,4.47,11.69,-2.13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2014,0,0,3.31481481481481,4.94
36540,27,285.0,True,zag,21.0,4.8,4.49,12.76,1.07,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2014,0,0,3.36785714285714,5.9
36540,5,285.0,True,zag,1.0,1.6,1.6,11.74,-2.26,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,0,0,2.1311111111111103,0.32
36540,7,285.0,True,zag,2.0,0.8,1.2,11.26,-0.48,1,4,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2015,0,0,2.05744680851064,0.48
36540,14,285.0,True,zag,3.0,1.1,1.17,10.32,-0.94,2,6,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,2015,0,0,1.8111111111111102,0.22
36540,16,285.0,True,zag,4.0,3.9,1.85,10.68,0.36,2,8,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,2015,0,0,1.81607142857143,1.0
36540,17,285.0,True,zag,5.0,0.6,1.6,10.11,-0.57,2,10,0,0,1,2,0,1,0,3,4,0,0,0,1,0,0,0,2015,0,0,1.7947368421052599,1.12
36540,18,285.0,True,zag,6.0,4.2,2.03,10.83,0.72,3,10,0,0,2,3,0,1,0,3,6,0,1,0,2,0,0,0,2015,0,0,1.83620689655172,1.96
36540,28,285.0,True,zag,7.0,-0.2,1.71,9.7,-1.13,5,12,0,0,2,4,0,1,0,4,8,0,2,0,2,0,0,0,2015,0,0,1.5865671641791002,-0.04
36540,32,285.0,True,zag,8.0,7.1,2.38,10.74,1.04,5,13,0,0,2,5,0,1,0,5,8,0,2,0,3,0,0,0,2015,0,0,1.59718309859155,1.38
36540,34,285.0,True,zag,9.0,1.6,2.29,9.87,-0.87,5,16,0,0,2,5,0,1,0,5,13,0,2,0,4,0,0,0,2015,0,0,1.57534246575342,1.74
36540,35,285.0,True,zag,10.0,-5.8,1.48,8.52,-1.35,5,16,0,0,2,6,0,1,0,5,16,0,2,1,4,0,0,0,2015,0,0,1.4756756756756801,0.58
36540,1,262.0,True,zag,10.0,11.7,11.7,13.75,6.75,1,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2016,0,0,1.55,1.18
36540,2,262.0,True,zag,10.0,2.2,6.95,15.22,1.47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,0,0,1.55822784810127,2.78
36540,3,262.0,True,zag,10.0,-2.8,3.7,12.95,-2.27,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2016,0,0,1.50375,2.22
36540,15,262.0,True,zag,10.0,1.1,3.05,11.32,-1.63,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,0,0,1.3195652173913,0.22
36540,16,262.0,True,zag,10.0,3.5,3.14,11.6,0.28,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2016,0,0,1.3430107526881698,0.92
36540,17,262.0,True,zag,10.0,4.4,3.35,11.91,0.31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,0,0,1.37553191489362,1.8
