"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name"
"198","Uilson Pedruzzi de Oliveira","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,1,"ATL","gol","Contundido",0,2,0,0,0,"Atlético-MG"
"199","Carlos Alberto Carvalho da Silva Júnior","Carlos","https://s.glbimg.com/es/sde/f/2018/03/20/338b563f51b8c2eb19bd4bfaf237a8cb_FORMATO.png",85027,1,"ATL","ata","Nulo",0,4,0,0,0,"Atlético-MG"
"200","Michael Matias Fracaro","Michael","https://s.glbimg.com/es/sde/f/2018/03/20/66c49b9d55088a1305db28a505d4ec16_FORMATO.png",93659,1,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-MG"
"201","Marco Túlio Oliveira Lemos","Marco Túlio","https://s.glbimg.com/es/sde/f/2017/05/04/41bd7f91d7b18b2b10bf42c51a52305f_FORMATO.png",97546,1,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-MG"
"202","Gustavo Blanco Petersen Macedo","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2017/07/04/bdab16330aca79897bf4fa25fd8d7eaf_FORMATO.jpeg",91191,1,"ATL","mei","Nulo",0,3,0,0,0,"Atlético-MG"
"203","Cleiton Schwengber","Cleiton","https://s.glbimg.com/es/sde/f/2017/04/03/ef54b93128f4d412c55c7cd27c83323b_FORMATO.png",93882,1,"ATL","gol","Nulo",0,2,0,0,0,"Atlético-MG"
"204","José Marcos Costa Martins","Marquinhos","https://s.glbimg.com/es/sde/f/2017/07/05/cd8999b74581b3b3784402a115de312f_FORMATO.png",98765,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-MG"
"205","Róger Krug Guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2018/03/20/75c54272e675d64530aeb9cb60976572_FORMATO.png",89898,1,"ATL","ata","Nulo",0,7,0,0,0,"Atlético-MG"
"206","Tomás Gustavo Andrade","Tomás Andrade","https://s.glbimg.com/es/sde/f/2018/03/20/3713f34bd7438d3e7c84de0f426fe826_FORMATO.png",97619,1,"ATL","mei","Nulo",0,5,0,0,0,"Atlético-MG"
"207","Fernando Rodrigues Caixeta Barbosa","Fernando","https://s.glbimg.com/es/sde/f/2017/04/25/81f091bd3dc3451dde264b3a655fe002_FORMATO.png",97543,1,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-MG"
