AtletaID,Rodada,Posicao,ClubeID,Pontos,PontosMedia,Preco,PrecoVariacao,media,roll.media,Jogos,CA,CV,DD,DP,FC,GC,GS,RB,SG,A,FD,FF,FS,FT,G,I,PE,PP
36522,6,4,10,6.1,8.0,18.63,-0.06,3.4285714285714306,4.8,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0
36522,7,4,10,2.4,6.6,17.76,-0.87,3.3,5.28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
36522,9,4,10,13.1,7.9,19.49,1.73,3.95,6.06,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0
36522,10,4,10,2.8,7.05,18.24,-1.25,3.8454545454545497,4.88,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0
36522,11,4,10,4.0,6.61,18.44,0.2,3.8583333333333294,4.46,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
36522,12,4,10,20.2,8.31,21.83,3.39,5.1153846153846105,8.02,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0
36522,13,4,10,-2.5,7.11,18.13,-3.7,4.57142857142857,7.52,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0
36522,14,4,10,-2.0,6.2,17.88,-0.25,4.13333333333333,4.5,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
36522,18,4,10,3.1,5.92,18.02,0.14,3.4263157894736804,0.22,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0
36522,22,4,10,4.5,5.8,17.78,-0.24,3.02608695652174,1.52,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0
