A,Apelido,AtletaID,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,Rodada,SG,Status,ano,media,roll.media
0.0,0,36522,1.0,0.0,Coritiba,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,True,6.1,8.0,mei,18.63,-0.06,0.0,6,0.0,0,2014,3.4285714285714306,4.8
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,True,2.4,6.6,mei,17.76,-0.87,0.0,7,0.0,0,2014,3.3,5.28
1.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,True,13.1,7.9,mei,19.49,1.73,0.0,9,0.0,0,2014,3.95,6.06
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,True,2.8,7.05,mei,18.24,-1.25,0.0,10,0.0,0,2014,3.8454545454545497,4.88
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,True,4.0,6.61,mei,18.44,0.2,0.0,11,0.0,0,2014,3.8583333333333303,4.46
1.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,True,20.2,8.31,mei,21.83,3.39,2.0,12,0.0,0,2014,5.1153846153846105,8.02
0.0,0,36522,1.0,0.0,Coritiba,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,0.0,True,-2.5,7.11,mei,18.13,-3.7,0.0,13,0.0,0,2014,4.57142857142857,7.52
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,True,-2.0,6.2,mei,17.88,-0.25,0.0,14,0.0,0,2014,4.13333333333333,4.5
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,True,3.1,5.92,mei,18.02,0.14,0.0,18,0.0,0,2014,3.4263157894736804,0.22
1.0,0,36522,1.0,0.0,Coritiba,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,True,4.5,5.8,mei,17.78,-0.24,0.0,22,0.0,0,2014,3.02608695652174,1.52
