"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","PE","RB","SG","I","G","FT","GC","CV","DD","GS","PP","DP"
"217","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,31,"ATL","ata","Nulo",4.2,5.24,0.72,1.36,22,"Atlético-MG",NA,1,39,8,10,23,29,4,NA,17,4,2,NA,NA,NA,NA,1,NA
"218","Lucas Pereira Ribeiro de Souza","Lucas",NA,100100,31,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,31,"VAS","mei","Nulo",0,4.92,0,2.01,15,"Vasco",NA,2,17,1,1,17,36,15,NA,3,2,1,NA,NA,NA,NA,NA,NA
"220","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,31,"COR","ata","Contundido",0,1.79,0,-0.19,15,"Coritiba",NA,6,24,3,2,19,24,7,NA,4,1,NA,NA,NA,NA,NA,1,NA
"221","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/09/29/4651e65d3130540afa2b4cb4c1cb5ef4_FORMATO.png",37688,31,"GRE","mei","Nulo",0,4.28,0,-0.81,10,"Grêmio",NA,2,18,NA,3,7,16,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"222","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,31,"AVA","mei","Nulo",0,4.83,0,1.55,20,"Avaí",2,5,28,4,9,29,63,20,NA,3,1,1,NA,1,NA,NA,NA,NA
"223","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,31,"CRU","ata","Nulo",0,9.41,0,1.99,20,"Cruzeiro",1,4,21,9,14,15,39,7,NA,1,4,NA,NA,1,NA,NA,NA,NA
"224","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,31,"GRE","lat","Provável",0,9.86,0,3.37,12,"Grêmio",NA,NA,7,1,4,14,49,9,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"225","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,31,"PON","gol","Provável",23,15.07,4.05,4.23,28,"Ponte Preta",NA,2,NA,NA,NA,3,10,1,11,NA,NA,NA,NA,NA,47,37,NA,NA
"226","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,31,"GRE","gol","Provável",0,8.55,0,2.31,20,"Grêmio",NA,1,NA,NA,NA,NA,6,NA,10,NA,NA,NA,NA,1,11,14,NA,NA
"227","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,31,"ATL","mei","Nulo",0,4.87,0,1.41,9,"Atlético-MG",NA,2,16,NA,NA,12,21,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"228","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,31,"COR","mei","Nulo",0,3.31,0,-0.19,7,"Coritiba",NA,1,6,NA,NA,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,31,"VAS","ata","Provável",0,11.82,0,5.19,11,"Vasco",2,5,22,6,17,22,15,4,NA,6,5,NA,NA,NA,NA,NA,NA,NA
"230","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,31,"CRU","mei","Provável",4,4.94,0.99,1.38,21,"Cruzeiro",NA,5,24,3,4,30,47,29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"231","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,31,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,1,2,NA,1,2,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"232","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,31,"PON","mei","Contundido",2.9,4.63,-0.12,1.78,16,"Ponte Preta",2,4,13,NA,10,19,11,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"233","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,31,"PAL","mei","Nulo",0,4.95,0,1.2,1,"Palmeiras",NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,31,"SAO","mei","Nulo",0,7.18,0,3.15,9,"São Paulo",1,1,2,3,2,10,4,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"235","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,31,"SPO","zag","Provável",0,6.1,0,3.04,17,"Sport",1,1,16,4,NA,11,27,21,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"236","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,31,"SAO","zag","Nulo",0,3.05,0,0.25,7,"São Paulo",NA,5,11,1,3,2,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,31,"BOT","gol","Nulo",0,9.57,0,7.78,6,"Botafogo",NA,2,NA,NA,NA,1,6,NA,2,NA,NA,NA,NA,NA,15,5,NA,1
"238","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,31,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,31,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,31,"COR","ata","Provável",0,11.96,-1.35,4.04,28,"Corinthians",2,4,49,19,18,31,60,8,NA,31,14,NA,NA,NA,NA,NA,1,NA
"241","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,31,"PAL","gol","Provável",-1.3,13.97,-0.1,4.13,27,"Palmeiras",NA,2,NA,NA,NA,6,11,1,7,NA,NA,NA,NA,NA,44,30,NA,1
"242","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,31,"AVA","mei","Provável",-1,2.34,0,0.66,16,"Avaí",NA,1,8,8,4,14,58,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA
"243","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,31,"ATL","lat","Provável",5,5.15,-0.21,3.66,27,"Atlético-MG",2,7,34,2,5,49,89,30,7,3,4,NA,NA,NA,NA,NA,NA,NA
"244","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,31,"CHA","ata","Provável",-0.6,9.17,-1.64,2.51,26,"Chapecoense",1,5,36,20,21,32,56,7,NA,9,5,2,NA,NA,NA,NA,NA,NA
"245","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,31,"ATL","ata","Provável",1.4,12.17,-2.72,2.58,24,"Atlético-MG",3,7,21,5,8,27,55,21,NA,17,5,NA,NA,NA,NA,NA,1,NA
"246","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,31,"BOT","ata","Contundido",0,10.31,0,5.06,20,"Botafogo",2,3,21,11,19,22,44,11,NA,19,10,NA,NA,NA,NA,NA,1,NA
"247","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,31,"ATL","ata","Provável",1.9,13.81,-0.64,2.8,23,"Atlético-MG",3,5,45,7,12,49,49,6,NA,12,7,1,NA,NA,NA,NA,2,NA
"248","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,31,"GRE","mei","Contundido",0,7.26,0,1,11,"Grêmio",NA,3,11,1,3,10,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,31,"FLA","mei","Nulo",0.7,8.21,0.15,2.81,25,"Flamengo",1,5,33,1,7,34,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,31,"COR","mei","Nulo",2.4,8.46,0.64,1.21,25,"Corinthians",2,2,18,5,15,15,118,9,NA,3,4,NA,NA,NA,NA,NA,NA,NA
"251","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,31,"CRU","mei","Provável",1.5,16.58,-1.63,4.95,26,"Cruzeiro",4,3,29,34,13,41,100,23,NA,6,7,2,NA,NA,NA,NA,1,NA
"252","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,31,"CRU","mei","Dúvida",0.1,6.56,-2.15,3.42,21,"Cruzeiro",1,1,28,6,7,43,67,24,NA,2,3,2,NA,NA,NA,NA,NA,NA
"253","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,31,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,31,"ATL","zag","Contundido",8.6,9.43,0.84,3.2,22,"Atlético-PR",NA,6,21,3,9,12,43,19,7,2,3,NA,NA,NA,NA,NA,NA,NA
"255","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,31,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,31,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,31,"FLU","gol","Provável",-2,3.39,-1.18,2.12,9,"Fluminense",NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,13,12,NA,NA
"258","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,31,"VAS","ata","Nulo",0,2.02,0,-0.15,2,"Vasco",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,31,"FLA","gol","Provável",5.5,9.72,1.02,3.24,14,"Flamengo",NA,NA,NA,NA,NA,4,8,NA,4,NA,NA,NA,NA,NA,17,16,NA,1
"260","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,31,"VIT","mei","Nulo",0,5.48,0,1.63,17,"Vitória",3,4,20,6,10,8,49,15,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"261","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,31,"GRE","lat","Nulo",0,11.31,0,3.07,18,"Grêmio",NA,4,30,6,10,13,54,22,7,1,1,1,NA,1,NA,NA,1,NA
"262","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,31,"COR","mei","Nulo",0,3.25,0,0.06,11,"Coritiba",NA,2,10,3,1,12,27,8,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"263","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,31,"VIT","ata","Nulo",0,4.07,0,1.22,8,"Vitória",NA,NA,3,NA,NA,1,8,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"264","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,31,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Leonardo Gamalho de Souza","Léo Gamalho","https://s.glbimg.com/es/sde/f/2017/08/24/cb79c4aff8a8ded85c29f01203f775d8_FORMATO.png",53865,31,"PON","ata","Nulo",0,6.53,0,2.93,7,"Ponte Preta",NA,1,12,3,5,6,7,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"266","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,31,"AVA","lat","Nulo",0,4.55,0,-0.1,3,"Avaí",NA,NA,2,NA,2,3,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"267","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,31,"SAN","mei","Provável",-1.3,5.44,-0.47,1.4,16,"Santos",NA,NA,12,2,1,15,30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,31,"FLA","mei","Provável",5.9,19.36,0.87,5.33,23,"Flamengo",2,4,34,12,15,75,93,29,NA,9,8,NA,NA,NA,NA,NA,1,NA
"269","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,31,"BOT","mei","Nulo",-0.5,3.14,-0.5,0.67,12,"Botafogo",NA,3,13,1,NA,10,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,31,"CRU","ata","Dúvida",-0.4,3.6,-0.13,1.03,16,"Cruzeiro",NA,NA,8,3,7,13,25,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"271","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,31,"VAS","mei","Provável",0,12,-0.22,3.04,24,"Vasco",3,5,26,13,17,58,109,17,NA,3,4,NA,NA,NA,NA,NA,NA,NA
"272","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,31,"SAN","ata","Provável",-4.8,9.25,-2.56,3.45,17,"Santos",NA,2,25,13,14,15,22,3,NA,10,6,1,NA,NA,NA,NA,NA,NA
"273","Paulo César Carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2017/10/05/dd2f6056891fcc3e7ed2cfc01432a003_FORMATO.png",39355,31,"BAH","tec","Provável",3.21,10.92,-0.29,4.67,5,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,31,"BOT","lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,31,"VIT","tec","Provável",2.67,9.24,-0.33,3.63,26,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,31,"FLU","lat","Nulo",0,4.32,0,1.58,9,"Fluminense",NA,2,12,1,9,7,17,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,31,"FLU","tec","Provável",3.75,11.83,-0.05,3.09,29,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/09/05/45c6f808fc644c74001e20c938a4112a_FORMATO.png",40179,31,"COR","ata","Nulo",0,10.74,0,3.35,11,"Coritiba",1,2,30,10,7,31,33,4,NA,7,4,NA,NA,1,NA,NA,NA,NA
"279","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,31,"SAO","tec","Provável",5.61,10.35,-0.15,3.53,23,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2017/08/30/c7dca7402951841de5cd3c5a531e0cee_FORMATO.png",41218,31,"SPO","gol","Provável",4.2,6.36,-0.07,2.99,27,"Sport",NA,NA,NA,NA,NA,2,10,2,7,NA,NA,NA,NA,NA,40,38,NA,NA
"281","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,31,"GRE","tec","Provável",3.84,15.25,0.21,4.19,30,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,31,"ATL","zag","Nulo",0,7.86,0,4.09,12,"Atlético-MG",1,NA,10,2,2,9,16,14,3,2,1,NA,NA,NA,NA,NA,NA,NA
"283","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,31,"PAL","ata","Dúvida",0,8.5,0,4.64,22,"Palmeiras",4,4,29,9,11,32,38,21,NA,7,7,1,NA,1,NA,NA,1,NA
"284","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,31,"PON","mei","Provável",-2.1,6.85,-0.5,1.47,15,"Ponte Preta",NA,4,43,NA,1,18,40,35,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"285","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,31,"PAL","lat","Provável",1.3,8.21,0.14,5.6,19,"Palmeiras",1,3,18,4,2,24,82,45,8,2,1,NA,NA,NA,NA,NA,NA,NA
"286","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/08/30/ca1ccec3b2b10a0ecede58b69bb07f1a_FORMATO.png",42222,31,"SPO","ata","Provável",6.7,5.83,0.62,2.24,24,"Sport",2,2,12,6,6,25,68,17,NA,2,3,NA,NA,NA,NA,NA,NA,NA
"287","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,31,"SAO","lat","Contundido",0,4.28,0,0.31,9,"São Paulo",NA,2,16,NA,1,10,37,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Luiz Rhodolfo Dini Gaioto","Rhodolfo","https://s.glbimg.com/es/sde/f/2017/06/20/fa889cb0da25023565bc57fe3fa29fde_FORMATO.png",42501,31,"FLA","zag","Provável",4.7,8.66,0.17,4.07,14,"Flamengo",NA,1,16,2,5,5,12,17,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"289","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,31,"COR","lat","Dúvida",3.9,12.72,0.42,4.64,25,"Corinthians",2,7,27,1,4,38,110,43,13,3,NA,2,NA,NA,NA,NA,NA,NA
"290","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,31,"CHA","mei","Provável",1.4,4.38,-0.51,3.97,3,"Chapecoense",NA,NA,3,NA,1,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2017/04/19/aaa96b0be41ff91da112273cc059467e_FORMATO.png",42234,31,"COR","gol","Provável",0.7,12.72,0.08,5.1,30,"Corinthians",NA,2,NA,NA,NA,8,9,NA,15,NA,NA,NA,NA,NA,36,21,NA,2
"292","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2017/08/04/af2a8afc274774bf29c72ad4817f021e_FORMATO.png",49674,31,"ATL","lat","Provável",6.5,5.71,0.89,2.96,13,"Atlético-PR",NA,4,19,2,4,9,50,23,4,2,NA,1,NA,NA,NA,NA,NA,NA
"293","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2017/07/25/ff1d090ecbc688a4eaf1cd1f5e07cb34_FORMATO.png",49673,31,"FLU","gol","Nulo",0,5.15,0,1.7,20,"Fluminense",NA,NA,NA,NA,NA,11,12,NA,2,NA,NA,NA,NA,NA,26,28,NA,NA
"294","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2017/09/26/84f2413b25e7d3769e7678f63ccdc322_FORMATO.png",50313,31,"CHA","mei","Nulo",1.7,4.37,0.04,0.46,7,"Chapecoense",NA,1,4,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/28/0dde0e778cab6579a9bf8d745efc2bf0_FORMATO.png",50294,31,"ATL","mei","Provável",4.5,10.05,-0.03,4.21,17,"Atlético-PR",5,3,28,7,9,23,72,19,NA,2,4,NA,NA,NA,NA,NA,NA,NA
"296","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,31,"PAL","mei","Nulo",0,7.15,0,1.95,7,"Palmeiras",NA,2,11,1,2,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2017/08/16/eea748e91cc2c7fcc14df5b06906b1e1_FORMATO.jpeg",50301,31,"FLA","mei","Provável",1,13.19,-0.41,3.95,23,"Flamengo",5,6,37,12,10,37,69,34,NA,12,3,1,NA,NA,NA,NA,NA,NA
"298","Adilson Warken","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,31,"ATL","mei","Provável",0.6,4.41,-0.53,1.35,21,"Atlético-MG",NA,5,45,NA,4,19,35,35,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"299","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2017/07/25/ac2070c9ec995dd5cc0efc710891a97a_FORMATO.png",50362,31,"FLU","lat","Provável",4.9,2.97,0.42,0.78,24,"Fluminense",1,8,44,5,5,20,81,33,1,7,NA,NA,NA,NA,NA,NA,NA,NA
