"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FS","PE","RB","SG","CV","FD","FF","G","I","PP","FT","DD","GS","GC","DP"
"11","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",38100,18,"SPO","zag","Nulo",-1,5.87,-0.43,2.82,13,"Sport",1,1,10,9,20,11,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"12","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,18,"AVA","lat","Nulo",0,4.72,0,-6,1,"Avaí",NA,NA,1,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"13","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/04/24/98708ecaf48555700b1ca390667c77fb_FORMATO.png",38909,18,"FLA","mei","Provável",2.8,19.83,1.02,5.46,14,"Flamengo",2,2,17,49,58,19,NA,NA,6,11,4,5,1,NA,NA,NA,NA,NA
"14","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,18,"COR","mei","Contundido",0,4.21,0,0.82,5,"Coritiba",NA,2,7,7,17,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/07/25/c8d6e4905b3131ebe8cdc8c1c8b432fd_FORMATO.png",38648,18,"SAO","mei","Provável",5.5,13.99,0.04,8.05,2,"São Paulo",NA,NA,3,5,7,4,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
"16","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,18,"VIT","tec","Provável",5.18,9.03,0.29,3.25,13,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/04/24/ec9b77bc929663a07ce6d4b21c78ed8e_FORMATO.png",71709,18,"FLA","mei","Nulo",0,4.69,0,2.67,11,"Flamengo",NA,2,12,4,18,24,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,18,"FLU","lat","Nulo",0,3.07,0,1.05,7,"Fluminense",NA,2,10,7,14,4,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA
"19","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,18,"SAN","tec","Provável",3.65,10.82,0.31,4.41,12,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,18,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,18,"CRU","tec","Provável",6.57,13.18,0.8,3.83,18,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,18,"VAS","mei","Nulo",0,13.63,0,3.53,12,"Vasco",3,3,13,31,53,9,NA,NA,5,7,2,2,NA,NA,NA,NA,NA,NA
"23","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,18,"CRU","ata","Nulo",0,4.14,0,1.46,11,"Cruzeiro",NA,NA,3,9,22,4,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA
"24","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,18,"SAN","mei","Provável",-1.1,5.86,-0.53,1.4,11,"Santos",NA,NA,7,14,25,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"25","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,18,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,18,"PAL","mei","Nulo",0,8.27,0,2.04,5,"Palmeiras",NA,2,10,9,10,9,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"27","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,18,"COR","ata","Provável",7,13.73,0.21,4.78,18,"Corinthians",2,2,35,23,42,4,NA,NA,11,10,11,21,1,NA,NA,NA,NA,NA
"28","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,18,"PAL","gol","Provável",0,14.44,0,4.06,14,"Palmeiras",NA,NA,NA,2,4,NA,4,NA,NA,NA,NA,NA,NA,NA,23,16,NA,NA
"29","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,18,"BOT","mei","Provável",0,3.88,0,0.21,7,"Botafogo",NA,2,8,2,9,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,18,"SAN","ata","Provável",7.7,10.91,1.84,1.8,6,"Santos",NA,1,11,5,7,NA,NA,NA,2,7,1,1,NA,1,NA,NA,NA,NA
"31","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/04/24/c96c8c2ada9b85eb506293c4caec64db_FORMATO.png",40179,18,"COR","ata","Suspenso",0,12.46,0,3.74,10,"Coritiba",1,1,28,26,32,4,NA,1,10,6,4,6,NA,NA,NA,NA,NA,NA
"32","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,18,"ATL","ata","Contundido",0,14.99,0,3.49,13,"Atlético-MG",1,2,22,27,26,3,NA,NA,4,7,5,9,1,1,NA,NA,NA,NA
"33","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,18,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,18,"AVA","mei","Contundido",0,2.72,0,0.61,10,"Avaí",NA,NA,4,10,37,3,NA,1,4,3,1,NA,NA,NA,NA,NA,NA,NA
"35","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,18,"ATL","lat","Nulo",5.9,3.85,-0.98,2.56,15,"Atlético-MG",NA,6,23,34,58,21,3,NA,1,5,1,2,NA,NA,NA,NA,NA,NA
"36","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,18,"BOT","gol","Nulo",0,9.33,0,8.04,5,"Botafogo",NA,1,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,11,3,NA,1
"37","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,18,"GRE","mei","Provável",0,7.42,-0.45,1.09,10,"Grêmio",NA,2,7,9,15,9,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"38","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,18,"BOT","ata","Nulo",0.6,8.98,0.08,4.06,16,"Botafogo",2,2,19,20,34,8,NA,NA,9,13,6,15,1,NA,NA,NA,NA,NA
"39","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,18,"ATL","zag","Dúvida",0,4.6,0,1.42,10,"Atlético-PR",NA,2,7,8,23,8,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,18,"ATL","ata","Nulo",0.1,12.65,0.05,2.06,14,"Atlético-MG",2,3,13,14,39,16,NA,NA,2,6,1,11,NA,NA,NA,NA,NA,NA
"41","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,18,"CHA","ata","Nulo",0,9.54,0,2.17,15,"Chapecoense",NA,3,18,15,28,3,NA,NA,10,11,3,4,NA,1,NA,NA,NA,NA
"42","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,18,"PON","tec","Provável",2.07,12.19,-0.76,3.91,17,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,18,"CRU","mei","Provável",5.5,18.23,0.74,6.38,15,"Cruzeiro",2,2,18,29,62,14,NA,NA,24,8,6,4,NA,1,NA,NA,NA,NA
"44","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,18,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,18,"PAL","mei","Dúvida",0,4.78,0,1.22,9,"Palmeiras",1,3,6,4,30,9,NA,NA,2,8,NA,2,NA,NA,NA,NA,NA,NA
"46","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,18,"PON","zag","Provável",6.9,9.61,0.64,3.62,12,"Ponte Preta",NA,2,6,19,24,12,5,1,4,6,NA,1,NA,NA,NA,NA,NA,NA
"47","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,18,"VAS","zag","Suspenso",-0.4,1.87,-0.45,0.57,10,"Vasco",NA,3,11,5,27,8,1,NA,1,1,NA,2,NA,1,NA,NA,NA,NA
"48","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",37608,18,"COR","mei","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,18,"AVA","zag","Provável",-3.4,5.89,-0.74,2.13,17,"Avaí",NA,5,13,15,39,12,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"50","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,18,"CRU","gol","Provável",8,13.71,0.01,3.92,18,"Cruzeiro",NA,NA,1,2,7,NA,7,NA,NA,NA,NA,NA,NA,NA,23,16,NA,NA
"51","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,18,"PAL","zag","Provável",0,9.28,0,3.6,8,"Palmeiras",NA,1,10,10,5,6,4,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA
"52","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,18,"SAN","ata","Nulo",0,8,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,18,"COR","ata","Dúvida",1.5,2.53,0.13,-1.01,11,"Coritiba",NA,4,18,8,16,5,NA,NA,3,1,NA,4,1,NA,NA,NA,NA,NA
"54","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,18,"ATL","lat","Nulo",0,8.74,0,3.64,12,"Atlético-PR",1,3,9,13,35,14,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"55","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,18,"ATL","ata","Nulo",-1.4,4.65,-1.21,1.34,15,"Atlético-MG",NA,1,28,18,20,2,NA,NA,6,9,3,13,1,1,NA,NA,NA,NA
"56","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,18,"VAS","mei","Provável",0.5,4.62,-0.34,1.06,8,"Vasco",NA,NA,10,8,16,4,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA
"57","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,18,"GRE","gol","Nulo",7.7,8.74,1.84,1.4,14,"Grêmio",NA,1,NA,NA,5,NA,7,1,NA,NA,NA,NA,NA,NA,5,11,NA,NA
"58","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,18,"PAL","mei","Contundido",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,18,"GRE","lat","Provável",5.4,11.02,-0.79,5.9,5,"Grêmio",NA,NA,2,6,12,5,4,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA
"60","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,18,"COR","mei","Nulo",0,3.6,0,-0.68,4,"Coritiba",NA,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,18,"CRU","mei","Provável",6.2,5.68,0.23,2.09,12,"Cruzeiro",NA,3,11,17,29,22,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"62","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,18,"AVA","mei","Provável",0,3.52,0,0.98,13,"Avaí",NA,4,21,21,39,13,NA,1,3,7,1,1,NA,NA,NA,NA,NA,NA
"63","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,18,"SAO","mei","Nulo",0,4.28,0,-0.81,10,"São Paulo",NA,2,18,7,16,3,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"64","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,18,"CRU","ata","Nulo",0,10.2,-0.31,2.4,11,"Cruzeiro",1,3,15,11,24,4,NA,NA,8,9,2,1,NA,NA,NA,NA,NA,NA
"65","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,18,"PON","gol","Dúvida",-3,11.34,-3.84,4.58,17,"Ponte Preta",NA,1,NA,3,6,NA,7,NA,NA,NA,NA,NA,NA,NA,31,24,NA,NA
"66","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,18,"VAS","ata","Contundido",0,14.04,0,6.56,9,"Vasco",2,4,15,19,10,3,NA,NA,5,15,5,5,NA,NA,NA,NA,NA,NA
"67","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,18,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,1,2,2,4,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"68","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/04/24/034006de65f23dc6ad944d4cbe1fd5d4_FORMATO.png",38311,18,"FLA","mei","Provável",3.9,9.29,-0.24,3.44,17,"Flamengo",NA,2,20,25,27,38,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"69","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,18,"SAO","mei","Nulo",0,6.88,0,2.3,5,"São Paulo",NA,NA,1,7,1,3,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"70","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,18,"ATL","mei","Provável",0,5.99,0,1.4,3,"Atlético-MG",NA,1,9,7,14,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"71","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,18,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,18,"CRU","mei","Provável",0,5.51,-0.6,1.57,9,"Cruzeiro",NA,NA,9,21,30,8,NA,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA
"73","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,18,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA
"74","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,18,"ATL","zag","Provável",8.6,9.33,1.8,3.23,12,"Atlético-PR",NA,4,14,6,26,13,5,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA
"75","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,18,"PON","mei","Nulo",0,4.78,0,1.13,10,"Ponte Preta",1,2,7,9,5,5,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA
"76","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,18,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,18,"VAS","ata","Nulo",0,2.34,0,0,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,18,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,18,"PAL","ata","Contundido",0,7.65,0,2.76,14,"Palmeiras",1,4,23,21,26,11,NA,NA,6,6,3,5,1,1,NA,NA,NA,NA
"80","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2017/06/01/bba975f9c1f34505f37eedc4d7693aad_FORMATO.png",62128,18,"ATL","ata","Provável",3.8,8.06,-0.04,1.74,12,"Atlético-GO",NA,3,18,29,43,5,NA,NA,10,9,1,4,NA,1,NA,NA,NA,NA
"81","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,18,"FLU","tec","Provável",2.27,11.86,-0.01,3.24,16,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
