"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FS","PE","RB","SG","CV","FD","FF","G","I","PP","FT","DD","GS","GC","DP"
"1","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,18,"PAL","lat","Provável",4.7,7.7,0.16,2.07,10,"Palmeiras",2,1,15,4,12,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,18,"GRE","lat","Nulo",0,9.32,0,2.7,13,"Grêmio",NA,4,23,10,35,17,5,1,3,6,1,1,1,NA,NA,NA,NA,NA
"3","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,18,"SAO","zag","Dúvida",-2,3.24,-0.86,0.63,6,"São Paulo",NA,4,11,2,12,4,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,18,"VIT","mei","Nulo",0,5.18,0,1.8,14,"Vitória",3,2,18,8,46,12,NA,NA,6,10,NA,1,NA,NA,NA,NA,NA,NA
"5","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,18,"FLA","zag","Provável",4.1,6.65,-0.03,4.23,8,"Flamengo",2,3,6,5,11,11,1,NA,3,5,NA,NA,NA,1,NA,NA,NA,NA
"6","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,18,"SAO","tec","Provável",2.1,9.3,-0.15,2.6,10,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,18,"VIT","ata","Nulo",-0.5,3.82,-1.18,-0.5,1,"Vitória",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,18,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2017/05/31/d059e86ab694b638ba5a43c3b0b0444f_FORMATO.png",41327,18,"SPO","tec","Provável",2.84,8.79,-0.32,5.07,15,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,18,"SPO","gol","Provável",-1,5.73,-0.73,4.08,15,"Sport",NA,NA,NA,NA,5,1,6,NA,NA,NA,NA,NA,NA,NA,23,19,NA,NA
