"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","G","CV","I","PP","DD","GS","DP","GC"
"111","Marco Antonio de Mattos Filho","Marquinho","https://s.glbimg.com/es/sde/f/2017/07/25/49f339ad5e5c362acf8628d9d617d724_FORMATO.png",50407,30,"FLU","mei","Contundido",0,2.98,0,-0.4,4,"Fluminense",NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2017/08/30/1d0425c1f6b3c4bb5041fa1cb9ee960e_FORMATO.png",50369,30,"VIT","mei","Nulo",0,1.82,0,0.19,9,"Vitória",NA,2,8,3,2,12,NA,37,7,NA,NA,NA,3,NA,NA,NA,NA,NA
"113","Kayke Moreno de Andrade Rodrigues","Kayke","https://s.glbimg.com/es/sde/f/2017/05/02/175b6e25643dfdf97032cd564bc4e5c4_FORMATO.png",50402,30,"SAN","ata","Nulo",0,4.73,0,1.51,22,"Santos",1,NA,17,8,19,9,NA,50,6,NA,3,NA,10,1,NA,NA,NA,NA
"114","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,30,"BOT","ata","Contundido",0,10.31,0,5.06,20,"Botafogo",2,3,21,11,19,22,NA,44,11,NA,10,NA,19,1,NA,NA,NA,NA
"115","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,30,"CRU","mei","Provável",10.6,18.21,1.66,5.09,25,"Cruzeiro",4,3,29,33,13,40,2,96,22,NA,7,NA,5,1,NA,NA,NA,NA
"116","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2017/07/11/e970a2c4345e6e515eef8ee166c54f05_FORMATO.png",50408,30,"VAS","zag","Suspenso",-4.4,2.96,-1.74,1.93,22,"Vasco",NA,6,19,2,4,15,NA,41,17,8,NA,1,NA,NA,NA,NA,NA,NA
"117","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2017/08/30/be14f1dad39de4605e99b4889d96758f_FORMATO.png",50421,30,"SPO","mei","Nulo",0,2.83,0,-0.17,9,"Sport",NA,2,10,1,3,12,NA,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,30,"CHA","ata","Provável",9,10.81,-0.1,2.63,25,"Chapecoense",1,5,34,20,20,32,2,55,7,NA,5,NA,9,NA,NA,NA,NA,NA
"119","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,30,"COR","mei","Provável",-2.2,7.82,-0.35,1.16,24,"Corinthians",2,2,18,4,13,15,NA,118,9,NA,4,NA,3,NA,NA,NA,NA,NA
"120","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,30,"COR","zag","Contundido",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
