"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","G","CV","I","PP","DD","GS","DP","GC"
"213","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,30,"GRE","gol","Provável",-2.5,6,-1.36,6.36,5,"Grêmio",NA,1,NA,NA,NA,2,NA,4,NA,2,NA,NA,NA,NA,9,5,1,NA
"214","Jucilei da Silva","Jucilei","https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png",63422,30,"SAO","mei","Provável",6.7,13.98,0.98,3.69,27,"São Paulo",NA,NA,36,2,7,43,NA,63,62,NA,1,1,1,NA,NA,NA,NA,NA
"215","Pablo Estifer Armero","Armero","https://s.glbimg.com/es/sde/f/2017/07/28/174c9c4ccac7c3d5f921b513c86a5351_FORMATO.png",68693,30,"BAH","lat","Contundido",0,1.86,0,-0.64,5,"Bahia",NA,1,11,2,1,2,NA,23,5,1,NA,1,2,NA,NA,NA,NA,NA
"216","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2017/07/25/4407e04c0f422d9c7c06af9bc6c97fff_FORMATO.png",68887,30,"FLU","zag","Provável",-3.2,5.05,-0.77,1.1,4,"Fluminense",NA,1,2,NA,1,3,NA,9,2,1,NA,NA,1,NA,NA,NA,NA,NA
"217","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,30,"BOT","mei","Provável",-0.6,11.98,-0.24,4.24,26,"Botafogo",5,7,53,9,16,34,NA,99,46,NA,5,NA,NA,NA,NA,NA,NA,NA
"218","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2017/10/13/7d4517dfb6acd0c79909c62e38525979_FORMATO.png",68690,30,"SPO","ata","Provável",0.5,10.25,-0.9,4.47,26,"Sport",1,5,53,12,29,47,1,71,24,NA,10,NA,22,NA,NA,NA,NA,NA
"219","Marcos Felipe de Freitas Monteiro","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2017/07/25/71f2d737b67ea5f20138c4871f667000_FORMATO.png",85004,30,"FLU","gol","Nulo",0,3,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,30,"FLU","ata","Nulo",0,8.48,0,2.4,13,"Fluminense",1,NA,6,1,2,22,NA,45,9,NA,2,NA,4,NA,NA,NA,NA,NA
"221","Rodrigo Júnior Paula Silva","Digão","https://s.glbimg.com/es/sde/f/2017/08/10/45b089a35e467b5f5cc0a9d46a380b7a_FORMATO.png",68886,30,"CRU","zag","Nulo",0,5.15,0,2.84,5,"Cruzeiro",1,NA,3,NA,1,2,NA,4,6,1,NA,1,NA,NA,NA,NA,NA,NA
"222","Márcio Passos de Albuquerque","Emerson Sheik","https://s.glbimg.com/es/sde/f/2017/07/28/153fc3c95a0dd7ad22df8e87436bdf36_FORMATO.png",68744,30,"PON","ata","Provável",-1,5.05,-0.61,2.22,19,"Ponte Preta",1,8,26,6,10,50,NA,66,10,NA,4,NA,2,NA,NA,NA,NA,NA
"223","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2017/04/24/6cdeb7e2779c671c69473bc599c9eab2_FORMATO.png",68725,30,"CHA","lat","Nulo",0,4.69,0,1.7,7,"Chapecoense",1,1,5,3,3,6,NA,17,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"224","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,30,"AVA","lat","Provável",3,9.03,0.02,3.58,29,"Avaí",3,2,43,5,11,26,NA,121,48,10,NA,1,3,NA,NA,NA,NA,NA
"225","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,30,"SAN","zag","Contundido",0,6,0,5.7,2,"Santos",NA,NA,4,2,1,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"226","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,30,"SAN","mei","Suspenso",0,1.12,0,0.55,9,"Santos",NA,3,5,1,1,9,NA,29,5,NA,1,NA,1,NA,NA,NA,NA,NA
"227","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2017/04/24/ef04c0af64af6a9173d17eb922ff55e4_FORMATO.png",78407,30,"CHA","zag","Nulo",0,5.65,0,0.7,17,"Chapecoense",NA,8,38,NA,1,4,NA,26,15,4,1,NA,3,NA,NA,NA,NA,NA
"228","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,30,"ATL","mei","Provável",2.9,5.93,0.34,1.85,28,"Atlético-GO",1,2,47,4,12,60,NA,97,31,NA,2,1,6,NA,NA,NA,NA,NA
"229","Rodrigo da Rosa Milanez","Rodrigo Milanez","https://s.glbimg.com/es/sde/f/2017/08/22/68eb2d451977c45881e0bf3f6820894c_FORMATO.png",77555,30,"ATL","zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2017/08/22/283b47a1bbb66d81e0b2118ce53853f1_FORMATO.jpeg",78478,30,"FLA","mei","Provável",6.4,10.03,0.79,3.78,23,"Flamengo",2,2,21,3,4,16,1,56,49,NA,1,NA,1,NA,NA,NA,NA,NA
"231","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,30,"COR","gol","Nulo",0,3.48,0,-2,1,"Coritiba",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Ramon de Morais Motta ","Ramon","https://s.glbimg.com/es/sde/f/2017/07/27/0d5457a07c57dd1908db4421fa48b276_FORMATO.png",68896,30,"VAS","lat","Provável",6.7,10.49,-0.36,6.01,16,"Vasco",2,1,18,3,5,44,NA,57,31,5,1,NA,NA,NA,NA,NA,NA,NA
"233","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,30,"ATL","gol","Nulo",0,0.83,0,-3.1,3,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,9,NA,NA
"234","Douglas Silva Bacelar","Douglas","https://s.glbimg.com/es/sde/f/2017/09/06/6035aba70a37b419f328746b48c3bc46_FORMATO.png",63128,30,"CHA","zag","Provável",4.4,3.62,1.04,2.1,5,"Chapecoense",NA,2,6,NA,NA,1,NA,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"235","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,30,"SAN","ata","Dúvida",3.3,6.77,1.07,2.6,24,"Santos",1,4,32,10,19,28,NA,70,18,NA,5,NA,11,NA,NA,NA,NA,NA
"236","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,30,"FLA","gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2017/08/22/99c083a6ab42125b85a679e552eea687_FORMATO.jpeg",78445,30,"FLA","lat","Dúvida",0,6.71,0,3.94,12,"Flamengo",NA,1,17,1,2,11,NA,37,27,3,NA,NA,NA,NA,NA,NA,NA,NA
"238","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,30,"BOT","lat","Provável",5.6,9.78,0.15,4.56,22,"Botafogo",1,3,30,2,1,35,NA,61,47,7,NA,NA,1,NA,NA,NA,NA,NA
"239","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,30,"CRU","gol","Nulo",0,9.32,0,2.77,3,"Cruzeiro",NA,NA,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,4,4,NA,NA
"240","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,30,"SPO","mei","Nulo",0,6.06,0,2.39,10,"Sport",NA,1,10,2,2,16,NA,11,9,NA,1,NA,1,NA,NA,NA,NA,NA
"241","Alex da Silva","Alex Silva","https://s.glbimg.com/es/sde/f/2017/05/19/2b09d527bb18b6dca83703fbbe498920_FORMATO.png",84861,30,"ATL","lat","Contundido",0,5.29,0,3.27,12,"Atlético-MG",3,5,24,1,2,19,NA,36,18,3,NA,NA,1,NA,NA,NA,NA,NA
"242","Marcos de Paula Dutra","Marcos","https://s.glbimg.com/es/sde/f/2017/04/27/f3d654b20ab83c212a2a18dab411b2e0_FORMATO.png",78495,30,"ATL","gol","Provável",13,4,2.17,4.88,9,"Atlético-GO",NA,1,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,17,11,1,NA
"243","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,30,"SAN","ata","Nulo",0,4.7,0,0.16,10,"Santos",NA,1,11,3,4,6,NA,26,6,NA,NA,NA,4,NA,NA,NA,NA,NA
"244","Bryan Silva Garcia","Bryan","https://s.glbimg.com/es/sde/f/2016/05/25/5b9b24c19e03fc40d70c6a4523ef44ae_FORMATO.png",78632,30,"CRU","lat","Nulo",0,4.49,0,2.22,5,"Cruzeiro",NA,1,5,1,1,5,1,13,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"245","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,30,"VAS","lat","Provável",1.2,3.84,-0.85,2.78,13,"Vasco",1,2,11,NA,2,18,NA,37,10,5,NA,NA,1,NA,NA,NA,NA,NA
"246","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png",78548,30,"SAN","mei","Provável",0.6,5.59,-1.83,3.68,24,"Santos",3,2,15,7,10,29,NA,71,41,NA,1,NA,1,NA,NA,NA,NA,NA
"247","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,30,"COR","mei","Nulo",0,4.72,0,0.84,8,"Corinthians",1,1,2,NA,1,2,NA,11,4,NA,NA,NA,1,NA,NA,NA,NA,NA
"248","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2017/04/25/f36c749de572dbbaf8a43b8b71309942_FORMATO.png",78584,30,"AVA","gol","Provável",-1.5,9.05,-0.63,7.2,21,"Avaí",NA,2,2,NA,NA,9,NA,1,NA,9,NA,NA,NA,NA,48,22,1,NA
"249","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/08/30/e9a35f97b25633d955a04d16691d85de_FORMATO.png",77967,30,"SPO","lat","Provável",4.2,6.27,-0.27,4.6,17,"Sport",4,6,31,2,2,18,NA,42,38,4,1,1,4,NA,NA,NA,NA,NA
"250","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,30,"SAO","gol","Nulo",0,8.9,0,2.06,20,"São Paulo",NA,2,1,NA,NA,1,NA,15,NA,5,NA,NA,NA,NA,27,28,NA,NA
"251","Elosman Euller Silva Cavalcanti","Euller ","https://s.glbimg.com/es/sde/f/2017/02/20/45d2685cedfee93ebf07f010f670c2ef_FORMATO.png",84890,30,"VIT","lat","Nulo",0,6.31,0,2.35,2,"Vitória",NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"252","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png",68930,30,"VIT","ata","Nulo",0,8.53,0,2.15,11,"Vitória",NA,1,16,4,5,19,NA,20,3,NA,3,NA,6,1,NA,NA,NA,NA
"253","Ramiro Moschen Benetti","Ramiro","https://s.glbimg.com/es/sde/f/2017/04/23/01565939c1e8813f9c1cc7cf9faeb903_FORMATO.png",78715,30,"GRE","mei","Nulo",0,15.14,0,3.65,21,"Grêmio",3,5,41,12,13,32,NA,81,24,NA,5,NA,3,NA,NA,NA,NA,NA
"254","Gabriel Girotto Franco","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/19/a258f3bd57275dfde4062d53fea35126_FORMATO.png",78605,30,"COR","mei","Provável",2.2,8.3,-0.34,3.06,25,"Corinthians",NA,5,33,5,1,29,NA,51,56,NA,1,1,NA,NA,NA,NA,NA,NA
"255","Alberto Valentim do Carmo Neto","Alberto Valentim","https://s.glbimg.com/es/sde/f/2017/10/13/eb83ab3bc8ab396e846e058adad3f4f4_FORMATO.png",84863,30,"PAL","tec","Provável",5.29,15.25,0.12,6.04,3,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Jeferson de Araújo de Carvalho","Jeferson","https://s.glbimg.com/es/sde/f/2017/05/02/771b51917a7ef2187ffea3d1e0fc9277_FORMATO.png",84917,30,"PON","lat","Provável",-0.9,5.18,0.2,3.03,15,"Ponte Preta",1,4,17,NA,3,7,NA,58,17,8,NA,NA,NA,NA,NA,NA,NA,NA
"257","Lucas Otávio Veiga Lopes","Lucas Otávio ","https://s.glbimg.com/es/sde/f/2017/04/28/c9abc289eaace4a40039be6a64b6711d_FORMATO.png",84896,30,"AVA","mei","Nulo",0,2.96,0,0.85,9,"Avaí",NA,NA,2,NA,NA,1,NA,5,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"258","Thiago dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,30,"PAL","mei","Nulo",2.1,6.03,0.37,2.86,20,"Palmeiras",NA,4,47,NA,3,29,NA,30,48,NA,NA,NA,1,NA,NA,NA,NA,NA
"259","Henrique Silva Milagres","Henrique","https://s.glbimg.com/es/sde/f/2017/04/24/98783f94705be5ed728032062068f73c_FORMATO.png",84893,30,"VAS","lat","Nulo",0,8.37,0,3.35,15,"Vasco",2,1,19,3,1,23,NA,38,20,3,NA,NA,2,NA,NA,NA,NA,NA
"260","Gabriel Bordinhão Gasparotto","Gabriel Gasparotto","https://s.glbimg.com/es/sde/f/2016/06/28/e51699e690f5560939a50fdbb0077328_FORMATO.jpeg",78839,30,"SAN","gol","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Reinaldo Manoel da Silva","Reinaldo","https://s.glbimg.com/es/sde/f/2017/04/25/e786acca731a4a88d0504f8b3802f4d8_FORMATO.png",78850,30,"CHA","lat","Provável",13.2,14.77,0.92,5.42,25,"Chapecoense",5,6,35,8,12,21,NA,111,47,7,4,NA,1,NA,NA,NA,NA,NA
"262","Yago Henrique Severino dos Santos","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_FORMATO.png",84926,30,"ATL","mei","Nulo",-0.6,1.69,-0.67,1,19,"Atlético-MG",NA,4,19,5,4,8,NA,46,18,NA,1,NA,NA,NA,NA,NA,NA,NA
"263","Elder Santana Conceição","Elder Santana","https://s.glbimg.com/es/sde/f/2017/06/15/1dcf005eb752d162ab97dbe8abe498a8_FORMATO.png",84925,30,"ATL","ata","Nulo",0,1.4,0,1.95,2,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Wallace Reis da Silva","Wallace Reis ","https://s.glbimg.com/es/sde/f/2017/07/13/cfd4ab0585b820c82ceaede6f0779b5a_FORMATO.png",68958,30,"VIT","zag","Provável",9.1,9.96,1.77,4.32,15,"Vitória",NA,4,20,2,2,22,1,28,22,4,2,NA,NA,NA,NA,NA,NA,NA
"265","Petros Mateus dos Santos Araújo","Petros","https://s.glbimg.com/es/sde/f/2017/07/26/76e3ac62bea2e73cc7ef41c4584caa71_FORMATO.png",78891,30,"SAO","mei","Provável",3.2,10.96,0.41,4.15,20,"São Paulo",1,2,34,NA,2,45,NA,64,51,NA,1,NA,1,NA,NA,NA,NA,NA
"266","William Augusto Alves Conserva","William Alves","https://s.glbimg.com/es/sde/f/2017/08/08/eb4348a74110c5ac475fc0be6f1b2cd3_FORMATO.png",79032,30,"ATL","zag","Provável",4.1,2.52,1.72,0.66,10,"Atlético-GO",NA,NA,10,NA,2,2,NA,13,6,3,NA,1,2,NA,NA,NA,NA,1
"267","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2017/08/30/2f2abedd21538d0c8abafce309debab1_FORMATO.png",68950,30,"SPO","zag","Suspenso",0,8.5,0,3.71,22,"Sport",1,4,23,5,4,38,NA,55,23,8,1,NA,3,NA,NA,NA,NA,NA
"268","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,30,"COR","mei","Nulo",3.8,9.02,0.72,2.65,21,"Corinthians",4,4,13,6,5,26,2,40,10,NA,2,NA,1,NA,NA,NA,NA,NA
"269","Marinaldo dos Santos Oliveira","Naldo","https://s.glbimg.com/es/sde/f/2017/05/02/466546b7c0d2a31683ba60341c08ef34_FORMATO.png",78897,30,"PON","mei","Nulo",0,6.71,0,2.85,17,"Ponte Preta",NA,5,29,1,4,11,NA,36,38,NA,2,1,2,NA,NA,NA,NA,NA
"270","Raphael Guimarães de Paula","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/d75b985086acd9eb03422fe01ce0693f_FORMATO.png",84927,30,"CHA","mei","Nulo",0,4.26,0,1.9,2,"Chapecoense",1,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Pedro Henrique de Castro Silva","Pedro Castro","https://s.glbimg.com/es/sde/f/2017/06/09/95ff53b7b15a7d6719bae7807804fc39_FORMATO.png",78840,30,"AVA","mei","Provável",4.8,3.53,0.95,1.71,25,"Avaí",1,2,28,4,14,34,NA,57,21,NA,1,NA,3,NA,NA,NA,NA,NA
"272","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,30,"ATL","gol","Contundido",0,4.47,0,-1.3,1,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA
"273","Luiz Felipe do Nascimento dos Santos","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/05/02/3b3fe001039a93d9ea75e58f817381cf_FORMATO.png",79035,30,"SAN","zag","Nulo",0,3.62,0,2.05,2,"Santos",NA,1,1,NA,NA,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"274","Leandro Marcos Pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2017/02/22/377457c54b890731e2cfdb9013dc7397_FORMATO.png",78968,30,"SPO","ata","Nulo",0,5.86,0,2.3,2,"Sport",NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Vinicius Silvestre da Costa","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png",85083,30,"PAL","gol","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Antonio Thomaz Santos de Barros","Thomaz","https://s.glbimg.com/es/sde/f/2017/04/28/df8a959dc2f3885176d2c02e5d69a246_FORMATO.png",79041,30,"SAO","mei","Nulo",0,4.32,0,2.41,10,"São Paulo",1,1,12,1,3,8,NA,6,9,NA,1,NA,3,NA,NA,NA,NA,NA
"277","Ronaldo Henrique Ferreira da Silva","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/2e217ce29ea48d7d573c191fa21e67d5_FORMATO.png",85149,30,"SPO","mei","Nulo",0,3.2,0,2.3,1,"Sport",NA,NA,2,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Robert Gonçalves Santos","Robert ","https://s.glbimg.com/es/sde/f/2017/07/25/226d7cc723b857ba53068c1a96fe941d_FORMATO.png",85121,30,"FLU","mei","Nulo",0,3.15,0,0.95,2,"Fluminense",NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Thalles Lima","Thalles","https://s.glbimg.com/es/sde/f/2017/04/24/3201728e4a68e69b6c3e6fc2f8f5b1e1_FORMATO.png",85211,30,"VAS","ata","Nulo",-0.5,3.58,-0.26,1.3,12,"Vasco",NA,4,14,3,8,12,NA,10,2,NA,2,NA,1,NA,NA,NA,NA,NA
"280","Orlando Enrique Berrío Meléndez","Berrío ","https://s.glbimg.com/es/sde/f/2017/08/16/8f979b78f3df5801a77118cd72b411c6_FORMATO.jpeg",85300,30,"FLA","ata","Contundido",5.1,4.45,0.8,0.85,20,"Flamengo",2,5,19,3,3,13,1,46,6,NA,2,NA,2,NA,NA,NA,NA,NA
"281","Moisés Ribeiro Santos","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,30,"CHA","mei","Provável",-1.6,2.99,-0.52,1.27,15,"Chapecoense",NA,7,35,NA,3,24,NA,31,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Marcos Antônio Almeida Silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2017/04/27/1fdbc57e3b15e752149d530d7425e5d3_FORMATO.png",78856,30,"ATL","mei","Nulo",0,7.5,0,3.28,16,"Atlético-GO",NA,5,27,NA,4,11,NA,29,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Yerry Fernando Mina González","Yerry Mina","https://s.glbimg.com/es/sde/f/2017/04/18/5d127fbc9c3d26f69de26952da18b809_FORMATO.png",85241,30,"PAL","zag","Nulo",0,14.96,0,4.14,11,"Palmeiras",1,4,19,3,4,10,NA,29,17,4,1,NA,2,NA,NA,NA,NA,NA
"284","Eduardo Henrique da Silva","Eduardo Henrique","https://s.glbimg.com/es/sde/f/2017/05/10/45db49dd3d8dceb223dc6d2afdf72801_FORMATO.png",78994,30,"ATL","mei","Nulo",0,3.22,0,3.05,11,"Atlético-PR",NA,1,20,3,1,11,NA,23,16,NA,2,NA,NA,NA,NA,NA,NA,NA
"285","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2017/05/31/6bc774b62632d57e756a9e0533fcfd85_FORMATO.png",85423,30,"ATL","mei","Provável",2.3,8.33,-0.55,3.75,18,"Atlético-MG",1,NA,10,13,13,31,NA,52,18,NA,2,NA,2,NA,NA,NA,NA,NA
"286","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,30,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Uilson Pedruzzi de Oliveira","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,30,"ATL","gol","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Miguel Angel Borja Hernandez","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,30,"PAL","ata","Provável",7.9,15.88,0.25,2.47,20,"Palmeiras",NA,3,21,9,18,15,NA,23,8,NA,4,NA,4,NA,NA,NA,NA,NA
"289","Tiago Pagnussat","Tiago ","https://s.glbimg.com/es/sde/f/2017/07/28/9fb65a9e8f5831d924c08c76337f8967_FORMATO.png",79042,30,"BAH","zag","Provável",5.6,10.28,0.38,2.78,27,"Bahia",NA,6,34,4,2,30,1,45,21,9,2,NA,6,NA,NA,NA,NA,NA
"290","Jonas Gomes de Sousa","Jonas","https://s.glbimg.com/es/sde/f/2017/04/24/d4c75e365c9c04af042bf7ff378d60c7_FORMATO.png",85586,30,"COR","mei","Provável",2.2,7.65,-0.87,3.06,23,"Coritiba",NA,7,48,NA,9,20,NA,55,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Lucas da Silva Rocha","Lucas Rocha","https://s.glbimg.com/es/sde/f/2017/07/11/de8c5e7398d3dece81fa05f35abe0764_FORMATO.png",94119,30,"VAS","zag","Nulo",0,2.99,0,3.95,2,"Vasco",NA,NA,1,NA,NA,3,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"292","Ricardo César Dantas da Silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2017/04/27/e409f5c1c4551cf8457b204abc422a73_FORMATO.png",79334,30,"ATL","zag","Nulo",0,2.94,0,0.28,4,"Atlético-GO",NA,1,8,NA,2,1,NA,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/07/25/a991dde92eec83e89482b3d11115669f_FORMATO.png",85626,30,"FLU","lat","Nulo",0,3.06,0,1.01,18,"Fluminense",1,2,39,2,2,7,NA,41,15,2,1,NA,3,NA,NA,NA,NA,NA
"294","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,30,"ATL","zag","Provável",-1.9,5.27,-0.74,2.77,20,"Atlético-PR",NA,2,21,8,2,4,NA,34,14,6,2,NA,2,NA,NA,NA,NA,NA
