"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","CV","PP","DP"
"191","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,7,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/05/31/4e771d1c183057eb5fe8015ff7755b0c_FORMATO.png",40006,7,"FLU","tec","Provável",1.68,11.32,-0.44,2.87,6,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/01/13/7ab26ced537354a115324343754e8570_FORMATO.png",39572,7,"FLU","lat","Contundido",0,3.41,-0.66,1,3,"Fluminense",NA,2,1,4,4,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA
"194","Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2017/05/31/d059e86ab694b638ba5a43c3b0b0444f_FORMATO.png",41327,7,"SPO","tec","Provável",4,5.57,0.52,3.53,4,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,7,"SPO","gol","Provável",8,5.48,1.56,4.1,7,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,13,11,NA,NA,NA
"196","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/04/24/07606c5e9762a644cb0fd98ccc70fb84_FORMATO.png",39850,7,"CHA","tec","Provável",3.51,8.82,0.34,3.52,7,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/04/24/c96c8c2ada9b85eb506293c4caec64db_FORMATO.png",40179,7,"COR","ata","Suspenso",-6.3,10.49,-2.08,1.84,7,"Coritiba",1,21,9,6,17,1,5,23,3,1,NA,NA,NA,NA,1,NA,NA
"198","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,7,"ATL","zag","Provável",2.3,8.14,0.27,3.78,6,"Atlético-MG",1,6,NA,2,5,NA,1,10,9,NA,1,NA,NA,NA,NA,NA,NA
"199","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,7,"CHA","mei","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,7,"PAL","ata","Provável",0.3,4.86,-0.99,0.6,7,"Palmeiras",1,15,3,1,8,NA,3,13,7,2,NA,NA,NA,NA,NA,1,NA
"201","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,7,"GRE","tec","Provável",5.79,16.04,-0.17,6.34,7,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,7,"PAL","lat","Nulo",0,5.63,0,3.6,2,"Palmeiras",NA,2,NA,NA,1,NA,NA,8,3,NA,1,NA,NA,NA,NA,NA,NA
"203","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",70222,7,"SAO","gol","Nulo",0,6.25,0,-2,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"204","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/05/06/c9fe7a8f540f56c7325c5e78f3097d32_FORMATO.png",42222,7,"SPO","ata","Provável",-1.5,3.67,-1.21,2.16,7,"Sport",1,5,2,2,10,1,NA,22,4,2,NA,NA,NA,NA,NA,NA,NA
"205","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,7,"PON","mei","Provável",0,10.12,0,8.1,1,"Ponte Preta",NA,NA,NA,NA,1,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA
"206","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,7,"BOT","mei","Contundido",0,5.63,0,1.17,3,"Botafogo",NA,3,NA,NA,4,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"207","Lucas Cavalcante Silva Afonso","Lucão","https://s.glbimg.com/es/sde/f/2016/05/01/48f192fdba1691586d6a2bfd42288481_FORMATO.png",84554,7,"SAO","zag","Dúvida",4.4,5.57,1.05,3.72,5,"São Paulo",NA,6,1,2,2,NA,NA,12,4,NA,3,NA,NA,NA,NA,NA,NA
"208","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2017/04/24/470fd6292588f4385e9c32a3aeef091c_FORMATO.png",74060,7,"CHA","mei","Provável",0.1,9.27,0,3.79,7,"Chapecoense",1,10,6,1,NA,2,NA,15,4,1,NA,1,NA,NA,NA,NA,NA
"209","Lucas Daniel Romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_FORMATO.png",84558,7,"CRU","mei","Dúvida",6.2,7.05,0.56,3.55,6,"Cruzeiro",1,5,NA,3,5,NA,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA
"210","Maximiliano Rodríguez Maeso","Maxi Rodríguez","https://s.glbimg.com/es/sde/f/2017/04/23/d7025b3e29cac01ee4e1cc1bf4b3efcb_FORMATO.png",84530,7,"GRE","mei","Nulo",0,6,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Wallace Oliveira dos Santos","Wallace Oliveira","https://s.glbimg.com/es/sde/f/2017/04/23/2104c1ca7a642cecb433a89a4f335bfa_FORMATO.png",74075,7,"GRE","lat","Nulo",0,5,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,7,"BOT","gol","Provável",-4.3,20.34,-2.06,7.98,6,"Botafogo",NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,15,6,NA,NA,NA
"213","Agustín Lionel Allione","Allione","https://s.glbimg.com/es/sde/f/2017/02/18/b7a330e0d5bd3f0a08e5a533efd8db02_FORMATO.png",84585,7,"BAH","mei","Nulo",-4,11.02,-1.68,4.2,7,"Bahia",4,5,NA,NA,9,NA,2,22,10,1,NA,NA,NA,NA,NA,NA,NA
"214","Nilton Soares Rodrigues","Niltinho","https://s.glbimg.com/es/sde/f/2017/04/25/78ea8726a38adf1146e402c087a71039_FORMATO.png",84703,7,"CHA","ata","Nulo",0,4.12,0,-1,1,"Chapecoense",NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Guilherme Costa Machado Silveira","Guilherme Costa","https://s.glbimg.com/es/sde/f/2017/04/06/ea33443d8c666f61b78424b726238c89_FORMATO.png",74081,7,"VAS","mei","Nulo",0,5.5,0,0.5,1,"Vasco",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,7,"CRU","mei","Nulo",0,3.8,0,0,1,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Adryan Oliveira Tavares","Adryan ","https://s.glbimg.com/es/sde/f/2017/04/24/7f6002ce11349ef6f335b456dd179011_FORMATO.png",74083,7,"FLA","mei","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,7,"PAL","mei","Provável",0.5,12.34,-1.54,4.08,5,"Palmeiras",NA,13,6,1,12,2,NA,23,3,NA,NA,NA,NA,NA,NA,NA,NA
"219","Judson Silva Tavares","Judson","https://s.glbimg.com/es/sde/f/2017/04/28/5423c8443b5f4d0ce027e1d31b9aa3ff_FORMATO.png",84691,7,"AVA","mei","Provável",5.6,5.2,0.91,2.12,6,"Avaí",1,8,2,4,3,NA,NA,15,7,1,NA,NA,NA,NA,NA,NA,NA
"220","Claudinei dos Santos Oliveira","Claudinei Oliveira","https://s.glbimg.com/es/sde/f/2017/04/28/1e4e67f7f6051b298a7679a0b9d1d0c8_FORMATO.png",84761,7,"AVA","tec","Provável",1.24,5.78,-0.15,2.37,7,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Denilson Pereira Junior","Denilson","https://s.glbimg.com/es/sde/f/2017/06/09/1733878d67ca979f4e3dabc8e12db8a0_FORMATO.png",84718,7,"SAO","ata","Nulo",0,2.35,0,-0.3,3,"São Paulo",NA,2,NA,1,2,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA
"222","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/02/21/707d81e3f025580fbfbb9ef89e2a6c4c_FORMATO.png",74271,7,"BAH","ata","Provável",0.2,9.82,-0.78,3.6,7,"Bahia",NA,13,3,2,9,2,1,10,4,NA,NA,1,NA,NA,NA,NA,NA
"223","Erik Nascimento Lima","Erik","https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png",84848,7,"PAL","ata","Nulo",0,4.02,0,1.15,2,"Palmeiras",NA,NA,NA,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"224","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/04/24/9f5565190d6c37e9959d0747a4ef6ea0_FORMATO.png",75295,7,"FLA","ata","Provável",0,11.86,0,3.7,3,"Flamengo",NA,6,2,6,7,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA
"225","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,7,"AVA","lat","Provável",-4.1,5.51,-1.86,0.85,6,"Avaí",1,9,2,3,5,NA,1,38,7,1,1,NA,NA,NA,1,NA,NA
"226","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,7,"ATL","mei","Provável",9.4,7.32,2.34,2.95,7,"Atlético-GO",NA,12,1,2,14,1,1,29,12,1,NA,NA,NA,NA,NA,NA,NA
"227","Luan Peres Petroni","Luan Peres ","https://s.glbimg.com/es/sde/f/2017/06/01/3543e150d67d69e4fd1bd3112e7533b6_FORMATO.png",84847,7,"PON","zag","Nulo",0,1.73,0,0.8,1,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"228","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,7,"PON","zag","Contundido",0,6,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2017/06/03/90776cfb4d59723442313134248088ac_FORMATO.png",89815,7,"BAH","mei","Nulo",0,6.08,0,2.1,3,"Bahia",NA,3,NA,2,2,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"230","Raul Prata","Raul Prata","https://s.glbimg.com/es/sde/f/2017/05/01/bc801f0b347f5e9b99972901cf4ecefd_FORMATO.png",84855,7,"SPO","lat","Nulo",0,3.59,0,2.1,2,"Sport",NA,2,NA,1,1,NA,NA,8,2,1,1,NA,NA,NA,NA,NA,NA
"231","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,7,"SPO","mei","Provável",2.5,7.33,0.47,3.45,4,"Sport",NA,6,1,1,8,1,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"232","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,7,"COR","gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Elosman Euller Silva Cavalcanti","Euller ","https://s.glbimg.com/es/sde/f/2017/02/20/45d2685cedfee93ebf07f010f670c2ef_FORMATO.png",84890,7,"VIT","lat","Nulo",0,6.31,0,2.35,2,"Vitória",NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"234","Lucas Cândido Silva","Lucas Cândido","https://s.glbimg.com/es/sde/f/2017/04/03/3ce5d2322ae49cd21e272911d9992c4a_FORMATO.png",84851,7,"ATL","mei","Contundido",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Alex da Silva","Alex Silva","https://s.glbimg.com/es/sde/f/2017/05/19/2b09d527bb18b6dca83703fbbe498920_FORMATO.png",84861,7,"ATL","lat","Provável",-0.7,3.8,-1.78,5.27,3,"Atlético-MG",1,5,NA,1,5,NA,NA,9,4,2,2,NA,NA,NA,NA,NA,NA
"236","Henrique Silva Milagres","Henrique","https://s.glbimg.com/es/sde/f/2017/04/24/98783f94705be5ed728032062068f73c_FORMATO.png",84893,7,"VAS","lat","Provável",0.6,6.85,-0.21,2.85,7,"Vasco",1,9,1,1,13,NA,NA,18,11,1,NA,NA,NA,NA,NA,NA,NA
"237","Lucas Otávio Veiga Lopes","Lucas Otávio ","https://s.glbimg.com/es/sde/f/2017/04/28/c9abc289eaace4a40039be6a64b6711d_FORMATO.png",84896,7,"AVA","mei","Nulo",0,3.15,0,-0.3,2,"Avaí",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Gastón Nicolás Fernández","Gastón Fernández","https://s.glbimg.com/es/sde/f/2017/04/23/a007d48b7e937967df107f0fd412e09a_FORMATO.png",69160,7,"GRE","mei","Nulo",0,4.95,-1.04,1.73,3,"Grêmio",1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Jeferson de Araújo de Carvalho","Jeferson","https://s.glbimg.com/es/sde/f/2017/05/02/771b51917a7ef2187ffea3d1e0fc9277_FORMATO.png",84917,7,"PON","lat","Provável",0,5.19,0,4.5,1,"Ponte Preta",NA,2,NA,NA,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA
"240","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,7,"COR","zag","Provável",7.6,10.41,1.48,3.08,6,"Corinthians",NA,3,2,5,1,NA,NA,8,2,1,3,NA,NA,NA,NA,NA,NA
"241","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,7,"ATL","ata","Dúvida",0,3.92,0,-1.62,4,"Atlético-PR",NA,5,NA,3,7,NA,5,16,1,2,NA,NA,NA,NA,NA,NA,NA
"242","Leonardo Pisculichi","Pisculichi","https://s.glbimg.com/es/sde/f/2017/02/18/c8a64d1e825d4a06c352c94d5499c77d_FORMATO.png",89871,7,"VIT","mei","Nulo",0,4.13,0,-0.55,2,"Vitória",NA,1,NA,1,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,7,"COR","lat","Nulo",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Elder Santana Conceição","Elder Santana","https://s.glbimg.com/es/sde/f/2017/06/15/1dcf005eb752d162ab97dbe8abe498a8_FORMATO.png",84925,7,"ATL","ata","Nulo",0,0.76,-0.24,0,1,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,7,"GRE","ata","Contundido",0,10.52,0,4.18,4,"Grêmio",1,5,1,NA,6,2,4,5,1,2,NA,NA,NA,NA,NA,NA,NA
"246","Raphael Guimarães de Paula","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/d75b985086acd9eb03422fe01ce0693f_FORMATO.png",84927,7,"CHA","mei","Nulo",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,7,"VAS","gol","Provável",11,7.68,2.67,-0.17,7,"Vasco",NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,12,17,NA,NA,NA
"248","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,7,"ATL","mei","Provável",2.5,8.48,-0.33,3.25,6,"Atlético-PR",NA,1,6,3,11,NA,1,17,5,NA,NA,1,NA,NA,NA,NA,NA
"249","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,7,"COR","mei","Provável",-1.3,4.45,-0.24,0.88,5,"Coritiba",2,10,4,1,3,NA,1,19,2,2,NA,NA,NA,NA,NA,NA,NA
"250","Yago Henrique Severino dos Santos","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_FORMATO.png",84926,7,"ATL","mei","Nulo",0,1.72,0,0.43,3,"Atlético-MG",NA,6,1,NA,NA,NA,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA
"251","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,7,"SAN","lat","Provável",6.9,10.14,-0.3,4.1,5,"Santos",NA,5,NA,1,4,2,NA,17,2,2,2,NA,NA,NA,NA,NA,NA
"252","Fabrício Santos de Jesus","Fabrício Baiano","https://s.glbimg.com/es/sde/f/2017/04/24/ef2f4ee2eae252d21c41b30f81cec2a8_FORMATO.png",84993,7,"COR","mei","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,7,"FLA","mei","Nulo",0,8,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Marcos Felipe de Freitas Monteiro","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2016/04/29/62d23ea7816659aafaf60c6e6027764f_FORMATO.png",85004,7,"FLU","gol","Nulo",0,3,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Gabriel Augusto Xavier","Gabriel Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/da7a7c4d50031991e49615ff009cd118_FORMATO.png",85040,7,"VIT","mei","Suspenso",3.5,4.97,0.95,2.02,4,"Vitória",NA,6,1,NA,6,1,NA,9,4,NA,NA,NA,NA,NA,1,NA,NA
"256","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,7,"COR","mei","Provável",5.2,5.56,1.27,2.1,6,"Coritiba",NA,9,NA,1,2,NA,1,14,13,1,NA,NA,NA,NA,NA,NA,NA
"257","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,7,"COR","mei","Nulo",0,4.25,0,1.4,1,"Corinthians",NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Vinicius Silvestre da Costa","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png",85083,7,"PAL","gol","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Bruno Edgar Silva Almeida","Bruno Ramires","https://s.glbimg.com/es/sde/f/2017/04/01/73311df2bcb4444c139cc9bfc1f16ff5_FORMATO.png",89924,7,"VIT","mei","Contundido",0,5,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,7,"FLA","mei","Nulo",0,4.25,0,0.94,5,"Flamengo",NA,5,1,1,9,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"261","Robert Gonçalves Santos","Robert ","https://s.glbimg.com/es/sde/f/2017/06/09/64450e07dea4504ab9914e254f7ba3f5_FORMATO.png",85121,7,"FLU","mei","Nulo",0,4,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","João Paulo Silva Martins","João Paulo","https://s.glbimg.com/es/sde/f/2017/05/02/f85d6ca954388c9c5635f0e28f95b5cf_FORMATO.png",85425,7,"SAN","gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Gerferson Cerqueira Teles","Geferson","https://s.glbimg.com/es/sde/f/2017/02/18/1797455db8d122f09c954f551c9c8350_FORMATO.png",89976,7,"VIT","lat","Nulo",0,12.42,0,5.9,3,"Vitória",NA,1,NA,NA,2,NA,2,7,9,NA,1,NA,NA,NA,NA,NA,NA
"264","John Stiven Mendoza Valencia","Mendoza","https://s.glbimg.com/es/sde/f/2017/06/10/728a606a119a15400905d756f24d5223_FORMATO.png",90031,7,"BAH","ata","Provável",1.3,1.84,0.18,0.77,3,"Bahia",NA,3,NA,2,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"265","Bruno Henrique Pinto","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/02/19/6fc23a37c23198ad6b9da39da99ad82b_FORMATO.png",90285,7,"SAN","ata","Provável",7,12.93,0.14,3.88,6,"Santos",3,15,4,2,15,NA,4,23,9,1,NA,1,NA,NA,1,NA,NA
"266","Jonas Gomes de Sousa","Jonas","https://s.glbimg.com/es/sde/f/2017/04/24/d4c75e365c9c04af042bf7ff378d60c7_FORMATO.png",85586,7,"COR","mei","Nulo",0,6.76,0,1.47,6,"Coritiba",NA,9,NA,3,2,NA,NA,15,11,2,NA,NA,NA,NA,NA,NA,NA
"267","Bruno de Jesus Pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2017/04/27/fcbcf7704c49830f8c99c33ecbadb435_FORMATO.png",90061,7,"ATL","lat","Provável",5.4,8.19,0.83,2.85,7,"Atlético-GO",1,7,1,1,18,NA,NA,18,6,1,1,NA,NA,NA,NA,NA,NA
"268","Andrigo Oliveira de Araujo","Andrigo","https://s.glbimg.com/es/sde/f/2017/05/19/78c75bce6fe9af97abe3a17761c64821_FORMATO.png",89930,7,"ATL","mei","Provável",9.6,5.1,2.85,2.29,7,"Atlético-GO",2,8,5,3,5,NA,NA,25,7,2,NA,NA,NA,NA,NA,NA,NA
"269","Artur Sérgio Batista de Souza","Artur","https://s.glbimg.com/es/sde/f/2017/05/02/5c01ab099352ecad2baaa0a00f978720_FORMATO.png",85591,7,"PON","lat","Nulo",0,4,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Jaílson Marques Siqueira","Jailson","https://s.glbimg.com/es/sde/f/2017/04/23/bbc1e20f5a841fe3d2fc8cbf1553e368_FORMATO.png",90290,7,"GRE","mei","Nulo",0,4.96,0,2.13,3,"Grêmio",1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"271","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/01/13/cc39276a755987fc3b57896f3b160fa6_FORMATO.png",85626,7,"FLU","lat","Provável",-0.4,3.3,-0.58,0.35,6,"Fluminense",1,11,1,NA,3,NA,2,18,5,1,NA,NA,NA,NA,NA,NA,NA
"272","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,7,"SAN","ata","Provável",-3.1,3.34,-1.21,-1.22,5,"Santos",NA,8,1,NA,3,NA,NA,19,3,2,NA,NA,NA,NA,NA,NA,NA
"273","Daniel Correa Freitas","Daniel","https://s.glbimg.com/es/sde/f/2017/04/24/5b71e14cce546da5e531c172e54e0ce2_FORMATO.png",85629,7,"COR","mei","Contundido",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
