"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","SG","PP","DD","GS","DP","GC"
"201","Wallace Reis da Silva","Wallace Reis ","https://s.glbimg.com/es/sde/f/2017/07/13/cfd4ab0585b820c82ceaede6f0779b5a_FORMATO.png",68958,38,"VIT","zag","Suspenso",0,8.67,0,4.39,21,"Vitória",1,6,NA,26,6,2,30,1,2,NA,36,36,4,NA,NA,NA,NA,NA
"202","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,38,"ATL","gol","Contundido",0,4.47,0,-1.3,1,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA
"203","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,38,"COR","mei","Suspenso",0,9.1,0,2.55,24,"Corinthians",4,6,NA,16,7,5,29,2,3,1,44,11,NA,NA,NA,NA,NA,NA
"204","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2017/08/30/2f2abedd21538d0c8abafce309debab1_FORMATO.png",68950,38,"SPO","zag","Nulo",0,7.71,0,3.31,24,"Sport",1,5,NA,25,5,4,41,NA,1,3,58,23,8,NA,NA,NA,NA,NA
"205","João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png",69010,38,"PON","gol","Nulo",0,3.75,0,2.5,2,"Ponte Preta",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA
"206","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,38,"COR","mei","Provável",5.8,5.75,0.6,2.23,11,"Corinthians",1,2,NA,2,2,2,8,NA,1,1,19,9,NA,NA,NA,NA,NA,NA
"207","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,38,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,38,"CHA","zag","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",68987,38,"PON","mei","Contundido",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Aderbar Melo dos Santos Neto","Santos","https://s.glbimg.com/es/sde/f/2017/04/23/27e1cdc40e6cfe45b59a89f20a9a2b4f_FORMATO.png",69012,38,"ATL","gol","Nulo",6.5,5.43,0,4.4,3,"Atlético-PR",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,3,2,NA,NA
"211","Paulo Sérgio de Oliveira","Paulinho","https://s.glbimg.com/es/sde/f/2017/07/07/b665d8639383dbe3e6bc9401b9dadddb_FORMATO.png",69016,38,"ATL","mei","Nulo",0,6.58,0,4.09,20,"Atlético-GO",1,5,NA,41,4,14,40,3,2,1,63,39,NA,NA,NA,NA,NA,NA
"212","Vladimir Orlando Cardoso de Araújo Filho","Vladimir","https://s.glbimg.com/es/sde/f/2016/05/01/961c8216a0f294aa3cfbee03eaa996db_FORMATO.png",69040,38,"SAN","gol","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2017/04/23/7fa8d8853f5f9b5502dcde923aababee_FORMATO.png",69018,38,"ATL","mei","Contundido",0,5.04,0,0.48,5,"Atlético-PR",NA,2,NA,3,NA,NA,5,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA
"214","Manoel Messias Silva Carvalho","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_FORMATO.png",69014,38,"CRU","zag","Contundido",0,8.16,0,3.05,8,"Cruzeiro",NA,1,NA,3,1,1,8,NA,NA,1,14,7,3,NA,NA,NA,NA,NA
"215","Paulo Roberto da Silva","Paulo Roberto","https://s.glbimg.com/es/sde/f/2017/04/20/ab90dca3a15edcb4ef4af21626e0d3a9_FORMATO.png",69047,38,"COR","mei","Nulo",-0.3,2.66,-0.14,1.61,7,"Corinthians",2,NA,NA,3,1,NA,3,NA,NA,NA,16,3,NA,NA,NA,NA,NA,NA
"216","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,38,"VAS","gol","Provável",-2,7.12,-2.12,2.66,35,"Vasco",NA,3,NA,NA,NA,NA,6,NA,NA,NA,23,NA,10,NA,47,44,NA,NA
"217","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,38,"COR","zag","Nulo",0,11.14,0,4.49,24,"Corinthians",NA,2,NA,16,3,15,13,NA,NA,NA,26,25,13,NA,NA,NA,NA,NA
"218","Reinaldo Rueda Rivera","Reinaldo Rueda","https://s.glbimg.com/es/sde/f/2017/08/15/f70ca24058c7afc7bcf48280e01aa139_FORMATO.png",69486,38,"FLA","tec","Provável",3.72,13.11,-0.14,4.44,18,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,38,"COR","lat","Provável",5.3,6.08,1.23,2.71,23,"Coritiba",1,9,NA,40,2,3,36,NA,NA,NA,83,43,5,NA,NA,NA,NA,NA
"220","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,38,"FLA","mei","Nulo",0,5.08,0,0.57,8,"Flamengo",NA,1,NA,9,3,NA,2,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA
"221","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,38,"COR","mei","Provável",-0.7,2.9,-0.24,0.1,7,"Corinthians",NA,1,NA,6,2,1,3,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA
"222","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,38,"GRE","ata","Nulo",0,9,0,2.68,17,"Grêmio",1,4,NA,21,6,5,18,NA,4,10,34,14,NA,NA,NA,NA,NA,NA
"223","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,38,"ATL","ata","Dúvida",0,2.06,0,-0.68,21,"Atlético-PR",1,4,NA,38,2,9,19,NA,NA,8,60,7,NA,NA,NA,NA,NA,NA
"224","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,38,"COR","tec","Provável",2.85,11.81,-0.45,4.09,37,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/08/18/0b1e935b70a3d6471d8aa121da9f7140_FORMATO.png",70742,38,"CHA","mei","Contundido",0,6.21,0,1.98,18,"Chapecoense",2,NA,NA,28,3,11,25,2,NA,1,46,14,NA,NA,NA,NA,NA,NA
"226","Marllon Gonçalves Jerônimo Borges","Marllon","https://s.glbimg.com/es/sde/f/2017/05/02/40266a7126e1fd808b4350f90516f3f5_FORMATO.png",70666,38,"PON","zag","Provável",-3.1,10.22,-0.99,3.61,29,"Ponte Preta",NA,5,NA,18,2,3,31,1,NA,1,46,41,9,NA,NA,NA,NA,NA
"227","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,38,"ATL","mei","Nulo",0,7.36,0,1.96,28,"Atlético-PR",2,2,1,26,17,11,44,1,2,3,100,23,NA,2,NA,NA,NA,NA
"228","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,38,"CRU","lat","Nulo",0,13.84,0,4.59,30,"Cruzeiro",4,4,NA,30,4,4,34,1,1,3,105,53,11,NA,NA,NA,NA,1
"229","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,38,"COR","mei","Nulo",0,5.69,0,2.73,28,"Coritiba",2,4,NA,49,5,13,12,1,1,2,62,51,NA,NA,NA,NA,NA,NA
"230","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,38,"FLA","mei","Contundido",0,4.25,0,0.94,5,"Flamengo",NA,NA,NA,5,1,1,9,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA
"231","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/07/28/de12cacc448f4add788473ff0d4009bf_FORMATO.png",70934,38,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,38,"COR","mei","Provável",7.6,5.55,0.88,1.35,25,"Coritiba",3,4,NA,32,6,9,25,1,1,3,65,16,NA,NA,NA,NA,NA,NA
"233","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",70222,38,"SAO","gol","Provável",-2,6,-1.96,4.43,18,"São Paulo",NA,2,NA,NA,NA,NA,3,NA,NA,NA,19,NA,4,NA,36,21,NA,NA
"234","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,38,"SAN","lat","Provável",4.3,9.74,0.15,3.45,23,"Santos",1,3,NA,22,3,4,15,NA,2,NA,73,23,9,NA,NA,NA,NA,NA
"235","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/08/16/d34af685ab224e16398ce841287757c3_FORMATO.jpeg",71066,38,"FLA","mei","Nulo",0,7.7,0,3.37,8,"Flamengo",NA,2,NA,6,3,4,7,NA,2,1,9,7,NA,NA,NA,NA,NA,NA
"236","Leonardo da Silva Vieira","Leo","https://s.glbimg.com/es/sde/f/2017/08/02/b370bcdca91adb4e0f9cfe1f7ce54837_FORMATO.png",71043,38,"ATL","gol","Nulo",0,3,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Fillipe Soutto Mayor Nogueira Ferreira","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2017/06/05/17f3216f11db1702707de11a5f0b6854_FORMATO.png",70581,38,"VIT","mei","Nulo",0,3.43,0,1.84,16,"Vitória",2,1,1,18,2,3,6,NA,NA,NA,30,22,NA,NA,NA,NA,NA,NA
"238","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2017/06/01/a4f3ac6a4a79eebb1b9a2ec9388773ad_FORMATO.png",71162,38,"BAH","mei","Nulo",0,6.06,0,1.31,27,"Bahia",1,4,NA,20,8,13,14,NA,3,1,54,10,NA,NA,NA,NA,NA,NA
"239","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,38,"PAL","mei","Nulo",0,9.84,0,3.81,15,"Palmeiras",1,4,NA,33,2,9,18,NA,2,NA,31,31,NA,NA,NA,NA,NA,NA
"240","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,38,"ATL","mei","Contundido",0,5.45,0,1.33,25,"Atlético-PR",1,7,1,34,6,12,14,NA,2,3,75,30,NA,NA,NA,NA,NA,NA
"241","Alexander Baumjohann","Baumjohann","https://s.glbimg.com/es/sde/f/2017/07/05/edd3698b18e3e992ba2ea5c7f544ff56_FORMATO.png",71389,38,"COR","mei","Nulo",0,4.71,0,2.1,2,"Coritiba",1,NA,NA,3,NA,NA,2,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA
"242","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,38,"ATL","gol","Provável",0,5.16,0,2.85,34,"Atlético-PR",NA,1,NA,NA,NA,NA,5,NA,NA,NA,29,1,9,NA,46,40,NA,NA
"243","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png",68910,38,"SPO","mei","Provável",5.8,7.06,-0.04,3.48,20,"Sport",1,5,1,38,1,9,11,NA,NA,NA,42,58,NA,NA,NA,NA,NA,NA
"244","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2017/08/30/4df3a999db97ae40b152429edc607db4_FORMATO.png",71724,38,"SPO","gol","Nulo",0,4.57,0,6.05,4,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,8,4,NA,NA
"245","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,38,"VAS","ata","Nulo",0,4.43,0,1.93,14,"Vasco",1,NA,NA,6,3,3,10,NA,2,2,12,2,NA,NA,NA,NA,NA,NA
"246","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,38,"VAS","ata","Contundido",0,5.03,0,1.72,5,"Vasco",NA,NA,NA,3,3,NA,8,NA,NA,2,9,4,NA,NA,NA,NA,NA,NA
"247","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,38,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/08/16/47b4cc4af08862b4cf6685d475edd618_FORMATO.jpeg",71709,38,"FLA","mei","Provável",4.2,6.51,-1.15,4.89,25,"Flamengo",NA,4,NA,24,3,2,18,NA,NA,NA,40,83,NA,NA,NA,NA,NA,NA
"249","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,38,"VIT","gol","Provável",-4,9.26,-1.64,3.14,29,"Vitória",NA,2,NA,NA,NA,NA,5,NA,NA,NA,22,NA,7,NA,47,42,1,NA
"250","Wellington do Nascimento Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/07/28/82f8d8d7313084b0b7cfc91245954a24_FORMATO.png",71892,38,"BAH","lat","Nulo",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,38,"PON","mei","Provável",-2.6,4.43,-1.31,1.1,27,"Ponte Preta",1,7,1,55,3,7,21,NA,1,3,66,39,NA,NA,NA,NA,NA,NA
"252","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,38,"GRE","mei","Nulo",0,8.87,0,4.88,22,"Grêmio",NA,7,NA,50,3,14,25,NA,5,2,61,59,NA,NA,NA,NA,NA,NA
"253","Diego da Silva Rosa","Diego Rosa","https://s.glbimg.com/es/sde/f/2017/06/21/113421cfc95b13d42d7a61ddfd0b906c_FORMATO.png",71927,38,"ATL","mei","Provável",12.5,9.52,1.35,3.44,24,"Atlético-GO",3,2,NA,20,10,7,18,NA,5,7,25,17,NA,NA,NA,NA,NA,NA
"254","Roberto Heuchayer Santos de Araújo","Roberto","https://s.glbimg.com/es/sde/f/2017/08/17/2b6d0dac55444a427650e123ca955344_FORMATO.png",71116,38,"CHA","lat","Contundido",0,4.12,0,3.43,3,"Chapecoense",NA,1,NA,3,NA,NA,3,NA,NA,NA,4,5,1,NA,NA,NA,NA,NA
"255","Fernando Galhardo Borges","Fernandinho","https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png",72150,38,"PON","lat","Nulo",0,5.26,0,2.43,4,"Ponte Preta",NA,1,NA,3,NA,NA,NA,1,NA,2,9,2,2,NA,NA,NA,NA,NA
"256","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,38,"VIT","mei","Provável",-1.5,5.05,-1.43,2.82,33,"Vitória",1,9,1,68,4,15,19,1,3,1,60,66,NA,NA,NA,NA,NA,NA
"257","Paulo Roberto Valoura Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/07/28/46e83a5bd2ed557124edf9a1e69b6d0c_FORMATO.png",71937,38,"BAH","mei","Contundido",0,10.52,0,3.51,28,"Bahia",3,2,NA,48,14,19,18,2,2,NA,98,48,NA,NA,NA,NA,NA,NA
"258","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,38,"BOT","zag","Nulo",0,3.3,0,5,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"259","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,38,"BOT","mei","Suspenso",0,3.86,0,2.84,30,"Botafogo",4,9,NA,55,8,13,62,1,2,1,115,46,NA,NA,NA,NA,NA,NA
"260","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2017/09/05/414cc739934721ba0e4da731953eaed8_FORMATO.png",73635,38,"COR","ata","Provável",0.8,8.73,-0.29,3.58,34,"Coritiba",2,6,NA,44,8,9,115,NA,6,10,88,34,NA,NA,NA,NA,NA,NA
"261","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,38,"GRE","lat","Nulo",0,11.26,0,4.06,23,"Grêmio",NA,3,NA,29,NA,NA,23,NA,1,3,45,29,12,NA,NA,NA,NA,NA
"262","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,38,"PAL","gol","Nulo",0,7.3,0,5.52,5,"Palmeiras",NA,3,NA,NA,NA,NA,1,NA,NA,NA,3,NA,3,NA,6,3,1,NA
"263","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,38,"AVA","zag","Nulo",0,1.6,0,2.74,5,"Avaí",NA,NA,NA,5,1,2,1,NA,NA,NA,6,3,2,NA,NA,NA,NA,NA
"264","Cléber Janderson Pereira Reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2017/08/22/c38b2f1c3e2258a438ef5b0dfc958e01_FORMATO.png",72376,38,"COR","zag","Provável",1.8,6.22,-0.05,3.55,15,"Coritiba",NA,4,NA,14,2,3,4,NA,2,1,27,24,4,NA,NA,NA,NA,1
"265","Hernane Vidal Souza","Hernane","https://s.glbimg.com/es/sde/f/2017/07/28/10783cbce0071ae8567021c6e9290249_FORMATO.png",72386,38,"BAH","ata","Nulo",0,7.33,0,0.54,5,"Bahia",NA,NA,NA,5,NA,1,8,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA
"266","Mauricio Kozlinski","Mauricio Kozlinski","https://s.glbimg.com/es/sde/f/2017/04/28/9ab574fbf640f6bd28542bd1d9305d6f_FORMATO.png",72595,38,"AVA","gol","Nulo",0,7.69,0,3.24,11,"Avaí",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,18,14,NA,NA
"267","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2017/04/18/57ab5f981f4355a82d3d2f15ed01eb8e_FORMATO.png",72362,38,"BOT","mei","Provável",2.1,10.11,0.23,3.51,30,"Botafogo",2,3,NA,37,5,9,32,1,3,NA,90,54,NA,NA,NA,NA,NA,NA
"268","Matheus Simonete Bressanelli","Bressan","https://s.glbimg.com/es/sde/f/2017/04/23/06d46a41c53307f20ca424fbe4e9bf64_FORMATO.png",72491,38,"GRE","zag","Nulo",0,2.2,0,1.2,12,"Grêmio",NA,5,NA,13,NA,2,6,NA,NA,3,30,10,4,NA,NA,NA,NA,NA
"269","William Amorim Martins de Menezes","William Menezes","https://s.glbimg.com/es/sde/f/2017/04/24/edb424e5188bff2f84c0a261b041b848_FORMATO.png",72603,38,"COR","gol","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Eduardo Alves da Silva","Eduardo da Silva","https://s.glbimg.com/es/sde/f/2017/04/23/c47c6340a7d40ff5085ba517e5dc117d_FORMATO.png",72893,38,"ATL","ata","Nulo",0,5.87,0,1.4,5,"Atlético-PR",NA,NA,NA,6,4,1,1,NA,NA,1,5,4,NA,NA,NA,NA,NA,NA
"271","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2017/02/18/25a86aa5d44e9bdbf64ffd3c0f0a0c25_FORMATO.png",72490,38,"VIT","zag","Nulo",0,4.26,0,1.93,13,"Vitória",NA,4,NA,12,4,7,2,NA,1,NA,31,15,1,NA,NA,NA,NA,NA
"272","Vladimir Javier Hernández Rivero","Vladimir Hernández","https://s.glbimg.com/es/sde/f/2017/02/19/f61c5d8d4580566cb1fa08020d2709ca_FORMATO.png",72879,38,"SAN","ata","Nulo",0,7.28,0,1.39,14,"Santos",NA,1,NA,7,3,4,19,NA,1,2,25,6,NA,NA,NA,NA,NA,NA
"273","Getterson Alves dos Santos","Getterson","https://s.glbimg.com/es/sde/f/2017/05/12/c2b9040eda92184c6453ef41ede377fd_FORMATO.png",73340,38,"COR","ata","Nulo",0,0.87,0,0.34,10,"Coritiba",NA,2,NA,11,1,3,8,NA,NA,1,13,6,NA,NA,NA,NA,NA,NA
"274","Damián Ariel Escudero","Escudero","https://s.glbimg.com/es/sde/f/2017/04/17/1351c50b833e0374eb58e4fde52d7646_FORMATO.png",72745,38,"VAS","mei","Contundido",0,3.5,0,0.39,7,"Vasco",1,2,NA,6,NA,1,4,NA,NA,NA,16,4,NA,NA,NA,NA,NA,NA
"275","Lázaro Luan Scapolan","Luan","https://s.glbimg.com/es/sde/f/2017/04/28/ec0b73e82977113f481334a7e16633d8_FORMATO.png",72565,38,"AVA","mei","Contundido",0,5.16,0,1.66,13,"Avaí",NA,6,NA,32,2,1,29,NA,NA,NA,17,22,NA,NA,NA,NA,NA,NA
"276","Jorge Darío Mendoza Torres","Jorge Mendoza","https://s.glbimg.com/es/sde/f/2017/08/30/0eea5fbc530ed19bf79af8d5ae46c723_FORMATO.png",73144,38,"PON","mei","Nulo",0,2.69,0,1.4,1,"Ponte Preta",NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"277","Rafael Martins Claro","Rafael Martins","https://s.glbimg.com/es/sde/f/2017/04/24/0e99993b292bb541251f236f7827aeec_FORMATO.png",73336,38,"COR","gol","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2017/07/28/d023203cea9f86b7e0c359ac86f97d9e_FORMATO.png",73281,38,"BAH","mei","Provável",6.8,12.66,0.43,6.07,30,"Bahia",NA,7,1,56,10,25,63,NA,4,3,66,94,NA,NA,NA,NA,NA,NA
"279","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/24/60215745abe8839e6e6df43fbe447e2c_FORMATO.png",73515,38,"FLA","ata","Nulo",-2,2.17,-0.42,-0.67,7,"Flamengo",NA,3,NA,5,NA,2,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"280","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2017/08/22/3523b9a002ea6c053d1937f2066c6f33_FORMATO.jpeg",73421,38,"FLA","zag","Provável",7.5,8.61,0.57,3.86,20,"Flamengo",NA,1,NA,11,8,9,7,NA,1,NA,55,21,8,NA,NA,NA,NA,NA
"281","Samuel Xavier Brito","Samuel Xavier","https://s.glbimg.com/es/sde/f/2017/08/30/12b3e91f20258ba99fe8f4ed727b0460_FORMATO.png",73384,38,"SPO","lat","Nulo",0,3.84,0,2.48,23,"Sport",1,6,NA,28,5,2,34,NA,NA,1,86,27,7,NA,NA,NA,NA,NA
"282","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,38,"BAH","gol","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Francinilson Santos Meireles","Maranhão","https://s.glbimg.com/es/sde/f/2017/07/27/674c08b12227dcc659885899cb5ee647_FORMATO.png",73513,38,"PON","ata","Nulo",0,1.78,0,0.39,11,"Ponte Preta",NA,NA,NA,4,1,4,7,NA,NA,2,17,3,NA,NA,NA,NA,NA,NA
