"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","SG","PP","DD","GS","DP","GC"
"19","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,38,"CRU","gol","Nulo",0,11.67,0,3.5,32,"Cruzeiro",NA,NA,NA,1,NA,NA,2,NA,NA,NA,15,NA,11,NA,41,31,NA,NA
"20","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,38,"PAL","zag","Suspenso",0,9.29,0,3.08,25,"Palmeiras",NA,6,NA,29,3,11,30,NA,NA,2,12,22,9,NA,NA,NA,NA,NA
"21","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,38,"ATL","lat","Provável",4.9,8.84,0.05,3.68,28,"Atlético-PR",2,4,NA,19,2,2,26,NA,2,1,79,37,8,NA,NA,NA,NA,NA
"22","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,38,"COR","ata","Contundido",0,1.79,0,-0.19,15,"Coritiba",NA,6,NA,24,3,2,19,NA,1,4,24,7,NA,1,NA,NA,NA,NA
"23","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/09/29/4651e65d3130540afa2b4cb4c1cb5ef4_FORMATO.png",37688,38,"GRE","mei","Nulo",0,4.28,0,-0.81,10,"Grêmio",NA,2,NA,18,NA,3,7,NA,NA,2,16,3,NA,NA,NA,NA,NA,NA
"24","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,38,"PON","zag","Suspenso",0,7.71,0,3.29,22,"Ponte Preta",NA,5,2,13,9,12,34,NA,NA,2,46,23,8,NA,NA,NA,NA,NA
"25","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,38,"CRU","mei","Provável",-2.3,4.48,-0.63,2.2,27,"Cruzeiro",NA,7,1,30,3,6,39,2,NA,NA,56,45,NA,NA,NA,NA,NA,NA
"26","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,38,"VAS","mei","Nulo",0,4.89,0,1.9,19,"Vasco",NA,2,NA,18,3,4,17,1,2,3,40,17,NA,NA,NA,NA,NA,NA
"27","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,38,"ATL","ata","Provável",13,15.99,0.65,3.78,29,"Atlético-MG",5,7,NA,53,11,16,59,1,12,23,65,7,NA,2,NA,NA,NA,NA
"28","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,38,"VAS","ata","Contundido",0,11.3,0,4.69,12,"Vasco",2,6,NA,26,6,17,25,NA,5,6,15,5,NA,NA,NA,NA,NA,NA
