"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FC","FS","PE","PP","RB","CA","FF","SG","DD","GS","FD","G","I","A","CV","FT","DP"
"197","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,6,"COR","mei","Nulo",0,4.25,0,1.4,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"198","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/05/14/6f1a3086afde752f257e478b7ddadf03_FORMATO.png",70742,6,"CHA","mei","Provável",3,6.32,0.23,2.34,5,7,7,17,NA,6,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"199","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,6,"COR","mei","Provável",-1.9,4.69,-0.82,1.42,4,8,1,14,NA,1,1,1,NA,NA,NA,3,NA,NA,2,NA,NA,NA
"200","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,6,"ATL","gol","Nulo",0,0.71,0,-8.3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"201","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,6,"AVA","ata","Nulo",0,6.42,0,2.23,3,3,7,12,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"202","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,6,"VIT","ata","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,6,"CRU","lat","Provável",5.3,12.45,0.16,4.73,6,6,9,24,NA,12,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2017/04/19/9bf8902250718281651dc2ae9999d574_FORMATO.png",68770,6,"COR","mei","Nulo",2.1,4.51,0.2,0.6,2,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2016/05/01/4ca75c7b4c6ef9d48c9ffe43f89b8f78_FORMATO.png",68911,6,"SPO","mei","Nulo",0,17.28,0,3.8,2,5,6,10,NA,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"206","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png",68910,6,"SPO","mei","Contundido",4.7,6.5,0.33,3.55,4,12,4,10,NA,14,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2016/04/29/0e6b421a8c0214078fd1f5854cce3874_FORMATO.png",68887,6,"FLU","zag","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2017/04/18/054a14cdfbb6abbdb2c8a8a75f0a9ee1_FORMATO.png",68901,6,"BOT","ata","Provável",-0.1,5.31,-0.15,0.97,6,11,12,31,NA,6,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"209","Thiago Henrique Mendes Ribeiro","Thiago Mendes","https://s.glbimg.com/es/sde/f/2016/05/01/7bffad216f281ba79db7820b8448dae1_FORMATO.png",71123,6,"SAO","mei","Contundido",0,5.35,0,-1.4,2,3,1,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/04/24/8f9b227031fc772ea2210db5d441a2e5_FORMATO.png",71066,6,"FLA","mei","Nulo",1.8,7.81,-0.37,5.13,3,3,2,6,NA,4,NA,2,NA,NA,NA,2,1,1,NA,NA,NA,NA
"211","Maicon Pereira Roque","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/f3000bd2b412a315dad8796d7080a492_FORMATO.png",71227,6,"SAO","zag","Provável",0.8,9.2,-0.84,2.82,5,NA,NA,16,NA,5,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"212","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/02/21/006f00c308607da2e5625e476d7e701e_FORMATO.png",70934,6,"BAH","zag","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,6,"SAN","mei","Nulo",0,3.54,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,6,"VIT","gol","Provável",7.7,12.36,0.61,5.7,6,NA,2,6,NA,NA,1,NA,2,13,6,NA,NA,NA,NA,NA,NA,NA
"215","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,6,"VAS","ata","Contundido",0,5.03,0,1.72,5,3,8,9,NA,4,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA
"216","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2017/06/01/a4f3ac6a4a79eebb1b9a2ec9388773ad_FORMATO.png",71162,6,"BAH","mei","Provável",4.1,7.82,1.01,3.8,3,4,3,11,NA,4,1,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"217","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,6,"ATL","mei","Provável",0.5,7.31,-0.57,-0.47,3,6,2,13,NA,2,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"218","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,6,"FLU","ata","Contundido",0,10.89,0,2.4,1,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"219","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,6,"GRE","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,6,"ATL","gol","Nulo",0,0.76,0,-2.8,4,NA,NA,4,NA,NA,1,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA
"221","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,6,"GRE","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,6,"PON","mei","Provável",0,5.55,0,1.74,5,10,5,13,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"223","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/04/24/ec9b77bc929663a07ce6d4b21c78ed8e_FORMATO.png",71709,6,"FLA","mei","Nulo",0,2.27,0,-2.05,2,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2016/07/12/b3b2f4d5febfcebd9c61128f21c52535_FORMATO.png",71724,6,"SPO","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Bryan Silva Garcia","Bryan","https://s.glbimg.com/es/sde/f/2016/05/25/5b9b24c19e03fc40d70c6a4523ef44ae_FORMATO.png",78632,6,"CRU","lat","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Diego da Silva Rosa","Diego Rosa","https://s.glbimg.com/es/sde/f/2017/06/09/31aa82f91e57b192b964e3bb935bf85f_FORMATO.png",71927,6,"ATL","mei","Nulo",0,9.02,0,4.05,2,2,1,1,NA,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA
"227","Clayton Silveira da Silva","Clayton","https://s.glbimg.com/es/sde/f/2017/04/23/162d940eadf1a0f6216f20a351c326da_FORMATO.png",81770,6,"COR","ata","Nulo",-0.3,7.66,-2.35,4.8,3,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"228","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,6,"GRE","mei","Provável",4,7.89,-1.61,6.12,5,12,6,14,NA,12,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"229","Wellington do Nascimento Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/02/18/3bbde337c0e14ff5863b2fb2a531bf69_FORMATO.png",71892,6,"BAH","lat","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,6,"VIT","mei","Provável",-0.8,1.64,-0.29,-0.42,6,14,2,9,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,6,"VAS","ata","Nulo",0.7,5.2,-0.21,3.83,4,2,3,6,NA,NA,NA,3,NA,NA,NA,2,1,1,1,NA,NA,NA
"232","Paulo Roberto Valoura Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/02/21/1185bf0445861de05869b21f919a1d93_FORMATO.png",71937,6,"BAH","mei","Provável",5.3,11.97,0.29,3.7,6,16,7,22,NA,10,NA,4,NA,NA,NA,5,NA,NA,1,NA,1,NA
"233","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,6,"BOT","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Cléber Janderson Pereira Reis","Cléber","https://s.glbimg.com/es/sde/f/2017/05/02/b5c06e4d4ec940dea4ec97f888628b3b_FORMATO.png",72376,6,"SAN","zag","Nulo",4.5,6.49,-0.51,4.5,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,6,"GRE","lat","Provável",15.4,11.46,4,5.46,5,7,6,10,NA,4,2,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA
"236","Fernando Galhardo Borges","Fernandinho","https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png",72150,6,"PON","lat","Nulo",0,5.66,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,6,"BOT","mei","Provável",7,2.28,1.52,0.53,6,15,11,24,NA,5,2,2,NA,NA,NA,2,NA,1,1,NA,NA,NA
"238","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2017/02/18/25a86aa5d44e9bdbf64ffd3c0f0a0c25_FORMATO.png",72490,6,"VIT","zag","Provável",3.6,3.27,0.45,0.02,5,8,NA,17,NA,3,2,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"239","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,6,"AVA","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Samuel Xavier Brito","Samuel Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/02f546c1013f3369de8475d0bf247287_FORMATO.png",73384,6,"SPO","lat","Provável",2.6,1.53,-0.08,0.52,4,2,2,16,NA,2,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA
"241","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,6,"PAL","gol","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2017/04/18/57ab5f981f4355a82d3d2f15ed01eb8e_FORMATO.png",72362,6,"BOT","mei","Provável",6.1,10.88,1.11,6.38,4,2,6,13,NA,11,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"243","Lázaro Luan Scapolan","Luan","https://s.glbimg.com/es/sde/f/2017/04/28/ec0b73e82977113f481334a7e16633d8_FORMATO.png",72565,6,"AVA","mei","Provável",1.9,6.51,-0.02,2.95,6,15,14,11,NA,14,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"244","Mauricio Kozlinski","Mauricio Kozlinski","https://s.glbimg.com/es/sde/f/2017/04/28/9ab574fbf640f6bd28542bd1d9305d6f_FORMATO.png",72595,6,"AVA","gol","Provável",1,8.97,-0.94,4.02,6,NA,NA,3,NA,NA,NA,NA,2,9,6,NA,NA,NA,NA,NA,NA,NA
"245","Matheus Simonete Bressanelli","Bressan","https://s.glbimg.com/es/sde/f/2017/04/23/06d46a41c53307f20ca424fbe4e9bf64_FORMATO.png",72491,6,"GRE","zag","Nulo",0,2.49,0,-1.4,1,2,1,6,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"246","Vladimir Javier Hernández Rivero","Vladimir Hernández","https://s.glbimg.com/es/sde/f/2017/02/19/f61c5d8d4580566cb1fa08020d2709ca_FORMATO.png",72879,6,"SAN","ata","Nulo",0,9.82,0,2.42,5,4,10,5,NA,2,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA
"247","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2016/04/29/1ea275be2b3908677e2dc5d61a3c2995_FORMATO.png",68827,6,"FLU","zag","Contundido",0,3.32,0,-1.3,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Eduardo Alves da Silva","Eduardo da Silva","https://s.glbimg.com/es/sde/f/2017/04/23/c47c6340a7d40ff5085ba517e5dc117d_FORMATO.png",72893,6,"ATL","ata","Dúvida",0,7.19,0,2.1,2,2,1,2,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"249","Damián Ariel Escudero","Escudero","https://s.glbimg.com/es/sde/f/2017/04/17/1351c50b833e0374eb58e4fde52d7646_FORMATO.png",72745,6,"VAS","mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Hernane Vidal Souza","Hernane","https://s.glbimg.com/es/sde/f/2017/02/21/ab314baef088bf498a196e5fd2e6176b_FORMATO.png",72386,6,"BAH","ata","Contundido",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","William Amorim Martins de Menezes","William Menezes","https://s.glbimg.com/es/sde/f/2017/04/24/edb424e5188bff2f84c0a261b041b848_FORMATO.png",72603,6,"COR","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Rafael Martins Claro","Rafael Martins","https://s.glbimg.com/es/sde/f/2017/04/24/0e99993b292bb541251f236f7827aeec_FORMATO.png",73336,6,"COR","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2017/02/21/d2e83c4ccb4fc13a49eef483160b96a4_FORMATO.png",73281,6,"BAH","mei","Dúvida",6.5,9.17,0.91,6.97,4,5,7,11,NA,13,1,3,NA,NA,NA,1,1,2,NA,NA,NA,NA
"254","Getterson Alves dos Santos","Getterson","https://s.glbimg.com/es/sde/f/2017/05/12/c2b9040eda92184c6453ef41ede377fd_FORMATO.png",73340,6,"COR","ata","Nulo",0,0.73,0,-0.15,2,3,2,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Bruno Vieira Gallo","Bruno Gallo","https://s.glbimg.com/es/sde/f/2017/04/06/68766fe1a4a33ee25c95b972979bf44c_FORMATO.png",60802,6,"VAS","mei","Nulo",0,1.7,0,-0.6,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png",60819,6,"CRU","zag","Contundido",0,8.86,0,3.43,3,1,2,12,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png",73446,6,"ATL","ata","Nulo",1.3,3.46,-0.03,1.33,3,NA,1,6,NA,1,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA
"258","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/24/60215745abe8839e6e6df43fbe447e2c_FORMATO.png",73515,6,"FLA","ata","Contundido",0,3.51,0,-2,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2017/04/24/8665d503716b53b97bdd0f56d8ef0f39_FORMATO.png",73421,6,"FLA","zag","Nulo",0,6.94,0,2.33,3,2,1,11,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Francinilson Santos Meireles","Maranhão","https://s.glbimg.com/es/sde/f/2016/06/28/5b421dbcedd89d35ab19a538e6c4ab1f_FORMATO.jpeg",73513,6,"FLU","ata","Nulo",0,2.23,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Julio Daniel dos Santos Rodríguez","Julio dos Santos","https://s.glbimg.com/es/sde/f/2017/04/17/649e4e7bd437c7088ca460c013ae1718_FORMATO.png",60853,6,"VAS","mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2017/04/24/e5f2da8b1a9007eed27b4e7ae55d64c2_FORMATO.png",73635,6,"COR","ata","Provável",3.1,7.13,0.78,3.7,4,4,11,5,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"263","Lucas David Pratto","Lucas Pratto","https://s.glbimg.com/es/sde/f/2017/02/18/2291ee0103b8af06799aee5ab657b149_FORMATO.png",73649,6,"SAO","ata","Provável",2.1,16.71,-2.29,7.28,6,8,3,20,NA,3,NA,8,NA,NA,NA,8,3,1,2,NA,NA,NA
"264","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/08/31/6340e77cb18143e838ae03747e59b459_FORMATO.png",73540,6,"SPO","ata","Nulo",0.5,6.42,-0.51,1.42,5,1,8,15,NA,2,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"265","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,6,"BAH","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,6,"SAO","zag","Suspenso",0,9.84,0,2.85,4,5,2,10,NA,7,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Wellington Silva Sanches Aguiar","Wellington Nem","https://s.glbimg.com/es/sde/f/2017/02/18/a23f9ff565dd24baa68eeca4461e1b86_FORMATO.png",73619,6,"SAO","ata","Dúvida",8,9.51,1.52,4.7,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"268","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2017/05/03/cc800ad5ce3aeb287358e50e4352911b_FORMATO.png",60788,6,"SPO","ata","Nulo",0,5.72,0,4.7,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"269","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,6,"VIT","zag","Nulo",4.6,2.8,0.78,2.73,3,8,3,8,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Marcos Vinícius de Jesus Araújo","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2017/06/09/20f2da67134854a8bf8db93d1824d898_FORMATO.png",73721,6,"BOT","mei","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2017/04/24/43537a69f2836d2da77aebc068eacd46_FORMATO.png",73992,6,"FLA","lat","Nulo",0,9.21,0,6.5,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"272","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2017/04/24/60830998fb2fc54f511a8d2b5c3a6f25_FORMATO.png",73991,6,"COR","zag","Nulo",0,5.31,0,2.1,3,1,NA,3,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"273","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,6,"SAN","mei","Nulo",2.2,3.84,-0.16,2.2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","John Lennon Silva Santos","Lennon","https://s.glbimg.com/es/sde/f/2017/05/03/d072e8eaeab8333c007a7cfb0af5aef4_FORMATO.png",73869,6,"CRU","lat","Nulo",0,5.2,0,2,2,1,1,9,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Adryan Oliveira Tavares","Adryan ","https://s.glbimg.com/es/sde/f/2017/04/24/7f6002ce11349ef6f335b456dd179011_FORMATO.png",74083,6,"FLA","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,6,"VAS","zag","Nulo",0,1.67,-0.73,-0.8,2,4,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,6,"BOT","gol","Provável",2,22.4,-2.07,10.44,5,NA,1,1,NA,NA,NA,NA,3,15,4,NA,NA,NA,NA,NA,NA,NA
"278","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,6,"CRU","mei","Nulo",0,3.8,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Wallace Oliveira dos Santos","Wallace Oliveira","https://s.glbimg.com/es/sde/f/2017/04/23/2104c1ca7a642cecb433a89a4f335bfa_FORMATO.png",74075,6,"GRE","lat","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Fábio Farroco Braga","Fábio Braga","https://s.glbimg.com/es/sde/f/2017/05/02/1b7b5c48a104e1244f38059d6b4e63a3_FORMATO.png",78464,6,"PON","mei","Nulo",0,1.74,0,-0.45,2,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,6,"PAL","mei","Provável",9.1,13.88,1.24,4.97,4,12,11,18,NA,3,NA,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA
"282","Guilherme Costa Machado Silveira","Guilherme Costa","https://s.glbimg.com/es/sde/f/2017/04/06/ea33443d8c666f61b78424b726238c89_FORMATO.png",74081,6,"VAS","mei","Nulo",0,5.5,0,0.5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/02/21/707d81e3f025580fbfbb9ef89e2a6c4c_FORMATO.png",74271,6,"BAH","ata","Provável",3.7,10.6,-0.94,4.17,6,12,9,10,NA,4,NA,1,NA,NA,NA,3,2,1,NA,NA,1,NA
