"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","PP","SG","DD","GS","DP","GC"
"212","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,23,"CRU","lat","Provável",0.2,11.91,-0.09,4.02,20,"Cruzeiro",2,4,NA,20,2,3,24,1,NA,2,76,31,NA,8,NA,NA,NA,NA
"213","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/06/07/fe68884503980ded30df6a7cb9cdd77b_FORMATO.jpeg",70929,23,"PON","ata","Nulo",0,4.01,0,0.6,4,"Ponte Preta",NA,1,NA,4,NA,NA,4,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA
"214","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,23,"COR","tec","Provável",1.14,11.47,-0.46,4.51,22,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Vladimir Orlando Cardoso de Araújo Filho","Vladimir","https://s.glbimg.com/es/sde/f/2016/05/01/961c8216a0f294aa3cfbee03eaa996db_FORMATO.png",69040,23,"SAN","gol","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/08/16/d34af685ab224e16398ce841287757c3_FORMATO.jpeg",71066,23,"FLA","mei","Nulo",0,6.11,0,2.13,6,"Flamengo",NA,2,NA,4,2,2,3,NA,1,1,7,5,NA,NA,NA,NA,NA,NA
"217","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,23,"COR","lat","Suspenso",-0.2,5.16,-0.43,3.11,11,"Coritiba",NA,3,NA,22,1,NA,20,NA,NA,NA,41,25,NA,2,NA,NA,NA,NA
"218","Paulo Sérgio de Oliveira","Paulinho","https://s.glbimg.com/es/sde/f/2017/07/07/b665d8639383dbe3e6bc9401b9dadddb_FORMATO.png",69016,23,"ATL","mei","Provável",0,6,0,5.01,10,"Atlético-GO",NA,3,NA,21,3,7,17,1,2,1,32,24,NA,NA,NA,NA,NA,NA
"219","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2017/04/23/7fa8d8853f5f9b5502dcde923aababee_FORMATO.png",69018,23,"ATL","mei","Nulo",0,5.04,0,0.48,5,"Atlético-PR",NA,2,NA,3,NA,NA,5,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA
"220","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,23,"ATL","ata","Nulo",0,2.61,0,-1.19,13,"Atlético-PR",NA,4,NA,21,2,7,12,NA,NA,8,42,4,NA,NA,NA,NA,NA,NA
"221","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,23,"COR","zag","Provável",-0.3,10.52,-1.11,4.44,15,"Corinthians",NA,2,NA,10,2,7,8,NA,NA,NA,19,12,NA,10,NA,NA,NA,NA
"222","Reinaldo Rueda Rivera","Reinaldo Rueda","https://s.glbimg.com/es/sde/f/2017/08/15/f70ca24058c7afc7bcf48280e01aa139_FORMATO.png",69486,23,"FLA","tec","Provável",1.12,11.35,-0.81,4.81,3,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,23,"ATL","mei","Provável",-3.2,8.08,-0.71,2.71,21,"Atlético-PR",2,2,NA,20,13,9,34,1,2,2,70,18,1,NA,NA,NA,NA,NA
"224","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,23,"GRE","ata","Dúvida",3.3,9.79,0.38,3.83,11,"Grêmio",1,3,NA,15,5,2,14,NA,4,6,18,8,NA,NA,NA,NA,NA,NA
"225","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,23,"SAN","lat","Suspenso",5.8,10.39,0.86,4.19,15,"Santos",NA,3,NA,12,1,2,12,NA,2,NA,50,15,NA,8,NA,NA,NA,NA
"226","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,23,"PAL","mei","Nulo",0,9.48,0,4.08,9,"Palmeiras",1,2,NA,19,1,7,10,NA,1,NA,14,18,NA,NA,NA,NA,NA,NA
"227","Pablo Diogo Lopes de Lima","Pablo Diogo","https://s.glbimg.com/es/sde/f/2017/08/01/876c2e59d47193a1d2968b73eed90a34_FORMATO.png",70987,23,"ATL","ata","Nulo",0,1.68,0,-0.4,3,"Atlético-MG",NA,NA,NA,3,NA,NA,NA,NA,NA,2,7,2,NA,NA,NA,NA,NA,NA
"228","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,23,"FLA","mei","Nulo",-1.1,5.2,-0.65,0.68,5,"Flamengo",NA,1,NA,7,2,NA,2,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA
"229","Roberto Heuchayer Santos de Araújo","Roberto","https://s.glbimg.com/es/sde/f/2017/08/17/2b6d0dac55444a427650e123ca955344_FORMATO.png",71116,23,"CHA","lat","Nulo",1.6,4.12,-0.22,3.43,3,"Chapecoense",NA,1,NA,3,NA,NA,3,NA,NA,NA,4,5,NA,1,NA,NA,NA,NA
"230","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,23,"ATL","mei","Provável",0.1,5.24,-0.4,-0.09,13,"Atlético-PR",NA,2,1,19,1,5,10,NA,NA,2,44,13,NA,NA,NA,NA,NA,NA
"231","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2017/06/01/a4f3ac6a4a79eebb1b9a2ec9388773ad_FORMATO.png",71162,23,"BAH","mei","Provável",1.3,6.63,0.24,1.55,17,"Bahia",1,3,NA,11,4,9,9,NA,2,NA,33,7,NA,NA,NA,NA,NA,NA
"232","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,23,"SAN","mei","Provável",0,2.48,0,1.12,6,"Santos",NA,NA,NA,3,1,1,3,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA
"233","Leonardo da Silva Vieira","Leo","https://s.glbimg.com/es/sde/f/2017/08/02/b370bcdca91adb4e0f9cfe1f7ce54837_FORMATO.png",71043,23,"ATL","gol","Nulo",0,3,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/07/28/de12cacc448f4add788473ff0d4009bf_FORMATO.png",70934,23,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,23,"COR","mei","Nulo",0,3.53,0,0.7,2,"Corinthians",NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"236","Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,23,"CHA","zag","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",68987,23,"PON","mei","Contundido",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,23,"VIT","gol","Provável",2,10.94,-1.93,3.8,21,"Vitória",NA,2,NA,NA,NA,NA,3,NA,NA,NA,16,NA,NA,7,35,30,1,NA
"239","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,23,"VAS","gol","Provável",7.7,7.88,0.63,1.64,23,"Vasco",NA,2,NA,NA,NA,NA,2,NA,NA,NA,18,NA,NA,6,28,34,NA,NA
"240","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,23,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Alexander Baumjohann","Baumjohann","https://s.glbimg.com/es/sde/f/2017/07/05/edd3698b18e3e992ba2ea5c7f544ff56_FORMATO.png",71389,23,"COR","mei","Contundido",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,23,"COR","mei","Provável",2.3,5.21,-1.09,2.41,15,"Coritiba",NA,2,NA,21,3,5,8,1,NA,1,35,28,NA,NA,NA,NA,NA,NA
"243","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,23,"FLA","mei","Contundido",0,4.25,0,0.94,5,"Flamengo",NA,NA,NA,5,1,1,9,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA
"244","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,23,"COR","mei","Nulo",3.9,5.1,0.47,1.52,12,"Coritiba",2,2,NA,13,5,2,7,1,NA,2,30,9,NA,NA,NA,NA,NA,NA
"245","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,23,"COR","mei","Nulo",-0.3,4.85,-0.31,1.12,6,"Corinthians",1,1,NA,2,NA,1,2,NA,NA,1,11,4,NA,NA,NA,NA,NA,NA
"246","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,23,"VAS","ata","Contundido",0,5.03,0,1.72,5,"Vasco",NA,NA,NA,3,3,NA,8,NA,NA,2,9,4,NA,NA,NA,NA,NA,NA
"247","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,23,"ATL","gol","Nulo",0,4.47,0,-1.3,1,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA
"248","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2017/08/22/3523b9a002ea6c053d1937f2066c6f33_FORMATO.jpeg",73421,23,"FLA","zag","Nulo",0.9,7.52,-1.21,3.82,12,"Flamengo",NA,NA,NA,5,5,4,4,NA,NA,NA,34,14,NA,5,NA,NA,NA,NA
"249","Francinilson Santos Meireles","Maranhão","https://s.glbimg.com/es/sde/f/2017/07/27/674c08b12227dcc659885899cb5ee647_FORMATO.png",73513,23,"PON","ata","Nulo",-0.9,1.58,-0.18,0.35,9,"Ponte Preta",NA,NA,NA,3,NA,4,7,NA,NA,1,15,2,NA,NA,NA,NA,NA,NA
"250","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,23,"COR","mei","Nulo",0,8.65,0,2.76,14,"Corinthians",3,3,NA,10,4,5,18,NA,2,1,31,7,NA,NA,NA,NA,NA,NA
"251","Getterson Alves dos Santos","Getterson","https://s.glbimg.com/es/sde/f/2017/05/12/c2b9040eda92184c6453ef41ede377fd_FORMATO.png",73340,23,"COR","ata","Dúvida",3.1,1.16,0.38,0.57,4,"Coritiba",NA,1,NA,5,NA,NA,3,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA
"252","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png",73446,23,"ATL","ata","Dúvida",0.7,4.1,-0.76,2.42,12,"Atlético-PR",1,NA,NA,5,8,10,7,NA,1,6,18,5,NA,NA,NA,NA,NA,NA
"253","Samuel Xavier Brito","Samuel Xavier","https://s.glbimg.com/es/sde/f/2017/08/30/12b3e91f20258ba99fe8f4ed727b0460_FORMATO.png",73384,23,"SPO","lat","Nulo",-0.1,4.14,-0.6,3.22,18,"Sport",NA,3,NA,17,4,1,26,NA,NA,1,68,24,NA,7,NA,NA,NA,NA
"254","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/24/60215745abe8839e6e6df43fbe447e2c_FORMATO.png",73515,23,"FLA","ata","Nulo",0,3.51,0,-2,1,"Flamengo",NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Wallace Reis da Silva","Wallace Reis ","https://s.glbimg.com/es/sde/f/2017/07/13/cfd4ab0585b820c82ceaede6f0779b5a_FORMATO.png",68958,23,"VIT","zag","Provável",2.6,8.57,-0.65,5.02,8,"Vitória",NA,3,NA,10,NA,NA,14,1,NA,NA,16,15,NA,4,NA,NA,NA,NA
"256","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2017/08/30/2f2abedd21538d0c8abafce309debab1_FORMATO.png",68950,23,"SPO","zag","Provável",4,8.9,-0.08,4.54,17,"Sport",1,4,NA,20,4,4,32,NA,1,2,46,20,NA,8,NA,NA,NA,NA
"257","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,23,"BAH","gol","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Marcos Vinícius de Jesus Araújo","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2017/07/14/dc2cc428ed447e7b65ffc2a9b54c02e8_FORMATO.png",73721,23,"BOT","mei","Provável",0,5.65,0,3.33,9,"Botafogo",NA,NA,NA,11,3,3,10,1,2,NA,20,7,NA,NA,NA,NA,NA,NA
"259","Lucas David Pratto","Lucas Pratto","https://s.glbimg.com/es/sde/f/2017/02/18/2291ee0103b8af06799aee5ab657b149_FORMATO.png",73649,23,"SAO","ata","Provável",6.8,15.55,0.41,3.77,22,"São Paulo",4,2,1,29,18,31,25,NA,5,4,63,11,1,NA,NA,NA,NA,NA
"260","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2017/09/05/414cc739934721ba0e4da731953eaed8_FORMATO.png",73635,23,"COR","ata","Provável",1.5,8.61,0.19,3.99,20,"Coritiba",2,3,NA,24,5,6,69,NA,4,5,48,17,NA,NA,NA,NA,NA,NA
"261","Wellington Silva Sanches Aguiar","Wellington Nem","https://s.glbimg.com/es/sde/f/2017/02/18/a23f9ff565dd24baa68eeca4461e1b86_FORMATO.png",73619,23,"SAO","ata","Contundido",0,7.13,0,1.52,10,"São Paulo",NA,2,NA,10,1,2,20,NA,1,4,9,5,NA,NA,NA,NA,NA,NA
"262","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,23,"VAS","zag","Nulo",0,1.5,0,0,5,"Vasco",NA,2,NA,7,NA,NA,5,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA
"263","John Lennon Silva Santos","Lennon","https://s.glbimg.com/es/sde/f/2017/05/03/d072e8eaeab8333c007a7cfb0af5aef4_FORMATO.png",73869,23,"CRU","lat","Nulo",0,4.03,0,0.53,3,"Cruzeiro",NA,1,NA,4,NA,NA,1,NA,NA,NA,11,2,NA,1,NA,NA,NA,NA
"264","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/08/31/6340e77cb18143e838ae03747e59b459_FORMATO.png",73540,23,"SPO","ata","Nulo",1.9,6.35,0.01,2.21,13,"Sport",1,NA,NA,5,5,4,24,NA,1,NA,34,5,NA,NA,NA,NA,NA,NA
"265","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,23,"SAO","zag","Provável",-2.1,8.58,-0.76,2.56,18,"São Paulo",NA,7,NA,11,1,6,11,1,NA,1,36,28,NA,3,NA,NA,NA,NA
"266","Bruno Fabiano Alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2017/08/23/21ca677e7d6a57d1dfb2b66e74d782f4_FORMATO.png",73620,23,"SAO","zag","Nulo",10.3,6.96,2.96,10.3,1,"São Paulo",NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA
"267","Héctor Canteros","Canteros","https://s.glbimg.com/es/sde/f/2017/08/26/8b500e8c0826bd7c342137f3449ddb7d_FORMATO.png",73918,23,"CHA","mei","Provável",6.3,5.48,1.64,3,2,"Chapecoense",1,1,NA,2,NA,NA,1,NA,NA,NA,11,4,NA,NA,NA,NA,NA,NA
"268","Geuvânio Santos Silva","Geuvânio","https://s.glbimg.com/es/sde/f/2017/08/19/6ed768c25192e0409297a3bc10cc1eca_FORMATO.png",73896,23,"FLA","ata","Nulo",1.2,8.99,-0.24,1.9,8,"Flamengo",NA,1,NA,6,3,1,16,NA,NA,3,12,8,NA,NA,NA,NA,NA,NA
"269","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,23,"VIT","zag","Nulo",0,3.27,0,1.97,10,"Vitória",NA,3,NA,16,1,1,7,NA,NA,NA,17,8,NA,4,NA,NA,NA,NA
"270","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,23,"SAN","mei","Nulo",8.3,6.1,0.82,3.45,14,"Santos",NA,1,NA,13,NA,1,16,NA,1,NA,19,27,NA,NA,NA,NA,NA,NA
"271","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2017/04/24/60830998fb2fc54f511a8d2b5c3a6f25_FORMATO.png",73991,23,"COR","zag","Nulo",2.6,4.87,-0.16,2.74,9,"Coritiba",NA,NA,NA,5,1,1,1,NA,NA,1,19,16,NA,2,NA,NA,NA,1
"272","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,23,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Michael Antonio Arroyo Mina","Arroyo","https://s.glbimg.com/es/sde/f/2017/07/24/c4c6af5bdd03f02c1d29ada3f5d33e39_FORMATO.png",74134,23,"GRE","ata","Dúvida",0.5,3.76,-0.67,0,2,"Grêmio",NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"274","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2017/08/22/3d68a6ab1db666a905e96248e4bcd4d9_FORMATO.jpeg",73992,23,"FLA","lat","Provável",-1.3,8.85,-1.27,4.13,13,"Flamengo",3,2,1,21,2,2,10,NA,1,1,27,12,NA,6,NA,NA,NA,NA
"275","Guilherme Costa Machado Silveira","Guilherme Costa","https://s.glbimg.com/es/sde/f/2017/04/06/ea33443d8c666f61b78424b726238c89_FORMATO.png",74081,23,"VAS","mei","Nulo",0,5.04,0,2.54,7,"Vasco",2,1,NA,4,NA,1,7,NA,1,NA,7,1,NA,NA,NA,NA,NA,NA
"276","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2017/04/24/470fd6292588f4385e9c32a3aeef091c_FORMATO.png",74060,23,"CHA","mei","Nulo",0,8.08,0,1.92,19,"Chapecoense",1,3,NA,17,10,4,8,2,2,1,34,10,NA,NA,NA,NA,NA,NA
"277","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/07/28/8fb3bca6fb3b7df0b863748403f1b763_FORMATO.png",74271,23,"BAH","ata","Nulo",1.1,8.6,-0.92,2.6,11,"Bahia",NA,NA,NA,14,6,2,18,1,2,1,22,4,NA,NA,NA,NA,NA,NA
"278","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,23,"PAL","mei","Provável",2.3,13.48,-0.34,5.22,15,"Palmeiras",3,3,NA,23,8,8,26,NA,5,3,55,19,NA,NA,NA,NA,NA,NA
"279","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,23,"CRU","mei","Contundido",0,4.99,0,2.78,13,"Cruzeiro",NA,NA,NA,3,6,8,21,1,1,2,23,7,NA,NA,NA,NA,NA,NA
"280","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,23,"BOT","gol","Dúvida",10.1,21.57,2.05,6.42,16,"Botafogo",NA,1,NA,NA,NA,NA,3,NA,NA,NA,10,NA,NA,7,28,17,3,NA
"281","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,23,"PON","zag","Nulo",0,6,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,23,"AVA","lat","Provável",7.1,9.38,-0.06,3.58,22,"Avaí",2,1,1,29,4,8,19,NA,NA,2,96,30,NA,10,NA,NA,NA,NA
"283","Rodrigo da Rosa Milanez","Rodrigo Milanez","https://s.glbimg.com/es/sde/f/2017/08/22/68eb2d451977c45881e0bf3f6820894c_FORMATO.png",77555,23,"ATL","zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,23,"SPO","mei","Nulo",0,6.71,0,2.8,8,"Sport",NA,1,NA,10,1,2,15,NA,1,1,11,9,NA,NA,NA,NA,NA,NA
"285","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,23,"ATL","gol","Provável",-2.3,4.07,-1.53,3.48,20,"Atlético-PR",NA,1,NA,NA,NA,NA,5,NA,NA,NA,19,1,NA,7,28,23,NA,NA
"286","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/08/16/aec506211b5663eb0569825b5aee6db6_FORMATO.jpeg",75295,23,"FLA","ata","Provável",-1.3,11.01,-1.14,4.31,15,"Flamengo",2,3,NA,53,13,17,37,NA,5,11,37,12,NA,NA,NA,NA,NA,NA
"287","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,23,"COR","gol","Nulo",0,3.48,0,-2,1,"Coritiba",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,23,"SAN","ata","Contundido",-0.6,6.29,-1.85,3.06,18,"Santos",1,3,NA,24,7,13,21,NA,5,8,61,14,NA,NA,NA,NA,NA,NA
"289","Nadson da Silva Almeida","Nadson","https://s.glbimg.com/es/sde/f/2017/04/25/9c0263cf980f89da4cca8b6bc120585f_FORMATO.png",80140,23,"CHA","mei","Contundido",0,0.76,0,-0.07,3,"Chapecoense",NA,NA,NA,1,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"290","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/08/30/e9a35f97b25633d955a04d16691d85de_FORMATO.png",77967,23,"SPO","lat","Provável",4.5,6.15,0.8,5.7,11,"Sport",4,4,1,21,1,1,11,NA,1,3,28,24,NA,4,NA,NA,NA,NA
"291","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,23,"VAS","lat","Provável",4.4,3.95,0.31,2.68,6,"Vasco",NA,1,NA,5,NA,2,11,NA,NA,1,14,2,NA,3,NA,NA,NA,NA
"292","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,23,"SAN","zag","Contundido",6.2,6,0.3,5.7,2,"Santos",NA,NA,NA,4,2,1,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA
"293","Marcos de Paula Dutra","Marcos","https://s.glbimg.com/es/sde/f/2017/04/27/f3d654b20ab83c212a2a18dab411b2e0_FORMATO.png",78495,23,"ATL","gol","Provável",1,1.4,-1.72,6.75,2,"Atlético-GO",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA
