"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","PP","SG","DD","GS","DP","GC"
"19","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,23,"COR","mei","Nulo",0,3.6,0,-0.68,4,"Coritiba",NA,1,NA,2,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"20","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,23,"VAS","ata","Contundido",0,11.82,0,5.19,11,"Vasco",2,5,NA,22,6,17,22,NA,5,6,15,4,NA,NA,NA,NA,NA,NA
"21","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,23,"PON","gol","Provável",-4.6,10.66,-0.73,3.74,22,"Ponte Preta",NA,2,NA,NA,NA,NA,3,NA,NA,NA,10,1,NA,9,33,29,NA,NA
"22","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,23,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,1,NA,2,NA,1,2,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA
"23","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,23,"GRE","gol","Provável",1,7.55,-1.19,1.37,15,"Grêmio",NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,7,6,12,NA,NA
"24","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,23,"SAO","zag","Nulo",0,3.05,0,0.25,7,"São Paulo",NA,5,NA,11,1,3,2,NA,NA,NA,12,4,NA,2,NA,NA,NA,NA
"25","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,23,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,23,"SAO","mei","Nulo",0,6.88,0,2.3,5,"São Paulo",NA,NA,NA,1,3,1,7,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"27","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,23,"PON","mei","Nulo",0,4.3,0,1.37,12,"Ponte Preta",1,3,NA,9,NA,5,11,NA,NA,1,6,9,NA,NA,NA,NA,NA,NA
"28","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,23,"COR","mei","Contundido",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,23,"COR","ata","Provável",-1.1,11.88,-0.26,4.15,21,"Corinthians",2,2,NA,40,15,11,24,NA,11,25,52,6,1,NA,NA,NA,NA,NA
"30","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,23,"SPO","zag","Provável",0,6.81,0,2.97,14,"Sport",1,1,NA,11,4,NA,9,NA,NA,1,20,13,NA,4,NA,NA,NA,NA
"31","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,23,"BOT","gol","Dúvida",0,9.57,0,7.78,6,"Botafogo",NA,2,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,2,15,5,1,NA
"32","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,23,"PAL","gol","Provável",11.4,15.77,2.63,3.87,19,"Palmeiras",NA,1,NA,NA,NA,NA,3,NA,NA,NA,6,1,NA,4,31,23,1,NA
"33","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,23,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,23,"AVA","mei","Nulo",0,2.72,0,0.61,10,"Avaí",NA,NA,1,4,4,3,10,NA,1,NA,37,3,NA,NA,NA,NA,NA,NA
"35","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,23,"GRE","mei","Contundido",0,7.26,0,1,11,"Grêmio",NA,3,NA,11,1,3,10,NA,NA,NA,20,12,NA,NA,NA,NA,NA,NA
"36","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,23,"ATL","lat","Provável",6.3,4.56,1.15,3.15,19,"Atlético-MG",NA,6,NA,27,2,5,38,NA,3,2,66,22,NA,4,NA,NA,NA,NA
"37","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,23,"ATL","ata","Provável",-5.9,12.85,-1.01,2.57,15,"Atlético-MG",1,4,NA,26,4,9,29,1,5,10,29,4,2,NA,NA,NA,NA,NA
"38","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,23,"ATL","ata","Nulo",-0.3,11.72,-0.09,1.34,18,"Atlético-MG",2,4,NA,13,3,7,15,NA,1,13,40,16,1,NA,NA,NA,NA,NA
