"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","PE","RB","FD","FF","I","SG","A","DD","GS","G","PP","FT","DP","CV","GC"
"197","Luan Madson Gedeão De Paiva","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_FORMATO.png",63219,9,"ATL","ata","Nulo",1.4,6.46,-0.07,1.55,2,"Atlético-MG",NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2017/04/24/6cdeb7e2779c671c69473bc599c9eab2_FORMATO.png",68725,9,"CHA","lat","Nulo",0,5.12,0,0.2,2,"Chapecoense",NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,9,"SAN","mei","Nulo",0,1.69,0,-1.3,1,"Santos",NA,NA,NA,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/05/06/c9fe7a8f540f56c7325c5e78f3097d32_FORMATO.png",42222,9,"SPO","ata","Provável",9.7,6.04,1.84,2.96,9,"Sport",2,8,15,29,6,3,3,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"201","Jucilei da Silva","Jucilei","https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png",63422,9,"SAO","mei","Provável",4.7,13.58,0.31,4.75,9,"São Paulo",NA,19,22,26,27,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,9,"BOT","mei","Provável",5.4,13.27,-0.21,7.06,8,"Botafogo",5,13,15,26,15,3,4,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA
"203","Márcio Passos de Albuquerque","Emerson Sheik","https://s.glbimg.com/es/sde/f/2017/06/01/da3106efc7379dcf3c942213ac978f0e_FORMATO.png",68744,9,"PON","ata","Provável",3.4,5.44,0.52,2.32,5,"Ponte Preta",2,5,19,12,2,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"204","Paulo Roberto da Silva","Paulo Roberto","https://s.glbimg.com/es/sde/f/2017/04/20/ab90dca3a15edcb4ef4af21626e0d3a9_FORMATO.png",69047,9,"COR","mei","Provável",0,2.52,0,1.6,4,"Corinthians",NA,NA,2,10,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"205","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2017/05/17/e601d16bd24dd07614db1ad805107a5d_FORMATO.png",63172,9,"VAS","zag","Provável",1.2,4.62,-0.36,1.11,8,"Vasco",1,13,7,16,5,1,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Everton Heleno dos Santos","Everton Heleno","https://s.glbimg.com/es/sde/f/2015/01/27/7c510cce0aa473eba2973d3e92c519d4_FORMATO.jpeg",68749,9,"ATL","mei","Nulo",0,2.14,0,-0.5,1,"Atlético-GO",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2017/03/12/15292d87c87458b6575b789d1e0b3a77_FORMATO.png",68690,9,"SPO","ata","Provável",6.2,9.34,1.25,4.56,8,"Sport",2,21,11,18,6,3,6,7,NA,1,NA,NA,4,NA,NA,NA,NA,NA
"208","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/04/24/9f5565190d6c37e9959d0747a4ef6ea0_FORMATO.png",75295,9,"FLA","ata","Provável",32.1,16.23,7.75,7.48,5,"Flamengo",1,21,13,5,5,5,7,5,NA,1,NA,NA,3,NA,NA,NA,NA,NA
"209","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2017/04/24/95e996eaef78ad7ac0e285e3d6d057e0_FORMATO.png",68773,9,"COR","ata","Provável",0.1,14.09,-0.55,4.38,9,"Coritiba",1,6,18,26,9,6,9,8,NA,NA,NA,NA,2,NA,1,NA,NA,NA
"210","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,9,"AVA","ata","Nulo",0,6.42,0,2.23,3,"Avaí",NA,3,7,12,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"211","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2017/04/24/f3039b70ee89382f40b6b09074e46900_FORMATO.png",68807,9,"COR","ata","Nulo",0,9.78,0,2.28,5,"Coritiba",1,5,3,8,2,NA,2,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"212","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,9,"VAS","zag","Nulo",0,1.67,0,-0.8,2,"Vasco",1,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2017/04/23/7bc968863bb32cf46c3aa7067b5514f8_FORMATO.png",68758,9,"GRE","ata","Nulo",13.1,11.87,2.56,7.38,5,"Grêmio",1,6,13,5,5,3,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"214","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2017/04/19/9bf8902250718281651dc2ae9999d574_FORMATO.png",68770,9,"COR","mei","Nulo",2.9,4.48,0.6,0.76,5,"Corinthians",NA,1,NA,5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Walter Damián Montillo","Montillo","https://s.glbimg.com/es/sde/f/2017/04/18/3f5931a2a9cf694075d8551df0852b31_FORMATO.png",69095,9,"BOT","mei","Dúvida",0.9,4.98,0.03,0.46,5,"Botafogo",NA,1,1,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Rafael de Carvalho Santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2017/05/16/f798488456d6106dffa1290a3ba13758_FORMATO.png",68822,9,"BAH","gol","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Geuvânio Santos Silva","Geuvânio","https://s.glbimg.com/es/sde/f/2016/01/07/d318a3709843f24d8416ba8795694e8e_FORMATO.png",73896,9,"FLA","ata","Nulo",0,12,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2016/05/01/c410c14470ebc6e02ab963212b89a17a_FORMATO.png",68834,9,"SPO","mei","Suspenso",3.5,10.51,-0.17,4.17,8,"Sport",1,14,12,26,19,2,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"219","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,9,"FLU","ata","Contundido",0,10.89,0,2.4,1,"Fluminense",NA,1,4,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,9,"ATL","gol","Nulo",0,0.71,0,-8.3,1,"Atlético-GO",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"221","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,9,"VIT","ata","Nulo",1.8,7.55,-0.93,5.33,3,"Vitória",NA,NA,1,2,1,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"222","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png",68910,9,"SPO","mei","Contundido",0,6.5,0,3.55,4,"Sport",2,12,4,10,14,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2016/04/29/0e6b421a8c0214078fd1f5854cce3874_FORMATO.png",68887,9,"FLU","zag","Contundido",0,7,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2016/05/01/4ca75c7b4c6ef9d48c9ffe43f89b8f78_FORMATO.png",68911,9,"SPO","mei","Provável",7.7,17.13,0.38,5.6,4,"Sport",1,10,13,24,2,2,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"225","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2016/04/29/1ea275be2b3908677e2dc5d61a3c2995_FORMATO.png",68827,9,"FLU","zag","Contundido",0,3.32,0,-1.3,1,"Fluminense",NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png",68808,9,"PON","lat","Provável",11.2,22.09,1.96,6.42,8,"Ponte Preta",3,11,20,41,19,4,2,1,3,1,NA,NA,1,NA,NA,NA,NA,NA
"227","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2017/04/18/054a14cdfbb6abbdb2c8a8a75f0a9ee1_FORMATO.png",68901,9,"BOT","ata","Provável",1.2,6.4,-1.08,2.26,9,"Botafogo",1,17,16,46,10,NA,3,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"228","Eduardo Pereira Rodrigues","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,9,"PAL","ata","Dúvida",4.4,17.51,-1.97,4.37,3,"Palmeiras",NA,NA,16,12,5,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png",68930,9,"VIT","ata","Provável",-4.7,9.03,-2.37,3.73,6,"Vitória",NA,12,16,13,2,2,2,6,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"230","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,9,"SAN","ata","Nulo",0,7,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,9,"CRU","gol","Nulo",0,10,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,9,"PON","zag","Contundido",0,6,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,9,"SAN","mei","Nulo",2,3.75,-0.09,2.1,2,"Santos",NA,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,9,"ATL","zag","Nulo",1.9,9.5,0.4,-0.53,3,"Atlético-MG",1,6,6,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2016/07/08/b5631b95dc105cd68b154bfaa21ecf74_FORMATO.png",68950,9,"SPO","zag","Provável",-1.1,5.9,-0.52,1.57,6,"Sport",2,6,9,15,2,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,9,"SAO","gol","Provável",4.2,10.51,0.88,4.01,9,"São Paulo",1,NA,1,8,NA,NA,NA,NA,4,NA,12,8,NA,NA,NA,NA,NA,NA
"237","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,9,"VIT","zag","Nulo",0,2.15,0,2.05,4,"Vitória",1,8,3,8,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,9,"ATL","ata","Suspenso",-3.9,2.65,-0.95,-1.75,6,"Atlético-PR",3,7,8,21,1,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,9,"COR","mei","Nulo",0,5.57,0,-0.15,2,"Corinthians",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Leandro Damião da Silva dos Santos","Leandro Damião","https://s.glbimg.com/es/sde/f/2017/04/24/521c73a5e5228e27e72fe902667a99d3_FORMATO.png",68953,9,"FLA","ata","Nulo",0,13.22,0,7.54,5,"Flamengo",NA,10,5,4,4,5,8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"241","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,9,"AVA","lat","Nulo",-1,6.16,-1.29,1.35,8,"Avaí",1,11,8,49,11,3,4,1,1,1,NA,NA,NA,NA,NA,NA,1,NA
"242","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,9,"COR","mei","Nulo",10.1,11.25,2.01,5.9,6,"Corinthians",1,4,12,17,3,1,2,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA
"243","Gastón Nicolás Fernández","Gastón Fernández","https://s.glbimg.com/es/sde/f/2017/04/23/a007d48b7e937967df107f0fd412e09a_FORMATO.png",69160,9,"GRE","mei","Nulo",0,4.95,0,1.73,3,"Grêmio",NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"244","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,9,"COR","zag","Provável",6.2,10.72,0.59,3.62,8,"Corinthians",1,6,2,11,3,2,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,9,"COR","gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2017/04/24/43537a69f2836d2da77aebc068eacd46_FORMATO.png",73992,9,"FLA","lat","Provável",-1.1,9.12,-1.25,5.76,5,"Flamengo",1,8,3,7,6,2,1,1,2,1,NA,NA,1,NA,NA,NA,NA,NA
"247","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,9,"SPO","mei","Contundido",0,7.18,0,3.08,5,"Sport",NA,6,9,7,4,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"248","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2017/04/24/60830998fb2fc54f511a8d2b5c3a6f25_FORMATO.png",73991,9,"COR","zag","Nulo",0,5.31,0,2.1,3,"Coritiba",NA,1,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,9,"ATL","mei","Nulo",0,5.74,0,2.49,8,"Atlético-GO",1,13,16,33,12,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"250","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,9,"COR","lat","Nulo",2.2,5.12,-0.88,2.2,1,"Coritiba",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","João Felipe Schimdt Urbano","João Schmidt ","https://s.glbimg.com/es/sde/f/2016/05/01/5214f931543621b3d23666a103f23d6e_FORMATO.png",77777,9,"SAO","mei","Contundido",0,4.13,0,1,3,"São Paulo",NA,2,2,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,9,"COR","mei","Provável",3.3,7.44,0.69,3.48,8,"Coritiba",3,19,17,42,17,7,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"253","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,9,"VAS","gol","Provável",-6,5.5,-2.97,0.39,9,"Vasco",1,NA,NA,5,NA,NA,NA,NA,1,NA,14,20,NA,NA,NA,NA,NA,NA
"254","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,9,"FLA","mei","Nulo",-1.3,5.89,-2.11,-1.3,1,"Flamengo",1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,9,"ATL","mei","Provável",3.7,8.52,0.78,2.79,8,"Atlético-PR",1,6,13,24,6,7,4,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"256","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2017/04/24/470fd6292588f4385e9c32a3aeef091c_FORMATO.png",74060,9,"CHA","mei","Provável",0.2,8.99,-0.27,3.08,9,"Chapecoense",1,11,2,19,5,6,2,1,NA,1,NA,NA,2,NA,1,NA,NA,NA
"257","Moisés Wolschick","Moisés","https://s.glbimg.com/es/sde/f/2017/04/25/59ac946a38de5a26b19ffc56c68885dc_FORMATO.png",82567,9,"CHA","mei","Nulo",0,2.32,0,3.1,1,"Chapecoense",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2017/05/28/e1ec05f6af0ed5e2047bfa90f97426f7_FORMATO.png",82613,9,"VIT","zag","Nulo",0,7.75,0,2.16,5,"Vitória",NA,3,3,4,4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,9,"ATL","gol","Dúvida",0,6,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,9,"BOT","gol","Provável",-1.5,20.16,-1.56,6.51,8,"Botafogo",1,NA,2,3,NA,NA,NA,NA,4,NA,16,7,NA,NA,NA,NA,NA,NA
"261","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,9,"GRE","ata","Provável",1.9,10,-0.52,3.72,5,"Grêmio",2,6,7,6,2,2,NA,5,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"262","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/05/01/b7a4044c003473042da5143f01b9924e_FORMATO.png",77967,9,"SPO","lat","Nulo",0,2.88,0,-6.7,1,"Sport",NA,6,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"263","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,9,"SAN","ata","Provável",15.8,7.15,3.3,1.51,7,"Santos",2,9,5,27,4,2,2,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"264","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,9,"VAS","lat","Nulo",-0.3,3.02,-0.98,-0.3,1,"Vasco",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Wallace Oliveira dos Santos","Wallace Oliveira","https://s.glbimg.com/es/sde/f/2017/04/23/2104c1ca7a642cecb433a89a4f335bfa_FORMATO.png",74075,9,"GRE","lat","Nulo",0,5,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,9,"SAN","lat","Provável",7,11.06,0.29,5.05,7,"Santos",2,6,8,23,5,NA,1,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA
"267","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,9,"COR","mei","Nulo",0,4.25,0,1.4,1,"Corinthians",NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png",78548,9,"SAN","mei","Provável",1.1,3.76,-0.25,2.51,8,"Santos",NA,3,9,22,8,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"269","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,9,"COR","mei","Nulo",1.2,4.82,-0.07,1.05,7,"Coritiba",2,12,5,24,4,5,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"270","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,9,"BOT","lat","Provável",1.7,8.65,-1.24,5.27,8,"Botafogo",1,14,10,20,16,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"271","Marllon Gonçalves Jerônimo Borges","Marllon","https://s.glbimg.com/es/sde/f/2017/05/02/40266a7126e1fd808b4350f90516f3f5_FORMATO.png",70666,9,"PON","zag","Provável",6.8,11.51,0.52,4.31,9,"Ponte Preta",2,6,10,15,12,NA,2,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA
"272","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,9,"FLA","gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Leonardo Artur de Melo","Léo Artur","https://s.glbimg.com/es/sde/f/2017/06/22/815076c3546beb2abb2496060f51deeb_FORMATO.png",82644,9,"PON","mei","Nulo",0,2.57,0.12,0.82,6,"Ponte Preta",NA,7,3,13,1,3,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"274","Paulo Luiz Beraldo Santos","Paulinho","https://s.glbimg.com/es/sde/f/2017/04/24/c8f73d0634bf7a30846535c217610b26_FORMATO.png",78578,9,"VIT","ata","Nulo",0,3.51,0,-0.12,6,"Vitória",3,6,2,22,2,4,5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"275","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,9,"COR","tec","Provável",6.48,11.03,0.95,4.54,9,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/05/14/6f1a3086afde752f257e478b7ddadf03_FORMATO.png",70742,9,"CHA","mei","Provável",3.9,7.21,0.42,3.08,8,"Chapecoense",NA,11,12,24,11,1,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"277","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,9,"CRU","lat","Provável",0,10.91,0,3.71,8,"Cruzeiro",2,9,9,34,16,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2017/04/25/f36c749de572dbbaf8a43b8b71309942_FORMATO.png",78584,9,"AVA","gol","Nulo",0,4,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
