"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","I","PE","RB","A","FD","FF","FT","SG","G","CV","DD","GS","DP","PP","GC"
"188","Ramiro Moschen Benetti","Ramiro","https://s.glbimg.com/es/sde/f/2017/04/23/01565939c1e8813f9c1cc7cf9faeb903_FORMATO.png",78715,16,"GRE","mei","Provável",-0.5,16.17,-1.32,4.77,13,"Grêmio",3,23,22,2,51,16,3,5,8,NA,NA,4,NA,NA,NA,NA,NA,NA
"189","Yuri Jonathan Vitor Coelho","Yuri","https://s.glbimg.com/es/sde/f/2017/05/02/a2f6d215d6098631c571044b74be1d86_FORMATO.png",97769,16,"PON","ata","Nulo",0,1.05,0,0.7,3,"Ponte Preta",NA,5,1,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Reynaldo César Moraes","Reynaldo","https://s.glbimg.com/es/sde/f/2017/05/02/ed60ee32ee81b2f34ec8dc08fc6f4a03_FORMATO.png",97768,16,"PON","zag","Nulo",0,2,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Gabriel Bordinhão Gasparotto","Gabriel Gasparotto","https://s.glbimg.com/es/sde/f/2016/06/28/e51699e690f5560939a50fdbb0077328_FORMATO.jpeg",78839,16,"SAN","gol","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Pedro Henrique de Castro Silva","Pedro Castro","https://s.glbimg.com/es/sde/f/2017/06/09/95ff53b7b15a7d6719bae7807804fc39_FORMATO.png",78840,16,"AVA","mei","Provável",1.8,2.15,0.08,1.04,11,"Avaí",2,10,17,NA,23,5,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Roger Ibañez da Silva","Ibañez","https://s.glbimg.com/es/sde/f/2017/07/25/dbe73f5e26900a53b7d688cdf314c908_FORMATO.png",97803,16,"FLU","zag","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Wytallo Thiago Lima da Silva","Thiaguinho","https://s.glbimg.com/es/sde/f/2017/02/25/8d9b4558215c3206a5e47dd0ff123ca5_FORMATO.png",97771,16,"PON","ata","Nulo",0,2,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Reinaldo Manoel da Silva","Reinaldo","https://s.glbimg.com/es/sde/f/2017/04/25/e786acca731a4a88d0504f8b3802f4d8_FORMATO.png",78850,16,"CHA","lat","Provável",8.2,12.96,1.19,4.09,14,"Chapecoense",2,15,11,1,67,20,1,3,4,NA,3,3,NA,NA,NA,NA,NA,NA
"196","Jhemerson Guimarães Gaigher","Jhemerson","https://s.glbimg.com/es/sde/f/2017/04/01/739e03a0f382a2fe2c4518ea0a20d39e_FORMATO.png",97863,16,"VIT","mei","Nulo",0,3.37,-0.06,0.9,3,"Vitória",NA,NA,1,NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Thiago dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,16,"PAL","mei","Provável",5,6.02,1.06,2.8,9,"Palmeiras",4,28,17,1,19,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Marcos Antônio Almeida Silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2017/04/27/1fdbc57e3b15e752149d530d7425e5d3_FORMATO.png",78856,16,"ATL","mei","Nulo",0,8.4,0,3.63,14,"Atlético-GO",5,26,10,NA,29,44,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Patrick Correia Sales","Patrick Correia","https://s.glbimg.com/es/sde/f/2017/02/14/521d0e8322cc9471f226a14e06549443_FORMATO.png",97877,16,"SPO","ata","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Lucas de Souza Ventura","Nonoca","https://s.glbimg.com/es/sde/f/2017/04/06/4a26ea9ccd869d0076aa6dae12e454c3_FORMATO.png",97856,16,"CRU","mei","Nulo",0,1.93,0,1.1,2,"Cruzeiro",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Marinaldo dos Santos Oliveira","Naldo","https://s.glbimg.com/es/sde/f/2017/05/02/466546b7c0d2a31683ba60341c08ef34_FORMATO.png",78897,16,"PON","mei","Provável",7.2,8.21,0.27,4.84,8,"Ponte Preta",1,12,8,NA,17,22,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"202","Gilberto Moraes Júnior","Gilberto ","https://s.glbimg.com/es/sde/f/2017/07/11/6b5408cf6a95787a4a68b548a6d31752_FORMATO.png",80313,16,"VAS","lat","Provável",10.7,12.64,1.12,5.19,13,"Vasco",3,17,18,1,64,41,1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA
"203","Petros Mateus dos Santos Araújo","Petros","https://s.glbimg.com/es/sde/f/2017/07/26/76e3ac62bea2e73cc7ef41c4584caa71_FORMATO.png",78891,16,"SAO","mei","Provável",6.2,10.05,1.4,3.18,6,"São Paulo",1,12,9,1,10,12,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Jacy Maranhão Oliveira","Jacy","https://s.glbimg.com/es/sde/f/2017/04/23/9434953cbf73327a425e3b46a230bebd_FORMATO.png",97878,16,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Leandro Marcos Pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2017/02/22/377457c54b890731e2cfdb9013dc7397_FORMATO.png",78968,16,"SPO","ata","Nulo",0,5.86,0,2.3,2,"Sport",NA,NA,1,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Matheus Aleksander dos Anjos","Matheus Anjos","https://s.glbimg.com/es/sde/f/2017/04/23/ca02d2a758b721d663027e8f482babc2_FORMATO.png",97879,16,"ATL","mei","Nulo",1.8,1.48,0.69,-0.58,4,"Atlético-PR",1,6,4,NA,18,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Moisés Ribeiro Santos","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,16,"CHA","mei","Nulo",-2,2.74,-0.52,0.38,4,"Chapecoense",2,4,3,NA,5,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Leonardo Natel Vieira","Léo Natel","https://s.glbimg.com/es/sde/f/2017/05/24/2a8d67ff31bfc2ad352d55926c1b6556_FORMATO.png",98952,16,"SAO","ata","Nulo",0,0.92,0,0.5,1,"São Paulo",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Ezequiel Jacinto de Biasi","Ezequiel ","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_FORMATO.png",80318,16,"CRU","lat","Nulo",0,4.91,0,2.35,7,"Cruzeiro",3,14,6,NA,13,11,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"210","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2017/04/24/95e996eaef78ad7ac0e285e3d6d057e0_FORMATO.png",68773,16,"COR","ata","Provável",8.8,15.74,1.58,4.38,16,"Coritiba",2,20,28,13,38,14,1,10,13,1,NA,5,NA,NA,NA,NA,1,NA
"211","João Paulo Ferreira Lourenço","Lourenço","https://s.glbimg.com/es/sde/f/2017/06/18/cf178cdbd6bb2ee507ce289881e464b7_FORMATO.png",99032,16,"AVA","ata","Nulo",0,0.79,0,-0.22,6,"Avaí",2,4,5,1,7,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_FORMATO.png",80363,16,"CRU","mei","Nulo",0,6.56,0,2.16,12,"Cruzeiro",3,14,23,NA,46,21,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Michael Vinicius Silva de Morais","Michael","https://s.glbimg.com/es/sde/f/2017/05/04/c43b96f2a0e0c8a8006defaedc1db2ee_FORMATO.png",80537,16,"FLU","ata","Nulo",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Wanderson Carvalho de Oliveira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/27/a7b0a15537c943f557f8fb73d8a9171b_FORMATO.png",80373,16,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Joao Victor Inacio Araujo","João Victor","https://s.glbimg.com/es/sde/f/2017/05/01/b47bd0865c30b6854b673c7e94778083_FORMATO.png",99033,16,"SPO","mei","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Riuler de Oliveira Faustino","Riuler","https://s.glbimg.com/es/sde/f/2017/04/23/f9a0f4d378841844615990bf95a39da9_FORMATO.png",99021,16,"ATL","lat","Nulo",0,2,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Arthur Caíke do Nascimento Cruz","Arthur ","https://s.glbimg.com/es/sde/f/2017/04/24/56939ae4c18f332e1a3bb20305de4f33_FORMATO.png",80337,16,"CHA","ata","Provável",8.5,12.11,1.52,5.65,15,"Chapecoense",3,25,33,5,35,15,4,9,14,1,NA,4,NA,NA,NA,NA,NA,NA
"218","Pedro Vitor Ferreira Da Silva ","Pedro Vitor","https://s.glbimg.com/es/sde/f/2017/05/01/3b883aa630ed340edfef1e032cfb61b2_FORMATO.png",99035,16,"SPO","ata","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Claudinei dos Santos Oliveira","Claudinei Oliveira","https://s.glbimg.com/es/sde/f/2017/04/28/1e4e67f7f6051b298a7679a0b9d1d0c8_FORMATO.png",84761,16,"AVA","tec","Provável",5.07,7.78,0.28,3.29,16,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Elias Lira Nogueira Junior ","Elias","https://s.glbimg.com/es/sde/f/2017/05/01/3d6d8284db8a576d760fba42eb79eac4_FORMATO.png",99034,16,"SPO","lat","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2017/02/18/786ddd89646415ee6d7df1c5e319039b_FORMATO.png",80370,16,"BAH","mei","Nulo",0,14.09,0,3.7,5,"Bahia",NA,1,5,1,11,5,1,1,4,NA,NA,1,1,NA,NA,NA,NA,NA
"222","Luan Garcia Teixeira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,16,"PAL","zag","Provável",8.1,7.77,1.59,4.11,7,"Palmeiras",1,9,6,NA,7,10,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"223","Dayvid Alexsander da Silva","Dayvid",NA,99254,16,"SPO","lat","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Pedro Tonon Geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2017/04/23/e509769d9e394ef42a8681bfdacc8283_FORMATO.png",80853,16,"GRE","zag","Provável",5.2,13.92,0.26,6.9,12,"Grêmio",2,7,7,NA,31,27,2,3,3,NA,7,NA,NA,NA,NA,NA,NA,NA
"225","Paulo Henrique Sampaio Filho ","Paulinho","https://s.glbimg.com/es/sde/f/2017/06/24/18da9125dae9ec8d70c0a0048a743a6b_FORMATO.png",99818,16,"VAS","ata","Provável",19.4,6.38,4.18,9.03,3,"Vasco",NA,NA,5,NA,5,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"226","Pedro Gomes Bortoluzo","Pedro Bortoluzo",NA,99041,16,"SAO","ata","Nulo",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Alesandro dos Santos Pereira","Alesandro",NA,99256,16,"SPO","zag","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,16,"PAL","lat","Provável",4,7.53,-0.04,3.61,12,"Palmeiras",1,20,7,3,20,18,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA
"229","Luan Peres Petroni","Luan Peres ","https://s.glbimg.com/es/sde/f/2017/06/01/3543e150d67d69e4fd1bd3112e7533b6_FORMATO.png",84847,16,"PON","zag","Nulo",0,2.16,0,1.75,2,"Ponte Preta",1,1,1,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"230","Pedro Henryque Pereira dos Santos","Pedro Henryque",NA,99255,16,"SPO","zag","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Lucas Rafael Araujo Lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2017/05/02/acb1d4777b6e76d3ca67054da81d0c42_FORMATO.png",80583,16,"SAN","mei","Provável",8.3,5.18,0.14,2.5,10,"Santos",4,19,24,NA,40,11,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Matheus Bezerra Santos","Matheus Bezerra",NA,99258,16,"SPO","mei","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Vitor Prada Macaneiro","Vitor Prada","https://s.glbimg.com/es/sde/f/2015/07/22/038dbc80052b6760a2b49d76733db416_FORMATO.jpeg",81094,16,"AVA","gol","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","João Erick Marques da Silva","João Erick",NA,99257,16,"SPO","mei","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Johnath Marlone Azevedo da Silva","Marlone","https://s.glbimg.com/es/sde/f/2017/04/25/744a27f04385f2906d5982a7dad3445b_FORMATO.png",80944,16,"ATL","mei","Nulo",-5,5.36,-1.53,1.11,10,"Atlético-MG",2,9,7,4,35,4,NA,3,4,NA,NA,2,NA,NA,NA,NA,NA,NA
"236","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2017/04/24/f3039b70ee89382f40b6b09074e46900_FORMATO.png",68807,16,"COR","ata","Nulo",3.8,10.19,0.36,2.99,10,"Coritiba",1,7,12,4,17,7,2,1,8,NA,NA,1,NA,NA,NA,NA,NA,NA
"237","Junior Henrique Eichelberger","Henrique","https://s.glbimg.com/es/sde/f/2017/04/28/90d179032eaa0e5fa4fc43e292e5e855_FORMATO.png",99283,16,"AVA","zag","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png",68808,16,"PON","lat","Nulo",0,20.92,0,5.25,13,"Ponte Preta",3,16,26,3,64,26,2,5,4,NA,4,1,NA,NA,NA,NA,NA,NA
"239","Lucas de Oliveira Antunes","Lucas Índio","https://s.glbimg.com/es/sde/f/2017/05/04/075e8103fcbe7ba581efc1402208e108_FORMATO.png",99353,16,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","José Vinícius Almeida Soares","Vinícius",NA,99356,16,"SPO","mei","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Guilherme Borges Neves","Borges","https://s.glbimg.com/es/sde/f/2017/04/27/c15909a123793071490b039100f5c1b9_FORMATO.png",99379,16,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Caio Alan Tem Catem Gonçalves","Caio","https://s.glbimg.com/es/sde/f/2017/04/23/49dd974b3c6794d393b7475413060b63_FORMATO.png",99460,16,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,16,"AVA","ata","Provável",7.9,8.59,0.67,5.14,10,"Avaí",NA,10,16,2,26,5,1,5,11,2,NA,3,NA,NA,NA,NA,NA,NA
"244","Alexsander Jhonatta de Oliveira Andrade","Alexsander","https://s.glbimg.com/es/sde/f/2017/04/16/574d33cbfe0200e34a998815c6b4ee99_FORMATO.png",99411,16,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Lucas Vinícius Santos Bernardino","Lucas Vinícius","https://s.glbimg.com/es/sde/f/2017/04/28/2c4070d9c0adf40eb3afffcdd20d640e_FORMATO.png",99388,16,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Éder Gabriel Militão","Éder Militão","https://s.glbimg.com/es/sde/f/2017/05/04/a8a8f4eb8075ba4ad4fde3d5d0d6f996_FORMATO.png",99424,16,"SAO","mei","Nulo",0,2.46,0,1.84,7,"São Paulo",NA,3,8,1,16,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Fernando Peixoto Costanza","Fernando","https://s.glbimg.com/es/sde/f/2017/05/16/0243a49a67c8ced003f53d80efea1bb0_FORMATO.png",99550,16,"BOT","lat","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Wenderson Da Silva Costa Ferreira","Wenderson","https://s.glbimg.com/es/sde/f/2017/05/16/153f0473b0a7b9d9e2bef29d8aceb3ad_FORMATO.png",99474,16,"BOT","mei","Nulo",0,0.76,0,0,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Felipe Souza Moreno Sampaio","Felipe","https://s.glbimg.com/es/sde/f/2017/07/25/3f49904e0abb1cdf2c877cbe1c085db1_FORMATO.png",99425,16,"FLU","ata","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Daniel dos Santos Oliveira","Daniel","https://s.glbimg.com/es/sde/f/2017/04/23/fa258606c3c0cb8010a0e233ab7e3837_FORMATO.png",99461,16,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Diego Terra Loureiro","Diego","https://s.glbimg.com/es/sde/f/2017/04/23/78aa93572e5a8b0ddac649e2e57ce456_FORMATO.png",99430,16,"BOT","gol","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Vinicius José Paixão de Oliveira Junior","Vinicius Junior","https://s.glbimg.com/es/sde/f/2017/05/09/b6109d9eac2b6b6743fbbd18bacc864b_FORMATO.png",99535,16,"FLA","ata","Nulo",-0.1,2.31,-0.11,0.95,11,"Flamengo",1,6,6,2,22,2,1,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"253","Rafael de Carvalho Santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2017/07/04/d4c3bb98996ada75c9612e2a44894691_FORMATO.png",68822,16,"BAH","gol","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Felipe Saraiva","Felipe Saraiva","https://s.glbimg.com/es/sde/f/2017/05/21/53a0fc1ee211dbed99a34d0b836aae49_FORMATO.png",99616,16,"PON","mei","Nulo",0,1.1,0,0.7,4,"Ponte Preta",NA,4,2,NA,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Bruno Cosendey Lobo Pinto","Bruno Cosendey","https://s.glbimg.com/es/sde/f/2017/07/11/f9e52eaee9fb26079589543635af6cff_FORMATO.png",99615,16,"VAS","mei","Nulo",0,2.21,0,1.7,1,"Vasco",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Paulo Vitor Fernandes Pereira","Paulo Vitor","https://s.glbimg.com/es/sde/f/2017/07/11/e81eab0834b731a19ad2d9eb76551b1e_FORMATO.png",99588,16,"VAS","ata","Nulo",0.7,2.1,0.07,2.78,5,"Vasco",NA,5,3,NA,2,3,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"257","Jadson Ailton Oliveira Da Silva Vale","Jadson","https://s.glbimg.com/es/sde/f/2017/06/07/2e7afba6e715b27222707a3f207ad556_FORMATO.jpeg",99629,16,"GRE","ata","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2017/07/25/f6a981f0f20a4b82ddc029c4cb983564_FORMATO.png",68827,16,"FLU","zag","Nulo",0,3.32,0,-1.3,1,"Fluminense",NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Ezequiel Gonzalo Esperon","Esperon","https://s.glbimg.com/es/sde/f/2017/06/07/dfce0445c3144c43e2d3f33bb0dd4131_FORMATO.jpeg",99628,16,"GRE","mei","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Igor Cássio Vieira dos Santos","Igor Cássio",NA,99661,16,"BOT","ata","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Conrado Buchanelli Holz","Conrado","https://s.glbimg.com/es/sde/f/2017/06/07/0367b264f2aa4d386381dc6d9594c5a2_FORMATO.jpeg",99625,16,"GRE","mei","Nulo",0,2.16,0,1.5,1,"Grêmio",NA,1,2,1,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,16,"GRE","gol","Nulo",0,5,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2016/05/01/c410c14470ebc6e02ab963212b89a17a_FORMATO.png",68834,16,"SPO","mei","Suspenso",2.4,11.24,-0.15,4.7,14,"Sport",3,22,17,1,48,35,2,4,11,NA,NA,1,NA,NA,NA,NA,NA,NA
"264","Rodrigo Júnior Paula Silva","Digão","https://s.glbimg.com/es/sde/f/2017/07/20/060a33a5eed30bf74ad45b854beccf5a_FORMATO.png",68886,16,"CRU","zag","Nulo",0,6,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Brenner Souza da Silva","Brenner","https://s.glbimg.com/es/sde/f/2017/06/22/16c3b5336324cdbde96b9074439062d0_FORMATO.png",99789,16,"SAO","ata","Nulo",0,0.86,0,0.2,1,"São Paulo",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Matheus Mascarenhas dos Santos Raimundo","Mascarenhas","https://s.glbimg.com/es/sde/f/2017/07/25/440c5676c1d5aade1bd6ddf33598e814_FORMATO.png",99721,16,"FLU","lat","Nulo",0,4.43,0,4.1,4,"Fluminense",1,5,6,NA,11,4,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA
"267","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,16,"VIT","ata","Nulo",-0.8,7.07,0.29,2.92,9,"Vitória",1,15,9,4,17,4,2,2,5,NA,NA,2,NA,NA,NA,NA,NA,NA
"268","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,16,"ATL","gol","Provável",4,0.83,0.05,-3.1,3,"Atlético-GO",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"269","Arthur Henrique Vieira Araujo","Arthur","https://s.glbimg.com/es/sde/f/2017/06/07/41375a4dab9feeadba77a4537ccb2623_FORMATO.png",99670,16,"CRU","zag","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Erik Nascimento Lima","Erik","https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png",84848,16,"PAL","ata","Provável",1.9,4.2,0.27,2.25,6,"Palmeiras",NA,6,5,1,7,6,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Gleison Bremer Silva Nascimento","Bremer","https://s.glbimg.com/es/sde/f/2017/07/05/3cdbb709a4c4b26a7debd8d34ab4d855_FORMATO.png",99817,16,"ATL","zag","Dúvida",0,1.45,0,0.4,6,"Atlético-MG",3,18,3,NA,9,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
