"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","I","A","FD","G","FT","PP","CV","DD","GS","DP","GC"
"18","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2017/04/24/0ba0314196e998895d5b423d2a0f4fd0_FORMATO.png",94138,15,"FLA","ata","Nulo",0,2.92,0,-0.37,4,"Flamengo",NA,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/01/13/b460246a299a9fb8c1e4a2dd1436cdec_FORMATO.png",94336,15,"FLU","mei","Nulo",0.2,0.78,0.01,-0.8,4,"Fluminense",3,3,NA,2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,15,"COR","mei","Provável",2.3,7.72,-0.86,3.04,15,"Corinthians",NA,9,8,5,53,24,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA
"21","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,15,"BOT","ata","Provável",1.4,4.95,-1.19,2.45,11,"Botafogo",NA,8,3,18,19,3,NA,NA,1,4,1,1,NA,NA,NA,NA,NA,NA
"22","Lourency do Nascimento Rodrigues","Lourency","https://s.glbimg.com/es/sde/f/2017/04/24/31a53361a6013019b911ee81b38648a9_FORMATO.png",94249,15,"CHA","ata","Nulo",-0.8,2.38,-1.57,1.25,6,"Chapecoense",1,7,2,4,5,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"23","Lucas da Silva Rocha","Lucas Rocha","https://s.glbimg.com/es/sde/f/2017/07/11/de8c5e7398d3dece81fa05f35abe0764_FORMATO.png",94119,15,"VAS","zag","Nulo",0,2,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,15,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",NA,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Jonatan David Gomez Ospina","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png",94857,15,"SAO","mei","Provável",-4.4,3.45,-1.61,-0.4,4,"São Paulo",1,9,2,10,18,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"26","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/01/13/f4d7c80ea8f6805a9a0875d3a9256cc5_FORMATO.png",94583,15,"FLU","ata","Dúvida",1.2,4.38,0.43,2.12,6,"Fluminense",1,7,2,8,6,3,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"27","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,15,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
