atletas.nome,atletas.atleta_id,atletas.apelido,atletas.foto,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.jogos_num,athletes.atletas.scout,PE,SG,FC,FS,I,RB,FD,A,G,FF,DD,CA,GS,FT,CV,PP,DP,GC,home_score,away_score,goals_dif,casa,opponent
Marcos do Nascimento Teixeira,87267,Marcão,https://s.glbimg.com/es/sde/f/2017/04/23/02da976e753f03a4a9b22b58e5b274c1_FORMATO.png,3,ATL,zag,Atlético-PR,Nulo,0.0,4.39,0.0,3.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
 João Pedro Heinen Silva,91687,João Pedro,https://s.glbimg.com/es/sde/f/2017/04/23/02f23b9d62abbf4f9ff10ae331bc6724_FORMATO.png,3,ATL,mei,Atlético-PR,Nulo,0.0,1.2,0.0,-0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
José Ivaldo Almeida Silva,91866,Zé Ivaldo,https://s.glbimg.com/es/sde/f/2017/04/23/fbf5dd33aaec3e3709c4449e36790a17_FORMATO.png,3,ATL,zag,Atlético-PR,Nulo,0.0,1.34,0.0,-1.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
Luiz Guilherme da Conceição Silva,38225,Muriqui,https://s.glbimg.com/es/sde/f/2017/04/06/321312e4d04c0676ddf6e5e30503e413_FORMATO.png,3,VAS,ata,Vasco,Nulo,0.4,3.86,-1.14,0.4,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,Casa,Fluminense
Anderson Luiz de Carvalho,38913,Nenê,https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png,3,VAS,mei,Vasco,Nulo,8.7,14.92,-1.14,4.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,Casa,Fluminense
Bruno Vieira Gallo,60802,Bruno Gallo,https://s.glbimg.com/es/sde/f/2017/04/06/68766fe1a4a33ee25c95b972979bf44c_FORMATO.png,3,VAS,mei,Vasco,Nulo,0.0,1.7,0.0,-0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,Casa,Fluminense
Andrés Ramiro Escobar Díaz,71704,Manga Escobar,https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png,3,VAS,ata,Vasco,Nulo,12.2,6.47,3.47,12.2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,Casa,Fluminense
Jomar Herculano Lourenço,73876,Jomar,https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png,3,VAS,zag,Vasco,Nulo,0.0,2.4,0.0,-1.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,Casa,Fluminense
Robson de Souza,38246,Robinho,https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png,3,ATL,ata,Atlético-MG,Provável,11.4,17.4,-0.35,6.25,2,0.0,9.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Casa,Ponte Preta
Carlos Cesar Neves,61211,Carlos Cesar,https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png,3,ATL,lat,Atlético-MG,Contundido,0.0,4.46,0.0,-0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Casa,Ponte Preta
Ralph Machado Dias,96433,Ralph,https://s.glbimg.com/es/sde/f/2017/04/03/31d573bf9a9cb39a1ab39967572631bf_FORMATO.png,3,ATL,mei,Atlético-MG,Nulo,0.0,0.71,0.0,-2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Casa,Ponte Preta
Gilberto Oliveira Souza Júnior,61188,Gilberto,https://s.glbimg.com/es/sde/f/2016/08/18/6af48de27fa231f0a84e3301c9451cb9_FORMATO.png,3,SAO,ata,São Paulo,Nulo,0.0,5.45,0.0,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Palmeiras
Sidney Aparecido Ramos da Silva,70222,Sidão,https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png,3,SAO,gol,São Paulo,Nulo,3.0,6.25,-0.75,3.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Palmeiras
Maicon Pereira Roque,71227,Maicon,https://s.glbimg.com/es/sde/f/2016/05/01/f3000bd2b412a315dad8796d7080a492_FORMATO.png,3,SAO,zag,São Paulo,Provável,4.1,9.45,-1.09,2.5,2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Palmeiras
Lucas Cavalcante Silva Afonso,84554,Lucão,https://s.glbimg.com/es/sde/f/2016/05/01/48f192fdba1691586d6a2bfd42288481_FORMATO.png,3,SAO,zag,São Paulo,Provável,8.0,5.01,2.01,8.0,1,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Palmeiras
Éder Gabriel Militão,99424,Éder Militão,https://s.glbimg.com/es/sde/f/2017/05/04/a8a8f4eb8075ba4ad4fde3d5d0d6f996_FORMATO.png,3,SAO,mei,São Paulo,Nulo,0.0,0.74,0.03,-0.05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Palmeiras
Marcos Antônio da Silva Gonçalves,60788,Marquinhos,https://s.glbimg.com/es/sde/f/2017/05/03/cc800ad5ce3aeb287358e50e4352911b_FORMATO.png,3,SPO,ata,Sport,Nulo,10.0,7.2,2.2,10.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
André Felipe Ribeiro de Souza,68690,André,https://s.glbimg.com/es/sde/f/2017/03/12/15292d87c87458b6575b789d1e0b3a77_FORMATO.png,3,SPO,ata,Sport,Provável,26.3,11.5,8.03,12.6,2,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Anselmo de Moraes,68910,Anselmo,https://s.glbimg.com/es/sde/f/2017/05/26/e2486b66a1a85accfa86242101e11e7c_FORMATO.png,3,SPO,mei,Sport,Provável,3.7,5.38,0.38,3.7,1,0.0,2.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Eugenio Esteban Mena Reveco,77967,Mena,https://s.glbimg.com/es/sde/f/2017/05/01/b7a4044c003473042da5143f01b9924e_FORMATO.png,3,SPO,lat,Sport,Suspenso,-6.7,2.88,-4.12,-6.7,1,0.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Everton Felipe de Oliveira Silva,86519,Everton Felipe,https://s.glbimg.com/es/sde/f/2016/05/01/7c68f11162db883d1bca790a596547c2_FORMATO.png,3,SPO,mei,Sport,Provável,-0.3,4.22,-1.16,0.65,2,0.0,11.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Rodrigo Vasconcelos Oliveira,86935,Rodrigo,https://s.glbimg.com/es/sde/f/2017/05/01/6d2201a3689f5a71696f8b8eacbd9646_FORMATO.png,3,SPO,mei,Sport,Nulo,0.0,4.1,0.0,-0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Igor Ribeiro de Jesus,88667,Igor,https://s.glbimg.com/es/sde/f/2017/05/06/7db6dc50d732262fa33892d6c0f437b5_FORMATO.png,3,SPO,zag,Sport,Nulo,0.0,5.8,0.0,6.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Reinaldo Lenis Montes,93746,Lenis,https://s.glbimg.com/es/sde/f/2016/05/01/9159bcd85db743f56cfb40ade72eba88_FORMATO.png,3,SPO,ata,Sport,Nulo,0.7,2.81,-0.66,0.3,2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Thallyson Gabriel Lobo Seabra,94144,Thallyson,https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png,3,SPO,mei,Sport,Nulo,-0.8,0.74,-0.26,-0.8,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Casa,Grêmio
Nadson da Silva Almeida,80140,Nadson,https://s.glbimg.com/es/sde/f/2017/04/25/9c0263cf980f89da4cca8b6bc120585f_FORMATO.png,3,CHA,mei,Chapecoense,Nulo,0.0,0.85,0.0,-0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Avaí
Rosicley Pereira da Silva,81798,Rossi,https://s.glbimg.com/es/sde/f/2017/04/25/7961da883e6911bba84810f448b878e6_FORMATO.png,3,CHA,ata,Chapecoense,Provável,2.7,8.7,0.2,2.7,3,0.0,9.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Avaí
Osman de Menezes Venâncio Junior,81898,Osman,https://s.glbimg.com/es/sde/f/2017/04/25/f608122b61891f2ab13ba0015367cfb5_FORMATO.png,3,CHA,ata,Chapecoense,Nulo,0.0,2.7,0.0,-0.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Avaí
Nilton Soares Rodrigues,84703,Niltinho,https://s.glbimg.com/es/sde/f/2017/04/25/78ea8726a38adf1146e402c087a71039_FORMATO.png,3,CHA,ata,Chapecoense,Nulo,-1.0,4.12,-1.88,-1.0,1,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Avaí
João Pedro Maturano dos Santos,89273,João Pedro ,https://s.glbimg.com/es/sde/f/2017/04/24/c6945a1446c818fed3c475afef47a6a8_FORMATO.png,3,CHA,lat,Chapecoense,Contundido,0.0,5.87,0.0,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Avaí
Emerson Raymundo Santos,86972,Emerson Santos,https://s.glbimg.com/es/sde/f/2016/05/20/7743ec4420461e770a65425100024972_FORMATO.png,3,BOT,zag,Botafogo,Nulo,0.0,0.71,0.0,-5.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Casa,Bahia
Marcelo da Conceição Benevenuto Malaquias,95638,Marcelo,https://s.glbimg.com/es/sde/f/2017/04/18/bcd7b8ce7931a3995c1ac8aaacd657b5_FORMATO.png,3,BOT,zag,Botafogo,Nulo,6.0,4.08,0.97,2.2,2,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Casa,Bahia
Patric Cabral Lalau,60969,Patric,https://s.glbimg.com/es/sde/f/2017/04/24/89077bf2beda96cfae171fad51c21cd1_FORMATO.png,3,VIT,lat,Vitória,Nulo,0.0,8.63,0.0,3.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Coritiba
Welker Marçal de Almeida,68930,Kieza,https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png,3,VIT,ata,Vitória,Provável,2.7,9.13,-1.87,2.7,1,0.0,3.0,0.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Coritiba
René Ferreira dos Santos,73978,René,https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png,3,VIT,zag,Vitória,Nulo,0.0,1.41,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Coritiba
Jean Paul Jesús Pineda Cortés,97532,Jean Pineda,https://s.glbimg.com/es/sde/f/2017/04/01/c2cf595a92569119a049ee25c8310ba1_FORMATO.png,3,VIT,ata,Vitória,Nulo,-0.1,2.38,-0.94,-0.2,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Coritiba
Renato Dirnei Florêncio,38908,Renato,https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png,3,SAN,mei,Santos,Provável,2.6,7.15,-1.27,1.25,2,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Cruzeiro
Kayke Moreno de Andrade Rodrigues,50402,Kayke,https://s.glbimg.com/es/sde/f/2017/05/02/175b6e25643dfdf97032cd564bc4e5c4_FORMATO.png,3,SAN,ata,Santos,Nulo,-0.3,3.01,-1.38,-0.55,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Cruzeiro
Victor Ferraz Macedo,70046,Victor Ferraz,https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png,3,SAN,lat,Santos,Provável,-4.0,7.38,-3.3,0.05,2,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Cruzeiro
Jean Mota Oliveira de Sousa,78548,Jean Mota,https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png,3,SAN,mei,Santos,Provável,1.1,2.13,0.11,0.13,3,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Cruzeiro
Lucas Rafael Araujo Lima,80583,Lucas Lima,https://s.glbimg.com/es/sde/f/2017/05/02/acb1d4777b6e76d3ca67054da81d0c42_FORMATO.png,3,SAN,mei,Santos,Contundido,0.0,3.64,0.0,-0.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Cruzeiro
Vitor Frezarin Bueno,87552,Vitor Bueno,https://s.glbimg.com/es/sde/f/2016/05/01/6a51ac71a5e8a928c9cf1b71c2db243b_FORMATO.png,3,SAN,mei,Santos,Provável,4.7,11.58,-1.22,3.4,2,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Cruzeiro
Yuri Oliveira Lima,90569,Yuri,https://s.glbimg.com/es/sde/f/2016/07/05/6918c687f15258af809e99a14e04318e_FORMATO.png,3,SAN,mei,Santos,Nulo,0.0,1.34,0.0,-1.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Cruzeiro
Klever Rodrigo Gomes Rufino,68884,Klever,https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png,3,ATL,gol,Atlético-GO,Nulo,0.0,0.71,0.0,-8.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Corinthians
Luiz Fernando Moraes dos Santos,90715,Luiz Fernando ,https://s.glbimg.com/es/sde/f/2017/04/27/50e52c4a6961abbf9a5a1232332cdfd3_FORMATO.png,3,ATL,mei,Atlético-GO,Provável,0.8,2.51,-0.49,0.8,1,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Casa,Corinthians
José Roberto da Silva Júnior,36612,Zé Roberto,https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png,3,PAL,lat,Palmeiras,Nulo,0.0,9.27,0.0,5.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Fora,São Paulo
Eduardo Luís Abonizio de Souza,37657,Edu Dracena,https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png,3,PAL,zag,Palmeiras,Dúvida,0.0,9.55,0.0,5.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Fora,São Paulo
Felipe Melo de Carvalho,38545,Felipe Melo,https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png,3,PAL,mei,Palmeiras,Provável,0.7,9.41,-2.05,1.95,2,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Fora,São Paulo
Jean Raphael Vanderlei Moreira,62047,Jean,https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png,3,PAL,lat,Palmeiras,Provável,-2.4,16.51,-2.73,6.4,2,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,Fora,São Paulo
Eduardo Pereira Rodrigues,68920,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,3,PAL,ata,Palmeiras,Provável,-1.4,19.48,-4.64,4.35,2,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Fora,São Paulo
Alejandro Abraham Guerra Morales,74213,Alejandro Guerra,https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png,3,PAL,mei,Palmeiras,Provável,0.8,13.39,-1.53,5.45,2,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Fora,São Paulo
Mayke Rocha de Oliveira,81150,Mayke,https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png,3,PAL,lat,Palmeiras,Provável,0.5,5.39,-1.61,0.5,1,0.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Fora,São Paulo
