atletas.nome,atletas.atleta_id,atletas.apelido,atletas.foto,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.jogos_num,athletes.atletas.scout,PE,SG,FC,FS,I,RB,FD,A,G,FF,DD,CA,GS,FT,CV,PP,DP,GC,home_score,away_score,goals_dif,casa,opponent
Rafael Marques Pinto,37623,Rafael Marques,https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png,2,VAS,zag,Vasco,Provável,-1.2,2.12,-1.98,-1.2,2,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,Casa,Bahia
Maicosuel Reginaldo de Matos,37851,Maicosuel,https://s.glbimg.com/es/sde/f/2017/04/03/984fa9bc6c38013fa5fedb2714311ad7_FORMATO.png,2,ATL,mei,São Paulo,Nulo,1.7,6.25,-0.61,1.7,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Avaí
Roberto Junior Fernández Torres,74061,Gatito Fernández,https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png,2,BOT,gol,Botafogo,Provável,11.0,19.92,3.65,11.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Casa,Ponte Preta
Ricardo César Dantas da Silva,79334,Ricardo Silva,https://s.glbimg.com/es/sde/f/2017/04/27/e409f5c1c4551cf8457b204abc422a73_FORMATO.png,2,ATL,zag,Atlético-GO,Provável,0.8,3.58,-0.52,0.8,2,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Casa,Flamengo
Orlando Enrique Berrío Meléndez,85300,Berrío ,https://s.glbimg.com/es/sde/f/2017/04/24/7b390ea7b4f8d9ae25e9e72d40cf4d97_FORMATO.png,2,FLA,ata,Flamengo,Contundido,0.0,4.95,0.0,0.0,1,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Fora,Atlético-GO
Luis Oscar González,71479,Lucho González,https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png,3,ATL,mei,Atlético-PR,Provável,-1.1,8.55,-3.45,-1.1,1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
Éderson Alves Ribeiro Silva,73446,Éderson,https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png,3,ATL,ata,Atlético-PR,Nulo,2.1,3.71,-0.29,2.1,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
Eduardo Henrique da Silva,78994,Eduardo Henrique,https://s.glbimg.com/es/sde/f/2017/05/10/45db49dd3d8dceb223dc6d2afdf72801_FORMATO.png,3,ATL,mei,Atlético-PR,Nulo,0.0,2.62,0.0,-0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
Cleberson Martins de Souza,80281,Cleberson,https://s.glbimg.com/es/sde/f/2017/04/23/91e18bf15401259ce1466dbccb56d6ae_FORMATO.png,3,ATL,zag,Atlético-PR,Nulo,0.0,2.69,0.0,-1.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
Bruno da Mota Miranda,86765,Bruno Mota,https://s.glbimg.com/es/sde/f/2015/10/26/aa67c9f3b49a92291155fe8fce73e5a6_FORMATO.png,3,ATL,mei,Atlético-PR,Nulo,0.0,3.4,0.0,1.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Casa,Flamengo
