"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","I","CV","DD","GS","G","PP","DP","GC"
"1","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,27,"FLA","zag","Provável",2.8,6.53,-0.49,4.3,10,"Flamengo",2,3,6,3,5,5,1,14,14,2,NA,NA,NA,NA,NA,NA,NA,NA
"2","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,27,"GRE","lat","Nulo",0,10.11,0,3.49,11,"Grêmio",NA,NA,6,1,3,12,NA,46,8,7,5,NA,NA,NA,NA,NA,NA,NA
"3","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,27,"PAL","mei","Nulo",0,6.6,0,2.27,13,"Palmeiras",2,4,9,3,11,11,NA,39,17,NA,3,NA,NA,NA,NA,NA,NA,NA
"4","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,27,"PON","zag","Nulo",0,9.94,0,4.1,14,"Ponte Preta",NA,3,7,6,7,22,NA,26,14,7,2,1,NA,NA,NA,NA,NA,NA
"5","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,27,"CRU","tec","Nulo",5.98,13.37,0.76,3.87,27,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/29/4202df5f7ffbef81d1801418eed48bc2_FORMATO.png",37608,27,"GRE","mei","Contundido",0,3.64,0,2.4,1,"Grêmio",NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,27,"VAS","zag","Nulo",0,2.08,-0.22,1,13,"Vasco",NA,3,12,1,1,6,1,31,13,1,2,NA,NA,NA,NA,NA,NA,NA
"8","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,27,"SAN","ata","Contundido",0,6.08,0,-0.55,2,"Santos",NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2017/09/26/43d72dfbd2cff9b2ca73b83cd28119e5_FORMATO.png",36940,27,"ATL","tec","Provável",6.09,10.36,1.24,5.35,2,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,27,"PAL","lat","Nulo",0,6.62,0,1.79,13,"Palmeiras",2,1,15,NA,NA,7,NA,14,5,3,NA,NA,NA,NA,NA,NA,NA,NA
