"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","I","CV","DD","GS","G","PP","DP","GC"
"11","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,27,"ATL","zag","Nulo",0,4.3,0,1.93,15,"Atlético-PR",NA,4,13,2,NA,11,1,32,13,4,NA,NA,NA,NA,NA,NA,NA,NA
"12","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,27,"CRU","gol","Nulo",0,12.79,0,4.13,24,"Cruzeiro",NA,NA,1,NA,NA,2,NA,12,NA,10,NA,NA,30,19,NA,NA,NA,NA
"13","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,27,"PAL","zag","Provável",0.1,8.65,-1.05,3.17,16,"Palmeiras",NA,4,19,2,6,20,NA,9,15,6,2,NA,NA,NA,NA,NA,NA,NA
"14","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,27,"AVA","zag","Provável",7,7.95,1.37,2.51,25,"Avaí",NA,7,19,1,2,20,NA,54,16,11,NA,NA,NA,NA,1,NA,NA,NA
"15","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,27,"ATL","lat","Provável",7.3,9.14,1.21,3.72,19,"Atlético-PR",2,3,13,1,2,20,NA,58,22,5,NA,NA,NA,NA,2,NA,NA,NA
"16","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,27,"PAL","mei","Nulo",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,27,"AVA","mei","Nulo",0,4.95,0,1.52,19,"Avaí",2,5,28,4,9,27,1,61,19,NA,3,1,NA,NA,1,NA,NA,NA
"18","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,27,"VAS","mei","Provável",5.4,5.76,0.78,2.13,14,"Vasco",NA,2,17,1,1,15,1,34,15,NA,3,NA,NA,NA,2,NA,NA,NA
"19","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,27,"ATL","ata","Nulo",-1.3,4.52,-0.18,1.23,21,"Atlético-MG",NA,1,38,8,9,22,1,29,4,NA,17,NA,NA,NA,4,1,NA,NA
"20","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,27,"COR","ata","Contundido",0,1.79,0,-0.19,15,"Coritiba",NA,6,24,3,2,19,NA,24,7,NA,4,NA,NA,NA,1,1,NA,NA
"21","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,27,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,27,"CRU","mei","Nulo",5.7,5.41,1.13,1.61,18,"Cruzeiro",NA,4,17,3,4,29,NA,41,25,NA,NA,1,NA,NA,NA,NA,NA,NA
"23","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/09/29/4651e65d3130540afa2b4cb4c1cb5ef4_FORMATO.png",37688,27,"GRE","mei","Nulo",0,4.28,0,-0.81,10,"Grêmio",NA,2,18,NA,3,7,NA,16,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"24","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,27,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,1,2,NA,1,2,NA,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"25","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,27,"CRU","ata","Nulo",10.7,11.43,1.96,2.25,18,"Cruzeiro",1,4,20,9,14,15,NA,38,7,NA,1,1,NA,NA,4,NA,NA,NA
"26","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,27,"COR","mei","Nulo",1.9,3.72,0.12,-0.16,5,"Coritiba",NA,1,5,NA,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,27,"SAO","mei","Nulo",1.7,5.96,0.27,1.91,7,"São Paulo",NA,NA,1,3,1,8,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,27,"GRE","gol","Provável",1,7.81,-1.1,1.86,18,"Grêmio",NA,1,NA,NA,NA,NA,NA,5,NA,8,NA,1,10,14,NA,NA,NA,NA
"29","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,27,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,27,"VAS","ata","Contundido",0,11.82,0,5.19,11,"Vasco",2,5,22,6,17,22,NA,15,4,NA,6,NA,NA,NA,5,NA,NA,NA
"31","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,27,"SAO","zag","Contundido",0,3.05,0,0.25,7,"São Paulo",NA,5,11,1,3,2,NA,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"32","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,27,"ATL","mei","Dúvida",4,5.77,0.1,2.08,6,"Atlético-MG",NA,1,14,NA,NA,10,NA,17,13,NA,1,NA,NA,NA,NA,NA,NA,NA
"33","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,27,"PON","mei","Nulo",0,4.8,0,1.57,14,"Ponte Preta",2,4,12,NA,6,16,NA,9,10,NA,1,NA,NA,NA,NA,NA,NA,NA
"34","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,27,"PON","gol","Nulo",7,12.57,0.44,3.77,25,"Ponte Preta",NA,2,NA,NA,NA,3,NA,10,1,10,NA,NA,38,33,NA,NA,NA,NA
"35","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,27,"BOT","gol","Nulo",0,9.57,0,7.78,6,"Botafogo",NA,2,NA,NA,NA,1,NA,6,NA,2,NA,NA,15,5,NA,NA,1,NA
"36","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,27,"COR","ata","Provável",11.2,14.14,1.9,4.47,24,"Corinthians",2,2,43,16,16,26,NA,54,7,NA,27,NA,NA,NA,13,1,NA,NA
"37","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,27,"SPO","zag","Nulo",0,7.37,0,3.29,15,"Sport",1,1,13,4,NA,10,NA,21,18,4,1,NA,NA,NA,NA,NA,NA,NA
"38","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,27,"AVA","mei","Nulo",-0.3,2.37,0.34,0.26,12,"Avaí",NA,1,5,6,3,11,NA,47,3,NA,NA,1,NA,NA,1,NA,NA,NA
"39","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,27,"GRE","mei","Contundido",0,7.26,0,1,11,"Grêmio",NA,3,11,1,3,10,NA,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,27,"FLA","mei","Nulo",0.8,8.68,0.69,3.11,23,"Flamengo",1,4,31,1,6,33,NA,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,27,"ATL","ata","Suspenso",-0.1,11.94,-2.39,1.86,21,"Atlético-MG",2,6,16,5,8,19,NA,49,18,NA,15,NA,NA,NA,3,1,NA,NA
"42","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,27,"CRU","mei","Nulo",3.7,17.37,0.77,5.03,23,"Cruzeiro",4,3,28,30,12,39,2,90,21,NA,5,NA,NA,NA,6,1,NA,NA
"43","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,27,"CHA","ata","Provável",1,9.29,0.26,1.97,22,"Chapecoense",1,5,27,17,17,24,2,48,5,NA,8,NA,NA,NA,3,NA,NA,NA
"44","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,27,"ATL","ata","Provável",0.7,13.87,-0.08,2.56,19,"Atlético-MG",2,4,31,7,11,38,1,39,5,NA,10,NA,NA,NA,5,2,NA,NA
"45","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,27,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,27,"ATL","lat","Provável",12,5.78,1.37,3.2,23,"Atlético-MG",NA,7,33,2,5,42,NA,87,25,6,2,NA,NA,NA,4,NA,NA,NA
"47","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,27,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,27,"BOT","ata","Contundido",0,10.31,0,5.06,20,"Botafogo",2,3,21,11,19,22,NA,44,11,NA,19,NA,NA,NA,10,1,NA,NA
"49","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,27,"COR","mei","Provável",4.4,9.17,0.86,1.43,21,"Corinthians",2,2,14,3,13,13,NA,111,9,NA,3,NA,NA,NA,4,NA,NA,NA
"50","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,27,"FLU","gol","Provável",3.4,4.24,-1.37,2.62,5,"Fluminense",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,10,8,NA,NA,NA,NA
"51","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,27,"FLA","gol","Provável",7,9.65,0.12,2.63,10,"Flamengo",NA,NA,NA,NA,NA,3,NA,7,NA,2,NA,NA,12,13,NA,NA,1,NA
"52","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,27,"CRU","mei","Nulo",2.8,6.92,-1.53,3.21,18,"Cruzeiro",NA,1,25,5,4,42,1,52,19,NA,1,NA,NA,NA,3,NA,NA,NA
"53","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,27,"ATL","zag","Provável",0.9,8.38,0.03,3.31,18,"Atlético-PR",NA,6,20,2,6,10,NA,35,16,6,1,NA,NA,NA,3,NA,NA,NA
"54","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,27,"GRE","lat","Provável",-0.2,9.04,-0.13,2.26,16,"Grêmio",NA,4,26,4,9,12,NA,46,18,5,1,1,NA,NA,1,1,NA,NA
"55","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,27,"VIT","ata","Nulo",-0.3,3.62,-1.24,1.5,5,"Vitória",NA,NA,2,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"56","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,27,"VIT","mei","Nulo",0,4.98,0,1.63,16,"Vitória",3,4,20,6,10,8,1,49,14,NA,1,NA,NA,NA,NA,NA,NA,NA
"57","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,27,"PAL","mei","Nulo",3.4,7.86,-0.41,2.27,6,"Palmeiras",NA,2,11,1,2,10,NA,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,27,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,27,"COR","mei","Nulo",0,3.35,0,0.13,10,"Coritiba",NA,2,10,3,1,12,NA,25,8,NA,1,1,NA,NA,NA,NA,NA,NA
"60","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,27,"SAN","mei","Nulo",0,6.27,0,1.62,14,"Santos",NA,NA,10,1,1,15,NA,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,27,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/08/24/906d163cca64b5b702fc394e60588644_FORMATO.png",38648,27,"SAO","mei","Provável",-0.1,17.62,-1.25,8.28,11,"São Paulo",1,2,10,9,9,29,NA,47,14,NA,1,NA,NA,NA,7,NA,NA,NA
"63","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,27,"AVA","lat","Nulo",0,5.29,0,-0.5,2,"Avaí",NA,NA,1,NA,1,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"64","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,27,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,27,"BOT","mei","Nulo",0,3.64,0,0.78,11,"Botafogo",NA,3,12,1,NA,10,NA,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,27,"VAS","mei","Provável",6.6,13.45,0.78,3.34,20,"Vasco",3,4,22,12,16,48,NA,84,15,NA,2,NA,NA,NA,3,NA,NA,NA
"67","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,27,"VAS","ata","Nulo",0,2.02,0,-0.15,2,"Vasco",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,27,"FLA","mei","Contundido",0,18.53,0,4.67,19,"Flamengo",2,3,27,9,12,63,NA,80,24,NA,8,NA,NA,NA,5,1,NA,NA
"69","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,27,"SAN","ata","Provável",7.2,11.08,-0.25,3.07,13,"Santos",NA,1,18,7,11,13,1,17,2,NA,8,NA,NA,NA,4,NA,NA,NA
"70","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,27,"CRU","ata","Nulo",-1,3.7,-0.44,1.29,13,"Cruzeiro",NA,NA,5,2,6,11,NA,22,4,NA,1,NA,NA,NA,1,NA,NA,NA
"71","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2017/04/20/ff3f0ec8867916a05745cdee54815442_FORMATO.png",61033,27,"COR","mei","Provável",10.8,15.63,1.37,3.96,22,"Corinthians",4,5,33,19,20,43,2,83,20,NA,2,NA,NA,NA,3,NA,NA,NA
"72","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,27,"VIT","tec","Provável",2.15,9.19,-0.28,3.6,22,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Paulo César Carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2017/10/05/dd2f6056891fcc3e7ed2cfc01432a003_FORMATO.png",39355,27,"BAH","tec","Provável",4.58,9.32,0.41,4.58,1,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/09/05/45c6f808fc644c74001e20c938a4112a_FORMATO.png",40179,27,"COR","ata","Contundido",0,10.74,0,3.35,11,"Coritiba",1,2,30,10,7,31,NA,33,4,NA,7,1,NA,NA,4,NA,NA,NA
"75","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,27,"SAN","tec","Provável",3.17,11.32,0.02,4.3,21,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,27,"FLU","tec","Provável",1.98,11.62,0.01,2.83,25,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,27,"PAL","gol","Provável",7.4,15.77,1.46,4.46,23,"Palmeiras",NA,2,NA,NA,NA,5,NA,9,1,6,NA,NA,40,26,NA,NA,1,NA
"78","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,27,"SAO","tec","Provável",3.68,10.01,-0.44,3.24,19,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2017/08/30/c7dca7402951841de5cd3c5a531e0cee_FORMATO.png",41218,27,"SPO","gol","Provável",2.7,6.14,-0.16,3.04,23,"Sport",NA,NA,NA,NA,NA,1,NA,7,2,7,NA,NA,31,30,NA,NA,NA,NA
"80","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,27,"ATL","zag","Provável",8.7,9.52,0.09,4.79,10,"Atlético-MG",1,NA,9,2,2,7,NA,14,13,3,1,NA,NA,NA,1,NA,NA,NA
"81","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,27,"PAL","ata","Provável",20,10.78,3.33,4.5,20,"Palmeiras",4,4,28,7,8,30,1,32,20,NA,6,1,NA,NA,6,1,NA,NA
