"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","G","PE","RB","I","SG","CV","DD","GS","PP","DP","GC"
"195","Neilton Meira Mestzk","Neilton","https://s.glbimg.com/es/sde/f/2017/06/22/68ef88732dd29a754b0a2fb92136a10c_FORMATO.png",83772,29,"VIT","ata","Provável",13.8,9.93,0.55,5.33,23,"Vitória",6,1,29,11,12,36,1,7,61,21,3,NA,NA,NA,NA,1,NA,NA
"196","Antônio Filipe Gonzaga de Aquino","Feijão","https://s.glbimg.com/es/sde/f/2017/07/28/42cedaedc830335fd6d9306c19f33aa5_FORMATO.png",84313,29,"BAH","mei","Nulo",0,1.41,0,-0.78,5,"Bahia",NA,2,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"197","Clayson Henrique da Silva Vieira","Clayson","https://s.glbimg.com/es/sde/f/2017/05/18/5ec8e0ccfc4a2b49432bdbb44001e999_FORMATO.png",83817,29,"COR","ata","Nulo",0,14.6,-0.27,3.73,22,"Corinthians",3,3,17,5,8,17,NA,6,46,18,4,NA,NA,NA,NA,NA,NA,NA
"198","Júlio César Czarnerski","Júlio César ","https://s.glbimg.com/es/sde/f/2017/08/01/7fd52e821c863a2418597f0e308c8c5d_FORMATO.png",83813,29,"CHA","ata","Nulo",0,2.91,0,1.18,5,"Chapecoense",NA,NA,4,1,2,4,NA,NA,11,4,NA,NA,NA,NA,NA,NA,NA,NA
"199","Emerson Raymundo Santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2016/05/20/7743ec4420461e770a65425100024972_FORMATO.png",86972,29,"BOT","zag","Nulo",0,0.78,0,1.14,5,"Botafogo",NA,2,10,NA,1,4,NA,NA,16,4,NA,3,1,NA,NA,NA,NA,NA
"200","Diego Barbosa Tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2017/05/17/c261da9d51b45bfbc208b291429eb1f8_FORMATO.png",83869,29,"AVA","lat","Nulo",0,5.65,0,2.71,12,"Avaí",NA,1,10,NA,4,13,NA,NA,15,6,1,5,NA,NA,NA,NA,NA,NA
"201","Lucas Daniel Romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_FORMATO.png",84558,29,"CRU","mei","Nulo",0,7.66,0,3.5,21,"Cruzeiro",2,2,25,1,5,22,NA,1,55,43,NA,NA,NA,NA,NA,NA,NA,NA
"202","Denilson Pereira Junior","Denilson","https://s.glbimg.com/es/sde/f/2017/06/09/1733878d67ca979f4e3dabc8e12db8a0_FORMATO.png",84718,29,"SAO","ata","Nulo",0,2.92,0,1.77,13,"São Paulo",1,NA,6,4,5,10,NA,1,25,5,1,NA,NA,NA,NA,NA,NA,NA
"203","Henrique Silva Milagres","Henrique","https://s.glbimg.com/es/sde/f/2017/04/24/98783f94705be5ed728032062068f73c_FORMATO.png",84893,29,"VAS","lat","Nulo",0,8.37,0,3.35,15,"Vasco",2,1,19,3,1,23,NA,NA,38,20,2,3,NA,NA,NA,NA,NA,NA
"204","Danilo Carvalho Barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2017/07/27/d723ec6d814e9da06bc634113e22711d_FORMATO.png",84382,29,"PON","mei","Provável",0.4,4.98,0,1.94,13,"Ponte Preta",2,2,22,7,4,12,1,1,49,11,2,NA,NA,NA,NA,NA,NA,NA
"205","José Romário Silva de Souza","Romarinho","https://s.glbimg.com/es/sde/f/2017/08/26/fb26a91beb9aabe50f87d6ada73eff58_FORMATO.png",84523,29,"FLU","ata","Nulo",0,1.12,0,0.8,2,"Fluminense",NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Hueglo Neris dos Santos","Neris","https://s.glbimg.com/es/sde/f/2017/05/19/d5efc40b12f0c9d9a37828480a468f75_FORMATO.png",83786,29,"SPO","zag","Contundido",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Judson Silva Tavares","Judson","https://s.glbimg.com/es/sde/f/2017/04/28/5423c8443b5f4d0ce027e1d31b9aa3ff_FORMATO.png",84691,29,"AVA","mei","Provável",5.5,4.92,0.35,1.39,25,"Avaí",1,9,55,3,9,19,NA,NA,56,43,NA,NA,NA,NA,NA,NA,NA,NA
"208","Agustín Lionel Allione","Allione","https://s.glbimg.com/es/sde/f/2017/07/28/6812735b40cc133a5014b3d5b57d96c0_FORMATO.png",84585,29,"BAH","mei","Nulo",0,9.25,-0.64,2.33,17,"Bahia",5,3,15,3,1,19,1,NA,51,17,4,NA,NA,NA,NA,NA,NA,NA
"209","Claudinei dos Santos Oliveira","Claudinei Oliveira","https://s.glbimg.com/es/sde/f/2017/04/28/1e4e67f7f6051b298a7679a0b9d1d0c8_FORMATO.png",84761,29,"AVA","tec","Provável",3.6,8.02,0.32,3.16,29,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Patrick Bezerra do Nascimento","Patrick","https://s.glbimg.com/es/sde/f/2017/06/07/0219a437ca7aaad582008a68c498172f_FORMATO.png",83433,29,"SPO","mei","Provável",3.2,10.81,-1.29,5.27,22,"Sport",NA,3,38,4,7,30,NA,3,64,69,NA,NA,1,NA,NA,NA,NA,NA
"211","Yuri Lima Lara","Yuri","https://s.glbimg.com/es/sde/f/2017/07/28/9faecc1eba5c2827c12fafed4ec43a87_FORMATO.png",83263,29,"BAH","mei","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Lucas Cândido Silva","Lucas Cândido","https://s.glbimg.com/es/sde/f/2017/04/03/3ce5d2322ae49cd21e272911d9992c4a_FORMATO.png",84851,29,"ATL","mei","Contundido",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Lucas Otávio Veiga Lopes","Lucas Otávio ","https://s.glbimg.com/es/sde/f/2017/04/28/c9abc289eaace4a40039be6a64b6711d_FORMATO.png",84896,29,"AVA","mei","Nulo",0,2.96,0,0.85,9,"Avaí",NA,NA,2,NA,NA,1,NA,NA,5,6,1,NA,NA,NA,NA,NA,NA,NA
"214","Luan Peres Petroni","Luan Peres ","https://s.glbimg.com/es/sde/f/2017/06/01/3543e150d67d69e4fd1bd3112e7533b6_FORMATO.png",84847,29,"PON","zag","Provável",0,2.23,0,2.49,10,"Ponte Preta",NA,3,4,1,NA,6,NA,NA,16,11,NA,3,NA,NA,NA,NA,NA,NA
"215","Alberto Valentim do Carmo Neto","Alberto Valentim","https://s.glbimg.com/es/sde/f/2017/10/13/eb83ab3bc8ab396e846e058adad3f4f4_FORMATO.png",84863,29,"PAL","tec","Provável",7.04,15.13,0.91,6.42,2,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Erik Nascimento Lima","Erik","https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png",84848,29,"PAL","ata","Nulo",0,3.72,0,2.01,8,"Palmeiras",1,NA,7,1,2,7,NA,NA,9,7,1,NA,NA,NA,NA,NA,NA,NA
"217","Jeferson de Araújo de Carvalho","Jeferson","https://s.glbimg.com/es/sde/f/2017/05/02/771b51917a7ef2187ffea3d1e0fc9277_FORMATO.png",84917,29,"PON","lat","Provável",-2.5,4.98,-0.45,3.31,14,"Ponte Preta",1,4,17,NA,3,7,NA,NA,55,17,NA,8,NA,NA,NA,NA,NA,NA
"218","Elder Santana Conceição","Elder Santana","https://s.glbimg.com/es/sde/f/2017/06/15/1dcf005eb752d162ab97dbe8abe498a8_FORMATO.png",84925,29,"ATL","ata","Nulo",0,1.4,0,1.95,2,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"219","Lucas Henrique Frigeri","Lucas Frigeri","https://s.glbimg.com/es/sde/f/2017/08/31/69342a674d05e1477ff2f22b57ea61ac_FORMATO.png",84854,29,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Marcos Felipe de Freitas Monteiro","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2017/07/25/71f2d737b67ea5f20138c4871f667000_FORMATO.png",85004,29,"FLU","gol","Nulo",0,3,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Ronaldo Henrique Ferreira da Silva","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/2e217ce29ea48d7d573c191fa21e67d5_FORMATO.png",85149,29,"SPO","mei","Nulo",0,3.2,0,2.3,1,"Sport",NA,NA,2,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"222","Robert Gonçalves Santos","Robert ","https://s.glbimg.com/es/sde/f/2017/07/25/226d7cc723b857ba53068c1a96fe941d_FORMATO.png",85121,29,"FLU","mei","Nulo",0,3.15,0,0.95,2,"Fluminense",NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"223","Vinicius Silvestre da Costa","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png",85083,29,"PAL","gol","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Yago Henrique Severino dos Santos","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_FORMATO.png",84926,29,"ATL","mei","Nulo",3.6,2.36,0.62,1.09,18,"Atlético-MG",NA,4,19,5,4,8,NA,1,44,18,NA,NA,NA,NA,NA,NA,NA,NA
"225","Uilson Pedruzzi de Oliveira","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,29,"ATL","gol","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Thalles Lima","Thalles","https://s.glbimg.com/es/sde/f/2017/04/24/3201728e4a68e69b6c3e6fc2f8f5b1e1_FORMATO.png",85211,29,"VAS","ata","Nulo",0,3.84,0,1.46,11,"Vasco",NA,4,13,3,8,12,NA,2,10,2,1,NA,NA,NA,NA,NA,NA,NA
"227","Yerry Fernando Mina González","Yerry Mina","https://s.glbimg.com/es/sde/f/2017/04/18/5d127fbc9c3d26f69de26952da18b809_FORMATO.png",85241,29,"PAL","zag","Nulo",0,14.96,0,4.14,11,"Palmeiras",1,4,19,3,4,10,NA,1,29,17,2,4,NA,NA,NA,NA,NA,NA
"228","Alex da Silva","Alex Silva","https://s.glbimg.com/es/sde/f/2017/05/19/2b09d527bb18b6dca83703fbbe498920_FORMATO.png",84861,29,"ATL","lat","Nulo",0,5.29,0,3.27,12,"Atlético-MG",3,5,24,1,2,19,NA,NA,36,18,1,3,NA,NA,NA,NA,NA,NA
"229","Artur Sérgio Batista de Souza","Artur","https://s.glbimg.com/es/sde/f/2017/05/02/5c01ab099352ecad2baaa0a00f978720_FORMATO.png",85591,29,"PON","lat","Contundido",0,4,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Orlando Enrique Berrío Meléndez","Berrío ","https://s.glbimg.com/es/sde/f/2017/08/16/8f979b78f3df5801a77118cd72b411c6_FORMATO.jpeg",85300,29,"FLA","ata","Dúvida",0.6,3.65,-0.16,0.63,19,"Flamengo",2,5,18,3,3,11,NA,2,44,5,2,NA,NA,NA,NA,NA,NA,NA
"231","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2017/05/31/6bc774b62632d57e756a9e0533fcfd85_FORMATO.png",85423,29,"ATL","mei","Provável",6,8.88,-0.03,3.84,17,"Atlético-MG",1,NA,10,13,13,28,NA,2,49,17,2,NA,NA,NA,NA,NA,NA,NA
"232","Jonas Gomes de Sousa","Jonas","https://s.glbimg.com/es/sde/f/2017/04/24/d4c75e365c9c04af042bf7ff378d60c7_FORMATO.png",85586,29,"COR","mei","Provável",8,8.52,0.97,3.1,22,"Coritiba",NA,7,46,NA,8,20,NA,NA,52,62,NA,NA,NA,NA,NA,NA,NA,NA
"233","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/07/25/a991dde92eec83e89482b3d11115669f_FORMATO.png",85626,29,"FLU","lat","Nulo",0,3.06,0,1.01,18,"Fluminense",1,2,39,2,2,7,NA,1,41,15,3,2,NA,NA,NA,NA,NA,NA
"234","João Paulo Silva Martins","João Paulo","https://s.glbimg.com/es/sde/f/2017/05/02/f85d6ca954388c9c5635f0e28f95b5cf_FORMATO.png",85425,29,"SAN","gol","Nulo",0,2.97,0,10.7,1,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA
"235","Daniel Correa Freitas","Daniel","https://s.glbimg.com/es/sde/f/2017/04/24/5b71e14cce546da5e531c172e54e0ce2_FORMATO.png",85629,29,"COR","mei","Nulo",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Hyoran Kaue Dalmoro","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,29,"PAL","mei","Nulo",0,3.59,0,3.47,3,"Palmeiras",NA,NA,2,1,NA,1,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"237","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,29,"ATL","zag","Provável",2.4,6.01,0.6,3.02,19,"Atlético-PR",NA,2,19,8,2,4,NA,2,31,14,2,6,NA,NA,NA,NA,NA,NA
"238","Breno Gonçalves Lopes","Breno Lopes","https://s.glbimg.com/es/sde/f/2017/05/19/68d8c5dda3ea6323520ddfd58086f176_FORMATO.png",86411,29,"ATL","lat","Nulo",0,3.74,0,2.18,12,"Atlético-GO",NA,NA,14,5,4,7,NA,NA,30,14,6,2,NA,NA,NA,NA,NA,NA
"239","Victor Luis Chuab Zamblauskas","Victor Luis","https://s.glbimg.com/es/sde/f/2017/04/18/9a9a735957f9522e9ffcf1664bd29a44_FORMATO.png",86410,29,"BOT","lat","Provável",1.4,12.04,-0.56,4.36,24,"Botafogo",NA,4,24,NA,7,25,NA,1,50,41,1,9,NA,NA,NA,NA,NA,NA
"240","Miguel Angel Borja Hernandez","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,29,"PAL","ata","Provável",7.1,15.63,0.79,2.18,19,"Palmeiras",NA,3,19,8,17,13,NA,4,21,4,4,NA,NA,NA,NA,NA,NA,NA
"241","Andrew Erik Feitosa","Morato","https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png",86227,29,"SAO","ata","Contundido",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Raul Prata","Raul Prata","https://s.glbimg.com/es/sde/f/2017/05/01/bc801f0b347f5e9b99972901cf4ecefd_FORMATO.png",84855,29,"SPO","lat","Nulo",3.3,5.18,0.3,4.94,11,"Sport",1,1,11,1,5,8,NA,NA,42,27,NA,3,NA,NA,NA,NA,NA,NA
"243","Jandrei Chitolina Carniel","Jandrei","https://s.glbimg.com/es/sde/f/2017/05/04/e34c217d3230604bddf15c133fde3fd2_FORMATO.png",86508,29,"CHA","gol","Provável",-4.3,3.89,-1.51,1.31,28,"Chapecoense",NA,1,NA,NA,NA,10,NA,NA,28,NA,NA,7,NA,28,42,NA,1,NA
"244","Marcos da Silva França","Keno","https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_FORMATO.png",86485,29,"PAL","ata","Provável",17.6,9.62,0.45,3.9,22,"Palmeiras",4,2,20,5,8,19,1,5,46,19,4,NA,NA,NA,NA,NA,NA,NA
"245","Walter Luiz Silva de Araujo","Luizão","https://s.glbimg.com/es/sde/f/2017/06/22/5b6da4a5651cbd0822f33cea7f49be63_FORMATO.png",86724,29,"COR","zag","Nulo",0,0.79,0,-0.52,7,"Coritiba",NA,5,9,1,1,4,NA,NA,8,3,1,1,NA,NA,NA,NA,NA,NA
"246","Danilo das Neves Pinheiro","Tchê Tchê","https://s.glbimg.com/es/sde/f/2016/05/20/2b96e76d6b1e3f8fc29f37d9dfe90206_FORMATO.jpeg",86686,29,"PAL","mei","Provável",0.3,6.58,-0.41,1.48,25,"Palmeiras",2,4,42,6,6,27,NA,NA,60,33,1,NA,1,NA,NA,NA,NA,NA
"247","Everton Felipe de Oliveira Silva","Everton Felipe","https://s.glbimg.com/es/sde/f/2017/08/30/61e2143d4bf6e2d3ed0ce11f995be203_FORMATO.png",86519,29,"SPO","mei","Contundido",0,4.41,0,1.63,18,"Sport",2,2,27,13,7,24,NA,1,102,18,2,NA,NA,NA,NA,NA,NA,NA
"248","Richard Cândido Coelho","Richard","https://s.glbimg.com/es/sde/f/2017/08/19/525a2fd7bb807a508e3f99a5d1285034_FORMATO.png",86711,29,"FLU","mei","Provável",4.8,3.86,-0.25,4.98,5,"Fluminense",NA,NA,7,NA,2,5,NA,NA,9,16,NA,NA,NA,NA,NA,NA,NA,NA
"249","Raphael Guimarães de Paula","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/d75b985086acd9eb03422fe01ce0693f_FORMATO.png",84927,29,"CHA","mei","Nulo",0,4.26,0,1.9,2,"Chapecoense",1,NA,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Matheus Rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2017/04/23/c091af2e156b654e15abd7e687d0aeb2_FORMATO.png",86766,29,"ATL","mei","Nulo",1.2,4.27,0.73,1.01,23,"Atlético-PR",1,5,28,4,2,14,NA,1,44,21,1,NA,NA,NA,NA,NA,NA,NA
"251","Lucas Macanhan Ferreira","Lucas Macanhan","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_FORMATO.png",86760,29,"ATL","gol","Nulo",0,2,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Jonathan Francisco Lemos","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/27/f0005dbb8cf4d46b99cf08acf8949256_FORMATO.png",86713,29,"ATL","lat","Provável",1.9,2.67,-0.1,2.13,16,"Atlético-GO",NA,2,14,3,4,4,NA,NA,40,24,1,3,NA,NA,NA,NA,NA,1
"253","Everton Sousa Soares","Everton","https://s.glbimg.com/es/sde/f/2017/04/23/f8b4218756c0dc59793c36159228a00f_FORMATO.png",86757,29,"GRE","ata","Provável",0.7,9.98,-0.41,3.98,25,"Grêmio",2,1,12,17,14,19,1,5,25,15,1,NA,NA,NA,NA,NA,NA,NA
"254","Lucas Gonçalves Reis Santos","Lucas Rex","https://s.glbimg.com/es/sde/f/2017/08/18/9e40a3e5256626c0192b3adef4243677_FORMATO.jpeg",86745,29,"GRE","zag","Nulo",0,2,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Sidcley Ferreira Pereira","Sidcley","https://s.glbimg.com/es/sde/f/2017/04/23/eff5699ee67d7b1a4f3c4cf923789370_FORMATO.png",86764,29,"ATL","lat","Dúvida",1.3,12.97,0.11,4.91,26,"Atlético-PR",4,2,26,5,5,46,NA,4,80,30,12,8,NA,NA,NA,NA,NA,NA
"256","José Welison da Silva","José Welison","https://s.glbimg.com/es/sde/f/2017/04/24/842ad25f4c670bababfa051fb5fb8ca6_FORMATO.png",86859,29,"VIT","mei","Nulo",0,4,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Henrique Gelain Custódio","Henrique Gelain","https://s.glbimg.com/es/sde/f/2017/04/24/048b1eb6ff970a66fa5eb5087290c03b_FORMATO.png",86783,29,"COR","lat","Contundido",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Luan Guilherme de Jesus Vieira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/458569d2d0c260a004befc5988da9350_FORMATO.png",86759,29,"GRE","ata","Provável",1.7,19.86,-1.01,7.02,16,"Grêmio",6,1,18,15,15,38,NA,5,79,22,3,NA,NA,NA,NA,1,NA,NA
"259","Raniel Santana de Vasconcelos","Raniel","https://s.glbimg.com/es/sde/f/2017/04/06/b362899a01b537ee09468f95d34f40f7_FORMATO.png",86797,29,"CRU","ata","Contundido",0,2.4,0,3.53,11,"Cruzeiro",1,2,6,NA,3,13,NA,2,7,11,1,NA,NA,NA,NA,NA,NA,NA
"260","Luís Vinícius da Silva Matos","Vinicius","https://s.glbimg.com/es/sde/f/2017/02/20/d2acf5df4ac30ffcbc7bd264583d6467_FORMATO.png",86861,29,"VIT","zag","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Jordi Almeida","Jordi","https://s.glbimg.com/es/sde/f/2017/04/17/8a166ba697085a60b3f3b7d74a9c6114_FORMATO.png",86776,29,"VAS","gol","Nulo",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Gabriel Costa França","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/03/2f4037ee6c2ce20e96ff5cb1f6db210f_FORMATO.png",87393,29,"ATL","zag","Provável",-0.3,8.69,-0.33,3.52,19,"Atlético-MG",NA,1,23,2,6,16,NA,1,35,23,1,6,NA,NA,NA,NA,NA,NA
"263","Edson Carlos Santos Lima Junior","Capa","https://s.glbimg.com/es/sde/f/2017/04/28/4a0d17271060eaf419c78016735076ee_FORMATO.png",86874,29,"AVA","lat","Nulo",-0.3,11.49,-0.78,4.37,27,"Avaí",1,5,45,2,10,78,NA,NA,140,57,4,10,NA,NA,NA,NA,NA,1
"264","Luiz Otávio da Silva Santos","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2017/04/25/239f4dc20386b0bc2988aa004f7c02b7_FORMATO.png",86863,29,"CHA","zag","Nulo",0,6.4,0,2.38,10,"Chapecoense",1,2,13,3,4,NA,NA,1,22,10,NA,2,1,NA,NA,NA,NA,NA
"265","Eduardo Gabriel dos Santos Bauermann","Eduardo Bauermann","https://s.glbimg.com/es/sde/f/2017/05/25/590ba3c156c116d43014e1e9b5d4e74f_FORMATO.png",86970,29,"ATL","zag","Nulo",-1.6,2.28,-0.32,1.4,11,"Atlético-GO",NA,NA,7,NA,1,6,NA,NA,9,5,1,2,NA,NA,NA,NA,NA,NA
"266","Lucas de Figueiredo Crispim","Lucas Crispim","https://s.glbimg.com/es/sde/f/2016/05/01/f060208d1a949d93507611b7e4fbd24b_FORMATO.png",88597,29,"SAN","mei","Nulo",0,1.99,0,-0.4,2,"Santos",NA,NA,2,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"267","Rodrigo Vasconcelos Oliveira","Rodrigo","https://s.glbimg.com/es/sde/f/2017/05/01/6d2201a3689f5a71696f8b8eacbd9646_FORMATO.png",86935,29,"SPO","mei","Nulo",0,3.46,0,1.74,7,"Sport",NA,1,8,NA,NA,5,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,NA
"268","Caio César da Silva Silveira","Caio César","https://s.glbimg.com/es/sde/f/2017/04/28/c9789925a7e321c7432e9e22a2b5a2c9_FORMATO.png",86974,29,"AVA","mei","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Matheus Vieira Campos Peixoto","Matheus Peixoto","https://s.glbimg.com/es/sde/f/2017/02/21/9a6be83af417e88aab380c4245ab7655_FORMATO.png",87098,29,"BAH","ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Leonardo Gomes da Conceição Silva","Leonardo","https://s.glbimg.com/es/sde/f/2017/04/23/0cd6a2a3718c7c36858e7d11ad867645_FORMATO.png",86973,29,"GRE","lat","Nulo",0,2.79,0,3.95,4,"Grêmio",NA,NA,6,NA,NA,1,NA,NA,12,7,NA,2,NA,NA,NA,NA,NA,NA
"271","Leonardo Cesar Jardim","Léo","https://s.glbimg.com/es/sde/f/2017/04/23/56c2f46953852255c8d3c1a685ecd757_FORMATO.png",87008,29,"GRE","gol","Nulo",0,4.77,0,2.18,5,"Grêmio",NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,5,7,NA,NA,NA
"272","Eduardo Augusto Baptista Miguel","Eduardo Baptista","https://s.glbimg.com/es/sde/f/2017/09/21/c6a1b3f0f45e2d4b713c17d8fb179f4e_FORMATO.png",87211,29,"PON","tec","Provável",0.6,8.75,-0.3,2.62,13,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Cicero Clebson Alves Santana","Cícero","https://s.glbimg.com/es/sde/f/2017/05/04/4ce602dbb0545123e778ce27a88ca159_FORMATO.png",87158,29,"ATL","mei","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","José Carlos Cracco Neto","Zeca","https://s.glbimg.com/es/sde/f/2016/05/01/b75497cbd7fdf4e7cc56e0a77979a9f7_FORMATO.png",87192,29,"SAN","lat","Provável",0.3,10.19,-0.86,4.09,13,"Santos",1,2,9,2,3,12,1,NA,35,11,NA,7,NA,NA,NA,NA,NA,NA
"275","Pedro Henrique Ribeiro Gonçalves","Pedro Henrique","https://s.glbimg.com/es/sde/f/2017/04/20/3b8a82a4adde6089a76eea746b858971_FORMATO.png",87225,29,"COR","zag","Dúvida",6.3,9.49,0.55,4.68,17,"Corinthians",NA,NA,8,2,4,11,NA,1,23,19,NA,8,NA,NA,NA,NA,NA,NA
"276","Julio Buffarini","Buffarini","https://s.glbimg.com/es/sde/f/2016/08/18/4be0e28d27402ead434d4b7dae9ea797_FORMATO.png",87350,29,"SAO","lat","Nulo",0,7.28,0,2.67,7,"São Paulo",1,NA,10,NA,2,6,NA,NA,20,9,NA,1,NA,NA,NA,NA,NA,NA
