"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","G","PE","RB","I","SG","CV","DD","GS","PP","DP","GC"
"156","Pedro Tonon Geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2017/04/23/e509769d9e394ef42a8681bfdacc8283_FORMATO.png",80853,29,"GRE","zag","Nulo",6.3,13.85,-0.91,6.78,17,"Grêmio",2,4,13,3,5,12,NA,NA,42,41,NA,10,NA,NA,NA,NA,NA,NA
"157","Wanderson Carvalho de Oliveira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/27/a7b0a15537c943f557f8fb73d8a9171b_FORMATO.png",80373,29,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Vitor Prada Macaneiro","Vitor Prada","https://s.glbimg.com/es/sde/f/2015/07/22/038dbc80052b6760a2b49d76733db416_FORMATO.jpeg",81094,29,"AVA","gol","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Ezequiel Jacinto de Biasi","Ezequiel ","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_FORMATO.png",80318,29,"CRU","lat","Provável",-0.1,5.31,-1.29,2.5,16,"Cruzeiro",1,5,24,2,3,14,NA,NA,32,18,NA,5,NA,NA,NA,NA,NA,NA
"160","Thallyson Augusto Tavares Dias","Thallyson","https://s.glbimg.com/es/sde/f/2017/06/07/cd71ce4201f13139db63ac6e182e85a7_FORMATO.png",81219,29,"VIT","lat","Contundido",0,0.96,0,0.87,6,"Vitória",NA,1,5,NA,1,3,NA,NA,20,5,NA,1,NA,NA,NA,NA,NA,NA
"161","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,29,"PAL","lat","Provável",5,7.81,1.2,3.41,20,"Palmeiras",NA,3,36,NA,2,11,NA,1,47,31,3,8,NA,NA,NA,NA,NA,NA
"162","Frickson Rafael  Erazo Vivero","Erazo","https://s.glbimg.com/es/sde/f/2017/04/03/a0b75e2777a8e1b1844e5f2ff9caa182_FORMATO.png",81223,29,"ATL","zag","Nulo",0,3.98,0,0.15,2,"Atlético-MG",NA,1,3,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"163","Luan Garcia Teixeira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,29,"PAL","zag","Nulo",0,5.63,0,2.52,14,"Palmeiras",NA,3,18,1,5,12,NA,NA,14,17,NA,4,1,NA,NA,NA,NA,NA
"164","Clayton Silveira da Silva","Clayton","https://s.glbimg.com/es/sde/f/2017/08/25/b1bd13510c1d64d8d7f7058a48c1acdb_FORMATO.png",81770,29,"ATL","ata","Nulo",0,6.5,0,1.74,8,"Atlético-MG",NA,NA,7,NA,1,1,NA,2,9,2,1,NA,NA,NA,NA,NA,NA,NA
"165","Andrés Lorenzo Ríos","Andrés Ríos","https://s.glbimg.com/es/sde/f/2017/07/11/a3b10554f6896bd025dfd3eaf5f9ce80_FORMATO.png",81684,29,"VAS","ata","Provável",4.6,4.5,0.86,3.28,8,"Vasco",1,1,21,2,6,13,NA,2,16,9,1,NA,1,NA,NA,NA,NA,NA
