"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","PE","RB","SG","I","G","CV","PP","DD","GS","FT","DP"
"197","Samuel Xavier Brito","Samuel Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/02f546c1013f3369de8475d0bf247287_FORMATO.png",73384,8,"SPO","lat","Provável",2,2.11,-0.28,1.55,6,"Sport",NA,1,3,1,NA,5,29,5,2,1,NA,NA,NA,NA,NA,NA,NA
"198","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2017/02/21/d2e83c4ccb4fc13a49eef483160b96a4_FORMATO.png",73281,8,"BAH","mei","Provável",5.5,10.18,-0.33,7.28,6,"Bahia",NA,2,8,2,4,14,15,22,NA,2,1,NA,NA,NA,NA,NA,NA
"199","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2017/04/24/8665d503716b53b97bdd0f56d8ef0f39_FORMATO.png",73421,8,"FLA","zag","Nulo",0,7.79,0,3.52,4,"Flamengo",NA,NA,2,NA,2,1,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"200","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,8,"GRE","tec","Provável",4.22,15.86,-0.18,6.07,8,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/24/60215745abe8839e6e6df43fbe447e2c_FORMATO.png",73515,8,"FLA","ata","Contundido",0,3.51,0,-2,1,"Flamengo",NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Rafael Martins Claro","Rafael Martins","https://s.glbimg.com/es/sde/f/2017/04/24/0e99993b292bb541251f236f7827aeec_FORMATO.png",73336,8,"COR","gol","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png",73446,8,"ATL","ata","Nulo",0,3.46,0,1.33,3,"Atlético-PR",NA,NA,NA,2,3,1,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"204","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,8,"BAH","gol","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,8,"CRU","gol","Nulo",0,10,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Lucas David Pratto","Lucas Pratto","https://s.glbimg.com/es/sde/f/2017/02/18/2291ee0103b8af06799aee5ab657b149_FORMATO.png",73649,8,"SAO","ata","Provável",2.1,16.07,-0.02,5.84,8,"São Paulo",2,NA,11,8,14,5,28,4,NA,1,3,NA,NA,NA,NA,NA,NA
"207","Wellington Silva Sanches Aguiar","Wellington Nem","https://s.glbimg.com/es/sde/f/2017/02/18/a23f9ff565dd24baa68eeca4461e1b86_FORMATO.png",73619,8,"SAO","ata","Provável",0.5,8.25,-0.39,3,4,"São Paulo",NA,NA,1,NA,NA,6,3,2,NA,2,1,NA,NA,NA,NA,NA,NA
"208","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,8,"SAN","ata","Nulo",0,7,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2017/04/24/e5f2da8b1a9007eed27b4e7ae55d64c2_FORMATO.png",73635,8,"COR","ata","Provável",-0.2,6.45,-0.44,2.72,6,"Coritiba",NA,1,7,NA,NA,12,12,7,NA,1,1,NA,NA,NA,NA,NA,NA
"210","Eduardo Pereira Rodrigues","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,8,"PAL","ata","Contundido",0,19.48,0,4.35,2,"Palmeiras",NA,NA,NA,1,NA,12,12,4,NA,3,NA,NA,NA,NA,NA,NA,NA
"211","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/08/31/6340e77cb18143e838ae03747e59b459_FORMATO.png",73540,8,"SPO","ata","Contundido",0,6.02,0,1.12,6,"Sport",NA,NA,1,4,1,9,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Mateus da Silva Vital Assumpção","Mateus Vital","https://s.glbimg.com/es/sde/f/2017/04/24/fde017fc32efb6582710007242bff4d4_FORMATO.png",93108,8,"VAS","mei","Provável",1.4,8.77,0.1,3.73,8,"Vasco",2,1,5,6,3,14,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png",68930,8,"VIT","ata","Nulo",0,11.4,0,5.42,5,"Vitória",NA,NA,11,NA,2,16,9,2,NA,3,3,NA,NA,NA,NA,NA,NA
"214","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,8,"ATL","zag","Provável",-1.4,9.1,-0.32,-1.75,2,"Atlético-MG",NA,1,2,NA,NA,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,8,"SAO","gol","Provável",-1,9.63,-2.36,3.99,8,"São Paulo",NA,1,NA,NA,NA,NA,7,NA,4,NA,NA,NA,NA,10,7,NA,NA
"216","Marcos Vinícius de Jesus Araújo","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2017/06/09/20f2da67134854a8bf8db93d1824d898_FORMATO.png",73721,8,"BOT","mei","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,8,"SAO","zag","Nulo",0,9.84,0,2.85,4,"São Paulo",NA,3,5,NA,NA,2,10,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"218","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,8,"COR","mei","Nulo",0,5.57,0,-0.15,2,"Corinthians",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Everaldo Stum","Everaldo","https://s.glbimg.com/es/sde/f/2017/04/27/85ec84d7e2ba8d7f658cb59fefc7d400_FORMATO.png",78117,8,"ATL","ata","Provável",-0.1,9.91,-3.1,6.15,8,"Atlético-GO",1,NA,12,9,7,13,17,2,NA,1,4,NA,1,NA,NA,1,NA
"220","Thiago Nascimento dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/24/da02549341377bcfce44aee65a275298_FORMATO.png",93151,8,"FLA","ata","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Eriélton Carlos Pacheco","Pachequinho","https://s.glbimg.com/es/sde/f/2016/07/12/20b53e4a4f3eb900bbb4bee06e40526d_FORMATO.png",93153,8,"COR","tec","Provável",3.56,9.65,0.14,4.08,8,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","John Lennon Silva Santos","Lennon","https://s.glbimg.com/es/sde/f/2017/05/03/d072e8eaeab8333c007a7cfb0af5aef4_FORMATO.png",73869,8,"CRU","lat","Nulo",0,5.2,0,2,2,"Cruzeiro",NA,NA,1,NA,NA,1,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"223","Yan Matheus Santos Souza","Yan","https://s.glbimg.com/es/sde/f/2017/05/11/eb94eeb460306451c24553f35509e933_FORMATO.png",93146,8,"PAL","mei","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2016/07/08/b5631b95dc105cd68b154bfaa21ecf74_FORMATO.png",68950,8,"SPO","zag","Provável",1,6.42,-0.67,2.1,5,"Sport",NA,1,5,2,NA,7,13,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"225","Leandro Damião da Silva dos Santos","Leandro Damião","https://s.glbimg.com/es/sde/f/2017/04/24/521c73a5e5228e27e72fe902667a99d3_FORMATO.png",68953,8,"FLA","ata","Nulo",0,13.22,0,7.54,5,"Flamengo",NA,NA,10,5,8,5,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA
"226","Fábio Carvalho Matos","Fábio","https://s.glbimg.com/es/sde/f/2016/05/01/b3866c797355a02c74cb112a4fbaa9a5_FORMATO.png",93282,8,"SPO","mei","Nulo",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,8,"PAL","ata","Suspenso",8.9,6.74,1.88,1.64,8,"Palmeiras",1,3,17,4,1,11,14,8,NA,3,1,NA,1,NA,NA,NA,NA
"228","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,8,"SAN","mei","Dúvida",0,3.84,0,2.2,1,"Santos",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Rodrigo Nascimento França ","Rodrigo Becão","https://s.glbimg.com/es/sde/f/2017/02/21/4cecb2d3b0bd0d5da24fc2c3b6d7b170_FORMATO.png",93369,8,"BAH","zag","Provável",4.3,3.8,0.04,3.6,3,"Bahia",NA,NA,2,1,NA,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"230","Lucas Veríssimo da Silva","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2017/05/02/0198bbb1258bc8a618b6ef67781a60a6_FORMATO.png",93368,8,"SAN","zag","Provável",8,6.48,0.97,3.66,8,"Santos",NA,2,7,1,1,2,15,8,5,NA,NA,NA,NA,NA,NA,NA,NA
"231","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,8,"VAS","zag","Nulo",0,1.67,0,-0.8,2,"Vasco",NA,1,4,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,8,"VIT","zag","Nulo",0,2.15,-0.65,2.05,4,"Vitória",NA,1,8,NA,NA,3,8,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"233","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,8,"ATL","zag","Provável",-0.8,7.46,-0.68,3.13,7,"Atlético-MG",1,NA,7,NA,2,5,11,9,1,1,NA,NA,NA,NA,NA,NA,NA
"234","Guilherme Henrique Silva Nogueira","Guilherme",NA,93490,8,"PON","gol","Nulo",0,2,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Mauro Joel Carli","Joel Carli","https://s.glbimg.com/es/sde/f/2016/05/20/6a298f9b1dd5a88146f9f926e4b91a1b_FORMATO.png",93414,8,"BOT","zag","Provável",3.7,10.5,0.51,3.62,6,"Botafogo",NA,2,10,NA,1,2,18,7,3,1,1,NA,NA,NA,NA,NA,NA
"236","Augusto de Souza Silva","Augusto","https://s.glbimg.com/es/sde/f/2017/04/18/4e94d8b6d0b298c84f952ecfac2c11eb_FORMATO.png",93378,8,"PAL","zag","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Peterson Silvino da Cruz","Peu","https://s.glbimg.com/es/sde/f/2017/06/09/1800983023e7cb2e73bd054ad50e2f05_FORMATO.png",93739,8,"FLU","ata","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Igor Henrique Martins Machado","Igor","https://s.glbimg.com/es/sde/f/2017/04/27/1869f3cf1e00c12ad0d7b7f267efd47e_FORMATO.png",93551,8,"ATL","mei","Contundido",2.9,3.61,-0.15,1.3,7,"Atlético-GO",NA,3,23,4,2,11,18,13,NA,2,NA,NA,NA,NA,NA,NA,NA
"239","Andrey Ramos do Nascimento","Andrey","https://s.glbimg.com/es/sde/f/2017/04/06/f30ccd95961eb8e4131995d63a8fcc34_FORMATO.png",93787,8,"VAS","mei","Nulo",0,1,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Rafael Augusto Leite Fachin","Rafael Fachin","https://s.glbimg.com/es/sde/f/2017/04/24/89058efe339ca56ee7de3d841f4c36f9_FORMATO.png",93846,8,"COR","gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Reinaldo Lenis Montes","Lenis","https://s.glbimg.com/es/sde/f/2016/05/01/9159bcd85db743f56cfb40ade72eba88_FORMATO.png",93746,8,"SPO","ata","Nulo",0,2.81,0,0.3,2,"Sport",NA,NA,2,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Márcio Almeida de Oliveira","Marcinho","https://s.glbimg.com/es/sde/f/2017/04/18/82f4f9a2d122680dcc40e55727214711_FORMATO.png",93797,8,"BOT","lat","Contundido",0,3,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Caio Monteiro Costa","Caio Monteiro","https://s.glbimg.com/es/sde/f/2017/04/06/1be1912d42afdf3054cbab8eb7709907_FORMATO.png",93789,8,"VAS","ata","Nulo",0,0.81,0,0.2,1,"Vasco",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Lucas Oliveira de França","Lucas França","https://s.glbimg.com/es/sde/f/2017/04/22/c63baf2496083057957e4f2bd2ac3847_FORMATO.png",93869,8,"CRU","gol","Nulo",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Evander da Silva Ferreira","Evander","https://s.glbimg.com/es/sde/f/2017/04/06/2df6998f5d8a75cf5337b55ad525fd7d_FORMATO.png",93788,8,"VAS","mei","Nulo",-2,0.8,-0.4,-1.65,2,"Vasco",NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Andrei Alba","Andrei Alba","https://s.glbimg.com/es/sde/f/2017/04/24/047276d0aef73aef2924855c083d4ceb_FORMATO.png",94004,8,"CHA","mei","Contundido",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Cleiton Schwengber","Cleiton","https://s.glbimg.com/es/sde/f/2017/04/03/ef54b93128f4d412c55c7cd27c83323b_FORMATO.png",93882,8,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Luis Ángel Salazar Cuesta","Salazar","https://s.glbimg.com/es/sde/f/2017/04/28/54e5ebd574f6ef20650d90d7e32baf44_FORMATO.png",93986,8,"AVA","zag","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","João Pedro Ribeiro dos Reis","João Pedro","https://s.glbimg.com/es/sde/f/2017/04/27/449973d2d9ebbd6b442c41fb9f44929b_FORMATO.png",98910,8,"ATL","ata","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,8,"PAL","lat","Provável",5.8,6.44,0.81,4.33,3,"Palmeiras",NA,NA,5,1,NA,3,13,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"251","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2017/04/23/4fec179a98d9e087859253a2bbf830e4_FORMATO.png",38230,8,"ATL","ata","Provável",-2.4,6.86,-0.74,0.47,6,"Atlético-PR",NA,1,4,3,3,4,11,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"252","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,8,"SAN","lat","Provável",7.8,10.77,0.63,4.72,6,"Santos",NA,2,6,NA,1,5,19,4,3,NA,2,NA,NA,NA,NA,NA,NA
"253","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/05/06/c9fe7a8f540f56c7325c5e78f3097d32_FORMATO.png",42222,8,"SPO","ata","Provável",1.8,4.2,0.53,2.12,8,"Sport",1,2,5,3,2,14,26,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"254","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,8,"COR","mei","Nulo",0,4.25,0,1.4,1,"Corinthians",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Lucas Luiz Scalon","Scalon","https://s.glbimg.com/es/sde/f/2017/04/25/1c61a24805cfe9ae71c648216cd5b9cd_FORMATO.png",94003,8,"CHA","zag","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,8,"COR","mei","Nulo",1.7,4.89,0.44,1.02,6,"Coritiba",2,2,10,4,1,3,19,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"257","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,8,"CHA","mei","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,8,"PON","mei","Provável",4.8,9.37,-0.75,6.45,2,"Ponte Preta",NA,NA,NA,NA,NA,1,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,8,"FLA","mei","Nulo",0,8,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",70222,8,"SAO","gol","Nulo",0,6.25,0,-2,0,"São Paulo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Jorge Amorim de Oliveira Campos","Jorginho","https://s.glbimg.com/es/sde/f/2017/06/01/2d4e9fe5508ff0ceaf617a257b06885b_FORMATO.png",70323,8,"BAH","tec","Provável",3.39,11.64,-0.03,4.85,5,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2017/04/19/aaa96b0be41ff91da112273cc059467e_FORMATO.png",42234,8,"COR","gol","Provável",7.7,10.87,0.06,4.42,8,"Corinthians",NA,NA,NA,NA,NA,1,4,NA,5,NA,NA,NA,NA,7,5,NA,NA
"263","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,8,"COR","mei","Provável",3.3,5.5,-0.06,2.27,7,"Coritiba",NA,1,9,2,1,2,21,15,NA,1,NA,NA,NA,NA,NA,NA,NA
"264","Fillipe Soutto Mayor Nogueira Ferreira","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2017/06/05/17f3216f11db1702707de11a5f0b6854_FORMATO.png",70581,8,"VIT","mei","Nulo",0,4,0,3.1,1,"Vitória",NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Marllon Gonçalves Jerônimo Borges","Marllon","https://s.glbimg.com/es/sde/f/2017/05/02/40266a7126e1fd808b4350f90516f3f5_FORMATO.png",70666,8,"PON","zag","Provável",5.7,10.99,0.12,4,8,"Ponte Preta",NA,2,4,NA,1,8,13,11,3,NA,NA,NA,NA,NA,NA,1,NA
"266","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,8,"FLA","mei","Nulo",0,4.25,0,0.94,5,"Flamengo",NA,NA,5,1,1,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Felipe Garcia dos Prazeres","Felipe Garcia","https://s.glbimg.com/es/sde/f/2017/04/27/986affeeae68d3af059f6c98de882ddb_FORMATO.png",42330,8,"ATL","gol","Provável",3.7,8.63,1.3,5.17,7,"Atlético-GO",NA,1,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,19,11,NA,NA
"268","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,8,"COR","tec","Provável",2.15,10.08,-0.38,4.3,8,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,8,"CRU","lat","Provável",-2.3,10.91,-1.3,3.71,8,"Cruzeiro",NA,2,9,1,1,9,34,16,3,NA,NA,NA,NA,NA,NA,NA,NA
"270","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,8,"PAL","tec","Provável",5.65,13.62,0.59,3.7,8,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/05/14/6f1a3086afde752f257e478b7ddadf03_FORMATO.png",70742,8,"CHA","mei","Provável",2.3,6.79,-0.53,2.96,7,"Chapecoense",2,NA,10,1,3,10,24,9,NA,1,NA,NA,NA,NA,NA,NA,NA
"272","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,8,"SAN","mei","Nulo",0,3.54,0,0,1,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/06/07/fe68884503980ded30df6a7cb9cdd77b_FORMATO.jpeg",70929,8,"PON","ata","Contundido",0,3.97,0,-0.6,2,"Ponte Preta",NA,1,3,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/02/21/006f00c308607da2e5625e476d7e701e_FORMATO.png",70934,8,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,8,"SAO","lat","Provável",-0.8,5.63,-0.95,1.07,4,"São Paulo",NA,1,3,NA,NA,5,16,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"276","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/04/24/8f9b227031fc772ea2210db5d441a2e5_FORMATO.png",71066,8,"FLA","mei","Nulo",0,7.81,0,5.13,3,"Flamengo",NA,NA,3,2,2,2,6,4,NA,1,1,NA,NA,NA,NA,NA,NA
"277","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/06/16/11c4f255cec2fc22e7c0a3459c769161_FORMATO.png",70944,8,"PAL","mei","Nulo",0,11,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,8,"COR","lat","Provável",1.4,10.39,-1.38,3.28,5,"Corinthians",NA,2,6,NA,NA,7,23,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"279","Thiago Henrique Mendes Ribeiro","Thiago Mendes","https://s.glbimg.com/es/sde/f/2016/05/01/7bffad216f281ba79db7820b8448dae1_FORMATO.png",71123,8,"SAO","mei","Nulo",1.6,4.68,-0.67,-0.4,3,"São Paulo",NA,1,4,NA,NA,3,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Maicon Pereira Roque","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/f3000bd2b412a315dad8796d7080a492_FORMATO.png",71227,8,"SAO","zag","Provável",2.8,9.9,-0.54,3.42,7,"São Paulo",NA,1,1,2,2,2,22,8,3,NA,NA,NA,NA,NA,NA,NA,NA
