"X","atletas.atleta_id","atletas.nome","atletas.apelido","atletas.foto","atletas.rodada_id","atletas.clube_id","atletas.clube.id.full.name","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes.atletas.scout","PE","SG","FC","FS","I","RB","FD","A","G","FF","DD","CA","GS","FT","CV","PP","DP"
27,37657,"Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",3,"PAL","Palmeiras","zag","Dúvida",0,9.55,0,5.5,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,37662,"Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",3,"ATL","Atlético-PR","lat","Provável",0.4,6,-0.49,0.83,3,NA,8,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,37663,"Julio Cesar Coelho de Moraes Júnior","Julio Cesar","https://s.glbimg.com/es/sde/f/2017/04/17/1fdd617943f798215323bf53718e1f45_FORMATO.png",3,"VAS","Vasco","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,37673,"Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",3,"COR","Coritiba","ata","Nulo",0,4.4,0,-3.3,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
32,37674,"Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",3,"VAS","Vasco","mei","Nulo",0,5.49,0,-0.8,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,37688,"Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",3,"SAO","São Paulo","mei","Provável",-1.1,7.46,-1.49,0.5,2,NA,4,NA,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,37694,"Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",3,"CRU","Cruzeiro","mei","Provável",0.3,5.53,-0.6,0.3,3,NA,8,NA,3,2,NA,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
33,37701,"Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",3,"GRE","Grêmio","lat","Provável",0,10.41,0,4.75,2,NA,5,2,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,37718,"Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",3,"PAL","Palmeiras","mei","Contundido",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,37770,"Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",3,"GRE","Grêmio","gol","Provável",0,10,0,2.35,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
37,37792,"Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",3,"COR","Coritiba","mei","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,37798,"Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",3,"CRU","Cruzeiro","ata","Contundido",0,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,37840,"Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",3,"AVA","Avaí","zag","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,37851,"Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/04/03/984fa9bc6c38013fa5fedb2714311ad7_FORMATO.png",3,"ATL","São Paulo","mei","Nulo",1.2,5.97,-0.28,1.53,3,NA,1,NA,1,4,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
40,37919,"Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",3,"VAS","Vasco","ata","Provável",5.4,12.24,0.16,6.47,3,NA,3,NA,4,3,4,1,2,1,2,3,NA,2,NA,NA,NA,NA,NA
43,37984,"Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",3,"PON","Ponte Preta","gol","Provável",5,9.92,0.83,3.8,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA
50,38001,"Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/02/21/25b8eacc6ff420ba06c12861299fc24b_FORMATO.png",3,"BAH","Bahia","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,38021,"Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",3,"PON","Ponte Preta","mei","Provável",6.9,5.79,1.96,2.1,3,NA,2,NA,2,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
46,38062,"Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",3,"SAO","São Paulo","zag","Nulo",0,4.62,0,2.2,1,NA,5,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
49,38067,"Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",3,"COR","Corinthians","mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,38100,"Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",3,"SPO","Sport","zag","Provável",1.4,4.24,-0.01,0.55,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,38109,"Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",3,"BOT","Botafogo","gol","Contundido",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,38138,"João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",3,"COR","Corinthians","ata","Provável",-0.8,9.28,-1.35,3.97,3,NA,7,NA,5,2,5,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
48,38140,"Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",3,"PAL","Palmeiras","gol","Provável",-1,14.18,-1.9,5.73,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,6,NA,3,NA,NA,NA,NA
