"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","PE","RB","SG","DD","DP","GS","A","FT","I","CV","PP","GC"
"1","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,34,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Leonardo Gamalho de Souza","Léo Gamalho","https://s.glbimg.com/es/sde/f/2017/08/24/cb79c4aff8a8ded85c29f01203f775d8_FORMATO.png",53865,34,"PON","ata","Provável",8.5,7.98,1.4,3.34,9,"Ponte Preta",1,12,4,5,7,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,34,"BOT","zag","Nulo",0,3.3,0,5,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,34,"ATL","gol","Provável",2,11.2,0.86,3.79,32,"Atlético-MG",4,2,NA,NA,6,NA,22,NA,7,51,4,41,NA,NA,NA,NA,NA,NA
"5","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png",52674,34,"BOT","lat","Dúvida",2.8,8.65,0.47,2.85,24,"Botafogo",5,20,NA,3,27,NA,32,18,8,NA,NA,NA,1,2,1,NA,NA,NA
"6","Ferdinando Pereira Leda","Ferdinando","https://s.glbimg.com/es/sde/f/2017/04/28/451b8463a985e60f7a6e4d877e47d26e_FORMATO.png",53731,34,"AVA","mei","Nulo",0,5,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,34,"FLU","mei","Contundido",0,1.56,0,0.8,12,"Fluminense",3,12,NA,1,5,NA,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,34,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",NA,2,NA,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,34,"COR","mei","Nulo",-0.8,7.21,0.43,2.25,33,"Corinthians",2,24,7,16,16,1,101,42,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"10","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,34,"BOT","ata","Nulo",0.6,6.08,0.16,3.03,28,"Botafogo",1,20,11,14,44,4,60,19,NA,NA,NA,NA,1,1,2,NA,NA,NA
