"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","PE","RB","SG","DD","DP","GS","A","FT","I","CV","PP","GC"
"11","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,34,"FLA","zag","Provável",0,7.56,0,4.31,12,"Flamengo",5,10,3,6,6,NA,14,19,3,NA,NA,NA,2,1,NA,NA,NA,NA
"12","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_FORMATO.jpeg",94214,34,"FLA","zag","Nulo",0,3.24,0,4.2,1,"Flamengo",NA,2,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,34,"ATL","mei","Provável",9.5,12.34,1.61,2.22,27,"Atlético-MG",5,40,7,9,26,3,85,45,NA,NA,NA,NA,NA,NA,3,2,NA,NA
"14","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/24/bd4f8a7faf06636fd48dc601b16ea0af_FORMATO.png",56102,34,"COR","mei","Nulo",0,5.14,0,0.28,4,"Coritiba",NA,5,NA,NA,3,NA,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2017/04/25/19e52a7282097054fc255711621c8e29_FORMATO.png",54797,34,"CHA","ata","Nulo",0.5,4.18,-0.09,2.09,20,"Chapecoense",1,22,7,9,8,4,20,4,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"16","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2017/05/03/cc800ad5ce3aeb287358e50e4352911b_FORMATO.png",60788,34,"SPO","ata","Nulo",-1.2,4.02,-0.32,1.64,5,"Sport",NA,4,2,NA,4,NA,11,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA
"17","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,34,"BOT","lat","Nulo",0,6.8,0,3.25,6,"Botafogo",NA,4,NA,NA,1,NA,14,6,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"18","Willians dos Santos Santana","Willians","https://s.glbimg.com/es/sde/f/2017/06/07/e24d137ff5aa2e79299e85cf581744a1_FORMATO.png",60787,34,"AVA","ata","Nulo",0,3.06,0,1.15,21,"Avaí",2,31,2,5,9,NA,16,20,NA,NA,NA,NA,2,NA,1,1,NA,NA
"19","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2017/05/02/bd59d7bbf1fff0ce2e2dd4b489c5c99a_FORMATO.png",61149,34,"PON","ata","Provável",8.7,20.8,0.92,5.64,31,"Ponte Preta",5,38,28,31,96,11,84,27,NA,NA,NA,NA,2,NA,11,NA,2,NA
"20","Patric Cabral Lalau","Patric","https://s.glbimg.com/es/sde/f/2017/04/24/89077bf2beda96cfae171fad51c21cd1_FORMATO.png",60969,34,"VIT","lat","Provável",9.5,8.73,1,2.93,29,"Vitória",3,42,7,14,17,1,96,36,6,NA,NA,NA,4,NA,7,NA,NA,NA
"21","Jael Ferreira Vieira","Jael","https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_FORMATO.png",60859,34,"GRE","ata","Nulo",-0.5,3.63,-0.31,0.2,10,"Grêmio",2,11,1,6,12,NA,13,1,NA,NA,NA,NA,1,NA,5,NA,NA,NA
"22","Gilberto Oliveira Souza Júnior","Gilberto","https://s.glbimg.com/es/sde/f/2016/08/18/6af48de27fa231f0a84e3301c9451cb9_FORMATO.png",61188,34,"SAO","ata","Nulo",0.7,3.82,-1.23,1.69,15,"São Paulo",1,7,5,5,10,2,10,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"23","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2017/04/20/ff3f0ec8867916a05745cdee54815442_FORMATO.png",61033,34,"COR","mei","Provável",-0.6,13.28,-0.32,3.44,29,"Corinthians",5,47,25,24,55,3,104,24,NA,NA,NA,NA,5,2,3,NA,NA,NA
"24","Carlos Cesar Neves","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,34,"ATL","lat","Nulo",0,4.46,0,-0.7,1,"Atlético-MG",NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Edimar Curitiba Fraga","Edimar","https://s.glbimg.com/es/sde/f/2017/04/25/0991c88dd099660fdb7cfc88a4bedab1_FORMATO.png",62024,34,"SAO","lat","Provável",-4.7,3.81,-0.83,2.24,15,"São Paulo",4,18,3,1,20,NA,51,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,34,"PAL","lat","Nulo",5,14.35,0.12,4.68,18,"Palmeiras",1,13,4,20,15,2,42,17,7,NA,NA,NA,1,NA,3,NA,1,NA
"27","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,34,"BOT","mei","Contundido",0,5.63,0,1.17,3,"Botafogo",NA,3,NA,NA,4,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png",60819,34,"CRU","zag","Contundido",0,8.86,0,3.43,3,"Cruzeiro",NA,1,NA,NA,2,NA,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,34,"SAN","gol","Provável",-1.3,20.95,-0.83,7.89,33,"Santos",2,2,NA,NA,6,NA,11,NA,16,73,3,27,NA,NA,NA,NA,NA,NA
"30","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/08/30/645c1110c278efad455b4d7220e4bdbc_FORMATO.png",94445,34,"SPO","ata","Nulo",0,0.9,0,0.75,13,"Sport",1,12,3,8,5,NA,18,5,NA,NA,NA,NA,1,NA,3,NA,NA,NA
"31","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,34,"CRU","mei","Provável",5.8,8.51,1.1,2.58,15,"Cruzeiro",5,14,8,9,10,3,70,15,NA,NA,NA,NA,2,NA,4,NA,NA,NA
"32","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2017/07/27/3f91d9b6357f754bb2a32e60e5876ea6_FORMATO.png",62129,34,"VAS","mei","Provável",0,0.79,0,0.18,22,"Vasco",9,46,3,7,14,NA,57,23,NA,NA,NA,NA,1,1,1,NA,NA,NA
"33","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2017/04/24/dc3d5fdf33d1716e51abe9c2aad2d182_FORMATO.png",62130,34,"COR","lat","Nulo",0,6.45,0,2.13,21,"Coritiba",7,32,5,2,43,NA,70,26,6,NA,NA,NA,NA,NA,2,1,NA,NA
"34","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2017/10/11/2fb916624c1e43c9b2dbd3b2d725d4a5_FORMATO.png",62128,34,"ATL","ata","Nulo",0,7.42,0,2.02,25,"Atlético-GO",7,61,17,22,51,5,123,16,NA,NA,NA,NA,2,1,13,NA,NA,NA
"35","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2017/04/24/5d30208b79a04fd4710a6c79831dae42_FORMATO.png",62974,34,"COR","zag","Provável",-2.3,7.68,-1.7,3.83,22,"Coritiba",1,14,2,7,9,4,58,20,7,NA,NA,NA,NA,1,1,1,NA,NA
"36","Marcos Luis Rocha Aquino","Marcos Rocha","https://s.glbimg.com/es/sde/f/2017/04/03/043d9369ddb104e41861bbe7b79afb5d_FORMATO.png",63013,34,"ATL","lat","Provável",0,12.11,0,6.01,18,"Atlético-MG",5,34,2,5,28,NA,81,59,4,NA,NA,NA,4,NA,1,NA,NA,NA
"37","João Paulo Purcino de Almeida","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/28/61a2cc88c95e6ada6bf3c127a23ec96f_FORMATO.png",62997,34,"AVA","lat","Provável",0.4,3.3,-0.14,1.24,9,"Avaí",3,9,1,2,8,NA,17,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"38","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2017/08/16/2215936db5460baf89bb165cdfc691b4_FORMATO.jpeg",62086,34,"FLA","lat","Provável",0.8,8.64,-1.18,3.11,26,"Flamengo",1,26,NA,7,22,1,69,26,10,NA,NA,NA,1,NA,1,NA,NA,1
"39","Alan Luciano Ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2017/04/24/5445b9aabe74f7acf2c52104cb6270ff_FORMATO.png",63110,34,"CHA","lat","Nulo",0,2.3,0,2.04,5,"Chapecoense",2,4,NA,1,12,NA,13,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Marcelo de Oliveira Santos","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2017/07/25/b2b0680473841905e6c9f7656eb437cd_FORMATO.png",62136,34,"COR","tec","Provável",2.17,9.63,-0.16,3.45,18,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2017/04/24/15cf98a07f1ca5efaa16bc8321c04658_FORMATO.png",63058,34,"VIT","mei","Contundido",0,9.33,0,3.11,10,"Vitória",4,16,NA,3,8,NA,28,27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"42","Evanildo Borges Barbosa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/08/30/7e1c1a89132e19ef0cd8c66c42c7aacb_FORMATO.png",63119,34,"VIT","lat","Nulo",0,6.69,0,2.38,12,"Vitória",2,10,2,NA,10,NA,37,13,3,NA,NA,NA,1,NA,1,NA,NA,NA
"43","Rafael Galhardo de Souza","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2017/08/31/c9a63e2ac3d3f9ff545be82843a56f28_FORMATO.jpeg",68821,34,"CRU","lat","Provável",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2017/07/11/97a55ad8b4015035dbde2063c6776c8a_FORMATO.png",63172,34,"VAS","zag","Provável",-1.3,4.02,-0.48,1.5,20,"Vasco",5,36,1,6,11,NA,39,15,5,NA,NA,NA,2,NA,2,NA,NA,NA
"45","Pablo Estifer Armero","Armero","https://s.glbimg.com/es/sde/f/2017/07/28/174c9c4ccac7c3d5f921b513c86a5351_FORMATO.png",68693,34,"BAH","lat","Contundido",0,1.86,0,-0.64,5,"Bahia",1,11,2,1,2,NA,23,5,1,NA,NA,NA,NA,NA,2,1,NA,NA
"46","Jucilei da Silva","Jucilei","https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png",63422,34,"SAO","mei","Provável",5.7,13.69,0.11,3.65,31,"São Paulo",1,45,2,7,47,1,66,73,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"47","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,34,"PAL","mei","Provável",9.7,10.51,1.02,5.29,15,"Palmeiras",1,13,6,5,34,3,67,23,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"48","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2017/04/24/6cdeb7e2779c671c69473bc599c9eab2_FORMATO.png",68725,34,"CHA","lat","Nulo",0,4.69,0,1.7,7,"Chapecoense",1,5,3,3,6,NA,17,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"49","Luan Madson Gedeão De Paiva","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_FORMATO.png",63219,34,"ATL","ata","Suspenso",4.2,6.25,-1.07,2.08,15,"Atlético-MG",3,16,3,7,17,1,32,10,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"50","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,34,"SAN","mei","Nulo",0,1.12,0,0.55,9,"Santos",3,5,1,1,9,1,29,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"51","Márcio Passos de Albuquerque","Emerson Sheik","https://s.glbimg.com/es/sde/f/2017/07/28/153fc3c95a0dd7ad22df8e87436bdf36_FORMATO.png",68744,34,"PON","ata","Nulo",0,5.89,0,2.23,21,"Ponte Preta",9,31,7,12,54,4,73,14,NA,NA,NA,NA,1,NA,2,NA,NA,NA
"52","Douglas Silva Bacelar","Douglas","https://s.glbimg.com/es/sde/f/2017/09/06/6035aba70a37b419f328746b48c3bc46_FORMATO.png",63128,34,"CHA","zag","Provável",6.1,4.07,0.97,2.89,8,"Chapecoense",3,8,NA,NA,1,NA,9,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Everton Heleno dos Santos","Everton Heleno","https://s.glbimg.com/es/sde/f/2017/07/05/70b5e143bc2cffe533cf069fe115e647_FORMATO.png",68749,34,"ATL","mei","Nulo",0,1.7,0,-0.03,3,"Atlético-GO",NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,34,"BOT","mei","Provável",5.8,13.33,-0.68,4.77,30,"Botafogo",7,60,10,18,46,6,112,60,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"55","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2017/04/19/9bf8902250718281651dc2ae9999d574_FORMATO.png",68770,34,"COR","mei","Provável",1.9,3.82,0.27,0.71,23,"Corinthians",2,27,1,2,7,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2017/04/23/7bc968863bb32cf46c3aa7067b5514f8_FORMATO.png",68758,34,"GRE","ata","Dúvida",8.2,12.12,1.66,4.66,26,"Grêmio",2,36,13,16,73,7,48,22,NA,NA,NA,NA,1,NA,3,NA,NA,NA
"57","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,34,"VIT","mei","Provável",0,4.85,0,3.01,29,"Vitória",6,56,4,14,15,3,54,59,NA,NA,NA,NA,NA,1,1,1,NA,NA
"58","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,34,"AVA","ata","Provável",-0.3,8.12,-0.56,4.24,27,"Avaí",4,41,13,28,42,7,86,27,NA,NA,NA,NA,2,2,8,NA,NA,NA
"59","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2017/04/24/95e996eaef78ad7ac0e285e3d6d057e0_FORMATO.png",68773,34,"COR","ata","Dúvida",1,13.52,-0.5,3.72,29,"Coritiba",6,37,20,21,54,7,57,25,NA,NA,NA,NA,1,1,20,NA,1,NA
"60","Rafael de Carvalho Santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2017/07/04/d4c3bb98996ada75c9612e2a44894691_FORMATO.png",68822,34,"BAH","gol","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,34,"GRE","gol","Nulo",1,6.38,-0.11,4.47,8,"Grêmio",1,NA,NA,NA,2,NA,4,NA,2,13,1,9,NA,NA,NA,NA,NA,NA
"62","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2017/08/30/59b84512a1f8464d9476589c93df7a53_FORMATO.png",68834,34,"SPO","mei","Provável",-1.5,10.34,-1.32,3.89,28,"Sport",6,50,10,25,29,1,98,68,NA,NA,NA,NA,2,NA,1,NA,NA,NA
"63","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2017/04/24/f3039b70ee89382f40b6b09074e46900_FORMATO.png",68807,34,"COR","ata","Contundido",0,8.5,0,1.82,15,"Coritiba",2,10,2,8,13,1,23,8,NA,NA,NA,NA,2,NA,5,NA,NA,NA
"64","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png",68808,34,"PON","lat","Provável",5.5,19.45,0.18,4.9,28,"Ponte Preta",6,39,8,7,57,1,119,58,8,NA,NA,NA,3,1,4,NA,NA,NA
"65","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,34,"ATL","gol","Provável",8,1.79,1,-0.86,5,"Atlético-GO",NA,NA,NA,NA,NA,NA,1,NA,1,5,NA,12,NA,NA,NA,NA,NA,NA
"66","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2017/07/25/4407e04c0f422d9c7c06af9bc6c97fff_FORMATO.png",68887,34,"FLU","zag","Nulo",0,5.56,0,1,5,"Fluminense",1,4,NA,1,4,NA,11,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"67","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2017/07/25/f6a981f0f20a4b82ddc029c4cb983564_FORMATO.png",68827,34,"FLU","zag","Nulo",-2.5,2.52,-0.8,2.15,10,"Fluminense",3,16,3,1,4,1,16,13,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"68","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,34,"FLU","ata","Nulo",1.9,8.29,0.27,1.91,17,"Fluminense",NA,8,1,4,24,2,48,10,NA,NA,NA,NA,1,NA,6,NA,NA,NA
"69","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,34,"VIT","ata","Nulo",0,6.71,-1.45,2.82,16,"Vitória",1,20,3,8,12,4,20,5,NA,NA,NA,NA,3,NA,4,1,NA,NA
"70","Rodrigo Júnior Paula Silva","Digão","https://s.glbimg.com/es/sde/f/2017/08/10/45b089a35e467b5f5cc0a9d46a380b7a_FORMATO.png",68886,34,"CRU","zag","Provável",0,4.76,-0.34,2.23,7,"Cruzeiro",NA,3,NA,1,2,NA,5,7,1,NA,NA,NA,1,NA,NA,1,NA,NA
"71","Ramon de Morais Motta ","Ramon","https://s.glbimg.com/es/sde/f/2017/07/27/0d5457a07c57dd1908db4421fa48b276_FORMATO.png",68896,34,"VAS","lat","Contundido",0,11.58,0,6.38,17,"Vasco",1,19,3,6,47,1,61,35,6,NA,NA,NA,2,NA,NA,NA,NA,NA
"72","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2017/10/13/7d4517dfb6acd0c79909c62e38525979_FORMATO.png",68690,34,"SPO","ata","Provável",-0.3,10.37,-1.08,4.7,30,"Sport",5,59,12,33,50,13,75,25,NA,NA,NA,NA,1,1,24,NA,NA,NA
"73","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,34,"ATL","zag","Provável",0,7.96,0,1.9,17,"Atlético-MG",6,24,3,4,25,NA,29,14,4,NA,NA,NA,NA,1,1,NA,NA,NA
"74","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2017/04/18/054a14cdfbb6abbdb2c8a8a75f0a9ee1_FORMATO.png",68901,34,"BOT","ata","Provável",2.4,7.8,0.29,3.34,29,"Botafogo",5,45,16,16,33,2,110,36,NA,NA,NA,NA,9,NA,7,NA,NA,NA
"75","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,34,"CRU","gol","Nulo",0,9.32,0,2.77,3,"Cruzeiro",NA,NA,NA,NA,1,NA,4,NA,1,4,NA,4,NA,NA,NA,NA,NA,NA
"76","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,34,"SAN","ata","Nulo",0,4.7,0,0.16,10,"Santos",1,11,3,4,6,NA,26,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"77","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png",68910,34,"SPO","mei","Provável",-0.1,5.93,0.54,3.28,16,"Sport",3,28,1,6,9,NA,34,46,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"78","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,34,"SAO","gol","Nulo",0,8.9,0,2.06,20,"São Paulo",2,1,NA,NA,1,NA,15,NA,5,27,NA,28,NA,NA,NA,NA,NA,NA
"79","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,34,"COR","mei","Nulo",0,6.28,0,1.82,9,"Corinthians",1,2,NA,1,2,1,11,5,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"80","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2017/08/30/0bede49c732eaf2c30db3293389d7ddd_FORMATO.png",68911,34,"SPO","mei","Provável",0,14.94,0,4.29,22,"Sport",8,33,11,16,52,10,91,8,NA,NA,NA,NA,3,3,2,1,2,NA
"81","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2017/08/30/2f2abedd21538d0c8abafce309debab1_FORMATO.png",68950,34,"SPO","zag","Nulo",0.2,7.71,0.28,3.31,24,"Sport",5,25,5,4,41,1,58,23,8,NA,NA,NA,1,NA,3,NA,NA,NA
"82","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png",68930,34,"VIT","ata","Nulo",0,8.04,0,2.01,12,"Vitória",1,17,4,5,21,3,20,3,NA,NA,NA,NA,NA,NA,6,NA,1,NA
