"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FS","PE","RB","CA","FD","FF","I","CV","SG","FT","G","PP","A","DD","GS","DP","GC"
"12","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,12,"AVA","zag","Provável",10.1,8.12,1.59,2.88,11,"Avaí",7,13,30,10,3,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,12,"ATL","lat","Provável",1,7.31,-0.83,2.93,9,"Atlético-PR",6,9,25,10,3,NA,2,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"14","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2015/01/15/a8e42c4983ac87ffae524122491a9824_FORMATO.jpeg",37653,12,"SAN","ata","Nulo",0,8,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,12,"CRU","gol","Provável",-2.3,11.77,-0.63,3.58,12,"Cruzeiro",1,1,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,17,13,NA,NA
"16","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,12,"SAO","mei","Nulo",0,4.87,0,-0.85,8,"São Paulo",11,7,12,1,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,12,"COR","ata","Nulo",-2.8,2.14,-0.03,-1.6,7,"Coritiba",12,4,15,3,2,1,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"18","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,12,"GRE","lat","Contundido",0,11.81,0,6.02,4,"Grêmio",2,6,11,5,NA,1,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"19","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,12,"CRU","mei","Provável",6,4.88,1.11,0.43,7,"Cruzeiro",7,6,15,9,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,12,"PAL","zag","Nulo",0,9.9,0,4.72,5,"Palmeiras",7,8,3,5,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"21","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,12,"VAS","mei","Provável",-0.3,4.75,-1.29,1.65,4,"Vasco",1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
