"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FS","PE","CA","FC","FD","FF","G","I","RB","A","FT","SG","DD","DP","GS","PP","CV","GC"
"56","Douglas Silva Bacelar","Douglas","https://s.glbimg.com/es/sde/f/2016/10/24/daecab9e41dda92b025a194ccf942d0e_FORMATO.png",63128,19,"SAO","zag","Nulo",0,3.28,0,0.9,1,"São Paulo",NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2017/04/24/15cf98a07f1ca5efaa16bc8321c04658_FORMATO.png",63058,19,"VIT","mei","Nulo",0,9.33,0,3.11,10,"Vitória",8,28,4,16,NA,3,NA,NA,27,NA,1,NA,NA,NA,NA,NA,NA,NA
"58","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2017/04/25/b46cb463e6cdc67676c6fde0cbbdfdf9_FORMATO.png",63000,19,"CHA","zag","Nulo",0,7.19,0,2.26,12,"Chapecoense",2,23,2,19,2,4,1,NA,11,NA,NA,3,NA,NA,NA,NA,NA,NA
"59","Jucilei da Silva","Jucilei","https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png",63422,19,"SAO","mei","Nulo",3.4,14.28,-0.26,4.65,19,"São Paulo",36,50,NA,27,1,7,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png",69010,19,"PON","gol","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Luan Madson Gedeão De Paiva","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_FORMATO.png",63219,19,"ATL","ata","Provável",0,5.85,0,1.47,6,"Atlético-MG",4,4,NA,3,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,19,"PAL","mei","Nulo",5.9,8.95,-1.05,5.9,1,"Palmeiras",4,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2017/07/11/97a55ad8b4015035dbde2063c6776c8a_FORMATO.png",63172,19,"VAS","zag","Nulo",0,4.38,0,1.07,14,"Vasco",8,30,4,26,1,6,NA,2,10,1,NA,3,NA,NA,NA,NA,NA,NA
"64","João Paulo Purcino de Almeida","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/28/61a2cc88c95e6ada6bf3c127a23ec96f_FORMATO.png",62997,19,"AVA","lat","Nulo",0,4.18,0,2.85,2,"Avaí",1,5,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"65","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2017/03/12/15292d87c87458b6575b789d1e0b3a77_FORMATO.png",68690,19,"SPO","ata","Provável",2.4,10.77,-0.96,5.67,17,"Sport",31,42,3,39,8,14,9,13,16,1,1,NA,NA,NA,NA,NA,NA,NA
