"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FS","PE","CA","FC","FD","FF","G","I","RB","A","FT","SG","DD","DP","GS","PP","CV","GC"
"186","Leonardo Rodrigues dos Santos","Léo Santos","https://s.glbimg.com/es/sde/f/2017/04/23/1d114129100c1552c9d2fac173daf8ea_FORMATO.jpeg",95820,19,"COR","zag","Nulo",0,4.38,0,5,1,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"187","Walter Leandro Capeloza Artune","Walter","https://s.glbimg.com/es/sde/f/2017/04/20/196790f232d428bcd861ad55c55dd8cc_FORMATO.png",51413,19,"COR","gol","Nulo",0,6,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Thiago Carleto Alves","Thiago Carleto","https://s.glbimg.com/es/sde/f/2017/05/15/e78cf3d6b6820ad71b0335abf0a64a0b_FORMATO.png",51700,19,"COR","lat","Provável",9.8,6.03,0.45,6.22,5,"Coritiba",5,17,NA,5,4,1,1,NA,5,1,NA,2,NA,NA,NA,NA,NA,NA
"189","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,19,"COR","zag","Contundido",0,11.84,0,4.65,13,"Corinthians",5,17,2,9,2,6,NA,NA,9,NA,NA,10,NA,NA,NA,NA,NA,NA
"190","Éverton Augusto de Barros Ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2017/06/24/7deee286983361a4845652b6c39be834_FORMATO.png",51772,19,"FLA","mei","Provável",0.3,12.85,-1.79,4.98,10,"Flamengo",22,54,1,7,3,4,2,NA,11,4,NA,NA,NA,NA,NA,NA,NA,NA
"191","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,19,"COR","lat","Provável",5.7,5.48,0.51,2.04,7,"Coritiba",9,21,2,14,NA,NA,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA
"192","Leandro Salino do Carmo","Leandro Salino","https://s.glbimg.com/es/sde/f/2017/02/20/88732a4309dfb2ee375054e5e944d3cf_FORMATO.png",51905,19,"VIT","lat","Nulo",0,5.87,0,3.4,7,"Vitória",16,22,1,15,NA,2,NA,NA,15,NA,NA,1,NA,NA,NA,NA,NA,NA
"193","Fabián Ariel Noguera","Fabián Noguera","https://s.glbimg.com/es/sde/f/2017/05/02/90ea91f7ba7a3941f90047a0aca02c82_FORMATO.png",95837,19,"SAN","zag","Nulo",4.9,4.43,-0.86,5.38,5,"Santos",1,5,NA,4,NA,2,NA,NA,5,1,NA,3,NA,NA,NA,NA,NA,NA
"194","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,19,"GRE","ata","Nulo",0,9.41,0,3.88,10,"Grêmio",13,16,3,15,5,2,4,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"195","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,19,"VAS","gol","Provável",10.1,8.08,1.76,1.43,19,"Vasco",2,16,2,NA,NA,NA,NA,NA,NA,NA,NA,4,25,NA,30,NA,NA,NA
"196","Sander Henrique Bortolotto","Sander","https://s.glbimg.com/es/sde/f/2017/06/13/c768f4f096a03a7a8d7642fe55c4ddb2_FORMATO.png",95843,19,"SPO","lat","Nulo",14.9,9.26,2.23,5.68,13,"Sport",13,43,1,28,1,1,NA,NA,35,1,NA,6,NA,NA,NA,NA,NA,NA
"197","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2017/04/24/854cf1c9afe220c9f2a2751a12f2e7dd_FORMATO.png",52253,19,"FLA","zag","Provável",-1.1,9.93,-0.45,3.74,16,"Flamengo",13,19,2,10,4,2,2,1,16,NA,NA,4,NA,NA,NA,NA,NA,NA
"198","Antonio Eduardo Pereira dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2017/02/20/2a67dc4c7c97236fb27abf4dbe5a39fc_FORMATO.png",51792,19,"VIT","zag","Provável",8,9.38,1.34,4.18,13,"Vitória",8,32,3,12,2,9,2,4,18,1,NA,4,NA,NA,NA,NA,NA,1
"199","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,19,"SAN","lat","Provável",7.2,10.18,1.09,3.91,11,"Santos",10,35,2,9,NA,1,2,NA,9,NA,NA,5,NA,NA,NA,NA,NA,NA
"200","Felipe Gustavo Domingos","Felipe","https://s.glbimg.com/es/sde/f/2017/02/21/e708f975f303fd9301b35bbd18a258b2_FORMATO.png",95849,19,"BAH","gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,19,"SPO","mei","Nulo",9.7,2.38,1.59,0.63,11,"Sport",7,12,2,10,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Sherman Andrés Cárdenas Estupiñan","Cárdenas","https://s.glbimg.com/es/sde/f/2017/04/01/7b7ff2b832507542b6305c0425ffc2b7_FORMATO.png",72871,19,"VIT","mei","Nulo",0,6,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,19,"FLA","mei","Nulo",0,6.06,0,0.6,3,"Flamengo",1,1,1,5,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Lucas da Silva Rocha","Lucas Rocha","https://s.glbimg.com/es/sde/f/2017/07/11/de8c5e7398d3dece81fa05f35abe0764_FORMATO.png",94119,19,"VAS","zag","Nulo",4.9,2.99,0.66,3.95,2,"Vasco",3,5,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"205","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,19,"COR","mei","Nulo",0,4.63,0,1.3,11,"Coritiba",6,30,2,13,5,2,NA,2,7,2,1,NA,NA,NA,NA,NA,NA,NA
"206","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,19,"FLA","mei","Contundido",0,4.25,0,0.94,5,"Flamengo",9,8,NA,5,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,19,"ATL","mei","Provável",-0.3,8.44,-0.49,2.8,17,"Atlético-PR",29,51,2,18,13,5,1,1,14,2,1,NA,NA,NA,NA,NA,NA,NA
"208","Daniel Cerântula Fuzato","Daniel Fuzato","https://s.glbimg.com/es/sde/f/2017/04/18/0521fd45c49f6fb1491a64df501d2e8d_FORMATO.png",95936,19,"PAL","gol","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,19,"COR","mei","Nulo",0,3.53,0,0.7,2,"Corinthians",NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,19,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2017/04/24/0ba0314196e998895d5b423d2a0f4fd0_FORMATO.png",94138,19,"FLA","ata","Provável",6.4,4.67,-0.8,2.86,7,"Flamengo",6,4,NA,7,3,3,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"212","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",70222,19,"SAO","gol","Nulo",0,6.25,0,-2,0,"São Paulo",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,19,"COR","mei","Provável",1.8,4.55,0.37,1.42,11,"Coritiba",4,28,2,15,2,2,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,19,"COR","mei","Nulo",6.4,8.73,0.15,3.29,19,"Corinthians",8,60,NA,11,5,9,1,NA,28,3,NA,NA,NA,NA,NA,NA,NA,NA
"215","Fillipe Soutto Mayor Nogueira Ferreira","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2017/06/05/17f3216f11db1702707de11a5f0b6854_FORMATO.png",70581,19,"VIT","mei","Nulo",1.7,3.58,-0.03,2.1,3,"Vitória",2,9,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Mário Rogério Reis Micale ","Rogério Micale","https://s.glbimg.com/es/sde/f/2017/07/24/00470c79ffe3386dcbeb9796e90dfb87_FORMATO.png",70526,19,"ATL","tec","Provável",1.49,8.46,-0.21,2.68,3,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Lourency do Nascimento Rodrigues","Lourency","https://s.glbimg.com/es/sde/f/2017/04/24/31a53361a6013019b911ee81b38648a9_FORMATO.png",94249,19,"CHA","ata","Nulo",0,3.22,0,1.95,9,"Chapecoense",6,8,2,8,3,3,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"218","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,19,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",2,2,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2016/05/01/3702c1c16aa8563dfc0d7e4f3399cadd_FORMATO.png",94445,19,"SPO","ata","Nulo",-0.3,0.78,0,-0.3,7,"Sport",4,8,1,7,1,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/04/24/b7aa73dc8eb8be2ac3c08bcada8359a6_FORMATO.png",94214,19,"FLA","zag","Nulo",0,3.24,0,4.2,1,"Flamengo",1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"221","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,19,"BOT","ata","Provável",3.2,5.77,0.27,2.95,15,"Botafogo",25,29,NA,11,5,9,2,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA
"222","Guilherme Natan de Lima","Lima","https://s.glbimg.com/es/sde/f/2016/04/27/059a0e58f2adc09337048722ca4f5ae4_FORMATO.png",94288,19,"CHA","mei","Nulo",0,1,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,19,"FLU","mei","Nulo",-0.7,0.78,-0.24,0.18,7,"Fluminense",4,12,3,4,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Tyroane Joe Sandows","Ty Sandows","https://s.glbimg.com/es/sde/f/2017/04/23/bff6a206f9b5cf27f1d2b5dc668c5f76_FORMATO.png",95978,19,"GRE","ata","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Marllon Gonçalves Jerônimo Borges","Marllon","https://s.glbimg.com/es/sde/f/2017/05/02/40266a7126e1fd808b4350f90516f3f5_FORMATO.png",70666,19,"PON","zag","Suspenso",6.4,12.43,0.41,4.59,18,"Ponte Preta",20,36,2,7,1,3,NA,NA,26,NA,1,8,NA,NA,NA,NA,NA,NA
"226","Clayton Silveira da Silva","Clayton","https://s.glbimg.com/es/sde/f/2017/04/23/162d940eadf1a0f6216f20a351c326da_FORMATO.png",81770,19,"COR","ata","Nulo",0,7.66,0,4.8,3,"Corinthians",NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,19,"COR","tec","Nulo",7.23,12.42,0.1,4.82,19,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,19,"PAL","mei","Nulo",1,4.09,0.21,0.63,10,"Palmeiras",10,4,2,8,1,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"229","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/05/14/6f1a3086afde752f257e478b7ddadf03_FORMATO.png",70742,19,"CHA","mei","Nulo",1.3,6.63,0.09,2.27,16,"Chapecoense",23,42,NA,25,2,11,NA,1,14,2,2,NA,NA,NA,NA,NA,NA,NA
"230","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,19,"COR","lat","Nulo",1.7,3.1,-0.62,4.1,2,"Corinthians",2,3,NA,4,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"231","Yan Medeiros Sasse","Yan","https://s.glbimg.com/es/sde/f/2017/04/24/2f02afc14f51ead3d8362b52708edf53_FORMATO.png",96055,19,"COR","mei","Nulo",0,0.79,0,-0.85,2,"Coritiba",1,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/07/25/eb7be7be185d6f7421dbf30f71453757_FORMATO.png",94583,19,"FLU","ata","Nulo",0,4.38,0,2.12,6,"Fluminense",8,6,1,7,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/06/07/fe68884503980ded30df6a7cb9cdd77b_FORMATO.jpeg",70929,19,"PON","ata","Nulo",0,4.01,0,0.6,4,"Ponte Preta",4,8,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,19,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,19,"CRU","lat","Nulo",6.4,13.01,0.85,4.45,17,"Cruzeiro",21,67,4,15,2,3,NA,2,29,2,1,7,NA,NA,NA,NA,NA,NA
"236","Matheus Oliveira Santos","Matheus Oliveira","https://s.glbimg.com/es/sde/f/2017/05/02/07446f453b7f268fbac590fadba6a201_FORMATO.png",96328,19,"SAN","mei","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Luiz Filipe da Rosa Machado","Machado","https://s.glbimg.com/es/sde/f/2017/04/23/067af9a9fbef9be7febed7aa5e13f102_FORMATO.png",96089,19,"GRE","mei","Nulo",0,2.04,0,1.95,2,"Grêmio",1,5,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1
"238","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/07/28/de12cacc448f4add788473ff0d4009bf_FORMATO.png",70934,19,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Jonatan David Gomez Ospina","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png",94857,19,"SAO","mei","Nulo",0,3.86,0,-0.42,6,"São Paulo",10,21,1,11,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/07/15/49e2a38b84972e1e416211e21f0eb681_FORMATO.png",70944,19,"PAL","mei","Provável",0,11.07,0,4.8,7,"Palmeiras",10,12,1,17,NA,6,1,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"241","Pablo Diogo Lopes de Lima","Pablo Diogo","https://s.glbimg.com/es/sde/f/2017/08/01/876c2e59d47193a1d2968b73eed90a34_FORMATO.png",70987,19,"ATL","ata","Nulo",0,1.68,0,-0.4,3,"Atlético-MG",NA,7,NA,3,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Geovane Henrique Pereira de Souza","Geovane","https://s.glbimg.com/es/sde/f/2017/04/24/4e836a43a284121c7d2754809098d92c_FORMATO.png",96349,19,"COR","zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Leonardo Felipe Santos da Silva","Léo","https://s.glbimg.com/es/sde/f/2017/04/28/8edfb4213f777f54e9a9014c5969eb07_FORMATO.png",94885,19,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,19,"SAN","mei","Nulo",-1.1,2.15,-0.47,-0.53,3,"Santos",NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/04/24/8f9b227031fc772ea2210db5d441a2e5_FORMATO.png",71066,19,"FLA","mei","Nulo",0,6.11,0,2.13,6,"Flamengo",3,7,2,4,2,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Leonardo da Silva Vieira","Leo","https://s.glbimg.com/es/sde/f/2017/08/02/b370bcdca91adb4e0f9cfe1f7ce54837_FORMATO.png",71043,19,"ATL","gol","Nulo",0,3,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Roberto Heuchayer Santos de Araújo","Roberto","https://s.glbimg.com/es/sde/f/2017/08/01/c4899f60827edd3bd4037da8784c7d83_FORMATO.png",71116,19,"CHA","lat","Nulo",5.1,4.39,0.39,5.1,1,"Chapecoense",2,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Vladimir Javier Hernández Rivero","Vladimir Hernández","https://s.glbimg.com/es/sde/f/2017/02/19/f61c5d8d4580566cb1fa08020d2709ca_FORMATO.png",72879,19,"SAN","ata","Nulo",0,8.74,0,1.96,11,"Santos",17,10,1,5,3,3,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Cassiano Silva dos Santos","Cassiano","https://s.glbimg.com/es/sde/f/2017/07/28/e3229c224dd3b65a77ccabf9badb7ee9_FORMATO.png",96411,19,"BAH","gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Alexander Baumjohann","Baumjohann","https://s.glbimg.com/es/sde/f/2017/07/05/edd3698b18e3e992ba2ea5c7f544ff56_FORMATO.png",71389,19,"COR","mei","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Ralph Machado Dias","Ralph","https://s.glbimg.com/es/sde/f/2017/04/03/31d573bf9a9cb39a1ab39967572631bf_FORMATO.png",96433,19,"ATL","mei","Nulo",0,1.04,0,0.45,4,"Atlético-MG",4,4,3,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2017/06/01/a4f3ac6a4a79eebb1b9a2ec9388773ad_FORMATO.png",71162,19,"BAH","mei","Contundido",0,6.38,0,1.71,14,"Bahia",8,28,3,11,3,8,2,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"253","Mauricio Tomazi Pinheiro","Mauricio","https://s.glbimg.com/es/sde/f/2017/05/11/8f1984fabe5775e0c6485d0c7e2cdd00_FORMATO.png",96464,19,"AVA","zag","Nulo",0,2,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Eduardo Alves da Silva","Eduardo da Silva","https://s.glbimg.com/es/sde/f/2017/04/23/c47c6340a7d40ff5085ba517e5dc117d_FORMATO.png",72893,19,"ATL","ata","Nulo",0,5.87,0,1.4,5,"Atlético-PR",1,5,NA,6,4,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,19,"ATL","mei","Nulo",1.9,5.64,-0.13,-0.11,12,"Atlético-PR",10,42,2,17,1,5,NA,2,12,NA,NA,NA,NA,NA,NA,NA,1,NA
"256","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,19,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2017/07/28/d023203cea9f86b7e0c359ac86f97d9e_FORMATO.png",73281,19,"BAH","mei","Provável",-0.3,10.56,-0.8,6.2,15,"Bahia",32,45,3,30,7,15,3,3,45,NA,NA,NA,NA,NA,NA,NA,1,NA
"258","Jorge Darío Mendoza Torres","Jorge Mendoza","https://s.glbimg.com/es/sde/f/2017/07/14/3819ceac34a816f02b87cc2e9a8c3a91_FORMATO.png",73144,19,"PON","mei","Nulo",0,3,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,19,"ATL","gol","Provável",11.2,5.85,0.87,3.67,16,"Atlético-PR",5,15,1,NA,NA,NA,NA,NA,1,NA,NA,6,23,NA,19,NA,NA,NA
"260","Rafael Martins Claro","Rafael Martins","https://s.glbimg.com/es/sde/f/2017/04/24/0e99993b292bb541251f236f7827aeec_FORMATO.png",73336,19,"COR","gol","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Getterson Alves dos Santos","Getterson","https://s.glbimg.com/es/sde/f/2017/05/12/c2b9040eda92184c6453ef41ede377fd_FORMATO.png",73340,19,"COR","ata","Nulo",0,0.78,0,-0.27,3,"Coritiba",2,4,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,19,"VAS","ata","Contundido",0,5.03,0,1.72,5,"Vasco",8,9,NA,3,3,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Renan Augusto Lodi dos Santos","Renan Lodi","https://s.glbimg.com/es/sde/f/2017/04/23/cfd0bead775744f8d276b9988eeee824_FORMATO.png",96591,19,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/04/24/ec9b77bc929663a07ce6d4b21c78ed8e_FORMATO.png",71709,19,"FLA","mei","Nulo",0,4.69,0,2.67,11,"Flamengo",4,18,2,12,2,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,19,"FLA","gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,19,"GRE","gol","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,19,"VIT","gol","Provável",11,11.74,-0.2,3.22,17,"Vitória",3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,5,30,NA,27,NA,NA,NA
