"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","PP","RB","CA","SG","DD","GS","FT","CV","DP","GC"
"212","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png",73446,13,"ATL","ata","Provável",2.4,4.26,0.36,2.78,6,"Atlético-PR",NA,3,6,5,4,1,5,13,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"213","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2017/04/24/8665d503716b53b97bdd0f56d8ef0f39_FORMATO.png",73421,13,"FLA","zag","Provável",3.1,7.72,-0.18,3.91,7,"Flamengo",NA,3,1,2,3,NA,NA,23,NA,7,NA,4,NA,NA,NA,NA,NA,NA
"214","Lucas David Pratto","Lucas Pratto","https://s.glbimg.com/es/sde/f/2017/02/18/2291ee0103b8af06799aee5ab657b149_FORMATO.png",73649,13,"SAO","ata","Provável",9,16.39,2.58,4.22,13,"São Paulo",2,18,12,23,12,4,2,41,1,5,2,NA,NA,NA,NA,NA,NA,NA
"215","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/08/31/6340e77cb18143e838ae03747e59b459_FORMATO.png",73540,13,"SPO","ata","Nulo",9.2,7.91,0.74,2.73,9,"Sport",1,3,5,3,17,1,NA,20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"216","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2017/04/24/e5f2da8b1a9007eed27b4e7ae55d64c2_FORMATO.png",73635,13,"COR","ata","Provável",15,9.92,2.3,3.95,11,"Coritiba",NA,9,2,3,26,3,3,28,NA,11,1,NA,NA,NA,NA,NA,NA,NA
"217","Marcos Vinícius de Jesus Araújo","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2017/06/22/282437e15992b52b48a3afaba944922b_FORMATO.png",73721,13,"BOT","mei","Provável",5.4,5.57,1.09,1.33,3,"Botafogo",NA,2,2,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"218","John Lennon Silva Santos","Lennon","https://s.glbimg.com/es/sde/f/2017/05/03/d072e8eaeab8333c007a7cfb0af5aef4_FORMATO.png",73869,13,"CRU","lat","Nulo",0,4.03,0,0.53,3,"Cruzeiro",NA,4,NA,NA,1,NA,NA,11,NA,2,1,1,NA,NA,NA,NA,NA,NA
"219","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,13,"BAH","gol","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Wellington Silva Sanches Aguiar","Wellington Nem","https://s.glbimg.com/es/sde/f/2017/02/18/a23f9ff565dd24baa68eeca4461e1b86_FORMATO.png",73619,13,"SAO","ata","Provável",2.6,7.95,0.11,1.93,7,"São Paulo",NA,8,NA,2,15,1,2,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA
"221","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,13,"SAO","zag","Provável",3.6,9.86,-0.54,3.39,9,"São Paulo",NA,8,NA,NA,6,NA,NA,22,NA,20,3,2,NA,NA,NA,NA,NA,NA
"222","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,13,"VAS","zag","Nulo",-0.4,1.4,-0.27,-0.67,3,"Vasco",NA,4,NA,NA,3,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"223","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,13,"SAN","mei","Nulo",-0.1,3.37,-0.37,1.45,4,"Santos",NA,3,NA,NA,4,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"224","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,13,"VIT","zag","Provável",1.8,2.25,0.63,1.33,6,"Vitória",NA,9,1,NA,4,NA,NA,11,NA,4,2,2,NA,NA,NA,NA,NA,NA
"225","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2017/04/24/470fd6292588f4385e9c32a3aeef091c_FORMATO.png",74060,13,"CHA","mei","Nulo",0.2,8.29,-0.16,2.13,12,"Chapecoense",1,14,7,2,4,2,1,21,NA,5,2,NA,NA,NA,1,NA,NA,NA
"226","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2017/04/24/60830998fb2fc54f511a8d2b5c3a6f25_FORMATO.png",73991,13,"COR","zag","Provável",5.9,5.14,2.12,1.12,5,"Coritiba",NA,2,1,NA,1,NA,NA,8,NA,5,NA,1,NA,NA,NA,NA,NA,1
"227","Guilherme Costa Machado Silveira","Guilherme Costa","https://s.glbimg.com/es/sde/f/2017/04/06/ea33443d8c666f61b78424b726238c89_FORMATO.png",74081,13,"VAS","mei","Nulo",12.4,7.21,1.71,6.45,2,"Vasco",1,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Geuvânio Santos Silva","Geuvânio","https://s.glbimg.com/es/sde/f/2017/06/27/36ee7e4d8d65bb36e49c895ce0c5fe6c_FORMATO.png",73896,13,"FLA","ata","Nulo",5.1,10.9,-1.1,5.1,1,"Flamengo",NA,1,1,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"229","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,13,"CRU","mei","Provável",4.7,5.43,-0.44,3.72,6,"Cruzeiro",NA,NA,2,4,7,1,1,7,NA,3,NA,NA,NA,NA,1,NA,NA,NA
"230","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,13,"BOT","gol","Nulo",0,23.03,0,6.51,10,"Botafogo",NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,4,20,10,NA,NA,1,NA
"231","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,13,"AVA","lat","Provável",0.3,7.2,-1.23,2.45,12,"Avaí",1,15,3,4,10,NA,1,62,NA,16,1,4,NA,NA,NA,1,NA,NA
"232","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,13,"PON","zag","Contundido",0,6,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/04/24/9f5565190d6c37e9959d0747a4ef6ea0_FORMATO.png",75295,13,"FLA","ata","Provável",0,11.89,0,6.17,8,"Flamengo",1,32,9,8,24,4,6,15,NA,9,3,NA,NA,NA,NA,NA,NA,NA
"234","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/02/21/707d81e3f025580fbfbb9ef89e2a6c4c_FORMATO.png",74271,13,"BAH","ata","Contundido",0,9.52,0,2.75,10,"Bahia",NA,14,5,2,16,2,1,19,NA,4,NA,NA,NA,NA,1,NA,NA,NA
"235","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2017/04/24/43537a69f2836d2da77aebc068eacd46_FORMATO.png",73992,13,"FLA","lat","Provável",2.5,9.77,-0.5,4.86,8,"Flamengo",1,11,2,2,7,1,1,21,NA,9,2,4,NA,NA,NA,NA,NA,NA
"236","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,13,"PAL","mei","Provável",4.2,13.45,-1.58,4.61,9,"Palmeiras",1,20,7,5,15,4,1,41,NA,9,3,NA,NA,NA,NA,NA,NA,NA
"237","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,13,"SAN","zag","Contundido",0,6,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,13,"FLA","gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,13,"VAS","lat","Nulo",-0.7,2.73,-0.29,-0.5,2,"Vasco",NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,13,"SPO","mei","Nulo",0,7.18,0,3.08,5,"Sport",NA,6,1,1,9,1,1,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"241","Fábio Farroco Braga","Fábio Braga","https://s.glbimg.com/es/sde/f/2017/05/02/1b7b5c48a104e1244f38059d6b4e63a3_FORMATO.png",78464,13,"PON","mei","Nulo",0,1.74,0,-0.45,2,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"242","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,13,"ATL","mei","Provável",0,5.16,0.57,1.53,11,"Atlético-GO",NA,15,1,2,21,1,1,43,NA,14,1,NA,NA,NA,NA,1,NA,NA
"243","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,13,"SAN","ata","Provável",0,9.44,0,3.6,9,"Santos",NA,15,3,6,8,5,3,35,NA,4,3,NA,NA,NA,NA,NA,NA,NA
"244","Miller Alejandro Bolaños Reasco","Miller Bolaños","https://s.glbimg.com/es/sde/f/2016/05/10/e06dcc7c5fd2af9342d95cf318b5f431_FORMATO.png",78371,13,"GRE","ata","Nulo",0,10.62,0,-0.3,2,"Grêmio",NA,2,NA,NA,1,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"245","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2017/04/24/ef04c0af64af6a9173d17eb922ff55e4_FORMATO.png",78407,13,"CHA","zag","Provável",0.1,6.73,-0.45,2.5,5,"Chapecoense",NA,10,NA,1,1,1,1,9,NA,5,1,1,NA,NA,NA,NA,NA,NA
"246","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/05/01/b7a4044c003473042da5143f01b9924e_FORMATO.png",77967,13,"SPO","lat","Provável",13.2,6.2,0.26,7.63,3,"Sport",2,9,1,NA,3,1,1,8,NA,4,1,2,NA,NA,NA,1,NA,NA
"247","Marcos de Paula Dutra","Marcos","https://s.glbimg.com/es/sde/f/2017/04/27/f3d654b20ab83c212a2a18dab411b2e0_FORMATO.png",78495,13,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Paulo Luiz Beraldo Santos","Paulinho","https://s.glbimg.com/es/sde/f/2017/04/24/c8f73d0634bf7a30846535c217610b26_FORMATO.png",78578,13,"VIT","ata","Nulo",-0.3,3.44,-0.5,0.15,8,"Vitória",NA,6,4,5,3,NA,1,23,NA,3,3,NA,NA,NA,1,NA,NA,NA
"249","Bryan Silva Garcia","Bryan","https://s.glbimg.com/es/sde/f/2016/05/25/5b9b24c19e03fc40d70c6a4523ef44ae_FORMATO.png",78632,13,"CRU","lat","Nulo",0,3.93,0,0.3,1,"Cruzeiro",NA,2,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"250","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2017/04/24/bff75e6319bfeb83e043d1949b127c6e_FORMATO.png",78445,13,"FLA","lat","Provável",0,6.81,0,3.6,6,"Flamengo",NA,9,NA,1,7,NA,NA,17,NA,10,NA,2,NA,NA,NA,NA,NA,NA
"251","Gabriel Girotto Franco","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/19/a258f3bd57275dfde4062d53fea35126_FORMATO.png",78605,13,"COR","mei","Provável",4.7,8.32,0.17,2.72,12,"Corinthians",NA,19,2,NA,11,1,NA,23,NA,25,2,NA,NA,NA,NA,1,NA,NA
"252","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,13,"COR","gol","Nulo",0,3.48,0,-2,1,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"253","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2017/04/25/f36c749de572dbbaf8a43b8b71309942_FORMATO.png",78584,13,"AVA","gol","Provável",-2,6.88,-5.35,15.87,4,"Avaí",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,17,4,NA,NA,1,NA
"254","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2017/04/24/afcab1eabef219480495acfdf11be8c3_FORMATO.png",78478,13,"FLA","mei","Nulo",0,8.51,0,2.34,9,"Flamengo",1,10,3,1,7,NA,NA,33,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"255","Everaldo Stum","Everaldo","https://s.glbimg.com/es/sde/f/2017/04/27/85ec84d7e2ba8d7f658cb59fefc7d400_FORMATO.png",78117,13,"ATL","ata","Nulo",9,10.95,1.49,4.35,13,"Atlético-GO",1,15,14,11,18,5,4,25,2,2,1,NA,NA,NA,1,NA,NA,NA
"256","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png",78548,13,"SAN","mei","Provável",1.4,4.68,-1.3,3.25,11,"Santos",2,5,3,5,10,NA,NA,28,NA,16,1,NA,NA,NA,NA,NA,NA,NA
"257","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,13,"BOT","lat","Provável",10.6,10.28,2.06,4.56,12,"Botafogo",1,17,1,NA,17,NA,NA,38,NA,23,2,5,NA,NA,NA,NA,NA,NA
"258","Ramiro Moschen Benetti","Ramiro","https://s.glbimg.com/es/sde/f/2017/04/23/01565939c1e8813f9c1cc7cf9faeb903_FORMATO.png",78715,13,"GRE","mei","Provável",-0.1,16.21,-1.05,4.76,10,"Grêmio",2,17,4,8,16,3,1,37,NA,13,3,NA,NA,NA,NA,NA,NA,NA
"259","Keirrison de Souza Carneiro","Keirrison","https://s.glbimg.com/es/sde/f/2017/07/12/8382c536a2ca82792c51bfece8336e5d_FORMATO.jpeg",50880,13,"COR","ata","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2017/04/24/854cf1c9afe220c9f2a2751a12f2e7dd_FORMATO.png",52253,13,"FLA","zag","Provável",1.9,10.69,-1.14,4.36,11,"Flamengo",NA,5,2,1,9,1,NA,16,NA,13,1,4,NA,NA,NA,NA,NA,NA
"261","Marcos Antônio Almeida Silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2017/04/27/1fdbc57e3b15e752149d530d7425e5d3_FORMATO.png",78856,13,"ATL","mei","Provável",1.5,7.23,-0.04,2.99,12,"Atlético-GO",NA,21,NA,3,8,NA,NA,25,NA,34,5,NA,NA,NA,NA,NA,NA,NA
"262","Marco Antonio de Mattos Filho","Marquinho","https://s.glbimg.com/es/sde/f/2016/07/30/7905e0520c53cd23701cb3eddd0d3d19_FORMATO.png",50407,13,"FLU","mei","Contundido",0,2.98,0,-0.4,4,"Fluminense",NA,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"263","Francinilson Santos Meireles","Maranhão","https://s.glbimg.com/es/sde/f/2016/06/28/5b421dbcedd89d35ab19a538e6c4ab1f_FORMATO.jpeg",73513,13,"FLU","ata","Nulo",0,1.63,0,-0.55,2,"Fluminense",NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2017/07/11/e970a2c4345e6e515eef8ee166c54f05_FORMATO.png",50408,13,"VAS","zag","Contundido",0,2.95,0,1.04,10,"Vasco",NA,9,1,2,6,NA,NA,22,NA,6,2,2,NA,NA,NA,NA,NA,NA
"265","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,13,"CRU","zag","Provável",6.4,9.67,0.9,2.72,12,"Cruzeiro",1,10,1,2,10,NA,NA,30,NA,9,3,5,NA,NA,NA,NA,NA,NA
"266","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,13,"SAO","mei","Nulo",0,3.86,0,1.5,3,"São Paulo",NA,2,NA,NA,2,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"267","Luiz Diallison de Souza Alves","Apodi","https://s.glbimg.com/es/sde/f/2017/04/24/287a66acd6363a7d660701c832982d75_FORMATO.png",51042,13,"CHA","lat","Provável",-1.7,6.16,-0.59,1.72,12,"Chapecoense",NA,25,2,4,17,NA,2,22,NA,12,4,3,NA,NA,NA,NA,NA,NA
"268","Ricardo Martins de Araújo","Kadu","https://s.glbimg.com/es/sde/f/2017/05/02/414d5dd199f668338406b95b0d982b31_FORMATO.png",50427,13,"PON","zag","Nulo",2.9,11.65,-0.6,5.32,6,"Ponte Preta",NA,10,1,1,7,NA,NA,6,NA,15,1,2,NA,NA,NA,NA,NA,NA
"269","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2017/02/21/1667c807177ee329a96aa2102be09777_FORMATO.png",50645,13,"BAH","lat","Provável",5.6,7,0.84,3.3,13,"Bahia",1,20,NA,2,10,NA,2,71,NA,24,1,5,NA,NA,NA,NA,NA,NA
"270","Walter Leandro Capeloza Artune","Walter","https://s.glbimg.com/es/sde/f/2017/04/20/196790f232d428bcd861ad55c55dd8cc_FORMATO.png",51413,13,"COR","gol","Nulo",0,6,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Renato Adriano Jacó de Morais","Renato Cajá","https://s.glbimg.com/es/sde/f/2017/05/02/c6dd544b90a2c4194626f51e05b53b4e_FORMATO.png",51319,13,"PON","mei","Provável",0,7.42,0,2.07,7,"Ponte Preta",1,8,1,7,7,1,1,22,NA,6,1,NA,NA,NA,NA,1,NA,NA
"272","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2017/05/02/7c58801a7248a49556b48b3d0b29ca4d_FORMATO.png",51318,13,"SAN","mei","Provável",-0.9,4.15,-0.14,0.28,5,"Santos",NA,8,NA,1,4,NA,NA,7,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"273","Thiago Carleto Alves","Thiago Carleto","https://s.glbimg.com/es/sde/f/2017/05/15/e78cf3d6b6820ad71b0335abf0a64a0b_FORMATO.png",51700,13,"COR","lat","Nulo",6.1,5.03,0.3,6.55,2,"Coritiba",NA,3,4,NA,3,NA,NA,9,NA,4,NA,1,NA,NA,NA,NA,NA,NA
"274","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2017/04/23/d52f6bea6aa2f1491f7bd22855a3e821_FORMATO.png",51705,13,"GRE","zag","Nulo",0,5.11,0,-0.3,1,"Grêmio",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Leandro Salino do Carmo","Leandro Salino","https://s.glbimg.com/es/sde/f/2017/02/20/88732a4309dfb2ee375054e5e944d3cf_FORMATO.png",51905,13,"VIT","lat","Nulo",0,6.5,0,4.02,6,"Vitória",NA,15,NA,2,16,NA,NA,21,NA,15,1,1,NA,NA,NA,NA,NA,NA
"276","Antonio Eduardo Pereira dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2017/02/20/2a67dc4c7c97236fb27abf4dbe5a39fc_FORMATO.png",51792,13,"VIT","zag","Suspenso",-0.6,7.69,-0.86,3.78,8,"Vitória",1,8,1,5,5,2,3,24,NA,10,3,2,NA,NA,NA,NA,NA,1
"277","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png",52674,13,"BOT","lat","Provável",0,9.1,0,3.87,8,"Botafogo",NA,4,NA,NA,16,NA,1,10,NA,7,1,3,NA,NA,1,NA,NA,NA
"278","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,13,"COR","zag","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,13,"ATL","mei","Provável",5,12.55,0.62,2.14,11,"Atlético-MG",NA,14,5,1,9,1,2,34,NA,15,1,NA,NA,NA,NA,NA,NA,NA
"280","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,13,"ATL","gol","Provável",8,11.85,0.32,4.34,12,"Atlético-MG",NA,1,NA,NA,NA,NA,NA,8,NA,NA,1,2,18,14,NA,NA,3,NA
"281","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/a9d9178f59821bfca73d485e636ad040_FORMATO.png",50856,13,"FLU","zag","Suspenso",1.6,8.31,0.04,1.24,12,"Fluminense",NA,15,1,1,18,NA,NA,26,NA,10,3,1,NA,NA,1,NA,NA,NA
"282","Marinaldo dos Santos Oliveira","Naldo","https://s.glbimg.com/es/sde/f/2017/05/02/466546b7c0d2a31683ba60341c08ef34_FORMATO.png",78897,13,"PON","mei","Nulo",0,6.96,0,4.4,5,"Ponte Preta",NA,10,1,1,5,1,NA,12,NA,12,1,NA,NA,NA,NA,NA,NA,NA
"283","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2017/05/02/152a2c73a115dd6eaae434c953a9c05b_FORMATO.png",53669,13,"PON","ata","Nulo",0,3.56,0,0.45,10,"Ponte Preta",1,16,2,2,9,NA,1,22,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"284","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2017/04/25/19e52a7282097054fc255711621c8e29_FORMATO.png",54797,13,"CHA","ata","Contundido",0,3.38,0,0.06,7,"Chapecoense",NA,3,1,2,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Cássio Luís Rissardo","Xuxa","https://s.glbimg.com/es/sde/f/2017/04/25/f61368b41b39832165af38d0ac96fda8_FORMATO.png",55594,13,"PON","mei","Nulo",1.3,2.25,-0.19,0.8,3,"Ponte Preta",NA,NA,NA,NA,1,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"286","Ferdinando Pereira Leda","Ferdinando","https://s.glbimg.com/es/sde/f/2017/04/28/451b8463a985e60f7a6e4d877e47d26e_FORMATO.png",53731,13,"AVA","mei","Nulo",0,5,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,13,"SAO","gol","Contundido",0,5,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Leandro Marcos Pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2017/02/22/377457c54b890731e2cfdb9013dc7397_FORMATO.png",78968,13,"SPO","ata","Nulo",0,5.86,0,2.3,2,"Sport",NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"289","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2017/04/28/050f2523a89b53c80e67a8b25d407fea_FORMATO.png",51415,13,"ATL","zag","Provável",-0.1,7.43,-1.66,2.95,13,"Atlético-GO",1,21,NA,6,23,NA,NA,31,NA,17,NA,1,NA,NA,1,NA,NA,NA
"290","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,13,"BOT","lat","Nulo",0,8,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/24/bd4f8a7faf06636fd48dc601b16ea0af_FORMATO.png",56102,13,"COR","mei","Nulo",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,13,"BOT","zag","Nulo",0,6.08,0,6.5,1,"Botafogo",NA,2,NA,1,4,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"293","Petros Mateus dos Santos Araújo","Petros","https://s.glbimg.com/es/sde/f/2017/06/28/8996a98a38601839090a38638e52bc30_FORMATO.png",78891,13,"SAO","mei","Provável",3.2,10.29,-0.49,5.07,3,"São Paulo",1,6,NA,1,7,NA,NA,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
