"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FF","FS","FT","I","PE","RB","SG","FD","DD","DP","G","GS","GC","CV","PP"
"18","Aderllan Leandro de Jesus Santos","Aderllan Santos","https://s.glbimg.com/es/sde/f/2017/07/20/7efccafc0e0c165bd5e9036a50890fbc_FORMATO.png",93296,33,"SAO","zag","Nulo",0,5.7,0,4.75,2,"São Paulo",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"19","Yan Matheus Santos Souza","Yan","https://s.glbimg.com/es/sde/f/2017/05/11/eb94eeb460306451c24553f35509e933_FORMATO.png",93146,33,"PAL","mei","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Augusto de Souza Silva","Augusto","https://s.glbimg.com/es/sde/f/2017/04/18/4e94d8b6d0b298c84f952ecfac2c11eb_FORMATO.png",93378,33,"PAL","zag","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Rodrigo Nascimento França ","Rodrigo Becão","https://s.glbimg.com/es/sde/f/2017/07/28/c0a3691e5410ad12c87b07891777aba3_FORMATO.png",93369,33,"BAH","zag","Nulo",0,3.41,0,2.46,8,"Bahia",NA,1,6,2,6,NA,NA,9,10,1,1,NA,NA,NA,NA,NA,NA,NA
"22","Mauro Joel Carli","Joel Carli","https://s.glbimg.com/es/sde/f/2016/05/20/6a298f9b1dd5a88146f9f926e4b91a1b_FORMATO.png",93414,33,"BOT","zag","Provável",3.3,8.79,0.02,1.95,23,"Botafogo",2,10,36,4,13,NA,1,52,24,6,1,NA,NA,1,NA,NA,NA,NA
"23","Lucas Veríssimo da Silva","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2017/05/02/0198bbb1258bc8a618b6ef67781a60a6_FORMATO.png",93368,33,"SAN","zag","Provável",5.5,8.64,0.48,4.21,30,"Santos",NA,7,21,5,17,NA,1,47,39,16,7,NA,NA,NA,NA,NA,NA,NA
"24","Guilherme Henrique Silva Nogueira","Guilherme",NA,93490,33,"PON","gol","Nulo",0,2,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Peterson Silvino da Cruz","Peu","https://s.glbimg.com/es/sde/f/2017/07/25/a5c72908fbb4a7ab1dd71e0511ddb5ee_FORMATO.png",93739,33,"FLU","ata","Nulo",0,1.16,0,0.94,8,"Fluminense",NA,NA,3,1,3,NA,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"26","Alan Cardoso de Andrade","Alan Cardoso","https://s.glbimg.com/es/sde/f/2017/05/24/7fd89a2cf130263868b36903498c1059_FORMATO.png",93785,33,"VAS","lat","Nulo",0,1.21,0,-1.3,1,"Vasco",NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Igor Henrique Martins Machado","Igor","https://s.glbimg.com/es/sde/f/2017/04/27/1869f3cf1e00c12ad0d7b7f267efd47e_FORMATO.png",93551,33,"ATL","mei","Provável",0.9,4.09,0.09,2.07,23,"Atlético-GO",1,8,64,11,34,NA,3,50,38,NA,10,NA,NA,1,NA,NA,NA,NA
