"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FF","FS","FT","I","PE","RB","SG","FD","DD","DP","G","GS","GC","CV","PP"
"215","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,33,"CRU","mei","Provável",1.4,16.55,0.12,4.67,28,"Cruzeiro",4,3,29,15,44,2,7,105,23,NA,35,NA,NA,7,NA,NA,NA,1
"216","Héctor Canteros","Canteros","https://s.glbimg.com/es/sde/f/2017/08/26/8b500e8c0826bd7c342137f3449ddb7d_FORMATO.png",73918,33,"CHA","mei","Provável",6.8,6.37,1.81,3.63,9,"Chapecoense",1,3,22,1,3,NA,NA,36,26,NA,1,NA,NA,1,NA,NA,NA,NA
"217","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,33,"FLA","mei","Nulo",0,8.7,0,2.83,26,"Flamengo",1,5,33,7,34,NA,NA,49,51,NA,1,NA,NA,NA,NA,NA,NA,NA
"218","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,33,"SAN","mei","Provável",9.1,7.17,0.35,4.26,22,"Santos",NA,4,32,4,23,NA,NA,38,58,NA,NA,NA,NA,2,NA,NA,NA,NA
"219","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,33,"BOT","ata","Contundido",0,10.31,0,5.06,20,"Botafogo",2,3,21,19,22,NA,19,44,11,NA,11,NA,NA,10,NA,NA,NA,1
"220","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2017/08/16/2215936db5460baf89bb165cdfc691b4_FORMATO.jpeg",62086,33,"FLA","lat","Provável",7.8,9.82,1.39,3.2,25,"Flamengo",1,1,24,7,20,NA,1,66,25,10,NA,NA,NA,1,NA,1,NA,NA
"221","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,33,"VIT","zag","Nulo",0.6,2.38,-0.01,1.69,12,"Vitória",NA,4,17,1,7,NA,NA,18,10,4,1,NA,NA,NA,NA,NA,NA,NA
"222","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,33,"CHA","ata","Provável",5.8,10.41,-0.03,2.78,28,"Chapecoense",1,5,42,21,35,2,10,61,7,NA,20,NA,NA,7,NA,NA,NA,NA
"223","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,33,"ATL","zag","Provável",-0.3,8.07,-1.36,3.05,23,"Atlético-PR",NA,7,22,9,13,NA,2,43,20,7,3,NA,NA,3,NA,NA,NA,NA
"224","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,33,"COR","mei","Provável",0,7.59,0,1.06,26,"Corinthians",2,3,19,15,15,NA,3,119,9,NA,5,NA,NA,4,NA,NA,NA,NA
"225","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,33,"CRU","mei","Provável",0,6.61,0,3.28,22,"Cruzeiro",1,2,29,8,45,2,2,72,25,NA,7,NA,NA,3,NA,NA,NA,NA
"226","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2017/04/24/470fd6292588f4385e9c32a3aeef091c_FORMATO.png",74060,33,"CHA","mei","Provável",-1.6,7.48,-1.17,2.19,25,"Chapecoense",2,4,25,6,11,2,2,45,15,NA,14,NA,NA,3,NA,NA,NA,NA
"227","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,33,"VAS","ata","Nulo",3.1,2.49,0.47,0.93,3,"Vasco",NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2017/04/24/60830998fb2fc54f511a8d2b5c3a6f25_FORMATO.png",73991,33,"COR","zag","Nulo",0,4.44,0,2.37,11,"Coritiba",NA,NA,12,1,1,NA,1,23,19,2,2,NA,NA,NA,NA,1,NA,NA
"229","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,33,"FLU","gol","Provável",2,3.97,0.74,1.68,11,"Fluminense",NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,15,NA,NA,15,NA,NA,NA
"230","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,33,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,33,"FLU","mei","Nulo",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,33,"CRU","mei","Nulo",0.5,4.69,-0.08,2.18,18,"Cruzeiro",NA,NA,4,9,25,1,3,24,8,NA,6,NA,NA,1,NA,NA,NA,NA
"233","Guilherme Costa Machado Silveira","Guilherme Costa","https://s.glbimg.com/es/sde/f/2017/04/06/ea33443d8c666f61b78424b726238c89_FORMATO.png",74081,33,"VAS","mei","Nulo",0,4.59,0,1.9,9,"Vasco",2,1,6,1,8,NA,NA,11,1,NA,1,NA,NA,1,NA,NA,NA,NA
"234","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/07/28/8fb3bca6fb3b7df0b863748403f1b763_FORMATO.png",74271,33,"BAH","ata","Provável",17.2,12.31,2.1,4.85,21,"Bahia",1,2,32,6,34,1,1,48,14,NA,11,NA,NA,9,NA,NA,NA,NA
"235","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,33,"PAL","mei","Nulo",-0.5,12.22,-0.19,4.35,18,"Palmeiras",3,3,24,10,28,NA,5,63,20,NA,8,NA,NA,5,NA,NA,NA,NA
"236","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/08/16/aec506211b5663eb0569825b5aee6db6_FORMATO.jpeg",75295,33,"FLA","ata","Suspenso",0,11.33,0,4.12,19,"Flamengo",3,4,67,23,48,NA,15,45,14,NA,14,NA,NA,6,NA,NA,NA,NA
"237","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,33,"AVA","mei","Provável",9.7,4.22,1.64,1.15,18,"Avaí",NA,1,8,4,19,NA,NA,59,3,NA,8,NA,NA,3,NA,NA,1,NA
"238","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,33,"BOT","gol","Provável",4,19.67,1.31,4.64,26,"Botafogo",NA,2,NA,NA,4,NA,NA,23,NA,9,NA,38,4,NA,29,NA,NA,NA
"239","Michael Antonio Arroyo Mina","Arroyo","https://s.glbimg.com/es/sde/f/2017/07/24/c4c6af5bdd03f02c1d29ada3f5d33e39_FORMATO.png",74134,33,"GRE","ata","Nulo",0,3.42,0,0.69,7,"Grêmio",NA,1,5,1,2,NA,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA
"240","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,33,"AVA","lat","Provável",0,9.07,0,3.83,31,"Avaí",3,3,47,12,27,NA,3,123,53,10,7,NA,NA,1,NA,NA,1,NA
"241","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,33,"PON","zag","Provável",2.5,5.29,0.75,2.46,5,"Ponte Preta",NA,1,5,4,1,NA,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,NA
"242","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,33,"GRE","lat","Nulo",0,9.66,0,3.03,19,"Grêmio",1,4,33,10,13,1,1,61,22,7,7,NA,NA,1,NA,NA,1,1
"243","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,33,"ATL","mei","Provável",3.4,6.02,0.36,1.89,30,"Atlético-GO",2,3,50,13,64,NA,6,106,33,NA,4,NA,NA,2,NA,NA,1,NA
"244","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,33,"SPO","mei","Nulo",1.6,6.16,0.16,2.11,13,"Sport",NA,1,13,3,17,NA,1,13,11,NA,3,NA,NA,1,NA,NA,NA,NA
"245","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,33,"VIT","ata","Nulo",0,4.07,0,1.22,8,"Vitória",NA,NA,3,NA,1,NA,NA,8,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"246","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,33,"VIT","mei","Nulo",0,5.48,0,1.63,17,"Vitória",3,4,20,10,8,1,1,49,15,NA,6,NA,NA,NA,NA,NA,NA,NA
"247","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,33,"PAL","mei","Nulo",0,7.15,0,1.95,7,"Palmeiras",NA,2,11,2,10,NA,NA,10,11,NA,1,NA,NA,NA,NA,NA,NA,NA
"248","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,33,"AVA","lat","Nulo",5.2,5.28,0.73,1.23,4,"Avaí",NA,NA,5,2,4,NA,NA,6,4,1,NA,NA,NA,NA,NA,1,NA,NA
"249","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,33,"FLA","gol","Provável",4.4,9.61,0.82,3.09,16,"Flamengo",NA,NA,NA,NA,4,NA,NA,11,NA,5,NA,19,1,NA,19,NA,NA,NA
"250","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,33,"SAN","mei","Provável",2.2,6.11,-0.34,1.62,18,"Santos",NA,NA,13,2,22,NA,NA,31,18,NA,2,NA,NA,NA,NA,NA,NA,NA
"251","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/08/24/906d163cca64b5b702fc394e60588644_FORMATO.png",38648,33,"SAO","mei","Provável",4.7,19.47,-1.29,8.77,17,"São Paulo",3,2,15,15,46,NA,1,73,29,NA,13,NA,NA,9,NA,NA,NA,NA
"252","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,33,"COR","mei","Nulo",0,3.25,0,0.06,11,"Coritiba",NA,2,10,1,12,NA,1,27,8,NA,3,NA,NA,NA,NA,NA,1,NA
"253","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,33,"VAS","mei","Provável",14.7,14.73,1.46,3.65,26,"Vasco",4,5,26,19,70,1,5,118,18,NA,13,NA,NA,5,NA,NA,NA,NA
"254","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,33,"FLA","mei","Nulo",0,19.36,0,5.33,23,"Flamengo",2,4,34,15,75,NA,9,93,29,NA,12,NA,NA,8,NA,NA,NA,1
"255","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,33,"SAN","ata","Provável",9.9,11.93,0.17,4.14,19,"Santos",NA,2,26,17,17,1,14,22,5,NA,13,NA,NA,8,NA,NA,NA,NA
"256","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,33,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2017/08/30/c7dca7402951841de5cd3c5a531e0cee_FORMATO.png",41218,33,"SPO","gol","Provável",-1,5.58,-0.61,2.84,29,"Sport",NA,NA,NA,NA,2,NA,NA,10,3,7,NA,42,NA,NA,41,NA,NA,NA
"258","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,33,"FLU","tec","Provável",3.55,11.96,-0.18,3.16,31,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,33,"BOT","mei","Nulo",0,3.14,0,0.67,12,"Botafogo",NA,3,13,NA,10,NA,NA,19,12,NA,1,NA,NA,NA,NA,NA,NA,NA
"260","Paulo César Carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2017/10/05/dd2f6056891fcc3e7ed2cfc01432a003_FORMATO.png",39355,33,"BAH","tec","Provável",3.78,11.8,-0.53,5.09,7,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,33,"BOT","lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,33,"PAL","ata","Nulo",0,8.5,0,4.64,22,"Palmeiras",4,4,29,11,32,1,7,38,21,NA,9,NA,NA,7,NA,NA,1,1
"263","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,33,"FLU","lat","Nulo",0,4.32,0,1.58,9,"Fluminense",NA,2,12,9,7,NA,NA,17,5,2,1,NA,NA,NA,NA,NA,NA,NA
"264","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,33,"CRU","ata","Dúvida",1.7,3.95,0.29,1.01,18,"Cruzeiro",NA,NA,8,7,14,NA,3,25,5,NA,3,NA,NA,1,NA,NA,NA,NA
"265","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,33,"VIT","tec","Provável",4.39,9.62,0.47,3.59,28,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/09/05/45c6f808fc644c74001e20c938a4112a_FORMATO.png",40179,33,"COR","ata","Nulo",0.2,10.16,-0.58,3.09,12,"Coritiba",1,2,31,7,31,NA,7,34,4,NA,11,NA,NA,4,NA,NA,1,NA
"267","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,33,"SAO","tec","Provável",3.25,10.17,-0.37,3.61,25,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,33,"GRE","tec","Provável",6.64,15.92,0.25,4.31,32,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,33,"ATL","zag","Provável",0,7.86,0,4.09,12,"Atlético-MG",1,NA,10,2,9,NA,2,16,14,3,2,NA,NA,1,NA,NA,NA,NA
"270","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,33,"COR","gol","Nulo",0,3.48,0,-2,1,"Coritiba",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/08/30/ca1ccec3b2b10a0ecede58b69bb07f1a_FORMATO.png",42222,33,"SPO","ata","Provável",1.6,5.1,0.08,2.18,26,"Sport",2,2,12,8,27,NA,2,70,17,NA,7,NA,NA,3,NA,NA,NA,NA
"272","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,33,"CHA","mei","Provável",-3.5,3.56,-0.83,1.94,5,"Chapecoense",NA,2,10,1,1,NA,NA,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,33,"PAL","lat","Provável",4.1,8.81,0.01,5.47,21,"Palmeiras",1,4,22,5,27,NA,2,86,51,8,4,NA,NA,1,NA,NA,NA,NA
"274","Moisés Ribeiro Santos","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,33,"CHA","mei","Provável",0.4,3.21,0.25,1,18,"Chapecoense",NA,7,43,3,27,NA,NA,38,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2017/04/19/aaa96b0be41ff91da112273cc059467e_FORMATO.png",42234,33,"COR","gol","Nulo",0,11.54,0,4.74,31,"Corinthians",NA,3,NA,NA,8,NA,NA,9,NA,15,NA,36,2,NA,23,NA,NA,NA
"276","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,33,"PON","mei","Suspenso",-5.5,6.2,-1.26,1.07,17,"Ponte Preta",NA,4,45,1,18,NA,1,44,37,NA,NA,NA,NA,NA,NA,NA,2,NA
"277","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,33,"SAO","lat","Contundido",0,4.28,0,0.31,9,"São Paulo",NA,2,16,1,10,NA,NA,37,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"278","Rodrigo da Rosa Milanez","Rodrigo Milanez","https://s.glbimg.com/es/sde/f/2017/08/22/68eb2d451977c45881e0bf3f6820894c_FORMATO.png",77555,33,"ATL","zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,33,"PAL","lat","Provável",0.2,7.15,-0.09,3.26,24,"Palmeiras",1,4,37,2,15,NA,3,57,36,8,NA,NA,NA,1,NA,NA,NA,NA
"280","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,33,"COR","lat","Provável",6.3,13.23,0.87,4.59,27,"Corinthians",2,8,30,4,40,2,3,113,46,14,2,NA,NA,NA,NA,NA,NA,NA
"281","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,33,"SAN","ata","Provável",0,6.12,0.05,2.38,26,"Santos",1,4,33,19,28,NA,11,70,18,NA,10,NA,NA,5,NA,NA,NA,NA
"282","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2017/10/11/2fb916624c1e43c9b2dbd3b2d725d4a5_FORMATO.png",62128,33,"ATL","ata","Nulo",0,7.42,0,2.02,25,"Atlético-GO",2,7,61,22,51,1,13,123,16,NA,17,NA,NA,5,NA,NA,NA,NA
"283","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/08/30/e9a35f97b25633d955a04d16691d85de_FORMATO.png",77967,33,"SPO","lat","Contundido",0,5.35,0,4.16,19,"Sport",4,6,34,2,20,NA,6,46,40,4,2,NA,NA,1,NA,NA,1,NA
"284","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,33,"CRU","mei","Provável",-1.2,7.41,-1.7,2.35,14,"Cruzeiro",1,4,13,9,10,NA,3,67,14,NA,5,NA,NA,3,NA,NA,NA,NA
"285","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,33,"VAS","lat","Provável",0,3.36,0,2.74,15,"Vasco",1,3,13,2,19,NA,1,40,12,6,NA,NA,NA,NA,NA,NA,NA,NA
"286","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,33,"SAN","gol","Provável",2,21.78,0.05,8.18,32,"Santos",NA,2,2,NA,6,NA,NA,10,NA,16,NA,72,3,NA,25,NA,NA,NA
"287","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,33,"SAN","zag","Contundido",0,6,0,5.7,2,"Santos",NA,NA,4,1,2,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"288","Marcelo de Oliveira Santos","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2017/07/25/b2b0680473841905e6c9f7656eb437cd_FORMATO.png",62136,33,"COR","tec","Provável",2.65,9.79,-1.04,3.53,17,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,33,"FLA","gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2017/04/24/ef04c0af64af6a9173d17eb922ff55e4_FORMATO.png",78407,33,"CHA","zag","Contundido",0,5.79,0,0.74,18,"Chapecoense",NA,8,38,1,4,NA,3,27,16,4,NA,NA,NA,1,NA,NA,NA,NA
"291","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2017/04/24/dc3d5fdf33d1716e51abe9c2aad2d182_FORMATO.png",62130,33,"COR","lat","Nulo",0,6.45,0,2.13,21,"Coritiba",NA,7,32,2,43,NA,2,70,26,6,5,NA,NA,NA,NA,NA,1,NA
"292","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2017/07/27/3f91d9b6357f754bb2a32e60e5876ea6_FORMATO.png",62129,33,"VAS","mei","Suspenso",-1.3,0.79,-0.38,0.18,22,"Vasco",1,9,46,7,14,1,1,57,23,NA,3,NA,NA,NA,NA,NA,NA,NA
"293","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2017/08/22/283b47a1bbb66d81e0b2118ce53853f1_FORMATO.jpeg",78478,33,"FLA","mei","Provável",5.9,10.08,0.72,3.82,26,"Flamengo",2,2,27,5,19,1,2,64,58,NA,4,NA,NA,1,NA,NA,NA,NA
"294","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,33,"BOT","lat","Provável",-1.5,8.68,-0.28,4.29,25,"Botafogo",1,5,33,1,40,NA,1,73,52,8,2,NA,NA,NA,NA,NA,NA,NA
"295","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2017/08/22/99c083a6ab42125b85a679e552eea687_FORMATO.jpeg",78445,33,"FLA","lat","Provável",9.9,7.88,1.66,4.12,14,"Flamengo",NA,1,19,3,12,NA,NA,48,32,4,1,NA,NA,NA,NA,NA,NA,NA
"296","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2017/04/24/5d30208b79a04fd4710a6c79831dae42_FORMATO.png",62974,33,"COR","zag","Provável",7.7,9.38,0.61,4.12,21,"Coritiba",NA,1,13,7,9,1,1,52,20,7,2,NA,NA,4,NA,NA,1,NA
"297","João Paulo Purcino de Almeida","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/28/61a2cc88c95e6ada6bf3c127a23ec96f_FORMATO.png",62997,33,"AVA","lat","Provável",1.1,3.44,-0.19,1.34,8,"Avaí",NA,3,9,2,6,1,NA,15,4,2,1,NA,NA,NA,NA,NA,NA,NA
