"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","G","I","PE","RB","FD","A","FT","SG","CV","PP","DD","GS","GC","DP"
"25","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,28,"COR","ata","Contundido",0,1.79,0,-0.19,15,"Coritiba",6,24,2,19,1,4,24,7,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"26","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,28,"PAL","mei","Nulo",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,28,"GRE","lat","Nulo",0,10.11,0,3.49,11,"Grêmio",NA,6,3,12,NA,5,46,8,1,NA,NA,7,NA,NA,NA,NA,NA,NA
"28","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,28,"VAS","ata","Contundido",0,11.82,0,5.19,11,"Vasco",5,22,17,22,5,6,15,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"29","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,28,"PON","gol","Provável",0,12.57,0,3.77,25,"Ponte Preta",2,NA,NA,3,NA,NA,10,1,NA,NA,NA,10,NA,NA,38,33,NA,NA
"30","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,28,"COR","mei","Nulo",0,3.72,0,-0.16,5,"Coritiba",1,5,NA,3,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,28,"CRU","ata","Provável",0,11.43,0,2.25,18,"Cruzeiro",4,20,14,15,4,1,38,7,9,1,NA,NA,1,NA,NA,NA,NA,NA
"32","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,28,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,28,"PON","mei","Dúvida",0,4.8,0,1.57,14,"Ponte Preta",4,12,6,16,NA,1,9,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"34","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,28,"GRE","gol","Provável",7.7,8.93,1.12,2.17,19,"Grêmio",1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,9,1,NA,11,14,NA,NA
"35","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,28,"ATL","mei","Nulo",-0.8,4.92,-0.85,1.67,7,"Atlético-MG",1,15,NA,10,NA,1,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,28,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",NA,2,1,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,28,"FLU","mei","Nulo",0.2,0.79,0,0.13,9,"Fluminense",3,8,1,4,NA,NA,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,28,"PAL","mei","Nulo",0,3.54,0,0.39,11,"Palmeiras",3,8,4,10,NA,NA,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"39","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/08/30/645c1110c278efad455b4d7220e4bdbc_FORMATO.png",94445,28,"SPO","ata","Nulo",3.6,1.18,0.38,-0.13,11,"Sport",1,12,6,4,NA,3,15,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Jonatan David Gomez Ospina","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png",94857,28,"SAO","mei","Nulo",0,4.22,0,0.28,10,"São Paulo",2,21,5,15,NA,1,29,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Guillermo León Celis Montiel","Celis",NA,95071,28,"VIT","mei","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_FORMATO.jpeg",94214,28,"FLA","zag","Nulo",0,3.24,0,4.2,1,"Flamengo",NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"43","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/07/25/eb7be7be185d6f7421dbf30f71453757_FORMATO.png",94583,28,"FLU","ata","Nulo",0,4.04,0,1.82,7,"Fluminense",1,7,2,8,1,1,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,28,"SAO","zag","Contundido",0,3.05,0,0.25,7,"São Paulo",5,11,3,2,NA,NA,12,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"45","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,28,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,28,"COR","lat","Nulo",0,2.55,0,2.33,3,"Corinthians",NA,5,NA,3,NA,NA,7,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"47","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/07/07/6d9964a0f815acd56932767b61858c13_FORMATO.png",94894,28,"ATL","ata","Nulo",0,0.87,0,0.4,1,"Atlético-MG",NA,1,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Deijair dos Santos Nunes","Deijair ","https://s.glbimg.com/es/sde/f/2017/02/21/78e66c5df2b907d4d815509e312cf19f_FORMATO.png",94966,28,"BAH","gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Lucas Emanoel Leite Romão","Lucão","https://s.glbimg.com/es/sde/f/2017/04/22/913ef9074a98f2725e2f2cd12d43f7db_FORMATO.png",94962,28,"CRU","gol","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,28,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",1,2,1,2,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,28,"SAO","mei","Dúvida",6.9,6.86,0.9,2.53,8,"São Paulo",1,1,2,9,1,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Lucas Fernandes da Silva","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png",94931,28,"SAO","mei","Dúvida",-0.4,3.81,-0.46,2.1,14,"São Paulo",2,8,7,12,1,NA,17,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Alan Luciano Ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2017/04/24/5445b9aabe74f7acf2c52104cb6270ff_FORMATO.png",63110,28,"CHA","lat","Nulo",0,2.64,0,2.92,4,"Chapecoense",1,3,1,10,NA,NA,13,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"54","Kaynan Ribeiro Cruz","Kaynan","https://s.glbimg.com/es/sde/f/2017/02/21/13f8834fcead83b104fa6b9b86d35473_FORMATO.png",94978,28,"BAH","ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Marco Antônio Rosa Furtado Júnior","Marco Antônio","https://s.glbimg.com/es/sde/f/2017/02/21/a2be72d3733854b4e00000008373cbbd_FORMATO.png",94975,28,"BAH","mei","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Luís Fernando Santos da Conceição","Luís Fernando","https://s.glbimg.com/es/sde/f/2017/02/21/f8d269154cfbc785e5f87f026e341b3a_FORMATO.png",94971,28,"BAH","mei","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Luis Antônio da Rocha Júnior","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2017/07/28/3c67fd5bc97b298b018e4be018b27485_FORMATO.png",94968,28,"BAH","lat","Provável",8.1,3.66,1.4,3.48,9,"Bahia",2,13,1,11,NA,NA,22,16,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"58","Lucas Tolentino Coelho de Lima","Lucas Paquetá","https://s.glbimg.com/es/sde/f/2017/08/22/b377d3036c1d03d40bafc65a9773ddc4_FORMATO.jpeg",94930,28,"FLA","mei","Nulo",0,1.77,0,2.56,8,"Flamengo",1,10,12,12,NA,2,11,4,2,1,1,NA,NA,NA,NA,NA,NA,NA
"59","Luis Guilherme Castro de Melo","Luis Guilherme","https://s.glbimg.com/es/sde/f/2017/04/25/f29f6e2b42f604bc517f157512d669f6_FORMATO.png",95023,28,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Thalis Henrique Cantanhede","Thalis ","https://s.glbimg.com/es/sde/f/2017/04/03/a4b96c74f796865cee82e21548874cc4_FORMATO.png",95022,28,"ATL","mei","Nulo",0,0.81,0,0.2,1,"Atlético-MG",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Domilson Cordeiro dos Santos","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/65670cbd709a8dd38cea2f806b28576c_FORMATO.png",94985,28,"COR","lat","Nulo",-2.1,7.65,-0.42,2.4,14,"Coritiba",4,22,3,10,NA,NA,57,21,2,NA,NA,5,NA,NA,NA,NA,NA,NA
"62","Victor Luiz Prestes Filho","Vitinho","https://s.glbimg.com/es/sde/f/2016/07/13/fec7b396e3ea32757d4728bef42864b5_FORMATO.png",95260,28,"CRU","lat","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Waltenecir da Silva Ramos Júnior","Júnior Ramos","https://s.glbimg.com/es/sde/f/2017/02/21/f383d4a15e59c944585c2931a507d422_FORMATO.png",95054,28,"BAH","mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Lucas Henrique dos Santos","Luquinhas","https://s.glbimg.com/es/sde/f/2017/07/25/62b49e3ba4744a1658b2d570e24c046c_FORMATO.png",95263,28,"FLU","mei","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Nicolas Vichiatto da Silva","Nicolas","https://s.glbimg.com/es/sde/f/2017/04/23/056a95089efcf92df7bb3f732a875306_FORMATO.png",95127,28,"ATL","lat","Nulo",-0.3,3.27,-0.28,0.58,6,"Atlético-PR",1,5,NA,NA,NA,NA,18,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"66","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2017/07/24/650f2b1055213cf87ff282bf2f4a271b_FORMATO.png",95335,28,"SAN","mei","Provável",3.2,3.9,-0.65,2.75,4,"Santos",1,1,1,5,NA,NA,12,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Marcio Antonio de Sousa Júnior","Marcinho","https://s.glbimg.com/es/sde/f/2017/05/25/27b1b870560cc8ddfeb933e48b232bb5_FORMATO.png",95332,28,"SAO","ata","Nulo",0,4.17,0,1.29,22,"São Paulo",3,27,11,23,2,1,75,11,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"68","Diney Silva Da Costa","Dedé",NA,95438,28,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Onitlasi Júnior de Moraes Rodrigues","Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/f4c96c6b48180d485af9f86fa6068922_FORMATO.png",95058,28,"FLA","lat","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Bruno Cesar Xavier Sislo","Bruno Xavier","https://s.glbimg.com/es/sde/f/2017/09/12/af20dea8b6143f0705dd30ad937ed4c1_FORMATO.png",95288,28,"SPO","mei","Nulo",0,0.79,0,-1.1,1,"Sport",NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Luiz Felipe Schwartz Dal Piva ","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/04/24/7363784a4f9cfb861280071ced864b12_FORMATO.png",95483,28,"CHA","gol","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Gustavo Marcelo Cardoso Soares","Índio","https://s.glbimg.com/es/sde/f/2017/04/24/f40e8a88ce85dc28ee0a123c0052d946_FORMATO.png",95315,28,"COR","ata","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Wildson Silva de Melo","Índio","https://s.glbimg.com/es/sde/f/2017/05/11/4fd214518b14eb3d936a1bb566f6945f_FORMATO.png",95180,28,"SPO","ata","Nulo",0,2.26,0,3.7,1,"Sport",NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Edilson Borba de Aquino","Orinho","https://s.glbimg.com/es/sde/f/2017/08/22/ed31aa68443f0c457c2a938720aa909d_FORMATO.png",95542,28,"SAN","lat","Dúvida",0,2.35,0,3.8,1,"Santos",NA,1,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Pedro Henrique Alves de Almeida","Pedro","https://s.glbimg.com/es/sde/f/2017/08/22/62e2c2d281705d4a088eef5df2d3143d_FORMATO.png",95550,28,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Filipe Rodrigues de Souza Santos","Filipinho","https://s.glbimg.com/es/sde/f/2017/04/03/0632627beb34d4add345d985b197b8d6_FORMATO.png",95651,28,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Renan Gorne Silva","Renan Gorne","https://s.glbimg.com/es/sde/f/2017/04/18/93446ecc92fba9fefb3b8e5fd410ff12_FORMATO.png",95543,28,"BOT","ata","Nulo",0,0.76,0,-3.5,1,"Botafogo",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Felipe Araruna Hoffman","Araruna","https://s.glbimg.com/es/sde/f/2017/02/09/565624d090495af948a09ef2a6efa7c7_FORMATO.png",95660,28,"SAO","mei","Nulo",1.7,1.89,-0.06,1.3,4,"São Paulo",NA,3,NA,3,NA,NA,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Marcelo da Conceição Benevenuto Malaquias","Marcelo","https://s.glbimg.com/es/sde/f/2017/04/18/bcd7b8ce7931a3995c1ac8aaacd657b5_FORMATO.png",95638,28,"BOT","zag","Provável",0,4.32,0,3.54,12,"Botafogo",1,9,3,3,NA,NA,20,12,1,NA,NA,6,NA,NA,NA,NA,NA,NA
"80","José Ricardo Mannarino","Zé Ricardo","https://s.glbimg.com/es/sde/f/2017/08/29/290e1b5521ef67d15a9877e4e2544c0c_FORMATO.png",95780,28,"VAS","tec","Provável",4.36,12.04,0.28,3.98,25,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Fabrício Silva Costa","Fabrício","https://s.glbimg.com/es/sde/f/2017/02/14/d7be73cf3ee15933e6b1c7812db4ab8c_FORMATO.png",95539,28,"SPO","mei","Nulo",0,1.37,0,0.39,7,"Sport",1,2,2,3,NA,1,18,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
