"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","G","I","PE","RB","FD","A","FT","SG","CV","PP","DD","GS","GC","DP"
"1","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,28,"SPO","mei","Dúvida",0,0.83,0,0.48,15,"Sport",3,15,1,8,1,1,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/29/4202df5f7ffbef81d1801418eed48bc2_FORMATO.png",37608,28,"GRE","mei","Contundido",0,3.64,0,2.4,1,"Grêmio",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2017/09/26/43d72dfbd2cff9b2ca73b83cd28119e5_FORMATO.png",36940,28,"ATL","tec","Provável",3.17,10.14,-0.22,4.62,3,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,28,"BOT","ata","Nulo",0.2,6.19,-0.83,3.61,22,"Botafogo",1,16,11,35,4,NA,50,18,8,1,1,NA,NA,NA,NA,NA,NA,NA
"5","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,28,"FLA","zag","Provável",0,6.53,0,4.3,10,"Flamengo",3,6,5,5,NA,NA,14,14,3,2,1,2,NA,NA,NA,NA,NA,NA
"6","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,28,"VAS","zag","Nulo",0,2.08,0,1,13,"Vasco",3,12,1,6,NA,2,31,13,1,NA,1,1,NA,NA,NA,NA,NA,NA
"7","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,28,"COR","mei","Provável",3.4,8.32,0.43,2.89,27,"Corinthians",NA,18,15,13,1,NA,82,38,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"8","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,28,"CRU","tec","Provável",0,13.37,0,3.87,27,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,28,"ATL","zag","Nulo",0,4.3,0,1.93,15,"Atlético-PR",4,13,NA,11,NA,NA,32,13,2,NA,1,4,NA,NA,NA,NA,NA,NA
"10","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,28,"PAL","mei","Dúvida",0,6.6,0,2.27,13,"Palmeiras",4,9,11,11,NA,3,39,17,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"11","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,28,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,28,"PAL","lat","Nulo",0,6.62,0,1.79,13,"Palmeiras",1,15,NA,7,NA,NA,14,5,NA,2,NA,3,NA,NA,NA,NA,NA,NA
"13","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,28,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,28,"PON","zag","Provável",0,9.94,0,4.1,14,"Ponte Preta",3,7,7,22,NA,2,26,14,6,NA,NA,7,1,NA,NA,NA,NA,NA
"15","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,28,"PAL","zag","Provável",4.6,9.34,0.69,3.25,17,"Palmeiras",4,19,7,21,NA,2,9,17,2,NA,NA,6,NA,NA,NA,NA,NA,NA
"16","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,28,"VAS","mei","Nulo",0.4,4.92,-0.84,2.01,15,"Vasco",2,17,1,17,2,3,36,15,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"17","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,28,"ATL","lat","Provável",-0.6,7.77,-1.37,3.5,20,"Atlético-PR",3,13,2,20,2,NA,60,22,1,2,NA,5,NA,NA,NA,NA,NA,NA
"18","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,28,"AVA","zag","Provável",-1.1,6.56,-1.39,2.37,26,"Avaí",7,21,2,21,1,NA,56,16,1,NA,NA,11,NA,NA,NA,NA,NA,NA
"19","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,28,"ATL","ata","Nulo",0,4.52,0,1.23,21,"Atlético-MG",1,38,9,22,4,17,29,4,8,NA,1,NA,NA,1,NA,NA,NA,NA
"20","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,28,"SAN","ata","Contundido",0,6.08,0,-0.55,2,"Santos",NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/09/29/4651e65d3130540afa2b4cb4c1cb5ef4_FORMATO.png",37688,28,"GRE","mei","Nulo",0,4.28,0,-0.81,10,"Grêmio",2,18,3,7,NA,2,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,28,"CRU","mei","Provável",0,5.41,0,1.61,18,"Cruzeiro",4,17,4,29,NA,NA,41,25,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"23","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,28,"CRU","gol","Provável",0,12.79,0,4.13,24,"Cruzeiro",NA,1,NA,2,NA,NA,12,NA,NA,NA,NA,10,NA,NA,30,19,NA,NA
"24","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,28,"AVA","mei","Nulo",2.1,4.83,-0.12,1.55,20,"Avaí",5,28,9,29,1,3,63,20,4,2,1,NA,1,NA,NA,NA,NA,NA
