"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","G","I","PE","RB","A","FD","FF","FT","SG","DD","GS","CV","PP","DP","GC"
"16","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,22,"VAS","zag","Nulo",0,2.3,0,1.08,12,"Vasco",3,12,6,NA,2,31,13,NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"17","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,22,"PON","zag","Nulo",0,9.94,0,4.1,14,"Ponte Preta",3,7,22,NA,2,26,14,NA,6,7,NA,7,NA,NA,1,NA,NA,NA
"18","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,22,"SAN","ata","Nulo",0,6.08,0.11,-0.55,2,"Santos",NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,22,"CRU","gol","Provável",-2.3,11.84,-1.07,3.69,21,"Cruzeiro",NA,1,2,NA,NA,11,NA,NA,NA,NA,NA,9,23,17,NA,NA,NA,NA
"20","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,22,"AVA","zag","Provável",4.1,7.32,0.04,2.58,20,"Avaí",6,15,18,NA,NA,44,14,NA,1,1,NA,10,NA,NA,NA,NA,NA,NA
"21","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,22,"PAL","zag","Provável",-0.4,8.32,-0.52,3,12,"Palmeiras",1,15,17,NA,2,7,9,NA,2,4,NA,4,NA,NA,NA,NA,NA,NA
"22","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,22,"SAO","tec","Provável",3.56,9.51,0.28,2.72,14,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Anderson Vieira Martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2017/07/24/b1c36aceb7c5d5fb95b9079cf23fe5fe_FORMATO.png",52618,22,"VAS","zag","Provável",4.5,9.41,0.97,2.05,2,"Vasco",1,3,NA,NA,NA,5,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"24","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,22,"ATL","ata","Nulo",0.1,4.92,0.43,1.54,18,"Atlético-MG",1,36,22,4,17,26,4,NA,8,9,1,NA,NA,NA,NA,1,NA,NA
"25","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,22,"CRU","mei","Nulo",0,4.44,0,1.79,14,"Cruzeiro",3,12,19,NA,NA,31,22,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA
"26","Devid de Santana Silva","Devid","https://s.glbimg.com/es/sde/f/2017/04/28/7f5898b6f55d8d2c22bc2f9fd72c1067_FORMATO.png",94105,22,"AVA","ata","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,22,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Matheus Gutz","Matheus","https://s.glbimg.com/es/sde/f/2017/04/28/08e4242f18d2365a93ecf92b2ce9fd52_FORMATO.png",94102,22,"AVA","gol","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,22,"SAO","mei","Nulo",0,4.28,0,-0.81,10,"São Paulo",2,18,7,NA,2,16,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"30","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,22,"VAS","mei","Provável",-0.7,4.57,-1.66,1.65,11,"Vasco",NA,12,10,1,3,26,9,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"31","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,22,"ATL","lat","Provável",0,7.78,0,3.73,14,"Atlético-PR",3,9,14,1,NA,36,16,1,NA,2,NA,5,NA,NA,NA,NA,NA,NA
"32","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,22,"COR","ata","Suspenso",-4.8,1.79,-0.91,-0.19,15,"Coritiba",6,24,19,1,4,24,7,NA,3,2,NA,NA,NA,NA,NA,1,NA,NA
"33","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,22,"AVA","mei","Provável",3.6,4.91,0.56,1.38,16,"Avaí",5,25,24,1,3,50,16,1,4,9,1,NA,NA,NA,1,NA,NA,NA
"34","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,22,"PAL","mei","Nulo",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,22,"CRU","ata","Provável",0.1,9.45,0.61,1.41,14,"Cruzeiro",3,19,11,2,1,33,4,1,9,12,NA,NA,NA,NA,1,NA,NA,NA
"36","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,22,"SAO","mei","Nulo",0,6.88,0,2.3,5,"São Paulo",NA,1,7,NA,NA,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"37","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,22,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",1,2,2,NA,2,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"38","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,22,"COR","mei","Nulo",0,3.6,0,-0.68,4,"Coritiba",1,2,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,22,"VAS","ata","Contundido",0,11.82,0,5.19,11,"Vasco",5,22,22,5,6,15,4,2,6,17,NA,NA,NA,NA,NA,NA,NA,NA
"40","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,22,"PON","gol","Provável",-1.3,11.39,0.41,4.14,21,"Ponte Preta",2,NA,3,NA,NA,8,1,NA,NA,NA,NA,9,33,27,NA,NA,NA,NA
"41","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,22,"ATL","mei","Nulo",0,5.67,0,1.7,5,"Atlético-MG",1,12,9,NA,1,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
